<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTT,D,20070412,000000,17.3,17.417,14.534,14.854,2639904,0
NTT,D,20070413,000000,15.437,15.931,14.854,14.883,621293,0
NTT,D,20070416,000000,15.115,15.115,14.591,14.708,168025,0
NTT,D,20070417,000000,14.708,14.708,14.243,14.33,131332,0
NTT,D,20070418,000000,14.213,14.213,13.428,13.72,226453,0
NTT,D,20070419,000000,13.398,13.805,13.252,13.689,72325,0
NTT,D,20070420,000000,13.661,13.952,13.369,13.398,74222,0
NTT,D,20070423,000000,13.63,13.63,12.612,12.728,137176,0
NTT,D,20070424,000000,12.67,12.758,12.146,12.554,87354,0
NTT,D,20070425,000000,12.67,13.02,12.496,12.961,38137,0
NTT,D,20070426,000000,12.961,13.952,12.961,13.746,130727,0
NTT,D,20070427,000000,13.981,14.243,13.428,13.746,52820,0
NTT,D,20070430,000000,13.777,13.952,13.485,13.63,26042,0
NTT,D,20070502,000000,13.689,13.864,13.572,13.864,18130,0
NTT,D,20070504,000000,13.864,13.864,13.63,13.777,15393,0
NTT,D,20070507,000000,13.835,13.835,13.428,13.572,23194,0
NTT,D,20070508,000000,13.456,13.572,13.048,13.107,37400,0
NTT,D,20070509,000000,13.107,13.339,13.048,13.339,25137,0
NTT,D,20070510,000000,13.398,13.398,13.048,13.048,23006,0
NTT,D,20070511,000000,12.786,12.961,12.523,12.931,29410,0
NTT,D,20070514,000000,13.136,13.544,12.903,13.398,51095,0
NTT,D,20070515,000000,13.428,13.428,13.136,13.252,27657,0
NTT,D,20070516,000000,13.223,13.223,12.961,13.107,36754,0
NTT,D,20070517,000000,13.107,13.136,12.758,12.815,33966,0
NTT,D,20070518,000000,12.699,12.815,12.523,12.815,26203,0
NTT,D,20070521,000000,13.02,13.02,12.612,12.67,33042,0
NTT,D,20070522,000000,12.815,12.815,12.554,12.758,23152,0
NTT,D,20070523,000000,12.815,13.63,12.815,13.252,79307,0
NTT,D,20070524,000000,13.369,13.544,12.815,13.398,49660,0
NTT,D,20070525,000000,13.107,13.72,13.077,13.661,69761,0
NTT,D,20070528,000000,14.416,14.854,14.272,14.447,122629,0
NTT,D,20070529,000000,14.505,15.291,14.213,15.058,247586,0
NTT,D,20070530,000000,14.999,15.583,14.563,14.854,120138,0
NTT,D,20070531,000000,14.999,15.437,14.942,15.087,63033,0
NTT,D,20070601,000000,15.145,15.145,14.33,14.563,36049,0
NTT,D,20070604,000000,14.476,14.534,14.127,14.185,42449,0
NTT,D,20070605,000000,14.185,14.416,13.746,13.893,29144,0
NTT,D,20070606,000000,13.835,14.272,13.835,14.185,35878,0
NTT,D,20070608,000000,14.185,14.185,13.864,14.069,14472,0
NTT,D,20070611,000000,14.272,14.476,14.097,14.272,30255,0
NTT,D,20070612,000000,14.272,14.272,14.039,14.155,20613,0
NTT,D,20070613,000000,14.127,14.185,13.952,14.127,16816,0
NTT,D,20070614,000000,14.243,14.416,14.127,14.389,37097,0
NTT,D,20070615,000000,14.272,14.389,14.009,14.389,34232,0
NTT,D,20070618,000000,14.33,14.389,14.127,14.272,17483,0
NTT,D,20070619,000000,14.272,14.389,14.069,14.358,29894,0
NTT,D,20070620,000000,14.389,15.437,14.389,15.145,196558,0
NTT,D,20070621,000000,14.854,15.291,14.854,14.999,42589,0
NTT,D,20070622,000000,15.115,15.204,14.883,15.115,48218,0
NTT,D,20070625,000000,15.087,15.204,14.591,15.115,44604,0
NTT,D,20070626,000000,14.999,15.261,14.999,15.145,33280,0
NTT,D,20070627,000000,15.058,15.931,15.058,15.583,178295,0
NTT,D,20070628,000000,15.844,15.931,15.437,15.669,53514,0
NTT,D,20070629,000000,15.728,15.728,15.058,15.291,20937,0
NTT,D,20070702,000000,14.913,15.233,14.563,15.115,26796,0
NTT,D,20070703,000000,15.145,15.204,14.708,14.854,37479,0
NTT,D,20070704,000000,14.708,15.087,14.708,15.029,27290,0
NTT,D,20070705,000000,14.999,15.115,14.854,14.999,17780,0
NTT,D,20070706,000000,14.999,15.115,14.883,14.883,13951,0
NTT,D,20070709,000000,14.999,15.233,14.999,15.174,24214,0
