<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWG,D,20131205,000000,18.797,19.207,18.429,19.003,4512068,0
NWG,D,20131206,000000,19.003,19.003,18.224,18.716,604935,0
NWG,D,20131209,000000,18.84,18.84,18.61,18.675,309946,0
NWG,D,20131210,000000,18.626,18.626,18.224,18.274,172731,0
NWG,D,20131211,000000,18.2,18.274,17.66,18.02,136879,0
NWG,D,20131212,000000,17.856,17.938,17.528,17.66,168927,0
NWG,D,20131213,000000,17.61,18.004,17.61,17.709,43601,0
NWG,D,20131216,000000,18.004,18.004,17.789,17.938,39358,0
NWG,D,20131217,000000,17.938,17.938,17.372,17.61,77051,0
NWG,D,20131218,000000,17.446,17.938,17.446,17.692,20423,0
NWG,D,20131219,000000,17.938,18.004,17.292,17.332,66656,0
NWG,D,20131220,000000,17.372,17.446,17.225,17.372,59779,0
NWG,D,20131223,000000,17.478,17.938,17.478,17.774,19384,0
NWG,D,20131227,000000,17.774,17.922,17.61,17.922,23709,0
NWG,D,20131230,000000,17.864,17.97,17.716,17.832,21726,0
NWG,D,20140102,000000,17.938,18.012,17.856,17.856,83508,0
NWG,D,20140103,000000,17.856,17.938,17.709,17.88,12780,0
NWG,D,20140107,000000,17.938,17.938,17.652,17.774,77583,0
NWG,D,20140108,000000,17.839,17.839,17.406,17.528,25527,0
NWG,D,20140109,000000,17.431,17.446,16.71,16.832,51317,0
NWG,D,20140110,000000,16.832,17.446,16.75,17.446,116473,0
NWG,D,20140113,000000,17.61,17.692,17.364,17.692,130669,0
NWG,D,20140114,000000,17.676,17.676,17.446,17.503,68681,0
NWG,D,20140115,000000,17.61,17.61,17.478,17.478,88245,0
NWG,D,20140116,000000,17.478,17.61,17.364,17.454,5890,0
NWG,D,20140117,000000,17.487,17.61,17.372,17.537,86741,0
NWG,D,20140120,000000,17.774,17.98,17.577,17.832,15746,0
NWG,D,20140121,000000,17.938,18.02,17.709,17.774,49298,0
NWG,D,20140122,000000,17.774,17.847,17.709,17.742,165215,0
NWG,D,20140123,000000,17.692,17.774,17.635,17.757,19042,0
NWG,D,20140124,000000,17.733,17.733,17.528,17.545,7285,0
NWG,D,20140127,000000,17.487,17.593,17.487,17.528,25188,0
NWG,D,20140128,000000,17.528,17.667,17.487,17.61,18010,0
NWG,D,20140129,000000,17.667,17.995,17.618,17.627,108230,0
NWG,D,20140130,000000,17.61,17.692,17.503,17.692,9314,0
NWG,D,20140131,000000,17.692,17.766,17.364,17.692,62619,0
NWG,D,20140203,000000,17.692,17.692,17.292,17.545,15513,0
NWG,D,20140204,000000,17.364,17.545,17.298,17.528,17913,0
NWG,D,20140205,000000,17.487,17.692,17.454,17.627,47183,0
NWG,D,20140206,000000,17.463,17.635,17.463,17.545,173762,0
NWG,D,20140207,000000,17.61,17.61,17.364,17.513,135362,0
NWG,D,20140210,000000,17.381,17.487,17.012,17.356,110104,0
NWG,D,20140211,000000,17.2,17.364,17.119,17.307,14245,0
NWG,D,20140212,000000,17.233,17.307,17.135,17.242,52396,0
NWG,D,20140213,000000,17.2,17.322,17.2,17.208,35909,0
NWG,D,20140214,000000,17.242,17.413,17.168,17.413,11323,0
NWG,D,20140217,000000,17.307,17.513,17.282,17.389,78471,0
NWG,D,20140218,000000,17.503,17.513,17.282,17.431,29330,0
NWG,D,20140219,000000,17.364,17.938,17.364,17.618,24095,0
NWG,D,20140220,000000,17.52,17.61,17.208,17.396,86114,0
NWG,D,20140221,000000,17.446,17.454,17.143,17.381,128928,0
NWG,D,20140224,000000,17.406,17.478,17.282,17.372,14656,0
NWG,D,20140225,000000,17.372,17.406,17.012,17.037,216133,0
NWG,D,20140226,000000,17.037,17.037,16.298,16.298,177357,0
NWG,D,20140227,000000,16.298,16.529,16.219,16.298,113961,0
NWG,D,20140228,000000,16.219,16.298,15.758,15.955,50946,0
