<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBL,D,20071022,000000,23.235,24.08,23.235,23.573,30873,0
OBL,D,20071023,000000,23.657,23.911,23.657,23.741,4466,0
OBL,D,20071024,000000,23.827,23.827,23.573,23.657,3732,0
OBL,D,20071025,000000,23.657,23.741,23.243,23.243,6621,0
OBL,D,20071026,000000,23.319,23.657,22.821,22.821,5806,0
OBL,D,20071029,000000,23.235,23.235,21.122,21.967,6408,0
OBL,D,20071030,000000,21.959,21.959,21.63,21.63,179,0
OBL,D,20071031,000000,21.038,22.804,20.278,22.804,10699,0
OBL,D,20071102,000000,22.804,22.804,21.562,22.804,1208,0
OBL,D,20071105,000000,23.227,23.573,23.227,23.573,687,0
OBL,D,20071106,000000,23.573,23.657,23.573,23.657,66,0
OBL,D,20071107,000000,23.573,23.573,22.305,23.573,2379,0
OBL,D,20071108,000000,23.573,23.573,22.052,23.573,452,0
OBL,D,20071109,000000,23.489,23.489,22.812,22.812,237,0
OBL,D,20071112,000000,23.471,23.471,21.967,22.804,147,0
OBL,D,20071113,000000,22.804,22.804,22.804,22.804,473,0
OBL,D,20071114,000000,22.788,22.788,21.122,22.297,1675,0
OBL,D,20071115,000000,22.247,22.247,21.122,21.875,1610,0
OBL,D,20071116,000000,22.221,22.221,21.292,21.545,469,0
OBL,D,20071119,000000,21.536,21.536,20.615,20.954,580,0
OBL,D,20071120,000000,21.536,21.536,20.278,20.278,850,0
OBL,D,20071121,000000,20.278,20.278,18.258,20.278,1919,0
OBL,D,20071122,000000,19.856,19.856,16.492,17.659,232884,0
OBL,D,20071123,000000,17.743,17.743,16.704,17.489,39787,0
OBL,D,20071126,000000,18.072,18.072,16.754,17.743,46796,0
OBL,D,20071127,000000,17.743,17.743,16.729,16.898,12163,0
OBL,D,20071128,000000,16.814,17.743,16.476,17.743,129619,0
OBL,D,20071129,000000,17.743,18.276,17.405,18.081,146225,0
OBL,D,20071130,000000,17.996,17.996,17.574,17.743,13184,0
OBL,D,20071203,000000,17.743,18.072,17.337,18.039,59918,0
OBL,D,20071204,000000,17.743,18.03,17.743,17.912,138509,0
OBL,D,20071205,000000,17.996,18.504,17.743,18.504,104655,0
OBL,D,20071206,000000,18.504,19.011,18.504,18.993,13381,0
OBL,D,20071207,000000,19.011,19.475,19.002,19.433,28004,0
OBL,D,20071210,000000,19.475,20.109,19.475,20.109,13329,0
OBL,D,20071211,000000,20.109,20.109,19.348,19.856,63910,0
OBL,D,20071212,000000,20.024,20.024,18.774,20.016,788,0
OBL,D,20071213,000000,19.77,19.923,18.774,19.856,44183,0
OBL,D,20071214,000000,19.644,19.644,19.011,19.011,957,0
OBL,D,20071217,000000,19.121,19.965,18.774,19.686,60201,0
OBL,D,20071218,000000,19.948,19.965,19.103,19.686,112529,0
OBL,D,20071219,000000,19.856,19.856,19.137,19.83,989,0
OBL,D,20071220,000000,19.433,19.813,19.163,19.433,3928,0
OBL,D,20071221,000000,19.416,19.433,18.681,19.011,19561,0
OBL,D,20071227,000000,19.011,19.416,17.887,19.416,28756,0
OBL,D,20071228,000000,19.416,19.416,19.399,19.399,2190,0
OBL,D,20080102,000000,19.399,19.856,19.399,19.399,8305,0
OBL,D,20080103,000000,19.011,19.602,19.011,19.095,2428,0
OBL,D,20080104,000000,19.095,19.391,18.588,19.087,20012,0
OBL,D,20080107,000000,19.011,19.011,17.912,18.123,9828,0
OBL,D,20080108,000000,18.58,18.58,17.996,18.166,5644,0
OBL,D,20080109,000000,17.996,18.208,17.827,18.208,126962,0
OBL,D,20080110,000000,18.081,18.081,17.878,17.887,4099,0
OBL,D,20080111,000000,17.996,17.996,17.067,17.684,43021,0
OBL,D,20080114,000000,17.489,17.996,17.489,17.996,3349,0
OBL,D,20080115,000000,17.912,17.954,17.827,17.827,2863,0
OBL,D,20080116,000000,16.476,17.827,16.476,17.321,3813,0
OBL,D,20080117,000000,17.236,17.701,17.236,17.489,50828,0
OBL,D,20080118,000000,17.489,17.489,17.092,17.092,20238,0
OBL,D,20080121,000000,17.008,17.321,17.008,17.321,11893,0
OBL,D,20080122,000000,17.236,17.321,16.982,17.321,1705,0
OBL,D,20080123,000000,17.321,17.523,17.313,17.515,22356,0
OBL,D,20080124,000000,17.489,17.565,17.236,17.565,12313,0
OBL,D,20080125,000000,17.565,17.565,17.236,17.557,1347,0
OBL,D,20080128,000000,17.574,17.574,17.236,17.236,1923,0
OBL,D,20080129,000000,17.313,17.574,17.152,17.523,1842,0
OBL,D,20080130,000000,17.617,17.617,17.321,17.617,2957,0
OBL,D,20080131,000000,17.617,18.166,17.405,18.166,37011,0
OBL,D,20080201,000000,18.166,18.166,17.574,17.954,12749,0
OBL,D,20080204,000000,18.123,18.123,17.785,17.785,1440,0
OBL,D,20080205,000000,17.996,17.996,17.278,17.743,2740,0
OBL,D,20080206,000000,17.617,17.617,17.489,17.574,17634,0
OBL,D,20080207,000000,17.109,17.574,17.101,17.574,27722,0
OBL,D,20080208,000000,17.743,17.743,17.329,17.574,698,0
OBL,D,20080211,000000,17.659,17.827,17.659,17.827,179,0
OBL,D,20080212,000000,17.827,18.081,17.743,17.743,1405,0
OBL,D,20080213,000000,17.743,17.743,17.743,17.743,2623,0
OBL,D,20080214,000000,17.405,17.743,17.405,17.743,1278,0
OBL,D,20080215,000000,17.726,17.726,17.717,17.717,222,0
OBL,D,20080218,000000,17.667,17.675,17.617,17.641,18109,0
OBL,D,20080219,000000,17.659,18.166,17.489,18.123,120734,0
OBL,D,20080220,000000,18.157,18.486,17.769,18.208,3687,0
OBL,D,20080221,000000,18.157,18.166,17.659,18.081,13174,0
OBL,D,20080222,000000,18.072,18.486,18.072,18.453,28422,0
OBL,D,20080225,000000,18.504,18.656,18.326,18.546,35747,0
OBL,D,20080226,000000,18.596,18.596,18.292,18.334,42505,0
OBL,D,20080227,000000,18.58,18.58,18.081,18.419,9054,0
OBL,D,20080228,000000,18.546,18.546,17.929,18.461,166,0
OBL,D,20080229,000000,18.546,18.571,17.743,18.52,18605,0
OBL,D,20080303,000000,18.504,18.504,18.376,18.394,1558,0
OBL,D,20080304,000000,18.656,18.656,17.405,18.081,4895,0
OBL,D,20080305,000000,17.827,18.537,17.16,18.402,4550,0
OBL,D,20080306,000000,18.334,18.529,18.25,18.486,11197,0
OBL,D,20080307,000000,18.436,18.436,17.735,18.166,1734,0
OBL,D,20080310,000000,17.617,18.258,17.617,17.827,9194,0
OBL,D,20080311,000000,17.659,18.157,17.659,18.157,5976,0
OBL,D,20080312,000000,18.132,18.148,17.996,18.148,1243,0
OBL,D,20080313,000000,18.132,18.132,17.743,18.081,378,0
OBL,D,20080314,000000,17.996,18.2,17.827,18.191,2243,0
OBL,D,20080317,000000,17.827,18.166,17.743,17.996,7348,0
OBL,D,20080318,000000,18.174,18.174,17.743,17.996,1916,0
OBL,D,20080319,000000,18.157,18.157,17.743,17.827,1698,0
OBL,D,20080320,000000,17.743,17.827,17.743,17.827,3274,0
OBL,D,20080325,000000,18.081,18.14,17.76,18.081,429,0
OBL,D,20080326,000000,17.76,18.072,17.507,18.072,5473,0
OBL,D,20080327,000000,18.072,18.072,17.912,17.954,319,0
OBL,D,20080328,000000,17.996,17.996,16.982,17.996,6607,0
OBL,D,20080331,000000,18.072,18.072,17.743,17.954,854,0
OBL,D,20080401,000000,18.064,18.072,17.743,18.072,1668,0
OBL,D,20080402,000000,18.182,18.182,17.591,18.081,2927,0
OBL,D,20080403,000000,18.3,19.179,18.3,18.757,41805,0
OBL,D,20080404,000000,19.011,19.179,18.774,19.179,5439,0
OBL,D,20080407,000000,19.34,19.348,19.011,19.179,10724,0
OBL,D,20080408,000000,18.935,19.179,18.935,19.163,4558,0
OBL,D,20080409,000000,18.858,18.858,18.588,18.757,5769,0
OBL,D,20080410,000000,18.63,18.672,18.63,18.63,4605,0
OBL,D,20080411,000000,18.63,18.672,18.174,18.588,7780,0
OBL,D,20080414,000000,18.546,18.546,17.667,17.912,12689,0
OBL,D,20080415,000000,17.489,18.123,16.982,17.557,16957,0
OBL,D,20080416,000000,17.489,17.489,17.236,17.431,4161,0
OBL,D,20080417,000000,17.431,17.617,17.109,17.337,48052,0
OBL,D,20080418,000000,17.726,17.743,17.405,17.743,964,0
OBL,D,20080421,000000,17.743,17.743,17.489,17.574,2962,0
OBL,D,20080422,000000,17.659,17.659,16.265,17.05,5784,0
OBL,D,20080423,000000,17.253,17.253,16.222,16.806,3631,0
OBL,D,20080424,000000,16.18,16.814,16.18,16.644,1234,0
OBL,D,20080425,000000,16.729,17.313,16.484,16.906,1675,0
OBL,D,20080428,000000,16.729,17.228,16.729,17.228,332,0
OBL,D,20080429,000000,17.152,17.693,17.152,17.65,625,0
OBL,D,20080430,000000,17.397,17.599,17.152,17.599,152,0
OBL,D,20080505,000000,17.574,17.574,16.729,17.321,6569,0
OBL,D,20080506,000000,17.405,17.405,16.814,17.321,416,0
OBL,D,20080507,000000,17.321,17.397,17.321,17.397,495,0
OBL,D,20080508,000000,17.228,17.228,17.228,17.228,265,0
OBL,D,20080509,000000,17.228,17.278,17.228,17.278,24,0
OBL,D,20080512,000000,17.278,17.278,16.644,16.644,3131,0
OBL,D,20080513,000000,16.982,16.982,16.687,16.974,2577,0
OBL,D,20080514,000000,16.974,16.974,16.974,16.974,464,0
OBL,D,20080515,000000,17.016,17.016,16.205,16.72,898,0
OBL,D,20080516,000000,17.025,17.726,17.025,17.253,16007,0
OBL,D,20080519,000000,17.253,17.253,16.982,16.982,5137,0
OBL,D,20080520,000000,17.152,17.152,16.061,16.848,4491,0
OBL,D,20080521,000000,16.898,16.898,16.137,16.222,1063,0
OBL,D,20080523,000000,16.265,16.307,16.265,16.307,3249,0
OBL,D,20080526,000000,16.307,16.349,16.307,16.307,1569,0
OBL,D,20080527,000000,16.872,16.872,16.137,16.814,75,0
OBL,D,20080528,000000,16.67,16.882,16.67,16.814,2120,0
OBL,D,20080529,000000,16.83,17.236,16.83,16.856,2924,0
OBL,D,20080530,000000,17.194,17.194,16.222,16.729,1322,0
OBL,D,20080602,000000,16.872,17.194,16.341,16.341,6332,0
OBL,D,20080603,000000,17.143,17.143,16.915,17.143,10981,0
OBL,D,20080604,000000,16.966,17.236,16.476,16.898,4998,0
OBL,D,20080605,000000,16.265,17.076,16.265,17.067,894,0
OBL,D,20080606,000000,17.067,17.211,16.89,16.89,4420,0
OBL,D,20080609,000000,16.898,16.898,16.197,16.205,976,0
OBL,D,20080610,000000,16.856,16.856,15.842,15.842,1088,0
OBL,D,20080611,000000,16.053,16.137,15.8,16.137,2219,0
OBL,D,20080612,000000,16.391,16.56,15.825,16.56,848,0
OBL,D,20080613,000000,16.56,16.56,15.876,16.467,227,0
OBL,D,20080616,000000,16.636,16.772,16.307,16.772,6178,0
OBL,D,20080617,000000,16.061,16.848,16.061,16.806,828,0
OBL,D,20080618,000000,16.788,16.788,16.222,16.222,38,0
OBL,D,20080619,000000,16.687,16.687,16.687,16.687,11,0
OBL,D,20080620,000000,16.687,16.687,16.155,16.594,9216,0
OBL,D,20080623,000000,16.476,16.51,16.079,16.51,1440,0
OBL,D,20080624,000000,16.51,16.586,15.985,16.222,1724,0
OBL,D,20080625,000000,16.56,16.56,16.56,16.56,5,0
OBL,D,20080626,000000,16.053,16.754,16.003,16.095,5132,0
OBL,D,20080627,000000,15.985,16.644,15.969,16.56,1431,0
OBL,D,20080630,000000,16.434,16.434,16.053,16.434,3107,0
OBL,D,20080701,000000,16.434,16.434,15.749,16.383,335,0
OBL,D,20080702,000000,16.383,16.383,15.614,16.053,1145,0
OBL,D,20080703,000000,15.631,16.222,15.378,15.588,1275,0
OBL,D,20080704,000000,15.216,15.25,14.457,14.777,2078,0
OBL,D,20080707,000000,14.769,14.769,13.603,13.612,2224,0
OBL,D,20080708,000000,14.059,14.059,12.783,13.898,1230,0
OBL,D,20080709,000000,14.777,14.777,14.084,14.617,907,0
OBL,D,20080710,000000,14.659,14.659,14.659,14.659,8,0
OBL,D,20080711,000000,14.786,14.786,14.701,14.701,921,0
OBL,D,20080714,000000,15.546,15.546,14.701,15.04,586,0
OBL,D,20080715,000000,14.786,14.786,14.195,14.701,123,0
OBL,D,20080716,000000,14.195,15.04,14.144,15.04,1894,0
OBL,D,20080717,000000,14.786,15.124,14.769,15.124,8608,0
OBL,D,20080718,000000,15.124,15.504,13.746,15.124,4562,0
OBL,D,20080721,000000,15.107,15.546,14.423,15.546,9832,0
OBL,D,20080722,000000,14.523,15.538,14.523,15.378,2330,0
OBL,D,20080723,000000,15.335,15.622,14.828,15.622,967,0
OBL,D,20080724,000000,15.961,15.961,15.107,15.107,1784,0
OBL,D,20080725,000000,15.124,15.961,14.465,15.208,2956,0
OBL,D,20080728,000000,15.859,15.961,14.955,15.961,1564,0
OBL,D,20080729,000000,15.951,15.951,15.208,15.8,505,0
OBL,D,20080730,000000,15.8,15.935,15.42,15.58,2143,0
OBL,D,20080731,000000,15.631,15.631,14.904,14.904,48,0
OBL,D,20080801,000000,15.631,15.631,15.208,15.462,2572,0
OBL,D,20080804,000000,15.631,15.8,15.462,15.791,5234,0
OBL,D,20080805,000000,15.8,15.885,15.783,15.842,5004,0
OBL,D,20080806,000000,15.851,15.885,15.496,15.885,1339,0
OBL,D,20080807,000000,15.885,15.885,15.445,15.445,1312,0
OBL,D,20080808,000000,15.859,15.859,15.631,15.631,256,0
OBL,D,20080811,000000,15.631,15.631,15.318,15.622,242736,0
OBL,D,20080812,000000,15.622,15.631,14.913,15.622,503,0
OBL,D,20080813,000000,15.631,15.631,15.631,15.631,8,0
OBL,D,20080814,000000,15.622,15.622,15.622,15.622,4,0
OBL,D,20080818,000000,15.124,15.208,14.997,15.208,1734,0
OBL,D,20080819,000000,15.546,15.546,14.651,14.93,1553,0
OBL,D,20080820,000000,15.529,15.529,14.845,14.845,624,0
OBL,D,20080821,000000,15.166,15.368,13.95,14.533,3342,0
OBL,D,20080822,000000,14.431,15.116,14.161,14.363,2211,0
OBL,D,20080825,000000,14.955,14.955,14.389,14.389,885,0
OBL,D,20080826,000000,15.124,15.124,14.415,14.617,389,0
OBL,D,20080827,000000,15.116,15.116,14.457,14.457,87,0
OBL,D,20080828,000000,14.701,14.701,14.144,14.693,298,0
OBL,D,20080829,000000,14.777,15.116,14.6,15.116,820,0
OBL,D,20080901,000000,15.04,15.04,15.04,15.04,4,0
OBL,D,20080902,000000,15.208,15.208,14.491,14.491,662,0
OBL,D,20080903,000000,15.192,15.192,14.296,14.296,996,0
OBL,D,20080904,000000,14.068,14.363,14.068,14.363,492,0
OBL,D,20080905,000000,14.853,14.946,14.186,14.946,657,0
OBL,D,20080908,000000,14.913,14.913,14.811,14.811,198,0
OBL,D,20080909,000000,14.946,15.174,14.363,15.174,625,0
OBL,D,20080910,000000,15.546,15.546,15.546,15.546,9,0
OBL,D,20080911,000000,15.174,15.174,15.174,15.174,9,0
OBL,D,20080912,000000,15.04,15.04,14.389,15.014,706,0
OBL,D,20080915,000000,14.701,15.116,14.127,15.116,1277,0
OBL,D,20080916,000000,14.533,14.567,13.73,14.567,1650,0
OBL,D,20080917,000000,14.609,14.617,14.195,14.617,4027,0
OBL,D,20080918,000000,14.448,14.448,13.764,14.186,1469,0
OBL,D,20080919,000000,14.786,14.786,13.722,13.73,4005,0
OBL,D,20080922,000000,14.279,14.279,13.831,13.831,674,0
OBL,D,20080923,000000,14.195,14.195,13.518,13.552,5812,0
OBL,D,20080924,000000,14.161,14.161,13.096,13.636,942,0
OBL,D,20080925,000000,14.076,14.076,12.944,12.944,2301,0
OBL,D,20080926,000000,13.434,13.434,12.336,12.589,2703,0
OBL,D,20080929,000000,13.257,13.257,12.336,13.096,2348,0
OBL,D,20080930,000000,12.843,12.987,12.166,12.682,14360,0
OBL,D,20081001,000000,12.792,13.324,12.707,12.707,1018,0
OBL,D,20081002,000000,12.758,12.758,12.707,12.707,127,0
OBL,D,20081003,000000,12.504,12.504,11.998,12.006,1445,0
OBL,D,20081006,000000,12.124,12.124,11.077,11.077,12475,0
OBL,D,20081007,000000,10.814,11.068,10.68,11.018,4086,0
OBL,D,20081008,000000,10.596,10.654,10.055,10.562,4657,0
OBL,D,20081009,000000,10.73,11.279,10.646,11.279,1059,0
OBL,D,20081010,000000,10.975,10.975,9.2939,10.46,1930,0
OBL,D,20081013,000000,10.772,11.305,10.232,11.136,2460,0
OBL,D,20081014,000000,10.401,11.837,10.401,10.984,5719,0
OBL,D,20081015,000000,11.17,11.305,10.283,11.127,3316,0
OBL,D,20081016,000000,11.102,11.407,11.068,11.407,2191,0
OBL,D,20081017,000000,11.795,11.795,10.916,11.381,1834,0
OBL,D,20081020,000000,10.899,11.381,10.249,11.153,2719,0
OBL,D,20081021,000000,10.984,11.153,10.57,11.136,351,0
OBL,D,20081022,000000,11.136,11.136,10.62,11.136,1238,0
OBL,D,20081023,000000,10.984,10.984,10.891,10.891,62,0
OBL,D,20081024,000000,11.145,11.145,10.73,10.814,38,0
OBL,D,20081027,000000,10.984,10.984,10.139,10.392,2324,0
OBL,D,20081028,000000,11.153,11.153,10.207,10.646,2813,0
OBL,D,20081029,000000,10.722,10.933,10.722,10.933,1406,0
OBL,D,20081030,000000,11.127,11.127,10.562,10.562,2433,0
OBL,D,20081031,000000,10.562,10.562,10.367,10.376,1363,0
OBL,D,20081103,000000,10.562,10.984,10.562,10.874,5233,0
OBL,D,20081104,000000,11.043,11.043,10.882,10.882,394,0
OBL,D,20081105,000000,11.313,11.313,10.562,11.001,989,0
OBL,D,20081106,000000,10.874,10.874,10.874,10.874,12,0
OBL,D,20081107,000000,10.984,10.984,10.468,10.942,282,0
OBL,D,20081110,000000,10.933,10.933,10.933,10.933,8,0
OBL,D,20081112,000000,10.891,10.933,10.562,10.933,359,0
OBL,D,20081113,000000,9.607,10.814,9.3021,10.814,1898,0
OBL,D,20081114,000000,10.933,11.018,9.927,10.984,3033,0
OBL,D,20081117,000000,10.528,11.051,10.528,10.933,427,0
OBL,D,20081118,000000,10.814,10.933,10.308,10.933,515,0
OBL,D,20081119,000000,10.477,11.06,10.477,10.477,1049,0
OBL,D,20081120,000000,10.316,10.316,9.759,10.316,1506,0
OBL,D,20081121,000000,10.882,10.891,10.147,10.806,3013,0
OBL,D,20081124,000000,10.806,10.806,10.131,10.139,3242,0
OBL,D,20081125,000000,10.139,10.477,9.2344,9.674,2104,0
OBL,D,20081126,000000,9.674,10.131,9.1923,9.547,2545,0
OBL,D,20081127,000000,9.1841,9.1841,9.0321,9.0403,4987,0
OBL,D,20081128,000000,9.0403,9.2774,8.8628,8.8628,2540,0
OBL,D,20081201,000000,8.8628,8.8628,8.2801,8.4491,190,0
OBL,D,20081202,000000,8.4068,8.4068,8.2801,8.2801,105,0
OBL,D,20081203,000000,7.9336,8.2801,7.6042,7.8576,3467,0
OBL,D,20081204,000000,7.8576,7.8576,7.2747,7.2747,3812,0
OBL,D,20081205,000000,7.1816,7.1816,6.8691,7.0803,2186,0
OBL,D,20081208,000000,6.8522,7.4351,6.5818,7.2662,5940,0
OBL,D,20081209,000000,7.2662,7.3507,7.0888,7.0973,1256,0
OBL,D,20081210,000000,7.2662,7.2662,6.9367,7.0973,1275,0
OBL,D,20081211,000000,7.0973,7.3507,6.9283,6.9283,4742,0
OBL,D,20081212,000000,7.3,7.3,6.7592,6.8438,277,0
OBL,D,20081215,000000,7.1564,7.2577,6.6579,6.6579,2522,0
OBL,D,20081216,000000,6.9283,7.3,6.7592,6.7592,3435,0
OBL,D,20081217,000000,7.1648,7.1648,6.717,6.7592,47607,0
OBL,D,20081218,000000,6.6579,6.6579,6.4213,6.5227,7255,0
OBL,D,20081219,000000,6.7424,6.7424,6.3283,6.3283,31350,0
OBL,D,20081222,000000,6.3537,6.3537,5.7961,5.813,375196,0
OBL,D,20081223,000000,5.4919,5.8045,5.2808,5.4834,16252,0
OBL,D,20081229,000000,5.6693,5.7961,5.6693,5.737,269,0
OBL,D,20081230,000000,5.7454,5.7454,5.4919,5.7454,2882,0
OBL,D,20081231,000000,5.4919,5.737,5.4834,5.7284,5094,0
OBL,D,20090105,000000,5.7031,5.7031,5.6608,5.7031,1476,0
OBL,D,20090106,000000,5.8552,6.5564,5.8552,6.32,3627,0
OBL,D,20090107,000000,6.32,7.6042,6.32,6.6409,13921,0
OBL,D,20090108,000000,6.9789,7.1816,6.4298,6.7592,33774,0
OBL,D,20090109,000000,6.7592,7.1816,6.7592,6.886,31021,0
OBL,D,20090112,000000,6.886,6.886,6.6748,6.6916,25018,0
OBL,D,20090113,000000,6.7592,6.7592,6.6072,6.6325,5529,0
OBL,D,20090114,000000,6.7508,6.7508,6.5057,6.5057,4748,0
OBL,D,20090115,000000,6.3367,6.3367,5.9989,6.1763,14002,0
OBL,D,20090116,000000,6.2946,6.2946,6.0833,6.0833,10101,0
OBL,D,20090119,000000,6.0833,6.0833,5.4919,5.4919,19077,0
OBL,D,20090120,000000,5.7454,5.7454,5.0695,5.2384,13902,0
OBL,D,20090121,000000,5.0863,5.2215,4.8159,4.9004,9562,0
OBL,D,20090122,000000,5.061,5.3399,4.9849,5.1708,4143,0
OBL,D,20090123,000000,5.1962,5.1962,4.9511,5.1878,3786,0
OBL,D,20090126,000000,5.4412,5.4412,5.154,5.4074,535,0
OBL,D,20090127,000000,5.1962,5.3482,5.1962,5.3482,1548,0
OBL,D,20090128,000000,5.0779,6.2015,5.0779,5.8975,10540,0
OBL,D,20090129,000000,6.2015,6.2015,5.9904,5.9904,1262,0
OBL,D,20090130,000000,6.1593,6.1593,5.8467,5.9904,1014,0
OBL,D,20090202,000000,6.0833,6.0833,5.8721,5.9904,381,0
OBL,D,20090203,000000,6.0833,6.1087,5.8045,5.9143,1012,0
OBL,D,20090204,000000,6.0917,6.0917,5.6524,5.9059,1664,0
OBL,D,20090205,000000,6.0833,6.0833,5.4919,5.9059,6274,0
OBL,D,20090206,000000,5.9397,5.9397,5.6947,5.8045,3349,0
OBL,D,20090209,000000,5.9397,5.9397,5.8045,5.9397,214,0
OBL,D,20090210,000000,5.9312,5.9482,5.8975,5.9482,617,0
OBL,D,20090211,000000,5.965,5.965,5.965,5.965,12,0
OBL,D,20090212,000000,5.965,6.4973,5.6778,6.4973,4959,0
OBL,D,20090213,000000,6.3367,6.3367,5.9143,5.9143,2445,0
OBL,D,20090216,000000,6.2692,6.2692,5.6017,5.9989,2943,0
OBL,D,20090217,000000,5.8552,5.8552,5.6101,5.7876,915,0
OBL,D,20090218,000000,5.7876,5.7876,5.2808,5.323,4209,0
OBL,D,20090219,000000,5.7876,5.7876,5.5763,5.5763,663,0
OBL,D,20090220,000000,5.7876,5.7876,5.5763,5.7454,813,0
OBL,D,20090223,000000,5.7876,5.7876,5.6608,5.6608,1612,0
OBL,D,20090224,000000,5.737,5.737,5.6101,5.6101,417,0
OBL,D,20090225,000000,5.6608,5.6608,5.6441,5.6441,938,0
OBL,D,20090226,000000,5.7454,5.7454,5.6441,5.6608,1609,0
OBL,D,20090227,000000,5.7454,5.7454,5.5763,5.7454,9321,0
OBL,D,20090302,000000,5.7876,5.7876,5.6608,5.7454,2248,0
OBL,D,20090303,000000,5.6608,6.0326,5.6356,5.9734,3797,0
OBL,D,20090304,000000,5.9566,5.9566,5.2384,5.9143,6654,0
OBL,D,20090305,000000,5.7708,5.9143,5.4919,5.4919,1646,0
OBL,D,20090306,000000,5.7708,5.7708,5.7454,5.7454,381,0
OBL,D,20090309,000000,5.9143,5.9143,5.4919,5.5763,4712,0
OBL,D,20090310,000000,5.9143,5.9143,5.6356,5.6356,225,0
OBL,D,20090311,000000,5.9143,5.9228,5.6441,5.6441,3448,0
OBL,D,20090312,000000,5.9228,5.9397,5.6608,5.6608,1324,0
OBL,D,20090313,000000,5.6608,5.9566,5.6101,5.9566,5987,0
OBL,D,20090316,000000,5.9143,5.9143,5.6693,5.6778,5707,0
OBL,D,20090317,000000,5.9059,5.9059,5.5088,5.6524,11342,0
OBL,D,20090318,000000,5.8552,5.9059,5.6524,5.9059,4007,0
OBL,D,20090319,000000,5.8467,5.9059,5.7115,5.9059,7867,0
OBL,D,20090320,000000,5.9059,6.4635,5.9059,6.4635,12737,0
OBL,D,20090323,000000,6.4805,7.3507,6.4805,7.3422,8807,0
OBL,D,20090324,000000,7.5703,7.5703,7.1816,7.1816,5871,0
OBL,D,20090325,000000,7.1816,7.3507,6.5903,7.3507,10259,0
OBL,D,20090326,000000,7.3422,7.3422,6.7592,6.8438,8689,0
OBL,D,20090327,000000,7.0127,7.0127,6.6748,6.8015,2295,0
OBL,D,20090330,000000,6.7592,6.7592,6.4973,6.5057,3616,0
OBL,D,20090331,000000,6.5564,6.7762,6.2523,6.7592,15818,0
OBL,D,20090401,000000,6.7508,7.055,6.7508,6.8522,78353,0
OBL,D,20090402,000000,7.1816,7.2239,6.8522,6.886,65298,0
OBL,D,20090403,000000,7.0042,7.4351,6.9958,7.4351,6939,0
OBL,D,20090406,000000,7.3929,7.6042,7.3,7.6042,15648,0
OBL,D,20090407,000000,8.0013,8.0013,7.4606,7.638,8773,0
OBL,D,20090408,000000,7.4521,8.5758,7.3929,8.5251,25067,0
OBL,D,20090409,000000,8.5335,9.3534,8.5335,9.1841,18120,0
OBL,D,20090414,000000,9.2005,9.632,8.8801,9.4376,10935,0
OBL,D,20090415,000000,9.522,9.522,9.0403,9.0403,438,0
OBL,D,20090416,000000,9.4037,9.4037,8.6181,8.8289,5943,0
OBL,D,20090417,000000,9.0824,9.0824,8.7026,8.7026,5756,0
OBL,D,20090420,000000,8.7868,9.0147,7.9252,8.4407,6488,0
OBL,D,20090421,000000,8.4491,8.7868,8.4491,8.7785,16606,0
OBL,D,20090422,000000,8.795,9.801,8.795,9.547,46072,0
OBL,D,20090423,000000,10.358,10.392,9.547,9.632,15267,0
OBL,D,20090424,000000,10.131,10.131,9.4632,9.59,4329,0
OBL,D,20090427,000000,9.632,10.113,9.2518,9.2939,64075,0
OBL,D,20090428,000000,9.4541,9.4541,9.1676,9.2939,10440,0
OBL,D,20090429,000000,9.3195,9.717,9.1255,9.3021,4549,0
OBL,D,20090430,000000,9.2939,10.055,8.9561,10.046,38993,0
OBL,D,20090504,000000,10.308,10.891,10.308,10.562,7232,0
OBL,D,20090505,000000,10.147,10.798,10.147,10.781,17877,0
OBL,D,20090506,000000,10.781,10.79,10.629,10.73,3319,0
OBL,D,20090507,000000,10.73,10.73,10.477,10.688,675,0
OBL,D,20090508,000000,10.477,10.477,9.851,10.257,5320,0
OBL,D,20090511,000000,10.139,10.181,9.927,9.927,3371,0
OBL,D,20090512,000000,9.927,10.376,9.927,10.342,3787,0
OBL,D,20090513,000000,10.468,10.468,9.927,10.434,5672,0
OBL,D,20090514,000000,10.223,10.299,9.927,10.266,2300,0
OBL,D,20090515,000000,9.2939,9.2939,8.4491,9.0321,22103,0
OBL,D,20090518,000000,9.0239,9.0239,8.1618,8.6941,21668,0
OBL,D,20090519,000000,8.4491,8.6603,8.2801,8.4407,16494,0
OBL,D,20090520,000000,8.4491,8.7785,8.4491,8.4828,4274,0
OBL,D,20090521,000000,8.7785,8.7785,8.7785,8.7785,367,0
OBL,D,20090522,000000,8.297,8.6603,8.297,8.6181,231,0
OBL,D,20090525,000000,8.6011,8.6181,8.3139,8.5335,4622,0
OBL,D,20090526,000000,8.6096,8.6096,8.111,8.111,3950,0
OBL,D,20090527,000000,8.3561,8.4914,8.111,8.4744,3812,0
