<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ODL,D,19980312,000000,4.9643,4.9643,4.9643,4.9643,65103,0
ODL,D,19980313,000000,5.0054,5.0054,5.0054,5.0054,151374,0
ODL,D,19980316,000000,5.0054,5.0054,5.0054,5.0054,88581,0
ODL,D,19980317,000000,5.0054,5.0054,5.0054,5.0054,38517,0
ODL,D,19980318,000000,4.9233,4.9233,4.9233,4.9233,14348,0
ODL,D,19980319,000000,5.0054,5.0054,5.0054,5.0054,25503,0
ODL,D,19980320,000000,5.0054,5.0054,5.0054,5.0054,31768,0
ODL,D,19980323,000000,4.9643,4.9643,4.9643,4.9643,37261,0
ODL,D,19980324,000000,4.9643,4.9643,4.9643,4.9643,50925,0
ODL,D,19980325,000000,5.0874,5.0874,5.0874,5.0874,46390,0
ODL,D,19980326,000000,5.4156,5.4156,5.4156,5.4156,196936,0
ODL,D,19980327,000000,5.6618,5.6618,5.6618,5.6618,275516,0
ODL,D,19980330,000000,5.5387,5.5387,5.5387,5.5387,100028,0
ODL,D,19980331,000000,5.2105,5.2105,5.2105,5.2105,57465,0
ODL,D,19980401,000000,4.8412,4.8412,4.8412,4.8412,50650,0
ODL,D,19980402,000000,4.7592,4.7592,4.7592,4.7592,42977,0
ODL,D,19980406,000000,4.8823,4.8823,4.8823,4.8823,26551,0
ODL,D,19980407,000000,4.9233,4.9233,4.9233,4.9233,33357,0
ODL,D,19980408,000000,4.8412,4.8412,4.8412,4.8412,33254,0
ODL,D,19980409,000000,4.7182,4.7182,4.7182,4.7182,71200,0
ODL,D,19980414,000000,4.7592,4.7592,4.7592,4.7592,35147,0
ODL,D,19980415,000000,4.6771,4.6771,4.6771,4.6771,19023,0
ODL,D,19980416,000000,4.6361,4.6361,4.6361,4.6361,15718,0
ODL,D,19980417,000000,4.513,4.513,4.513,4.513,28507,0
ODL,D,19980420,000000,4.5951,4.5951,4.5951,4.5951,12275,0
ODL,D,19980421,000000,4.4309,4.4309,4.4309,4.4309,17613,0
ODL,D,19980422,000000,4.5951,4.5951,4.5951,4.5951,12358,0
ODL,D,19980423,000000,4.6771,4.6771,4.6771,4.6771,23192,0
ODL,D,19980424,000000,4.6771,4.6771,4.6771,4.6771,20427,0
ODL,D,19980427,000000,4.8002,4.8002,4.8002,4.8002,41174,0
ODL,D,19980428,000000,4.6361,4.6361,4.6361,4.6361,5557,0
ODL,D,19980429,000000,4.2258,4.2258,4.2258,4.2258,44842,0
ODL,D,19980430,000000,4.5541,4.5541,4.5541,4.5541,27572,0
