<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OEX,D,20051020,000000,6.5156,7.593,6.1564,6.2205,910675,0
OEX,D,20051021,000000,6.6053,7.0414,6.5412,6.7079,230051,0
OEX,D,20051024,000000,6.8876,7.1312,6.7336,6.9259,203269,0
OEX,D,20051025,000000,7.0543,7.0543,6.5668,6.631,50288,0
OEX,D,20051026,000000,6.5925,6.6438,6.323,6.4002,93491,0
OEX,D,20051027,000000,6.3104,6.3104,6.1436,6.2848,35623,0
OEX,D,20051028,000000,6.1564,6.2718,6.0538,6.2205,36575,0
OEX,D,20051031,000000,6.2205,6.695,6.2205,6.3874,34875,0
OEX,D,20051102,000000,6.3874,6.5284,6.2848,6.4002,22432,0
OEX,D,20051103,000000,6.5668,6.5668,6.2848,6.3488,23116,0
OEX,D,20051104,000000,6.3488,6.3488,6.0281,6.2205,9659,0
OEX,D,20051107,000000,6.118,6.1308,5.9897,6.1308,22680,0
OEX,D,20051108,000000,6.0025,6.118,5.9897,6.0153,16342,0
OEX,D,20051109,000000,5.9128,5.964,5.7716,5.8742,16045,0
OEX,D,20051110,000000,5.8742,6.2077,5.5408,5.8615,33315,0
OEX,D,20051114,000000,5.8871,5.8871,5.3613,5.6948,33635,0
OEX,D,20051115,000000,5.6819,6.3617,5.4254,6.3617,89218,0
OEX,D,20051116,000000,6.2077,6.2591,5.9384,6.1308,15453,0
OEX,D,20051117,000000,6.1564,6.477,6.0281,6.3104,64642,0
OEX,D,20051118,000000,6.3488,6.3617,6.0794,6.0923,17988,0
OEX,D,20051121,000000,6.1564,6.2462,6.0281,6.0281,46133,0
OEX,D,20051122,000000,6.0281,6.041,5.8742,6.0281,48331,0
OEX,D,20051123,000000,6.0153,6.0281,5.8486,6.0281,16599,0
OEX,D,20051124,000000,6.0281,6.0923,5.964,6.0153,25450,0
OEX,D,20051125,000000,6.0794,6.0794,5.9384,6.0153,5029,0
OEX,D,20051128,000000,5.964,6.0794,5.9128,5.9768,4944,0
OEX,D,20051129,000000,6.0281,6.0281,5.8486,5.8486,7612,0
OEX,D,20051130,000000,5.9255,5.9255,5.7973,5.7973,881,0
OEX,D,20051201,000000,5.7075,5.8999,5.6691,5.8615,9466,0
OEX,D,20051202,000000,5.7075,5.9384,5.7075,5.8999,31873,0
OEX,D,20051205,000000,5.8229,5.8357,5.6434,5.7716,19562,0
OEX,D,20051206,000000,5.7973,5.8615,5.7845,5.8357,3197,0
OEX,D,20051207,000000,5.8357,6.3488,5.7461,6.1308,62591,0
OEX,D,20051208,000000,6.0923,6.323,6.0153,6.1308,30977,0
OEX,D,20051209,000000,6.0923,6.1693,5.9897,5.9897,17489,0
OEX,D,20051212,000000,6.118,6.2077,6.0281,6.1308,28202,0
OEX,D,20051213,000000,6.1821,6.1821,6.0923,6.0923,17988,0
OEX,D,20051214,000000,6.2077,6.413,6.0923,6.2462,28964,0
OEX,D,20051215,000000,6.2718,6.5156,6.2718,6.413,72362,0
OEX,D,20051216,000000,6.413,6.7336,6.413,6.695,80993,0
OEX,D,20051219,000000,6.6694,6.6694,6.6053,6.6567,14558,0
OEX,D,20051220,000000,6.5796,6.6053,6.5412,6.5796,15912,0
OEX,D,20051221,000000,6.4642,6.5412,6.413,6.5412,24591,0
OEX,D,20051222,000000,6.4386,6.477,6.413,6.477,22611,0
OEX,D,20051223,000000,6.477,6.5156,6.477,6.477,3705,0
OEX,D,20051227,000000,6.5412,6.5541,6.4899,6.5541,9325,0
OEX,D,20051228,000000,6.5541,6.6182,6.5541,6.6182,16895,0
OEX,D,20051229,000000,6.6694,6.695,6.6438,6.6694,28606,0
OEX,D,20051230,000000,6.6438,6.6694,6.6182,6.6694,19141,0
OEX,D,20060102,000000,6.6438,6.6438,6.413,6.5412,19881,0
OEX,D,20060103,000000,6.4514,6.7336,6.4514,6.7336,87573,0
OEX,D,20060104,000000,6.6694,6.6823,6.5541,6.6053,20130,0
OEX,D,20060105,000000,6.6823,6.6823,6.4514,6.5412,11797,0
OEX,D,20060106,000000,6.5028,6.6438,6.4899,6.5412,32286,0
OEX,D,20060109,000000,6.6438,6.6438,6.4514,6.5284,8763,0
OEX,D,20060110,000000,6.5412,6.5668,6.477,6.477,33722,0
OEX,D,20060111,000000,6.4899,6.5541,6.4899,6.5541,29191,0
OEX,D,20060112,000000,6.5156,6.6438,6.5156,6.5668,7072,0
OEX,D,20060113,000000,6.6053,6.8619,6.5412,6.8619,65040,0
OEX,D,20060116,000000,6.9132,6.9388,6.7336,6.9388,21230,0
OEX,D,20060117,000000,6.9132,6.9388,6.8876,6.8876,12966,0
OEX,D,20060118,000000,6.8619,6.8619,6.7465,6.7977,14829,0
OEX,D,20060119,000000,6.7721,6.8363,6.7336,6.7977,18391,0
OEX,D,20060120,000000,6.7465,6.7465,6.6823,6.7336,5957,0
OEX,D,20060123,000000,6.5668,6.8363,6.5668,6.8363,5402,0
OEX,D,20060124,000000,6.6694,6.7336,6.6694,6.7336,1084,0
OEX,D,20060125,000000,6.7336,6.7465,6.7336,6.7336,22050,0
OEX,D,20060126,000000,6.6694,6.7977,6.6694,6.7336,5271,0
OEX,D,20060127,000000,6.7336,6.7336,6.7336,6.7336,3119,0
OEX,D,20060130,000000,6.785,6.7977,6.5412,6.6694,7991,0
OEX,D,20060131,000000,6.6694,6.6694,6.5412,6.6567,19859,0
OEX,D,20060201,000000,6.4899,6.6182,6.4899,6.6182,4641,0
OEX,D,20060202,000000,6.5412,6.6182,6.5412,6.6182,1247,0
OEX,D,20060203,000000,6.6182,6.6182,6.0923,6.413,2985,0
OEX,D,20060206,000000,6.4257,6.6053,6.413,6.6053,4445,0
OEX,D,20060207,000000,6.5541,6.6182,6.4386,6.5412,4803,0
OEX,D,20060208,000000,6.4386,6.5028,6.413,6.477,12289,0
OEX,D,20060209,000000,6.413,6.5156,6.413,6.4899,3766,0
OEX,D,20060210,000000,6.5028,6.5028,6.413,6.413,6574,0
OEX,D,20060213,000000,6.5541,6.5541,6.2848,6.5412,9122,0
OEX,D,20060214,000000,6.5284,6.5412,6.5284,6.5412,7056,0
OEX,D,20060215,000000,6.5668,6.7977,6.5668,6.7207,22087,0
OEX,D,20060216,000000,6.7977,6.8619,6.7336,6.7977,21496,0
OEX,D,20060217,000000,6.7977,6.9902,6.7977,6.9773,14598,0
OEX,D,20060220,000000,6.9259,7.1824,6.9259,7.1312,25892,0
OEX,D,20060221,000000,7.144,7.144,7.0798,7.1183,26939,0
OEX,D,20060222,000000,7.0798,7.0798,7.0543,7.0798,4007,0
OEX,D,20060223,000000,7.0669,7.144,7.003,7.0543,19079,0
OEX,D,20060224,000000,7.1183,7.1569,7.1056,7.1183,22096,0
OEX,D,20060227,000000,7.1183,7.2466,7.0926,7.2466,50679,0
OEX,D,20060228,000000,7.2466,7.5417,7.2466,7.4006,28591,0
OEX,D,20060301,000000,7.5032,7.6827,7.4389,7.6185,74037,0
OEX,D,20060302,000000,7.7853,7.7853,7.6059,7.7468,33980,0
OEX,D,20060303,000000,7.6955,7.6955,7.4006,7.5417,13239,0
OEX,D,20060306,000000,7.221,7.5288,7.2082,7.5288,27515,0
OEX,D,20060307,000000,7.6059,7.6059,7.1824,7.2082,10197,0
OEX,D,20060308,000000,7.1824,7.2852,6.9516,7.221,15265,0
OEX,D,20060309,000000,7.3493,7.5671,7.3493,7.516,24194,0
OEX,D,20060310,000000,7.516,7.516,7.3107,7.4646,2876,0
