<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPN,D,20070912,000000,7.6247,8.318,7.3289,7.3289,513317,0
OPN,D,20070913,000000,7.3013,7.5786,7.3013,7.5786,75499,0
OPN,D,20070914,000000,7.5786,7.5786,7.3474,7.366,26494,0
OPN,D,20070917,000000,7.4491,7.5322,7.2919,7.3474,18594,0
OPN,D,20070918,000000,7.2088,7.4399,7.1162,7.3938,13475,0
OPN,D,20070919,000000,7.5692,7.7634,7.3566,7.7634,66053,0
OPN,D,20070920,000000,7.8003,7.8003,7.4491,7.6708,69197,0
OPN,D,20070921,000000,7.5786,7.6247,7.4768,7.4768,11082,0
OPN,D,20070924,000000,7.6986,7.6986,7.5322,7.5786,8001,0
OPN,D,20070925,000000,7.5878,7.5878,7.3938,7.5322,19178,0
OPN,D,20070926,000000,7.5139,7.6708,7.5139,7.6708,78305,0
OPN,D,20070927,000000,7.6708,8.318,7.6247,8.133,160652,0
OPN,D,20070928,000000,8.0407,8.0407,7.7172,7.9481,69207,0
OPN,D,20071001,000000,8.0314,8.1145,7.7078,7.9297,29883,0
OPN,D,20071002,000000,7.9297,8.318,7.8373,7.9574,39194,0
OPN,D,20071003,000000,8.0867,8.0867,7.5508,7.8003,29935,0
OPN,D,20071004,000000,7.8003,7.8096,7.4951,7.7356,23538,0
OPN,D,20071005,000000,7.7172,7.9481,7.6708,7.9481,12969,0
OPN,D,20071008,000000,7.8557,8.0222,7.8557,7.9481,13930,0
OPN,D,20071009,000000,7.9851,7.9851,7.9112,7.9481,7938,0
OPN,D,20071010,000000,7.865,7.8834,7.7726,7.8279,6379,0
OPN,D,20071011,000000,7.9389,7.9481,7.8373,7.9481,2971,0
OPN,D,20071012,000000,7.9666,8.0407,7.8557,8.0314,5296,0
OPN,D,20071015,000000,8.1054,8.1237,8.0036,8.1054,14802,0
OPN,D,20071016,000000,8.0129,8.1054,7.9574,8.0314,8454,0
OPN,D,20071017,000000,8.0407,8.1145,7.8557,8.1145,8652,0
OPN,D,20071018,000000,8.1145,8.133,7.9851,8.1054,5693,0
OPN,D,20071019,000000,8.0498,8.1792,7.9481,8.1792,5831,0
OPN,D,20071022,000000,8.1609,8.1609,7.8741,8.096,11359,0
OPN,D,20071023,000000,8.096,8.133,7.8557,8.133,19052,0
OPN,D,20071024,000000,8.096,8.096,7.902,7.9851,8790,0
OPN,D,20071025,000000,7.9481,8.133,7.9481,8.1054,8859,0
OPN,D,20071026,000000,7.865,8.2162,7.865,8.2162,25859,0
OPN,D,20071029,000000,8.2162,8.4103,8.0407,8.4012,21937,0
OPN,D,20071030,000000,8.4843,9.1033,8.4843,8.8262,44983,0
OPN,D,20071031,000000,9.0941,9.149,8.9001,8.9648,15360,0
OPN,D,20071102,000000,8.9555,9.778,8.6043,9.4264,27325,0
OPN,D,20071105,000000,9.693,9.703,8.318,8.4195,69161,0
OPN,D,20071106,000000,8.6876,8.6876,8.4195,8.5674,3975,0
OPN,D,20071107,000000,8.78,8.78,8.2439,8.4103,14380,0
OPN,D,20071108,000000,8.2993,8.8539,7.902,8.2993,35061,0
OPN,D,20071109,000000,8.7614,8.7614,7.9203,8.2162,20126,0
OPN,D,20071112,000000,8.586,8.6782,7.9481,8.2902,10478,0
OPN,D,20071113,000000,8.4103,8.4103,7.9666,8.318,286,0
OPN,D,20071114,000000,8.8539,8.8539,8.4103,8.4103,36391,0
OPN,D,20071115,000000,8.5767,8.5767,7.8557,8.133,34739,0
OPN,D,20071116,000000,7.976,8.595,7.976,8.595,10077,0
OPN,D,20071119,000000,8.7061,8.7061,8.133,8.133,11677,0
OPN,D,20071120,000000,8.133,8.3085,7.9481,8.3085,4191,0
OPN,D,20071121,000000,8.2346,8.2346,7.7634,7.9481,14923,0
OPN,D,20071122,000000,8.1145,8.2256,7.8557,8.2256,7364,0
OPN,D,20071123,000000,8.133,8.4012,8.133,8.4012,3171,0
OPN,D,20071126,000000,8.5489,8.6413,8.2256,8.3918,9237,0
OPN,D,20071127,000000,8.5489,8.5489,8.133,8.318,5272,0
OPN,D,20071128,000000,8.133,8.3918,8.133,8.318,1374,0
OPN,D,20071129,000000,8.318,8.3642,8.318,8.318,11604,0
OPN,D,20071130,000000,8.4843,9.011,8.4843,9.011,11335,0
OPN,D,20071203,000000,8.9648,8.9648,8.78,8.9648,2000,0
OPN,D,20071204,000000,8.9555,8.9555,8.9464,8.9464,456,0
OPN,D,20071205,000000,9.0479,9.612,8.9371,9.2425,2141,0
OPN,D,20071206,000000,9.2144,9.2425,9.1403,9.2425,13847,0
OPN,D,20071207,000000,9.2327,9.2425,9.0664,9.2425,6095,0
OPN,D,20071210,000000,9.2425,9.501,8.9648,9.195,14668,0
OPN,D,20071211,000000,9.1862,9.1862,9.1766,9.1766,2983,0
OPN,D,20071212,000000,8.9926,8.9926,8.5117,8.8169,16285,0
OPN,D,20071213,000000,8.8539,8.8539,8.318,8.5397,7670,0
OPN,D,20071214,000000,8.318,8.318,7.9574,8.1515,22778,0
OPN,D,20071217,000000,8.1515,8.1515,7.4584,7.9203,28313,0
OPN,D,20071218,000000,7.754,7.754,7.3938,7.5139,39785,0
OPN,D,20071219,000000,7.5139,7.5786,6.9777,7.5786,74369,0
OPN,D,20071220,000000,7.7078,7.9203,7.5878,7.9203,11441,0
OPN,D,20071221,000000,7.8928,8.1145,7.6708,7.8557,26871,0
OPN,D,20071227,000000,7.8557,7.8557,7.8557,7.8557,1797,0
OPN,D,20071228,000000,7.7448,7.8557,7.7448,7.8557,56552,0
OPN,D,20080102,000000,7.8557,8.1237,7.8557,8.0407,3881,0
OPN,D,20080103,000000,7.8741,8.0407,7.6708,8.0407,10133,0
OPN,D,20080104,000000,8.0407,8.0407,7.6708,7.7634,5149,0
OPN,D,20080107,000000,7.7634,7.8928,7.218,7.754,4120,0
OPN,D,20080108,000000,7.7356,7.902,7.4216,7.902,8277,0
OPN,D,20080109,000000,7.5878,7.8557,7.5786,7.8373,9248,0
OPN,D,20080110,000000,7.7634,7.7634,7.4951,7.7448,6859,0
OPN,D,20080111,000000,7.7172,8.0407,7.7172,8.0407,5757,0
OPN,D,20080114,000000,8.0314,8.0407,7.4861,7.6153,10442,0
OPN,D,20080115,000000,7.4121,7.597,7.3938,7.597,5139,0
OPN,D,20080116,000000,7.5786,7.5786,6.9315,7.0702,14427,0
OPN,D,20080117,000000,7.3844,7.3844,7.0886,7.2919,864,0
OPN,D,20080118,000000,7.255,7.255,6.9315,7.1162,34870,0
OPN,D,20080121,000000,6.9685,7.255,6.9315,6.9777,10233,0
OPN,D,20080122,000000,7.1071,7.3289,6.4787,7.2088,25386,0
OPN,D,20080123,000000,7.5413,7.5413,7.1441,7.1625,19996,0
OPN,D,20080124,000000,7.2919,8.318,7.255,8.318,52988,0
OPN,D,20080125,000000,8.2993,8.318,8.0407,8.2256,24135,0
OPN,D,20080128,000000,8.2162,8.2162,7.8557,8.1792,12511,0
OPN,D,20080129,000000,8.3642,8.4103,8.0407,8.318,18503,0
OPN,D,20080130,000000,8.318,8.4749,8.318,8.4288,38070,0
OPN,D,20080131,000000,8.4195,8.78,8.2256,8.78,51412,0
OPN,D,20080201,000000,8.7706,9.223,8.4195,9.0572,7586,0
OPN,D,20080204,000000,8.8725,9.2327,8.8725,9.2327,16028,0
OPN,D,20080205,000000,9.2327,10.99,9.2327,9.703,148649,0
OPN,D,20080206,000000,9.4638,10.167,9.2425,9.918,26339,0
OPN,D,20080207,000000,9.918,9.926,9.2425,9.693,19762,0
OPN,D,20080208,000000,9.87,9.87,9.521,9.843,10651,0
OPN,D,20080211,000000,9.88,10.259,9.843,10.157,6629,0
OPN,D,20080212,000000,10.214,10.259,9.843,10.259,31944,0
OPN,D,20080213,000000,10.259,10.259,10.092,10.157,7507,0
OPN,D,20080214,000000,10.259,10.553,10.082,10.536,60907,0
OPN,D,20080215,000000,10.647,10.647,10.351,10.481,22942,0
OPN,D,20080218,000000,10.471,10.582,9.807,10.582,33844,0
OPN,D,20080219,000000,10.59,10.906,10.572,10.813,44274,0
OPN,D,20080220,000000,10.685,10.685,10.444,10.618,22083,0
OPN,D,20080221,000000,10.618,10.618,10.491,10.491,44519,0
OPN,D,20080222,000000,10.491,10.491,10.232,10.481,18644,0
OPN,D,20080225,000000,10.305,10.61,10.305,10.491,8316,0
OPN,D,20080226,000000,10.517,10.906,10.517,10.794,8966,0
OPN,D,20080227,000000,10.628,11.081,10.628,10.98,4284,0
OPN,D,20080228,000000,10.906,11.025,10.804,11.025,1135,0
OPN,D,20080229,000000,11.007,11.007,10.721,10.98,1975,0
OPN,D,20080303,000000,11.007,11.46,10.462,11.441,37598,0
OPN,D,20080304,000000,11.46,13.577,11.46,12.477,97075,0
OPN,D,20080305,000000,12.477,14.787,12.477,13.558,41524,0
OPN,D,20080306,000000,14.316,14.316,13.012,13.216,40705,0
OPN,D,20080307,000000,12.947,13.161,12.755,13.161,4486,0
OPN,D,20080310,000000,13.355,14.14,13.355,14.086,10837,0
OPN,D,20080311,000000,13.244,14.463,13.244,14.093,45215,0
OPN,D,20080312,000000,14.325,14.325,13.697,14.178,16306,0
OPN,D,20080313,000000,13.862,14.14,13.494,14.132,5509,0
OPN,D,20080314,000000,14.093,14.325,14.093,14.232,4658,0
OPN,D,20080317,000000,14.232,14.787,13.946,14.787,23587,0
OPN,D,20080318,000000,14.787,16.156,14.787,15.712,38237,0
OPN,D,20080319,000000,16.054,16.617,15.896,16.081,26869,0
OPN,D,20080320,000000,15.988,17.561,15.988,17.375,69959,0
OPN,D,20080325,000000,17.375,17.838,14.926,15.352,117388,0
OPN,D,20080326,000000,15.295,15.342,13.918,13.992,135371,0
OPN,D,20080327,000000,14.14,15.25,14.14,15.102,45164,0
OPN,D,20080328,000000,15.407,16.267,14.344,15.757,46505,0
OPN,D,20080331,000000,15.795,15.795,15.269,15.647,12731,0
OPN,D,20080401,000000,15.665,15.665,15.295,15.435,29926,0
OPN,D,20080402,000000,15.526,15.526,14.936,15.435,14673,0
OPN,D,20080403,000000,15.12,15.12,14.557,15.009,10394,0
OPN,D,20080404,000000,14.712,14.964,14.159,14.926,15578,0
OPN,D,20080407,000000,14.926,15.795,14.926,15.342,23253,0
OPN,D,20080408,000000,15.342,15.342,15.073,15.295,9221,0
OPN,D,20080409,000000,15.156,15.342,14.89,15.342,9398,0
OPN,D,20080410,000000,15.342,15.342,15.036,15.332,5387,0
OPN,D,20080411,000000,15.36,15.378,14.99,15.184,17253,0
OPN,D,20080414,000000,14.964,14.964,14.52,14.676,4710,0
OPN,D,20080415,000000,14.612,14.906,14.325,14.778,4182,0
OPN,D,20080416,000000,14.778,14.778,14.325,14.371,2666,0
OPN,D,20080417,000000,14.622,14.622,14.14,14.463,5829,0
OPN,D,20080418,000000,14.51,14.51,13.956,14.222,2208,0
OPN,D,20080421,000000,14.787,14.787,13.309,13.457,10287,0
OPN,D,20080422,000000,13.465,13.726,12.227,12.227,10888,0
OPN,D,20080423,000000,12.477,13.355,12.477,13.346,17391,0
OPN,D,20080424,000000,13.558,13.558,13.225,13.448,4901,0
OPN,D,20080425,000000,13.726,14.594,13.726,14.067,31402,0
OPN,D,20080428,000000,14.418,14.418,14.002,14.232,15442,0
OPN,D,20080429,000000,14.14,14.371,13.881,14.27,6716,0
OPN,D,20080430,000000,14.049,14.584,14.049,14.491,9408,0
OPN,D,20080505,000000,14.529,14.529,14.132,14.297,3756,0
OPN,D,20080506,000000,14.059,14.232,13.771,14.168,6545,0
OPN,D,20080507,000000,13.9,14.297,13.89,14.28,6662,0
OPN,D,20080508,000000,14.27,14.27,13.78,14.039,3015,0
OPN,D,20080509,000000,13.78,14.039,13.678,13.928,2396,0
OPN,D,20080512,000000,13.641,13.862,13.641,13.853,2419,0
OPN,D,20080513,000000,13.587,13.853,13.587,13.771,4832,0
OPN,D,20080514,000000,13.771,13.798,13.587,13.78,4512,0
OPN,D,20080515,000000,13.862,13.956,13.587,13.726,9636,0
OPN,D,20080516,000000,13.494,13.862,13.494,13.789,7951,0
OPN,D,20080519,000000,13.844,13.844,13.409,13.753,11346,0
OPN,D,20080520,000000,13.475,13.743,12.937,13.678,5682,0
OPN,D,20080521,000000,13.4,13.816,13.18,13.716,6897,0
OPN,D,20080523,000000,13.438,13.678,13.032,13.641,1997,0
OPN,D,20080526,000000,13.816,13.816,13.355,13.807,6426,0
OPN,D,20080527,000000,13.826,13.826,13.067,13.429,5106,0
OPN,D,20080528,000000,13.309,13.4,13.309,13.391,4880,0
OPN,D,20080529,000000,13.548,13.558,13.355,13.4,3160,0
OPN,D,20080530,000000,13.4,14.232,13.4,14.122,5935,0
OPN,D,20080602,000000,14.122,14.371,13.716,14.362,6257,0
OPN,D,20080603,000000,14.122,14.362,14.122,14.362,663,0
OPN,D,20080604,000000,14.149,14.325,13.853,14.049,4609,0
OPN,D,20080605,000000,14.002,14.002,13.494,13.853,3315,0
OPN,D,20080606,000000,13.984,13.984,13.318,13.853,1370,0
OPN,D,20080609,000000,13.853,13.853,12.937,13.661,5572,0
OPN,D,20080610,000000,13.382,13.862,13.124,13.753,3459,0
OPN,D,20080611,000000,13.475,14.122,13.124,14.093,6051,0
OPN,D,20080612,000000,13.807,13.974,13.4,13.862,3025,0
OPN,D,20080613,000000,13.974,13.974,13.503,13.862,810,0
OPN,D,20080616,000000,13.771,14.51,13.771,14.325,6041,0
OPN,D,20080617,000000,14.316,14.787,14.316,14.787,6313,0
OPN,D,20080618,000000,14.945,15.805,14.945,15.608,13007,0
OPN,D,20080619,000000,15.608,15.896,15.212,15.786,10487,0
OPN,D,20080620,000000,15.712,15.712,14.603,14.973,10366,0
OPN,D,20080623,000000,15.25,15.716,14.7,15.101,9122,0
OPN,D,20080624,000000,14.795,15.101,14.599,14.869,5028,0
OPN,D,20080625,000000,14.785,15.706,14.609,15.706,16412,0
OPN,D,20080626,000000,15.437,15.547,14.691,14.85,13903,0
OPN,D,20080627,000000,14.674,15.716,14.143,15.716,33052,0
OPN,D,20080630,000000,14.972,15.156,14.785,15.156,26494,0
OPN,D,20080701,000000,14.972,14.972,14.525,14.972,11343,0
OPN,D,20080702,000000,14.972,14.972,14.32,14.413,8506,0
OPN,D,20080703,000000,14.413,14.413,14.052,14.367,6404,0
OPN,D,20080704,000000,14.226,14.599,13.781,14.311,7885,0
OPN,D,20080707,000000,14.135,14.135,13.948,14.135,3190,0
OPN,D,20080708,000000,13.836,14.125,13.586,14.125,7364,0
OPN,D,20080709,000000,14.181,14.879,14.135,14.879,52980,0
OPN,D,20080710,000000,14.691,14.879,14.431,14.599,19526,0
