<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORB,D,19971120,000000,12.171,12.171,12.171,12.171,149947,0
ORB,D,19971121,000000,12.648,12.648,12.648,12.648,334034,0
ORB,D,19971124,000000,12.648,12.648,12.648,12.648,116128,0
ORB,D,19971125,000000,12.413,12.413,12.413,12.413,72837,0
ORB,D,19971126,000000,12.252,12.252,12.252,12.252,22003,0
ORB,D,19971127,000000,12.252,12.252,12.252,12.252,13409,0
ORB,D,19971128,000000,12.485,12.485,12.485,12.485,58857,0
ORB,D,19971201,000000,12.729,12.729,12.729,12.729,79084,0
ORB,D,19971202,000000,12.964,12.964,12.964,12.964,82747,0
ORB,D,19971203,000000,13.043,13.043,13.043,13.043,168319,0
ORB,D,19971204,000000,13.279,13.279,13.279,13.279,123619,0
ORB,D,19971205,000000,13.593,13.593,13.593,13.593,253440,0
ORB,D,19971208,000000,14.071,14.071,14.071,14.071,244381,0
ORB,D,19971209,000000,13.909,13.909,13.909,13.909,235967,0
ORB,D,19971210,000000,13.828,13.828,13.828,13.828,78395,0
ORB,D,19971211,000000,13.754,13.754,13.754,13.754,147682,0
ORB,D,19971212,000000,13.593,13.593,13.593,13.593,158765,0
ORB,D,19971215,000000,13.675,13.675,13.675,13.675,48939,0
ORB,D,19971216,000000,13.828,13.828,13.828,13.828,63577,0
ORB,D,19971217,000000,13.909,13.909,13.909,13.909,64854,0
ORB,D,19971218,000000,13.593,13.593,13.593,13.593,52618,0
ORB,D,19971219,000000,13.754,13.754,13.754,13.754,133685,0
ORB,D,19971222,000000,13.593,13.593,13.593,13.593,80864,0
ORB,D,19971223,000000,13.754,13.754,13.754,13.754,50881,0
ORB,D,19971229,000000,13.909,13.909,13.909,13.909,122164,0
ORB,D,19971230,000000,13.909,13.909,13.909,13.909,91211,0
ORB,D,19971231,000000,14.071,14.071,14.071,14.071,106755,0
ORB,D,19980105,000000,14.152,14.152,14.152,14.152,91422,0
ORB,D,19980106,000000,14.225,14.225,14.225,14.225,199391,0
ORB,D,19980107,000000,14.225,14.225,14.225,14.225,91690,0
ORB,D,19980108,000000,14.468,14.468,14.468,14.468,134481,0
ORB,D,19980109,000000,14.54,14.54,14.54,14.54,126091,0
ORB,D,19980112,000000,14.071,14.071,14.071,14.071,56127,0
ORB,D,19980113,000000,14.071,14.071,14.071,14.071,66712,0
ORB,D,19980114,000000,14.225,14.225,14.225,14.225,70845,0
ORB,D,19980115,000000,14.306,14.306,14.306,14.306,28015,0
ORB,D,19980116,000000,14.225,14.225,14.225,14.225,36892,0
ORB,D,19980119,000000,14.468,14.468,14.468,14.468,55707,0
ORB,D,19980120,000000,14.54,14.54,14.54,14.54,91497,0
ORB,D,19980121,000000,14.54,14.54,14.54,14.54,59620,0
ORB,D,19980122,000000,14.468,14.468,14.468,14.468,32446,0
ORB,D,19980123,000000,14.468,14.468,14.468,14.468,13810,0
ORB,D,19980126,000000,14.54,14.54,14.54,14.54,105119,0
ORB,D,19980127,000000,14.54,14.54,14.54,14.54,36932,0
ORB,D,19980128,000000,14.622,14.622,14.622,14.622,90261,0
ORB,D,19980129,000000,14.701,14.701,14.701,14.701,25521,0
ORB,D,19980130,000000,15.017,15.017,15.017,15.017,107278,0
ORB,D,19980202,000000,15.494,15.494,15.494,15.494,123881,0
ORB,D,19980203,000000,15.81,15.81,15.81,15.81,103715,0
ORB,D,19980204,000000,15.81,15.81,15.81,15.81,120540,0
ORB,D,19980205,000000,15.729,15.729,15.729,15.729,37014,0
ORB,D,19980206,000000,15.494,15.494,15.494,15.494,93531,0
ORB,D,19980209,000000,16.279,16.279,16.279,16.279,123591,0
ORB,D,19980210,000000,16.675,16.675,16.675,16.675,91681,0
ORB,D,19980211,000000,16.36,16.36,16.36,16.36,30499,0
ORB,D,19980212,000000,16.522,16.522,16.522,16.522,56212,0
ORB,D,19980213,000000,17.387,17.387,17.387,17.387,163527,0
ORB,D,19980216,000000,18.178,18.178,18.178,18.178,153612,0
ORB,D,19980217,000000,18.972,18.972,18.972,18.972,134434,0
ORB,D,19980218,000000,18.972,18.972,18.972,18.972,123634,0
ORB,D,19980219,000000,18.972,18.972,18.972,18.972,94435,0
ORB,D,19980220,000000,18.494,18.494,18.494,18.494,42953,0
ORB,D,19980223,000000,18.972,18.972,18.972,18.972,78423,0
ORB,D,19980224,000000,19.367,19.367,19.367,19.367,494538,0
ORB,D,19980225,000000,19.522,19.522,19.522,19.522,60464,0
ORB,D,19980226,000000,20.233,20.233,20.233,20.233,162693,0
ORB,D,19980227,000000,20.548,20.548,20.548,20.548,135322,0
ORB,D,19980302,000000,21.025,21.025,21.025,21.025,120752,0
ORB,D,19980303,000000,20.548,20.548,20.548,20.548,54109,0
ORB,D,19980304,000000,20.314,20.314,20.314,20.314,88615,0
ORB,D,19980305,000000,19.602,19.602,19.602,19.602,119432,0
ORB,D,19980306,000000,19.441,19.441,19.441,19.441,193389,0
ORB,D,19980309,000000,19.836,19.836,19.836,19.836,51739,0
ORB,D,19980310,000000,20.548,20.548,20.548,20.548,56884,0
ORB,D,19980311,000000,20.863,20.863,20.863,20.863,146031,0
ORB,D,19980312,000000,21.341,21.341,21.341,21.341,124912,0
ORB,D,19980313,000000,21.503,21.503,21.503,21.503,99088,0
ORB,D,19980316,000000,21.657,21.657,21.657,21.657,53145,0
ORB,D,19980317,000000,21.503,21.503,21.503,21.503,77594,0
ORB,D,19980318,000000,21.657,21.657,21.657,21.657,61826,0
ORB,D,19980319,000000,21.973,21.973,21.973,21.973,52227,0
ORB,D,19980320,000000,21.737,21.737,21.737,21.737,35734,0
ORB,D,19980323,000000,21.657,21.657,21.657,21.657,62461,0
ORB,D,19980324,000000,21.341,21.341,21.341,21.341,89945,0
ORB,D,19980325,000000,20.946,20.946,20.946,20.946,64717,0
ORB,D,19980326,000000,21.341,21.341,21.341,21.341,122391,0
ORB,D,19980327,000000,20.946,20.946,20.946,20.946,17703,0
ORB,D,19980330,000000,21.188,21.188,21.188,21.188,71058,0
ORB,D,19980331,000000,21.341,21.341,21.341,21.341,140944,0
ORB,D,19980401,000000,21.503,21.503,21.503,21.503,40629,0
ORB,D,19980402,000000,21.737,21.737,21.737,21.737,21156,0
ORB,D,19980406,000000,21.341,21.341,21.341,21.341,14499,0
ORB,D,19980407,000000,22.052,22.052,22.052,22.052,28131,0
ORB,D,19980408,000000,22.134,22.134,22.134,22.134,46221,0
ORB,D,19980409,000000,21.737,21.737,21.737,21.737,21872,0
ORB,D,19980414,000000,21.819,21.819,21.819,21.819,9301,0
ORB,D,19980415,000000,22.134,22.134,22.134,22.134,60927,0
ORB,D,19980416,000000,22.765,22.765,22.765,22.765,72119,0
ORB,D,19980417,000000,22.53,22.53,22.53,22.53,25219,0
ORB,D,19980420,000000,22.926,22.998,22.926,22.998,53138,0
ORB,D,19980421,000000,23.71,23.71,23.476,23.71,61567,0
ORB,D,19980422,000000,24.502,25.296,24.502,25.135,65541,0
ORB,D,19980423,000000,24.899,26.476,24.899,25.764,169580,0
ORB,D,19980424,000000,25.692,26.476,25.692,26.088,52759,0
ORB,D,19980427,000000,26.008,26.008,25.296,25.296,44110,0
ORB,D,19980428,000000,25.296,26.088,25.296,26.088,77610,0
ORB,D,19980429,000000,26.088,27.035,26.088,26.403,75376,0
ORB,D,19980430,000000,26.322,26.954,26.322,26.718,143522,0
ORB,D,19980504,000000,26.718,26.718,26.088,26.403,33619,0
ORB,D,19980505,000000,26.088,26.088,25.376,25.692,19466,0
ORB,D,19980506,000000,25.692,25.692,24.899,25.296,83315,0
ORB,D,19980507,000000,24.899,24.899,24.502,24.737,61810,0
ORB,D,19980508,000000,24.502,24.737,24.187,24.584,68310,0
ORB,D,19980511,000000,24.341,24.341,23.314,23.314,17714,0
ORB,D,19980512,000000,23.639,23.639,22.603,22.684,49260,0
ORB,D,19980513,000000,22.45,22.45,21.503,21.737,27379,0
ORB,D,19980514,000000,22.134,22.765,22.134,22.45,72937,0
ORB,D,19980515,000000,22.926,23.079,22.926,22.998,80199,0
ORB,D,19980518,000000,22.926,23.873,22.369,22.369,76547,0
ORB,D,19980519,000000,22.765,22.765,22.765,22.765,41479,0
ORB,D,19980520,000000,22.603,22.765,22.603,22.765,47022,0
ORB,D,19980521,000000,23.557,24.269,23.557,23.873,17658,0
ORB,D,19980522,000000,23.71,23.71,23.395,23.476,88843,0
ORB,D,19980525,000000,23.557,23.557,23.557,23.557,44698,0
ORB,D,19980526,000000,22.369,22.53,22.134,22.134,61454,0
ORB,D,19980527,000000,20.629,20.629,19.288,19.683,39386,0
ORB,D,19980528,000000,19.764,20.476,19.764,20.078,64773,0
ORB,D,19980529,000000,20.548,21.025,20.548,21.025,37712,0
ORB,D,19980601,000000,19.764,20,19.367,19.917,257699,0
ORB,D,19980602,000000,20.548,21.575,20.548,21.341,206160,0
ORB,D,19980603,000000,22.603,23.873,22.603,23.71,89864,0
ORB,D,19980604,000000,23.639,24.107,23.161,23.161,186931,0
ORB,D,19980605,000000,24.737,26.088,24.737,25.611,145196,0
ORB,D,19980608,000000,26.088,26.557,25.296,25.296,129375,0
ORB,D,19980609,000000,25.531,25.531,23.873,24.502,76533,0
ORB,D,19980610,000000,23.314,23.873,23.314,23.314,82002,0
ORB,D,19980615,000000,22.926,22.926,21.737,21.89,60209,0
ORB,D,19980616,000000,22.134,23.71,22.134,23.71,102170,0
ORB,D,19980617,000000,24.341,25.135,24.341,24.899,65535,0
ORB,D,19980618,000000,25.296,25.296,24.341,24.341,119846,0
ORB,D,19980619,000000,24.269,24.502,24.026,24.502,39726,0
ORB,D,19980622,000000,24.737,25.296,24.737,25.052,31731,0
ORB,D,19980623,000000,24.502,24.502,23.791,24.187,33759,0
ORB,D,19980624,000000,23.71,23.71,23.314,23.71,46328,0
ORB,D,19980625,000000,23.557,24.187,23.557,24.107,102785,0
ORB,D,19980626,000000,23.791,23.791,23.476,23.557,70990,0
ORB,D,19980629,000000,23.314,24.026,23.314,23.557,17061,0
ORB,D,19980630,000000,24.502,24.899,24.269,24.269,43133,0
ORB,D,19980701,000000,24.899,25.213,24.664,24.82,64368,0
ORB,D,19980702,000000,24.899,24.899,24.737,24.737,79967,0
ORB,D,19980703,000000,24.584,24.737,24.584,24.664,24546,0
ORB,D,19980706,000000,24.502,24.584,24.107,24.584,14083,0
ORB,D,19980707,000000,25.296,25.531,25.052,25.531,81728,0
ORB,D,19980708,000000,25.764,25.764,24.981,24.981,64799,0
ORB,D,19980709,000000,25.611,25.611,25.611,25.611,21075,0
ORB,D,19980710,000000,25.296,25.296,25.135,25.296,69304,0
ORB,D,19980713,000000,26.088,26.871,26.088,26.871,79569,0
ORB,D,19980714,000000,26.871,26.871,26.088,26.322,172012,0
ORB,D,19980715,000000,26.476,26.476,25.926,26.088,45483,0
ORB,D,19980716,000000,26.088,26.088,25.692,25.692,35022,0
ORB,D,19980717,000000,26.088,26.088,25.296,25.611,47338,0
ORB,D,19980720,000000,26.088,26.718,26.088,26.638,32772,0
ORB,D,19980721,000000,26.871,26.871,26.161,26.161,89699,0
ORB,D,19980722,000000,26.008,26.088,25.376,25.376,43626,0
ORB,D,19980723,000000,26.008,26.476,26.008,26.242,36086,0
ORB,D,19980724,000000,25.296,25.449,25.296,25.449,45768,0
ORB,D,19980727,000000,25.296,25.296,23.71,23.953,30541,0
ORB,D,19980728,000000,24.584,24.584,23.639,23.71,12813,0
ORB,D,19980729,000000,24.502,24.502,24.107,24.423,24812,0
ORB,D,19980730,000000,24.502,24.899,24.502,24.82,50489,0
ORB,D,19980731,000000,24.899,25.052,24.737,24.899,25756,0
ORB,D,19980803,000000,24.341,24.502,23.791,24.107,26833,0
ORB,D,19980804,000000,24.502,24.737,24.502,24.737,88666,0
ORB,D,19980805,000000,24.107,24.502,24.107,24.187,22036,0
ORB,D,19980806,000000,24.502,24.899,24.187,24.187,25219,0
ORB,D,19980807,000000,24.899,24.899,24.899,24.899,18506,0
ORB,D,19980810,000000,24.899,25.296,24.899,25.296,126375,0
ORB,D,19980811,000000,24.502,24.502,23.71,23.71,118665,0
ORB,D,19980812,000000,24.899,25.296,24.899,25.296,28081,0
ORB,D,19980813,000000,24.899,24.899,23.953,24.026,38315,0
ORB,D,19980814,000000,24.187,24.502,24.187,24.502,34752,0
ORB,D,19980817,000000,23.395,23.476,23.314,23.476,11672,0
ORB,D,19980818,000000,24.107,24.107,24.107,24.107,57845,0
ORB,D,19980819,000000,24.187,24.187,23.639,23.71,54988,0
ORB,D,19980820,000000,23.873,23.873,22.926,22.926,14398,0
ORB,D,19980821,000000,22.998,22.998,22.134,22.134,12825,0
ORB,D,19980824,000000,22.998,22.998,22.53,22.926,25183,0
ORB,D,19980825,000000,23.314,23.314,22.845,22.845,3443,0
ORB,D,19980826,000000,22.369,22.369,21.737,22.052,29392,0
ORB,D,19980827,000000,21.025,21.025,19.441,19.441,31659,0
ORB,D,19980828,000000,18.972,19.764,18.494,18.972,82009,0
ORB,D,19980831,000000,18.178,18.34,17.783,17.863,95521,0
