<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAT,D,20091109,000000,2.46,2.67,2.35,2.45,1877056,0
PAT,D,20091110,000000,2.45,2.45,2.31,2.4,235139,0
PAT,D,20091112,000000,2.4,2.5,2.3,2.4,133509,0
PAT,D,20091113,000000,2.38,2.44,2.35,2.41,86198,0
PAT,D,20091116,000000,2.4,2.47,2.35,2.46,181340,0
PAT,D,20091117,000000,2.45,2.45,2.37,2.4,29179,0
PAT,D,20091118,000000,2.38,2.44,2.35,2.39,77415,0
PAT,D,20091119,000000,2.36,2.37,2.35,2.37,38992,0
PAT,D,20091120,000000,2.37,2.43,2.32,2.43,91845,0
PAT,D,20091123,000000,2.38,2.42,2.38,2.38,6870,0
PAT,D,20091124,000000,2.38,2.4,2.32,2.4,28476,0
PAT,D,20091125,000000,2.35,2.4,2.32,2.4,23000,0
PAT,D,20091126,000000,2.33,2.35,2.32,2.32,16231,0
PAT,D,20091127,000000,2.32,2.35,2.28,2.35,76267,0
PAT,D,20091130,000000,2.38,2.38,2.3,2.35,2665,0
PAT,D,20091201,000000,2.3,2.32,2.28,2.29,8993,0
PAT,D,20091202,000000,2.28,2.32,2.28,2.32,901,0
PAT,D,20091203,000000,2.28,2.32,2.28,2.32,8795,0
PAT,D,20091204,000000,2.3,2.3,2.28,2.29,4731,0
PAT,D,20091207,000000,2.32,2.32,2.27,2.3,10302,0
PAT,D,20091208,000000,2.31,2.31,2.25,2.25,30351,0
PAT,D,20091209,000000,2.31,2.31,2.24,2.3,8860,0
PAT,D,20091210,000000,2.24,2.27,2.24,2.27,9036,0
PAT,D,20091211,000000,2.22,2.32,2.22,2.32,10292,0
PAT,D,20091214,000000,2.25,2.38,2.24,2.35,12214,0
PAT,D,20091215,000000,2.25,2.33,2.25,2.33,3003,0
PAT,D,20091216,000000,2.33,2.4,2.32,2.4,8213,0
PAT,D,20091217,000000,2.44,2.5,2.38,2.38,34300,0
PAT,D,20091218,000000,2.41,2.41,2.38,2.38,322,0
PAT,D,20091221,000000,2.38,2.51,2.38,2.47,18698,0
PAT,D,20091222,000000,2.46,2.48,2.38,2.48,22686,0
PAT,D,20091223,000000,2.49,2.49,2.35,2.47,8505,0
PAT,D,20091228,000000,2.42,2.51,2.38,2.49,108761,0
PAT,D,20091229,000000,2.49,2.49,2.41,2.48,8553,0
PAT,D,20091230,000000,2.42,2.48,2.32,2.48,14144,0
PAT,D,20091231,000000,2.37,2.48,2.37,2.37,25132,0
PAT,D,20100104,000000,2.38,2.38,2.37,2.37,2400,0
PAT,D,20100105,000000,2.37,2.37,2.37,2.37,1000,0
PAT,D,20100107,000000,2.41,2.45,2.41,2.45,952,0
PAT,D,20100108,000000,2.34,2.46,2.34,2.44,2917,0
PAT,D,20100111,000000,2.37,2.51,2.37,2.5,21679,0
PAT,D,20100112,000000,2.4,2.49,2.39,2.49,3205,0
PAT,D,20100113,000000,2.36,2.48,2.33,2.36,11033,0
PAT,D,20100114,000000,2.36,2.49,2.36,2.49,20323,0
PAT,D,20100115,000000,2.47,2.47,2.46,2.46,10409,0
PAT,D,20100118,000000,2.42,2.45,2.42,2.42,2341,0
PAT,D,20100119,000000,2.41,2.45,2.41,2.45,6862,0
PAT,D,20100120,000000,2.46,2.46,2.41,2.46,9909,0
PAT,D,20100121,000000,2.46,2.48,2.46,2.48,52731,0
PAT,D,20100122,000000,2.48,3.22,2.48,3.22,219815,0
PAT,D,20100125,000000,3.4,3.7,3.07,3.07,410370,0
PAT,D,20100126,000000,3.15,3.15,2.84,2.91,94871,0
PAT,D,20100127,000000,2.85,3.29,2.79,3.1,74586,0
PAT,D,20100128,000000,3.12,3.16,2.99,3,33725,0
PAT,D,20100129,000000,2.91,3.12,2.91,3,18599,0
