<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBG,D,20040702,000000,33.837,35.189,33.059,35.189,227768,0
PBG,D,20040705,000000,35.287,37.125,35.092,35.676,131827,0
PBG,D,20040706,000000,35.87,35.87,34.898,35.189,51402,0
PBG,D,20040707,000000,34.898,35.773,34.606,35.287,26834,0
PBG,D,20040708,000000,35.287,36.055,35.287,35.87,30456,0
PBG,D,20040709,000000,36.152,36.736,35.967,36.249,29658,0
PBG,D,20040712,000000,36.347,37.699,36.347,37.125,44772,0
PBG,D,20040713,000000,37.699,37.699,36.736,36.736,102223,0
PBG,D,20040714,000000,36.93,36.93,36.249,36.736,9881,0
PBG,D,20040715,000000,36.736,36.736,35.967,36.055,3661,0
PBG,D,20040716,000000,35.967,36.639,35.87,36.152,3547,0
PBG,D,20040719,000000,36.444,36.444,36.055,36.444,1894,0
PBG,D,20040720,000000,36.444,36.833,35.578,36.541,34824,0
PBG,D,20040721,000000,36.541,36.736,36.055,36.444,3098,0
PBG,D,20040722,000000,36.444,36.736,36.249,36.736,1666,0
PBG,D,20040723,000000,36.736,36.93,36.347,36.93,3283,0
PBG,D,20040726,000000,37.125,37.222,36.541,37.028,6413,0
PBG,D,20040727,000000,37.125,37.699,36.93,37.699,27306,0
PBG,D,20040728,000000,37.514,38.185,37.417,37.699,12017,0
PBG,D,20040729,000000,37.514,37.699,37.514,37.699,2589,0
PBG,D,20040730,000000,37.699,37.991,37.611,37.991,3243,0
PBG,D,20040802,000000,37.796,37.796,37.222,37.699,1250,0
PBG,D,20040803,000000,37.991,38.574,37.222,38.574,33668,0
PBG,D,20040804,000000,38.574,38.574,37.893,37.893,1874,0
PBG,D,20040805,000000,37.893,37.893,37.893,37.893,524,0
PBG,D,20040806,000000,37.514,37.514,37.319,37.319,259,0
PBG,D,20040809,000000,37.222,37.222,35.287,37.222,10979,0
PBG,D,20040810,000000,37.028,37.125,36.249,36.736,10970,0
PBG,D,20040811,000000,36.152,36.541,35.87,36.541,7452,0
PBG,D,20040812,000000,36.152,36.152,36.152,36.152,205,0
PBG,D,20040813,000000,36.152,36.152,34.8,35.481,8552,0
PBG,D,20040816,000000,34.8,36.736,34.8,36.541,8586,0
PBG,D,20040817,000000,35.87,36.444,35.87,36.249,809,0
PBG,D,20040818,000000,35.773,35.773,35.676,35.773,2103,0
PBG,D,20040819,000000,35.967,36.347,35.578,36.249,5891,0
PBG,D,20040820,000000,35.676,36.639,35.578,36.639,2376,0
PBG,D,20040823,000000,36.249,37.893,36.249,37.893,18443,0
PBG,D,20040824,000000,37.417,39.44,37.417,39.44,58942,0
PBG,D,20040825,000000,39.158,39.158,38.38,39.06,25134,0
PBG,D,20040826,000000,38.866,39.158,38.671,38.963,7815,0
PBG,D,20040827,000000,38.671,39.537,38.477,39.537,10695,0
PBG,D,20040830,000000,39.06,39.44,38.866,39.44,3166,0
PBG,D,20040831,000000,39.537,40.12,38.866,39.634,18101,0
PBG,D,20040901,000000,39.342,39.926,39.342,39.634,4265,0
PBG,D,20040902,000000,39.537,40.889,39.537,40.607,15775,0
PBG,D,20040903,000000,40.607,41.764,40.607,41.57,91908,0
PBG,D,20040906,000000,41.57,42.056,41.375,41.861,11061,0
PBG,D,20040907,000000,41.764,42.056,41.375,41.959,15895,0
PBG,D,20040908,000000,41.861,42.056,41.375,41.667,3849,0
PBG,D,20040909,000000,41.181,41.667,41.083,41.667,5011,0
PBG,D,20040910,000000,40.986,41.959,40.986,41.375,21867,0
PBG,D,20040913,000000,41.472,42.056,41.472,42.056,2123,0
PBG,D,20040914,000000,41.959,42.056,41.57,42.056,6672,0
PBG,D,20040915,000000,41.375,41.861,41.375,41.861,1086,0
PBG,D,20040916,000000,41.472,43.894,41.472,43.894,15585,0
PBG,D,20040917,000000,43.505,43.992,43.505,43.992,9007,0
PBG,D,20040920,000000,44.565,45.246,44.565,45.246,7675,0
PBG,D,20040921,000000,45.441,46.404,44.663,46.404,6046,0
PBG,D,20040922,000000,46.695,46.89,45.538,46.209,4394,0
PBG,D,20040923,000000,45.917,46.015,45.917,46.015,601,0
PBG,D,20040924,000000,45.917,45.917,44.468,44.468,5148,0
PBG,D,20040927,000000,44.468,44.954,43.505,44.468,2725,0
PBG,D,20040928,000000,43.7,44.468,43.019,44.468,79954,0
PBG,D,20040929,000000,44.468,44.468,43.505,43.992,3518,0
PBG,D,20040930,000000,43.7,44.371,43.7,44.371,982,0
PBG,D,20041001,000000,43.602,43.992,43.602,43.992,517,0
PBG,D,20041004,000000,43.992,43.992,43.505,43.7,4105,0
PBG,D,20041005,000000,43.505,45.82,43.019,45.343,12194,0
PBG,D,20041006,000000,44.954,44.954,44.274,44.857,1145,0
PBG,D,20041007,000000,44.274,44.274,44.079,44.079,1970,0
PBG,D,20041008,000000,44.079,45.343,43.505,45.343,5764,0
PBG,D,20041011,000000,44.468,45.343,44.371,45.343,1935,0
PBG,D,20041012,000000,45.246,45.246,44.663,45.246,3286,0
PBG,D,20041013,000000,44.468,44.954,44.371,44.954,647,0
PBG,D,20041014,000000,44.468,44.954,43.992,44.76,359,0
PBG,D,20041015,000000,43.797,44.954,43.505,44.954,52121,0
PBG,D,20041018,000000,44.954,44.954,43.408,43.408,9806,0
PBG,D,20041019,000000,43.116,44.079,43.116,43.213,246,0
PBG,D,20041020,000000,43.019,44.079,42.824,43.505,5332,0
PBG,D,20041021,000000,42.824,44.468,42.824,43.505,1461,0
PBG,D,20041022,000000,43.505,44.371,43.505,44.371,1742,0
PBG,D,20041025,000000,43.505,43.797,42.533,43.505,7925,0
PBG,D,20041026,000000,43.408,43.894,43.213,43.213,1887,0
PBG,D,20041027,000000,43.505,43.505,43.311,43.311,1958,0
PBG,D,20041028,000000,43.505,43.602,43.505,43.505,2160,0
PBG,D,20041029,000000,43.019,43.992,43.019,43.992,2090,0
PBG,D,20041102,000000,44.468,44.954,43.408,44.857,600,0
PBG,D,20041103,000000,44.954,45.343,44.468,44.954,154,0
PBG,D,20041104,000000,44.76,44.76,44.274,44.76,166,0
PBG,D,20041105,000000,43.797,44.76,43.797,44.76,247,0
PBG,D,20041108,000000,43.7,43.797,43.7,43.7,403,0
PBG,D,20041109,000000,44.371,44.371,43.505,44.274,1573,0
PBG,D,20041110,000000,43.992,44.176,43.311,43.408,2512,0
PBG,D,20041112,000000,43.505,44.371,42.922,43.894,2972,0
PBG,D,20041115,000000,43.894,44.176,43.408,43.505,2376,0
PBG,D,20041116,000000,44.176,44.176,43.116,43.505,1251,0
PBG,D,20041117,000000,43.116,43.408,42.533,43.019,1211,0
PBG,D,20041118,000000,42.922,43.408,42.63,43.408,1364,0
PBG,D,20041119,000000,42.922,43.505,42.922,43.505,2110,0
PBG,D,20041122,000000,43.505,43.505,43.116,43.505,1102,0
PBG,D,20041123,000000,43.505,44.371,43.311,43.992,3257,0
PBG,D,20041124,000000,43.7,44.76,43.408,43.7,1500,0
PBG,D,20041125,000000,43.894,43.894,43.116,43.505,2152,0
PBG,D,20041126,000000,42.922,43.505,42.922,43.505,576,0
PBG,D,20041129,000000,42.63,43.894,41.861,43.894,6017,0
PBG,D,20041130,000000,43.505,43.505,43.019,43.505,750,0
PBG,D,20041201,000000,43.019,43.408,42.63,43.408,1104,0
PBG,D,20041202,000000,42.727,43.311,42.251,42.922,6320,0
PBG,D,20041203,000000,42.533,43.311,42.435,43.311,4942,0
PBG,D,20041206,000000,42.727,42.824,42.435,42.435,2117,0
PBG,D,20041207,000000,42.533,42.824,42.348,42.824,4027,0
PBG,D,20041208,000000,42.435,42.922,42.251,42.922,3261,0
PBG,D,20041209,000000,42.533,42.824,42.533,42.824,3030,0
PBG,D,20041210,000000,44.371,45.246,44.176,44.468,19794,0
PBG,D,20041213,000000,44.663,44.663,43.797,44.371,3484,0
PBG,D,20041214,000000,44.274,44.274,43.311,43.992,1488,0
PBG,D,20041215,000000,44.274,44.274,43.408,44.079,2378,0
PBG,D,20041216,000000,43.408,43.992,43.213,43.992,7993,0
PBG,D,20041217,000000,43.019,43.894,43.019,43.894,1034,0
PBG,D,20041220,000000,43.992,44.079,43.505,44.079,830,0
PBG,D,20041221,000000,43.894,44.663,43.894,44.663,21690,0
PBG,D,20041222,000000,44.565,45.052,44.468,45.052,1106,0
PBG,D,20041227,000000,44.371,45.441,44.371,44.954,1081,0
PBG,D,20041228,000000,45.441,45.441,44.468,45.441,1528,0
PBG,D,20041229,000000,45.441,45.441,44.857,45.441,2452,0
PBG,D,20041230,000000,45.343,45.917,45.246,45.538,2677,0
PBG,D,20041231,000000,45.723,45.723,45.723,45.723,156,0
PBG,D,20050103,000000,45.917,46.306,45.441,45.917,2378,0
PBG,D,20050104,000000,45.441,46.306,45.441,46.015,16948,0
PBG,D,20050105,000000,45.538,46.112,45.441,45.82,4326,0
PBG,D,20050106,000000,45.343,45.626,45.052,45.626,242,0
PBG,D,20050107,000000,45.441,46.209,45.441,46.209,11210,0
PBG,D,20050110,000000,46.404,46.89,44.76,44.76,1184,0
PBG,D,20050111,000000,45.723,46.793,45.441,46.306,1411,0
PBG,D,20050112,000000,46.404,46.793,45.917,46.793,14083,0
PBG,D,20050113,000000,46.987,46.987,45.343,45.441,17573,0
PBG,D,20050114,000000,46.209,46.404,45.538,45.626,984,0
PBG,D,20050117,000000,45.917,45.917,44.663,45.82,436,0
PBG,D,20050118,000000,45.246,46.306,45.246,46.306,872,0
PBG,D,20050119,000000,46.015,46.404,46.015,46.306,5008,0
PBG,D,20050120,000000,46.306,46.404,46.015,46.404,11497,0
PBG,D,20050121,000000,46.695,46.695,46.501,46.501,492,0
PBG,D,20050124,000000,46.501,46.501,46.306,46.404,12461,0
PBG,D,20050125,000000,46.404,46.501,45.441,45.626,1646082,0
PBG,D,20050126,000000,46.695,46.695,46.209,46.501,1968,0
PBG,D,20050127,000000,46.695,46.793,46.404,46.793,5631,0
PBG,D,20050128,000000,46.987,51.627,46.987,51.237,35809,0
PBG,D,20050131,000000,53.076,54.136,51.432,53.076,57512,0
PBG,D,20050201,000000,53.27,53.465,52.103,52.492,6795,0
PBG,D,20050202,000000,52.2,52.2,50.459,50.946,12943,0
PBG,D,20050203,000000,50.177,52.016,50.08,51.821,3959,0
PBG,D,20050204,000000,51.627,52.589,51.335,52.492,10619,0
PBG,D,20050207,000000,51.335,52.2,51.335,52.103,2220,0
PBG,D,20050208,000000,51.335,52.103,51.335,52.103,1639,0
PBG,D,20050209,000000,52.589,52.687,52.2,52.687,27907,0
PBG,D,20050210,000000,52.687,52.687,51.724,52.589,1109,0
PBG,D,20050211,000000,51.821,52.589,51.821,52.2,362,0
PBG,D,20050214,000000,51.529,53.368,51.529,53.076,684,0
PBG,D,20050215,000000,53.173,54.622,53.173,54.622,91017,0
PBG,D,20050216,000000,54.525,54.525,53.562,54.136,4707,0
PBG,D,20050217,000000,54.136,55.293,53.368,53.368,55520,0
PBG,D,20050218,000000,53.368,55.206,53.368,54.817,12058,0
PBG,D,20050221,000000,55.391,55.391,54.136,55.109,50326,0
PBG,D,20050222,000000,54.622,54.622,53.941,54.33,283,0
PBG,D,20050223,000000,53.65,54.136,53.465,54.136,818,0
PBG,D,20050224,000000,53.747,54.136,52.881,53.173,2374,0
PBG,D,20050225,000000,52.395,54.136,52.298,54.136,7833,0
PBG,D,20050228,000000,53.844,55.293,53.173,55.293,12365,0
PBG,D,20050301,000000,55.206,55.877,54.525,55.293,753,0
PBG,D,20050302,000000,54.525,55.206,53.173,54.914,3873,0
PBG,D,20050303,000000,54.525,54.622,53.173,53.173,1519,0
PBG,D,20050304,000000,53.173,54.914,52.687,53.65,35366,0
PBG,D,20050307,000000,54.136,54.136,53.173,53.941,11074,0
PBG,D,20050308,000000,53.65,54.33,52.978,53.173,625,0
PBG,D,20050309,000000,53.844,54.039,52.784,53.27,1048,0
PBG,D,20050310,000000,53.076,53.173,51.724,51.918,1244,0
PBG,D,20050311,000000,51.918,52.589,50.177,52.2,3066,0
PBG,D,20050314,000000,51.335,52.103,51.335,52.103,142,0
PBG,D,20050315,000000,51.529,52.2,51.432,52.2,1723,0
PBG,D,20050316,000000,52.2,52.2,50.08,51.237,4480,0
PBG,D,20050317,000000,50.08,51.529,50.08,50.946,291,0
PBG,D,20050318,000000,50.751,52.2,50.08,51.237,6302,0
PBG,D,20050321,000000,52.103,52.103,49.01,49.01,1259,0
PBG,D,20050322,000000,48.631,49.01,47.367,48.534,3729,0
PBG,D,20050323,000000,49.497,49.983,47.464,49.983,553,0
PBG,D,20050324,000000,50.275,51.529,50.275,51.529,98,0
PBG,D,20050329,000000,50.08,51.14,49.983,51.14,279,0
PBG,D,20050331,000000,51.14,51.627,51.14,51.529,3070,0
PBG,D,20050401,000000,51.043,51.14,50.751,51.14,124,0
PBG,D,20050404,000000,51.529,51.529,51.529,51.529,3,0
PBG,D,20050405,000000,51.529,51.627,50.177,50.751,387,0
PBG,D,20050407,000000,50.557,51.627,48.913,50.459,1148,0
PBG,D,20050411,000000,51.335,51.335,50.275,50.275,5,0
PBG,D,20050412,000000,49.205,50.177,48.913,50.177,204,0
PBG,D,20050413,000000,49.302,50.177,49.302,50.177,21,0
PBG,D,20050414,000000,49.108,49.497,48.631,49.302,6472,0
PBG,D,20050415,000000,50.275,51.432,49.788,51.432,1139,0
PBG,D,20050418,000000,51.237,51.237,49.983,51.14,1204,0
PBG,D,20050419,000000,50.275,51.237,49.399,50.751,6305,0
PBG,D,20050420,000000,50.557,50.557,49.205,49.983,313,0
PBG,D,20050421,000000,48.534,49.108,48.047,48.339,6107,0
PBG,D,20050422,000000,49.302,49.497,49.302,49.497,101,0
PBG,D,20050425,000000,49.497,49.497,49.497,49.497,98,0
PBG,D,20050426,000000,49.302,49.302,47.561,48.825,5700,0
PBG,D,20050427,000000,48.339,48.339,47.853,48.339,2472,0
PBG,D,20050428,000000,47.756,49.205,47.367,49.205,1669,0
PBG,D,20050429,000000,49.302,49.788,49.302,49.691,3886,0
PBG,D,20050502,000000,49.302,50.275,48.825,50.275,231,0
PBG,D,20050504,000000,49.302,49.302,48.339,48.339,45395,0
PBG,D,20050505,000000,48.242,49.205,48.242,48.242,774,0
PBG,D,20050506,000000,48.242,48.825,47.658,48.242,7284,0
PBG,D,20050509,000000,48.145,50.751,47.853,50.751,1446,0
PBG,D,20050510,000000,50.459,50.459,50.459,50.459,620,0
PBG,D,20050511,000000,49.302,50.557,49.302,50.557,620,0
PBG,D,20050512,000000,48.825,49.302,48.631,49.302,2064,0
PBG,D,20050513,000000,49.205,49.399,48.631,49.302,3151,0
PBG,D,20050516,000000,48.825,49.302,48.436,49.302,1437,0
PBG,D,20050517,000000,49.108,49.302,48.825,49.302,11788,0
PBG,D,20050518,000000,49.302,49.886,48.825,49.788,11478,0
PBG,D,20050519,000000,48.913,49.788,48.339,49.788,14460,0
PBG,D,20050520,000000,48.913,49.691,48.825,49.302,2728,0
PBG,D,20050523,000000,50.177,50.177,48.534,49.302,3680,0
PBG,D,20050524,000000,49.108,49.108,47.95,49.01,6254,0
PBG,D,20050525,000000,48.339,48.825,48.339,48.825,6445,0
PBG,D,20050527,000000,48.728,48.728,48.339,48.339,5644,0
PBG,D,20050530,000000,48.825,48.825,47.95,48.825,82,0
PBG,D,20050531,000000,47.95,49.302,47.95,49.108,590,0
PBG,D,20050601,000000,48.631,48.631,48.631,48.631,5,0
PBG,D,20050602,000000,49.108,49.108,48.534,49.108,212,0
PBG,D,20050603,000000,48.145,49.108,47.853,48.825,679,0
PBG,D,20050606,000000,49.108,49.108,47.95,48.825,1188,0
PBG,D,20050607,000000,48.728,48.825,47.756,48.436,919,0
PBG,D,20050608,000000,47.853,48.339,47.367,48.145,601,0
PBG,D,20050609,000000,47.561,49.788,47.464,49.205,4458,0
PBG,D,20050610,000000,49.691,49.691,48.339,49.691,73,0
PBG,D,20050613,000000,48.436,49.302,48.047,49.302,931,0
PBG,D,20050614,000000,49.205,49.205,48.339,48.825,1336,0
PBG,D,20050615,000000,48.242,49.108,48.145,49.01,35143,0
PBG,D,20050616,000000,49.205,50.275,48.913,50.275,10756,0
PBG,D,20050617,000000,50.557,50.557,50.177,50.459,1935,0
PBG,D,20050620,000000,50.372,51.627,50.08,51.627,4148,0
PBG,D,20050621,000000,50.848,52.2,50.848,52.2,2705,0
PBG,D,20050622,000000,52.103,52.978,51.724,52.784,13113,0
PBG,D,20050623,000000,52.687,52.978,52.2,52.978,56285,0
PBG,D,20050624,000000,53.076,53.173,52.687,53.173,5609,0
PBG,D,20050627,000000,52.687,54.039,52.298,53.844,4143,0
PBG,D,20050628,000000,53.562,54.525,53.173,54.136,53059,0
PBG,D,20050629,000000,54.233,54.233,53.65,53.65,302,0
PBG,D,20050630,000000,54.136,54.136,52.784,53.65,463,0
PBG,D,20050701,000000,53.941,53.941,53.65,53.65,3066,0
PBG,D,20050704,000000,53.65,54.136,53.65,54.136,8388,0
PBG,D,20050705,000000,54.136,54.622,54.136,54.428,630,0
PBG,D,20050706,000000,54.914,54.914,53.27,54.817,5484,0
PBG,D,20050707,000000,53.747,54.428,53.562,54.428,5462,0
PBG,D,20050708,000000,54.136,54.914,54.136,54.914,11283,0
PBG,D,20050711,000000,54.914,54.914,54.136,54.914,270,0
PBG,D,20050712,000000,54.622,54.914,53.562,54.914,244,0
PBG,D,20050713,000000,54.136,54.622,54.136,54.622,13804,0
PBG,D,20050714,000000,53.747,54.622,53.65,54.622,543,0
PBG,D,20050715,000000,53.747,54.525,53.368,53.368,505,0
PBG,D,20050718,000000,53.173,54.428,53.173,54.428,10851,0
PBG,D,20050719,000000,53.747,54.136,53.65,54.136,11744,0
PBG,D,20050720,000000,53.941,55.109,53.941,55.109,11702,0
PBG,D,20050721,000000,55.109,55.488,55.109,55.488,1188,0
PBG,D,20050722,000000,54.719,55.109,54.525,55.109,6248,0
PBG,D,20050725,000000,55.488,55.585,54.817,55.585,2235,0
PBG,D,20050726,000000,55.293,56.071,55.293,56.071,1102,0
PBG,D,20050727,000000,55.974,55.974,55.293,55.974,136,0
PBG,D,20050728,000000,56.071,57.229,56.071,57.132,8289,0
PBG,D,20050729,000000,57.229,58.484,57.229,58.484,2379,0
PBG,D,20050801,000000,58.581,58.97,58.581,58.97,519,0
PBG,D,20050802,000000,59.067,60.808,59.067,60.808,1818,0
PBG,D,20050803,000000,61.586,61.868,60.127,61.392,12154,0
PBG,D,20050804,000000,61.392,63.415,61.392,62.744,8458,0
PBG,D,20050805,000000,62.744,63.901,62.063,63.901,4337,0
PBG,D,20050808,000000,63.804,63.804,61.868,63.512,592,0
PBG,D,20050809,000000,63.609,63.609,63.415,63.609,2120,0
PBG,D,20050810,000000,63.706,63.804,63.609,63.804,4409,0
PBG,D,20050811,000000,63.706,63.706,63.706,63.706,622,0
PBG,D,20050812,000000,63.609,64.776,63.609,64.776,1103,0
PBG,D,20050816,000000,64.776,66.226,64.776,66.226,3735,0
PBG,D,20050817,000000,66.226,69.513,66.226,67.675,3975,0
PBG,D,20050818,000000,68.249,68.832,66.226,67.675,7430,0
PBG,D,20050819,000000,67.383,67.383,66.031,67.091,2709,0
PBG,D,20050822,000000,65.837,65.837,61.965,61.965,114148,0
PBG,D,20050823,000000,63.317,63.317,62.354,62.354,2430,0
PBG,D,20050824,000000,63.804,63.804,60.905,62.16,847,0
PBG,D,20050825,000000,61.868,62.354,61.1,62.354,25913,0
PBG,D,20050826,000000,61.868,62.354,60.905,62.063,10964,0
PBG,D,20050829,000000,61.003,62.646,60.905,62.452,1653,0
PBG,D,20050830,000000,62.063,62.841,61.868,62.841,85184,0
PBG,D,20050831,000000,63.035,63.804,62.841,62.841,58092,0
PBG,D,20050901,000000,63.804,64.864,63.035,63.804,1947,0
PBG,D,20050902,000000,64.679,64.776,63.035,64.29,520,0
