<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCE,D,20050714,000000,7.8137,7.9983,7.8137,7.8826,2842795,0
PCE,D,20050715,000000,7.8826,7.8826,7.699,7.8137,501308,0
PCE,D,20050718,000000,7.699,7.7375,7.3699,7.3699,156976,0
PCE,D,20050719,000000,7.3316,7.3316,7.0715,7.1479,237643,0
PCE,D,20050720,000000,7.1863,7.2244,6.8878,6.9643,256086,0
PCE,D,20050721,000000,7.0025,7.0025,6.6657,6.8878,161202,0
PCE,D,20050722,000000,6.9643,7.1097,6.9643,7.0332,152942,0
PCE,D,20050725,000000,7.1097,7.2244,7.1097,7.1863,40196,0
PCE,D,20050726,000000,7.255,7.4389,7.2244,7.3316,48065,0
PCE,D,20050727,000000,7.3699,7.4082,7.3316,7.3699,36477,0
PCE,D,20050728,000000,7.4389,7.5155,7.3699,7.5155,51783,0
PCE,D,20050729,000000,7.5155,7.5155,7.3316,7.4389,45501,0
PCE,D,20050801,000000,7.3699,7.3699,7.2244,7.3699,13659,0
PCE,D,20050802,000000,7.2933,7.5155,7.2933,7.5155,104507,0
PCE,D,20050803,000000,7.4389,7.4389,7.255,7.3699,29862,0
PCE,D,20050804,000000,7.2933,7.3699,7.1479,7.3699,48277,0
PCE,D,20050805,000000,7.3699,7.3699,7.3316,7.3316,5925,0
PCE,D,20050808,000000,7.3316,7.3316,7.2244,7.2933,14913,0
PCE,D,20050809,000000,7.2933,7.2933,7.1097,7.2244,15195,0
PCE,D,20050810,000000,7.2244,7.2244,7.0715,7.1479,27823,0
PCE,D,20050811,000000,7.0025,7.0715,6.9643,7.0715,28327,0
PCE,D,20050812,000000,7.0025,7.0715,7.0025,7.0332,16719,0
PCE,D,20050816,000000,7.0025,7.0332,6.8189,6.8496,53349,0
PCE,D,20050817,000000,6.8496,6.8496,6.7041,6.7041,244579,0
PCE,D,20050818,000000,6.7041,6.7041,6.4821,6.4821,135526,0
PCE,D,20050819,000000,6.4133,6.5587,6.3367,6.5204,36406,0
PCE,D,20050822,000000,6.5204,6.8189,6.5204,6.7807,41812,0
PCE,D,20050823,000000,6.8189,6.8189,6.6275,6.6275,14275,0
PCE,D,20050824,000000,6.6275,6.6275,6.5587,6.5969,28089,0
PCE,D,20050825,000000,6.6657,6.6657,6.4821,6.5587,16917,0
PCE,D,20050826,000000,6.5204,6.5204,6.2984,6.4821,88877,0
PCE,D,20050829,000000,6.4133,6.6275,6.3367,6.5969,39443,0
PCE,D,20050830,000000,6.5204,6.6275,6.5204,6.6275,82939,0
PCE,D,20050831,000000,6.5587,6.7807,6.5587,6.7807,48862,0
