<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCG,D,20051005,000000,18.05,18.05,18.05,18.05,532,0
PCG,D,20051006,000000,22.61,24.89,22.61,24.89,991,0
PCG,D,20051007,000000,28.12,30.97,28.12,30.97,40,0
PCG,D,20051010,000000,54.53,178.6,39.52,169.1,2188,0
PCG,D,20051011,000000,202.92,817.57,202.92,751.83,1496,0
PCG,D,20051014,000000,39.71,56.43,33.25,37.43,167997,0
PCG,D,20051017,000000,39.52,50.73,38.38,50.73,85880,0
PCG,D,20051018,000000,55.67,67.07,52.63,67.07,174265,0
PCG,D,20051019,000000,71.25,107.16,69.73,107.16,129172,0
PCG,D,20051020,000000,139.08,139.08,67.64,78.85,165712,0
PCG,D,20051021,000000,78.85,78.85,48.45,57.38,170394,0
PCG,D,20051024,000000,56.43,69.54,52.63,67.45,102620,0
PCG,D,20051025,000000,71.06,73.34,63.84,64.79,45965,0
PCG,D,20051026,000000,65.74,65.74,56.81,57.95,27238,0
PCG,D,20051027,000000,57.95,57.95,50.73,51.11,34327,0
PCG,D,20051028,000000,50.73,62.89,46.17,58.9,82072,0
PCG,D,20051031,000000,61.94,68.02,50.35,53.01,192708,0
PCG,D,20051102,000000,54.53,58.33,48.64,49.78,122269,0
PCG,D,20051103,000000,49.97,51.49,45.41,48.26,69821,0
PCG,D,20051104,000000,48.64,50.35,46.93,48.45,17371,0
PCG,D,20051107,000000,47.69,47.88,45.03,45.98,16689,0
PCG,D,20051108,000000,44.08,44.08,40.09,40.66,57060,0
PCG,D,20051109,000000,39.52,39.9,34.01,35.53,90911,0
PCG,D,20051110,000000,34.77,45.41,32.87,45.41,104797,0
PCG,D,20051114,000000,46.93,51.68,42.37,43.13,83442,0
PCG,D,20051115,000000,42.37,43.32,39.9,41.61,31875,0
PCG,D,20051116,000000,41.61,46.74,40.28,44.08,23049,0
PCG,D,20051117,000000,44.65,44.65,41.99,42.37,14726,0
PCG,D,20051118,000000,42.37,43.13,41.42,41.99,8143,0
PCG,D,20051121,000000,41.42,42.94,40.66,41.61,7368,0
PCG,D,20051122,000000,41.61,41.8,40.28,40.47,7425,0
PCG,D,20051123,000000,40.09,41.04,38.95,39.33,13440,0
PCG,D,20051124,000000,39.71,41.23,37.62,39.71,20229,0
PCG,D,20051125,000000,39.71,44.65,38.57,40.47,41982,0
PCG,D,20051128,000000,41.42,42.18,39.52,40.47,12657,0
PCG,D,20051129,000000,39.9,40.47,38.95,39.33,12692,0
PCG,D,20051130,000000,39.52,40.09,38.76,38.95,11023,0
PCG,D,20051201,000000,38.76,39.52,38.19,38.57,3987,0
PCG,D,20051202,000000,38.57,40.66,38.38,38.95,15871,0
PCG,D,20051205,000000,38.76,39.71,38,38.57,15926,0
PCG,D,20051206,000000,38.38,38.38,36.29,36.67,13092,0
PCG,D,20051207,000000,36.86,37.62,36.29,37.05,12974,0
PCG,D,20051208,000000,36.29,36.67,35.53,35.53,14619,0
PCG,D,20051209,000000,35.53,38.38,34.01,36.67,29161,0
PCG,D,20051212,000000,36.67,37.05,34.96,35.34,10689,0
PCG,D,20051213,000000,36.1,36.67,35.34,35.53,12951,0
PCG,D,20051214,000000,36.29,36.29,35.15,35.15,6473,0
PCG,D,20051215,000000,35.53,37.43,34.96,36.1,22937,0
PCG,D,20051216,000000,35.72,36.1,35.34,35.53,8787,0
PCG,D,20051219,000000,35.53,36.29,35.15,35.53,5380,0
PCG,D,20051220,000000,35.53,37.05,35.34,35.72,14484,0
PCG,D,20051221,000000,36.1,36.29,35.53,35.72,5643,0
PCG,D,20051222,000000,35.72,37.05,35.34,36.29,16139,0
PCG,D,20051223,000000,36.1,36.67,35.91,35.91,5427,0
PCG,D,20051227,000000,36.48,36.48,35.53,35.53,9061,0
PCG,D,20051228,000000,35.53,36.1,35.34,35.72,8858,0
PCG,D,20051229,000000,35.53,35.72,35.34,35.72,3362,0
PCG,D,20051230,000000,35.72,35.72,35.34,35.34,6601,0
PCG,D,20060102,000000,35.91,46.74,34.96,46.74,128522,0
PCG,D,20060103,000000,51.3,54.72,46.93,48.26,186468,0
PCG,D,20060104,000000,48.26,48.26,42.56,43.7,43408,0
PCG,D,20060105,000000,41.42,46.55,40.47,42.94,58855,0
PCG,D,20060106,000000,45.79,48.07,43.32,44.08,33606,0
PCG,D,20060109,000000,45.03,47.88,42.94,44.27,48612,0
PCG,D,20060110,000000,44.27,46.55,44.08,45.79,28530,0
PCG,D,20060111,000000,46.17,47.5,44.46,45.22,31836,0
PCG,D,20060112,000000,45.79,46.17,44.65,44.84,12445,0
PCG,D,20060113,000000,45.6,45.6,43.7,44.46,10994,0
PCG,D,20060116,000000,44.65,46.55,44.08,45.03,17849,0
PCG,D,20060117,000000,45.03,46.17,44.27,45.03,17218,0
PCG,D,20060118,000000,44.65,45.03,43.32,44.08,14411,0
PCG,D,20060119,000000,44.08,45.03,43.13,45.03,10395,0
PCG,D,20060120,000000,45.6,45.79,44.08,45.03,12249,0
PCG,D,20060123,000000,44.08,44.65,43.13,44.27,6388,0
PCG,D,20060124,000000,44.46,54.15,43.89,52.44,159990,0
PCG,D,20060125,000000,50.92,52.82,48.83,48.83,54241,0
PCG,D,20060126,000000,49.21,49.78,47.12,47.5,15315,0
PCG,D,20060127,000000,47.5,51.68,46.36,49.4,31011,0
PCG,D,20060130,000000,48.07,52.63,48.07,51.11,25966,0
PCG,D,20060131,000000,51.68,61.37,49.78,52.06,118601,0
PCG,D,20060201,000000,56.81,63.84,56.43,63.84,151235,0
PCG,D,20060202,000000,66.69,74.29,60.23,61.94,115398,0
PCG,D,20060203,000000,59.28,61.94,51.68,56.43,32845,0
PCG,D,20060206,000000,56.43,61.37,55.29,59.28,25946,0
PCG,D,20060207,000000,60.04,60.04,55.29,57,11295,0
PCG,D,20060208,000000,52.63,56.05,52.63,54.34,17080,0
PCG,D,20060209,000000,54.34,59.09,54.34,54.72,13246,0
PCG,D,20060210,000000,54.72,54.72,50.54,51.87,47087,0
PCG,D,20060213,000000,52.25,52.25,49.78,49.78,13239,0
PCG,D,20060214,000000,50.73,52.25,50.16,51.11,10832,0
PCG,D,20060215,000000,51.49,51.49,49.02,49.4,6706,0
PCG,D,20060216,000000,49.4,49.4,46.93,47.88,12051,0
PCG,D,20060217,000000,47.69,50.16,45.98,49.4,14702,0
PCG,D,20060220,000000,49.21,52.63,48.26,51.87,14321,0
PCG,D,20060221,000000,52.25,53.39,50.54,51.68,9969,0
PCG,D,20060222,000000,51.49,51.87,50.54,50.73,6551,0
PCG,D,20060223,000000,50.54,51.11,49.78,50.73,4552,0
PCG,D,20060224,000000,50.73,51.3,49.78,50.73,3434,0
PCG,D,20060227,000000,51.11,53.01,50.35,52.63,14816,0
PCG,D,20060228,000000,52.44,53.01,50.73,51.49,3799,0
PCG,D,20060301,000000,50.73,50.73,49.78,50.35,2177,0
PCG,D,20060302,000000,50.73,52.82,49.78,50.92,6023,0
PCG,D,20060303,000000,52.25,52.25,50.16,51.3,5621,0
PCG,D,20060306,000000,50.35,51.49,49.97,50.73,1974,0
PCG,D,20060307,000000,51.3,51.3,48.83,49.78,4332,0
PCG,D,20060308,000000,50.54,50.54,46.55,46.74,6143,0
PCG,D,20060309,000000,46.74,47.88,45.22,46.93,4092,0
PCG,D,20060310,000000,46.36,47.69,45.98,46.17,3235,0
PCG,D,20060313,000000,47.31,48.07,45.98,47.31,2136,0
PCG,D,20060314,000000,47.31,47.31,45.79,45.98,3044,0
PCG,D,20060315,000000,46.93,48.26,45.98,47.31,3202,0
