<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCR,D,20140625,000000,22.29,22.29,20.532,20.532,136508,0
PCR,D,20140626,000000,20.593,21.857,20.593,21.287,22885,0
PCR,D,20140627,000000,21.336,21.671,21.331,21.387,3328,0
PCR,D,20140630,000000,21.399,21.665,21.399,21.547,2908,0
PCR,D,20140701,000000,21.616,21.616,21.355,21.362,531,0
PCR,D,20140702,000000,21.455,21.455,20.965,21.052,53963,0
PCR,D,20140703,000000,21.052,21.052,20.872,21.052,7947,0
PCR,D,20140704,000000,21.052,21.671,21.052,21.671,301,0
PCR,D,20140707,000000,21.665,21.665,21.052,21.052,45660,0
PCR,D,20140708,000000,21.052,21.052,21.045,21.052,1903,0
PCR,D,20140709,000000,21.008,21.008,20.965,20.965,161,0
PCR,D,20140710,000000,20.965,20.965,20.81,20.81,123,0
PCR,D,20140711,000000,20.805,20.805,20.742,20.805,153,0
PCR,D,20140714,000000,20.922,20.927,20.922,20.927,9514,0
PCR,D,20140715,000000,20.81,21.052,20.81,21.052,177,0
PCR,D,20140716,000000,21.052,21.052,20.866,20.866,24,0
PCR,D,20140717,000000,20.817,20.927,20.68,20.927,735,0
PCR,D,20140718,000000,20.624,20.624,20.618,20.618,8595,0
PCR,D,20140721,000000,20.786,20.86,20.649,20.649,6451,0
PCR,D,20140722,000000,20.649,20.86,20.649,20.86,18,0
PCR,D,20140723,000000,20.866,20.866,20.618,20.618,4306,0
PCR,D,20140725,000000,20.797,20.797,20.371,20.432,6618,0
PCR,D,20140728,000000,20.556,20.797,20.556,20.797,815,0
PCR,D,20140729,000000,20.86,20.866,20.774,20.86,2168,0
PCR,D,20140730,000000,20.797,20.805,20.797,20.805,1194,0
PCR,D,20140731,000000,20.805,20.805,20.797,20.805,487,0
PCR,D,20140801,000000,20.792,20.792,20.618,20.767,2591,0
PCR,D,20140804,000000,20.805,20.805,20.711,20.786,6074,0
PCR,D,20140805,000000,20.774,20.774,20.649,20.68,6233,0
PCR,D,20140806,000000,20.68,20.68,20.432,20.508,13035,0
PCR,D,20140807,000000,20.427,20.483,20.247,20.432,9583,0
PCR,D,20140808,000000,20.427,20.47,20.123,20.47,5534,0
PCR,D,20140811,000000,20.279,20.618,20.185,20.6,2617,0
PCR,D,20140812,000000,20.613,20.613,20.475,20.613,10561,0
PCR,D,20140813,000000,20.613,20.613,20.483,20.55,13112,0
PCR,D,20140814,000000,20.68,20.68,20.475,20.606,3332,0
PCR,D,20140818,000000,20.68,20.68,20.575,20.618,6498,0
PCR,D,20140819,000000,20.488,20.618,20.488,20.618,8642,0
PCR,D,20140820,000000,20.618,20.618,20.483,20.483,1078,0
PCR,D,20140821,000000,20.606,20.606,20.475,20.556,1905,0
PCR,D,20140822,000000,20.556,20.556,20.475,20.475,996,0
PCR,D,20140825,000000,20.581,20.618,20.575,20.618,3909,0
PCR,D,20140826,000000,20.613,20.613,20.501,20.556,1778,0
PCR,D,20140827,000000,20.545,20.556,20.475,20.545,1260,0
PCR,D,20140828,000000,20.475,20.475,18.575,19.72,12494,0
PCR,D,20140829,000000,19.709,19.968,19.195,19.968,8163,0
