<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCX,D,20120803,000000,1.0399,1.2304,1.0399,1.1112,448917,0
PCX,D,20120806,000000,1.135,1.2383,1.0239,1.2145,300317,0
PCX,D,20120807,000000,1.2304,1.4684,1.1589,1.4684,124304,0
PCX,D,20120808,000000,1.5876,1.7463,1.4287,1.6271,208734,0
PCX,D,20120809,000000,1.5795,1.7304,1.5477,1.6748,64218,0
PCX,D,20120810,000000,1.6669,1.6669,1.6271,1.6351,24208,0
PCX,D,20120813,000000,1.6351,1.6669,1.6351,1.6351,18961,0
PCX,D,20120814,000000,1.6351,1.6351,1.5953,1.5953,2962,0
PCX,D,20120816,000000,1.6509,1.6827,1.6271,1.6827,10800,0
PCX,D,20120817,000000,1.6986,1.7066,1.6748,1.7066,6489,0
PCX,D,20120820,000000,1.7463,1.7859,1.659,1.7463,1818,0
PCX,D,20120821,000000,1.8256,1.8256,1.7463,1.8177,3200,0
PCX,D,20120822,000000,1.8256,1.8256,1.7463,1.7463,3660,0
PCX,D,20120823,000000,1.7701,1.7701,1.6986,1.6986,20348,0
PCX,D,20120824,000000,1.7304,1.8097,1.7304,1.8097,5716,0
PCX,D,20120827,000000,1.7463,1.8097,1.7463,1.8017,1706,0
PCX,D,20120828,000000,1.8097,1.8097,1.7145,1.7779,8818,0
PCX,D,20120829,000000,1.7779,1.794,1.7779,1.794,74,0
PCX,D,20120830,000000,1.7859,1.7859,1.7066,1.7066,9958,0
PCX,D,20120831,000000,1.6669,1.8415,1.5477,1.8256,51900,0
PCX,D,20120903,000000,1.8256,1.8494,1.8256,1.8494,3501,0
PCX,D,20120904,000000,1.8494,1.8494,1.8177,1.8256,233,0
PCX,D,20120905,000000,1.8256,1.8256,1.7859,1.7859,1918,0
PCX,D,20120906,000000,1.8097,1.8256,1.8097,1.8177,504,0
PCX,D,20120907,000000,1.8256,1.8256,1.8177,1.8177,251,0
PCX,D,20120910,000000,1.8256,1.8256,1.8256,1.8256,1535,0
PCX,D,20120911,000000,1.8256,1.8256,1.8177,1.8177,3634,0
PCX,D,20120912,000000,1.8017,1.8017,1.7463,1.8017,644,0
PCX,D,20120913,000000,1.8017,1.8017,1.6509,1.7066,12643,0
PCX,D,20120914,000000,1.7066,1.7066,1.6827,1.6827,1410,0
PCX,D,20120917,000000,1.6827,1.6827,1.6193,1.6193,1921,0
PCX,D,20120918,000000,1.6193,1.6827,1.5557,1.6669,27875,0
PCX,D,20120919,000000,1.6431,1.6748,1.6431,1.6748,1574,0
PCX,D,20120920,000000,1.6669,1.6669,1.659,1.6669,145,0
PCX,D,20120921,000000,1.6669,1.6669,1.5953,1.6669,1198,0
PCX,D,20120924,000000,1.6748,1.6827,1.6748,1.6827,579,0
PCX,D,20120925,000000,1.6827,1.6827,1.6669,1.6669,62,0
PCX,D,20120926,000000,1.6509,1.7066,1.6112,1.7066,11212,0
PCX,D,20120927,000000,1.7066,1.7066,1.6827,1.6986,1096,0
PCX,D,20120928,000000,1.6986,1.7382,1.6986,1.7382,251,0
PCX,D,20121001,000000,1.7382,1.7382,1.7304,1.7382,410,0
PCX,D,20121002,000000,1.7463,1.7463,1.6827,1.7463,12534,0
PCX,D,20121003,000000,1.7463,1.7859,1.7223,1.7701,3963,0
PCX,D,20121004,000000,1.7859,1.7859,1.7779,1.7859,3464,0
PCX,D,20121005,000000,1.7859,1.794,1.7779,1.7859,3275,0
PCX,D,20121008,000000,1.7859,1.8256,1.7463,1.8256,2457,0
PCX,D,20121009,000000,1.8256,1.8256,1.8177,1.8256,504,0
PCX,D,20121010,000000,1.8256,1.8256,1.7859,1.7859,844,0
PCX,D,20121011,000000,1.8017,1.8494,1.8017,1.8415,1624,0
PCX,D,20121012,000000,1.8494,2.1431,1.8335,2.1431,20204,0
PCX,D,20121015,000000,2.1828,2.1828,2.1431,2.1828,3428,0
PCX,D,20121016,000000,2.1828,2.3017,2.1748,2.3017,9657,0
PCX,D,20121017,000000,2.3811,2.5798,2.3811,2.5717,41690,0
PCX,D,20121018,000000,2.5717,2.6988,2.5399,2.6988,21172,0
PCX,D,20121019,000000,2.6988,2.6988,2.5955,2.5955,9576,0
PCX,D,20121022,000000,2.5241,2.8575,2.5241,2.8575,25837,0
PCX,D,20121023,000000,2.8575,2.9528,2.5798,2.9528,31465,0
PCX,D,20121024,000000,2.913,3.0163,2.913,3.0003,28194,0
PCX,D,20121025,000000,3.0163,3.0401,3.0083,3.032,7623,0
PCX,D,20121026,000000,3.0558,3.151,3.048,3.151,31003,0
PCX,D,20121029,000000,3.151,3.1987,3.1433,3.1987,24912,0
PCX,D,20121030,000000,3.2147,3.2703,3.2147,3.2703,19929,0
PCX,D,20121031,000000,3.2703,3.3894,3.2622,3.3894,28684,0
PCX,D,20121102,000000,3.3894,3.4369,3.3813,3.4369,20837,0
PCX,D,20121105,000000,3.4369,3.5321,3.4369,3.5321,69320,0
PCX,D,20121106,000000,3.5321,3.5639,3.5004,3.5559,15976,0
PCX,D,20121107,000000,3.5559,3.5718,3.2463,3.2544,26097,0
PCX,D,20121108,000000,3.2384,3.5321,2.7384,3.5242,40295,0
PCX,D,20121109,000000,3.5242,3.5242,3.294,3.3337,4826,0
PCX,D,20121112,000000,3.183,3.2544,3.167,3.1749,6739,0
PCX,D,20121113,000000,3.1353,3.167,3.0241,3.167,740,0
PCX,D,20121114,000000,3.167,3.1987,3.167,3.1987,3968,0
PCX,D,20121115,000000,3.183,3.2066,3.0558,3.1987,1803,0
PCX,D,20121116,000000,3.1987,3.2463,3.1749,3.2463,158,0
PCX,D,20121119,000000,3.2384,3.2463,3.167,3.2305,911,0
PCX,D,20121120,000000,3.2305,3.2305,3.0956,3.2147,4410,0
