<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDZ,D,20051024,000000,0.56343,0.58793,0.55118,0.58793,600000,0
PDZ,D,20051025,000000,0.63807,0.68715,0.61353,0.63807,255900,0
PDZ,D,20051026,000000,0.671,0.671,0.59645,0.59645,523800,0
PDZ,D,20051027,000000,0.59393,0.59393,0.56918,0.59393,646100,0
PDZ,D,20051028,000000,0.59484,0.59484,0.53288,0.55766,87200,0
PDZ,D,20051031,000000,0.55634,0.5687,0.51925,0.5687,198100,0
PDZ,D,20051101,000000,0.54252,0.56718,0.54252,0.56718,11200,0
PDZ,D,20051102,000000,0.55952,0.55952,0.53519,0.55952,65500,0
PDZ,D,20051103,000000,0.56244,0.57467,0.56244,0.56244,95000,0
PDZ,D,20051104,000000,0.56916,0.58153,0.56916,0.56916,70000,0
PDZ,D,20051107,000000,0.57397,0.57397,0.54901,0.54901,172700,0
PDZ,D,20051108,000000,0.54989,0.54989,0.4999,0.4999,125600,0
PDZ,D,20051109,000000,0.51396,0.52649,0.45128,0.50142,132500,0
PDZ,D,20051110,000000,0.52334,0.56072,0.51088,0.52334,530200,0
PDZ,D,20051111,000000,0.52878,0.52878,0.47842,0.5036,67500,0
PDZ,D,20051114,000000,0.49808,0.49808,0.44827,0.44827,229100,0
PDZ,D,20051115,000000,0.44872,0.47365,0.44872,0.47365,25800,0
PDZ,D,20051116,000000,0.47327,0.52309,0.47327,0.49818,147300,0
PDZ,D,20051117,000000,0.49654,0.50895,0.47171,0.49654,108900,0
PDZ,D,20051118,000000,0.49586,0.55784,0.49586,0.49586,103400,0
PDZ,D,20051121,000000,0.4984,0.4984,0.47348,0.47348,12200,0
PDZ,D,20051122,000000,0.47263,0.47263,0.47263,0.47263,300,0
PDZ,D,20051123,000000,0.4667,0.49126,0.4667,0.49126,179200,0
PDZ,D,20051124,000000,0.47824,0.51503,0.47824,0.4905,105400,0
PDZ,D,20051125,000000,0.49102,0.51557,0.49102,0.51557,75200,0
PDZ,D,20051128,000000,0.51055,0.52271,0.48624,0.51055,166600,0
PDZ,D,20051129,000000,0.51263,0.51263,0.51263,0.51263,110000,0
PDZ,D,20051130,000000,0.51442,0.51442,0.50217,0.50217,135700,0
PDZ,D,20051201,000000,0.52957,0.56651,0.52957,0.56651,690300,0
PDZ,D,20051202,000000,0.56672,0.64064,0.56672,0.59136,200100,0
PDZ,D,20051205,000000,0.58894,0.63801,0.58894,0.63801,125400,0
PDZ,D,20051206,000000,0.63877,0.63877,0.63877,0.63877,65700,0
PDZ,D,20051207,000000,0.68695,0.73602,0.68695,0.73602,186100,0
PDZ,D,20051208,000000,0.72408,0.72408,0.58908,0.66272,264000,0
PDZ,D,20051209,000000,0.68743,0.68743,0.66288,0.68743,150900,0
PDZ,D,20051212,000000,0.6625,0.68659,0.6625,0.6625,51400,0
PDZ,D,20051213,000000,0.66715,0.69141,0.66715,0.66715,173200,0
PDZ,D,20051214,000000,0.66292,0.69907,0.66292,0.69907,74300,0
PDZ,D,20051215,000000,0.67161,0.67161,0.63563,0.63563,93500,0
