<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEM,D,20150409,000000,86.409,92.09,85.231,91.531,106943,0
PEM,D,20150410,000000,92.09,95.071,90.771,94.86,12464,0
PEM,D,20150413,000000,94.787,94.787,92.852,92.888,2777,0
PEM,D,20150414,000000,93.2,95.199,92.888,95.199,7824,0
PEM,D,20150415,000000,94.924,95.273,93.897,94.924,859,0
PEM,D,20150416,000000,94.585,94.585,92.888,93.163,571,0
PEM,D,20150417,000000,92.962,93.099,92.155,92.714,1944,0
PEM,D,20150420,000000,92.155,94.025,90.155,94.025,348,0
PEM,D,20150421,000000,91.292,94.236,91.292,92.155,262,0
PEM,D,20150422,000000,91.531,92.155,91.467,92.155,46,0
PEM,D,20150423,000000,92.228,94.236,92.228,92.301,2252,0
PEM,D,20150424,000000,92.503,92.503,90.598,92.155,2792,0
PEM,D,20150427,000000,90.528,93.549,90.528,93.549,302,0
PEM,D,20150428,000000,93.549,95.034,91.742,92.228,2159,0
PEM,D,20150429,000000,92.301,94.236,92.301,94.025,29,0
PEM,D,20150430,000000,94.172,95.493,94.172,95.493,5233,0
PEM,D,20150504,000000,95.621,98.327,95.621,97.667,2284,0
PEM,D,20150505,000000,97.217,99.79,94.924,96.282,2199,0
PEM,D,20150506,000000,96.318,96.942,95.007,96.942,107,0
PEM,D,20150507,000000,94.924,95.245,94.31,94.924,442,0
PEM,D,20150508,000000,94.924,96.869,94.924,96.869,427,0
PEM,D,20150511,000000,96.346,96.456,96.346,96.456,674,0
PEM,D,20150512,000000,96.942,97.703,96.942,97.08,1621,0
PEM,D,20150513,000000,97.355,98.052,97.18,97.703,849,0
PEM,D,20150514,000000,98.391,98.391,98.116,98.391,253,0
PEM,D,20150515,000000,100.47,103.94,98.391,98.391,1290,0
PEM,D,20150518,000000,97.015,98.391,97.015,98.364,663,0
PEM,D,20150519,000000,98.364,100.31,97.263,99.088,298,0
PEM,D,20150520,000000,97.703,99.088,97.703,98.052,88,0
PEM,D,20150521,000000,98.052,98.052,97.281,97.703,738,0
PEM,D,20150522,000000,97.703,99.051,96.942,99.051,679,0
PEM,D,20150525,000000,98.74,102.42,97.703,102.42,684,0
PEM,D,20150526,000000,103.24,106.02,103.19,106.02,1204,0
PEM,D,20150527,000000,106.02,106.02,105.32,105.91,317,0
PEM,D,20150528,000000,103.94,105.32,103.28,104.63,761,0
PEM,D,20150529,000000,103.66,105.29,103.66,104.63,929,0
PEM,D,20150601,000000,104.63,104.98,104.63,104.98,378,0
PEM,D,20150602,000000,105.05,105.67,104.63,104.63,278,0
