<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEO,D,19980630,000000,28.892,28.892,28.892,28.892,1066650,0
PEO,D,19980701,000000,30.73,30.73,30.73,30.73,1240019,0
PEO,D,19980702,000000,32.047,32.047,32.047,32.047,1131707,0
PEO,D,19980703,000000,30.73,30.73,30.73,30.73,1617927,0
PEO,D,19980706,000000,30.73,30.73,30.73,30.73,751313,0
PEO,D,19980707,000000,29.944,30.73,29.944,30.21,548511,0
PEO,D,19980708,000000,29.944,29.944,28.892,28.892,1449897,0
PEO,D,19980709,000000,28.892,28.892,28.892,28.892,500552,0
PEO,D,19980710,000000,28.892,29.683,28.892,29.418,183922,0
PEO,D,19980713,000000,29.944,31.256,29.944,30.996,97541,0
PEO,D,19980714,000000,31.522,32.307,31.522,31.522,307955,0
PEO,D,19980715,000000,32.047,32.307,30.996,32.047,606737,0
PEO,D,19980716,000000,32.047,32.047,31.522,31.781,394596,0
PEO,D,19980717,000000,32.574,32.834,32.307,32.574,441254,0
PEO,D,19980720,000000,32.574,34.146,32.574,34.146,239663,0
PEO,D,19980721,000000,34.146,34.146,33.101,33.359,224834,0
PEO,D,19980722,000000,33.62,33.62,32.574,33.101,285188,0
PEO,D,19980723,000000,33.359,34.146,33.359,33.885,196056,0
PEO,D,19980724,000000,33.62,34.146,33.62,33.885,135937,0
PEO,D,19980727,000000,33.359,33.359,32.834,33.359,102300,0
PEO,D,19980728,000000,33.101,33.101,32.307,32.574,157476,0
PEO,D,19980729,000000,32.574,33.359,32.574,33.359,252720,0
PEO,D,19980730,000000,33.62,33.62,33.359,33.62,114988,0
PEO,D,19980731,000000,32.834,33.101,32.574,33.101,169103,0
PEO,D,19980803,000000,32.047,33.101,32.047,32.574,151310,0
PEO,D,19980804,000000,32.834,32.834,32.574,32.574,183258,0
PEO,D,19980805,000000,31.522,32.047,31.522,31.781,253297,0
PEO,D,19980806,000000,32.047,32.574,31.781,31.781,124024,0
PEO,D,19980807,000000,32.047,32.574,32.047,32.574,87030,0
PEO,D,19980810,000000,32.574,32.574,32.047,32.307,84448,0
PEO,D,19980811,000000,31.781,31.781,30.47,30.47,229075,0
PEO,D,19980812,000000,31.522,32.307,31.256,32.047,255493,0
PEO,D,19980813,000000,30.996,30.996,30.21,30.73,95168,0
PEO,D,19980814,000000,30.996,31.522,30.996,31.522,93707,0
PEO,D,19980817,000000,30.996,31.781,30.996,31.522,128699,0
PEO,D,19980818,000000,31.781,32.574,31.781,32.047,80900,0
PEO,D,19980819,000000,31.781,32.307,31.781,32.307,153836,0
PEO,D,19980820,000000,31.781,31.781,30.996,31.256,305915,0
PEO,D,19980821,000000,31.256,31.522,30.47,31.256,325309,0
PEO,D,19980824,000000,30.996,31.781,30.996,31.781,130934,0
PEO,D,19980825,000000,31.522,31.522,30.996,30.996,61366,0
PEO,D,19980826,000000,30.996,31.256,30.996,30.996,322449,0
PEO,D,19980827,000000,30.47,30.73,29.944,30.47,693836,0
PEO,D,19980828,000000,27.579,28.367,27.054,28.367,43210,0
PEO,D,19980831,000000,26.793,27.32,26.527,26.793,174374,0
PEO,D,19980901,000000,24.114,24.374,22.693,24.165,232487,0
PEO,D,19980902,000000,26.002,27.054,25.742,27.054,221897,0
PEO,D,19980903,000000,26.793,26.793,25.742,25.742,355111,0
PEO,D,19980904,000000,26.268,27.054,26.268,27.054,217803,0
PEO,D,19980907,000000,27.054,28.367,27.054,27.846,105629,0
PEO,D,19980908,000000,27.054,28.106,27.054,28.106,341688,0
PEO,D,19980909,000000,27.846,27.846,27.32,27.579,231746,0
PEO,D,19980910,000000,26.793,27.32,26.793,26.793,146413,0
PEO,D,19980911,000000,26.002,26.268,25.849,26.002,72673,0
PEO,D,19980914,000000,26.268,26.793,26.268,26.268,186444,0
PEO,D,19980915,000000,25.951,26.059,25.951,26.002,291843,0
PEO,D,19980916,000000,25.951,26.217,25.951,26.002,160162,0
PEO,D,19980917,000000,25.482,25.691,25.059,25.059,91456,0
PEO,D,19980918,000000,25.059,25.635,25.059,25.635,44857,0
PEO,D,19980921,000000,24.691,24.691,24.165,24.64,25773,0
PEO,D,19980922,000000,24.849,25.217,24.849,24.956,72096,0
PEO,D,19980923,000000,25.217,26.268,25.217,25.742,57443,0
PEO,D,19980924,000000,26.793,26.793,26.268,26.268,67625,0
PEO,D,19980925,000000,26.002,26.002,25.742,25.742,37158,0
PEO,D,19980928,000000,26.002,26.002,25.482,25.482,71343,0
PEO,D,19980929,000000,25.742,25.742,25.482,25.742,83699,0
PEO,D,19980930,000000,24.691,24.691,24.165,24.22,20070,0
PEO,D,19981001,000000,22.225,22.225,21.433,21.54,56715,0
PEO,D,19981002,000000,20.014,20.279,19.912,20.172,161674,0
PEO,D,19981005,000000,19.544,20.014,18.911,19.12,184757,0
PEO,D,19981006,000000,18.967,18.967,18.018,18.702,112764,0
PEO,D,19981007,000000,19.176,19.176,17.283,18.074,81386,0
PEO,D,19981008,000000,17.283,17.283,16.077,16.286,86864,0
PEO,D,19981009,000000,16.286,16.655,16.286,16.655,89820,0
PEO,D,19981012,000000,17.866,18.385,17.866,18.385,131019,0
PEO,D,19981013,000000,18.911,19.176,18.284,18.385,120735,0
PEO,D,19981014,000000,17.866,18.543,17.866,18.385,42677,0
PEO,D,19981015,000000,18.752,18.752,17.65,17.866,30393,0
PEO,D,19981016,000000,19.436,20.33,19.386,20.228,147016,0
PEO,D,19981019,000000,20.488,20.488,20.014,20.069,102343,0
PEO,D,19981020,000000,20.228,20.964,19.963,20.964,124081,0
PEO,D,19981021,000000,19.963,20.964,19.963,20.172,178981,0
PEO,D,19981022,000000,19.702,20.33,19.702,20.069,88389,0
PEO,D,19981023,000000,20.228,20.748,20.228,20.488,184272,0
PEO,D,19981026,000000,21.014,21.014,20.439,20.806,65168,0
PEO,D,19981027,000000,20.488,20.488,19.595,19.595,37853,0
PEO,D,19981028,000000,19.228,19.228,18.752,18.809,57148,0
