<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEP,D,20050513,000000,6.5384,6.9059,6.5384,6.7221,49371,0
PEP,D,20050516,000000,6.6254,6.8092,6.6254,6.7221,15642,0
PEP,D,20050517,000000,6.7221,6.8092,6.6738,6.8092,20373,0
PEP,D,20050518,000000,6.9059,6.9059,6.6738,6.7705,15921,0
PEP,D,20050519,000000,6.6738,6.7705,6.6738,6.7705,8618,0
PEP,D,20050520,000000,6.7221,6.7705,6.6738,6.7221,3143,0
PEP,D,20050523,000000,6.7705,6.7705,6.6254,6.6254,17421,0
PEP,D,20050524,000000,6.6254,6.7221,6.6254,6.7221,19393,0
PEP,D,20050525,000000,6.6254,6.6738,6.577,6.6738,12321,0
PEP,D,20050527,000000,6.6738,6.6738,6.6254,6.6738,546,0
PEP,D,20050530,000000,6.577,6.7221,6.577,6.6738,22399,0
PEP,D,20050531,000000,6.7221,6.7221,6.7221,6.7221,5,0
PEP,D,20050601,000000,6.6738,6.6738,6.6254,6.6254,4939,0
PEP,D,20050602,000000,6.7221,6.7221,6.6254,6.6738,7393,0
PEP,D,20050603,000000,6.6738,6.7221,6.6738,6.7221,13689,0
PEP,D,20050606,000000,6.6738,6.7705,6.6254,6.7705,18001,0
PEP,D,20050607,000000,6.7705,6.8092,6.7221,6.8092,25047,0
PEP,D,20050608,000000,6.7705,7.0026,6.7705,7.0026,6048,0
PEP,D,20050609,000000,6.9059,7.0026,6.8092,7.0026,1415,0
PEP,D,20050610,000000,7.0026,7.138,7.0026,7.138,18144,0
PEP,D,20050613,000000,7.1864,7.1864,6.9059,7.138,9229,0
PEP,D,20050614,000000,7.1864,7.1864,7.0897,7.1864,19949,0
PEP,D,20050615,000000,7.0897,7.1864,6.9059,7.1864,6369,0
PEP,D,20050616,000000,7.1864,7.2348,7.1864,7.1864,13423,0
PEP,D,20050617,000000,7.2348,7.3315,7.2348,7.2831,23353,0
PEP,D,20050620,000000,7.2831,7.2831,7.2831,7.2831,11455,0
PEP,D,20050621,000000,7.1864,7.2831,7.1864,7.2831,9107,0
PEP,D,20050622,000000,7.051,7.2348,7.051,7.2348,2685,0
PEP,D,20050623,000000,6.8575,7.1864,6.8575,7.0026,3500,0
PEP,D,20050624,000000,6.9059,7.051,6.9059,7.051,428,0
PEP,D,20050627,000000,7.0897,7.0897,6.9059,7.051,905,0
PEP,D,20050628,000000,7.0026,7.051,7.0026,7.0026,23319,0
PEP,D,20050629,000000,7.0026,7.051,7.0026,7.051,140,0
PEP,D,20050630,000000,6.9543,7.051,6.9543,7.051,965,0
PEP,D,20050701,000000,6.9543,7.051,6.9543,7.051,750,0
PEP,D,20050704,000000,7.0026,7.0026,6.9543,7.0026,1211,0
PEP,D,20050705,000000,7.0026,7.0026,7.0026,7.0026,5391,0
PEP,D,20050707,000000,6.9543,6.9543,6.6254,6.8092,4087,0
PEP,D,20050708,000000,6.8092,6.8092,6.6254,6.7221,1918,0
PEP,D,20050711,000000,6.7221,6.9059,6.6254,6.8092,4425,0
PEP,D,20050712,000000,6.8092,6.8092,6.7221,6.8092,1928,0
PEP,D,20050713,000000,6.8092,6.9059,6.8092,6.9059,552,0
PEP,D,20050714,000000,6.9059,6.9059,6.7221,6.8575,8789,0
PEP,D,20050715,000000,6.6254,6.9543,6.6254,6.9543,1821,0
PEP,D,20050718,000000,6.9059,6.9543,6.6254,6.9543,2244,0
PEP,D,20050719,000000,6.7705,6.9543,6.6254,6.8575,6522,0
PEP,D,20050720,000000,6.7221,6.7221,6.6738,6.6738,1793,0
PEP,D,20050721,000000,6.49,6.6254,6.4416,6.6254,627,0
PEP,D,20050722,000000,6.5384,6.6254,6.3449,6.6254,6205,0
PEP,D,20050725,000000,6.49,6.6738,6.4416,6.4416,1086,0
PEP,D,20050726,000000,6.5384,6.6254,6.5384,6.6254,3072,0
PEP,D,20050727,000000,6.6738,6.7221,6.5384,6.577,3654,0
PEP,D,20050728,000000,6.6254,6.6254,6.6254,6.6254,5,0
PEP,D,20050729,000000,6.6738,6.7221,6.5384,6.7221,14506,0
PEP,D,20050801,000000,6.577,6.6738,6.5384,6.6738,1823,0
PEP,D,20050802,000000,6.7221,6.7221,6.5384,6.6738,2489,0
PEP,D,20050803,000000,6.6738,6.7221,6.5384,6.6738,471,0
PEP,D,20050804,000000,6.5384,6.7221,6.3933,6.7221,4768,0
PEP,D,20050805,000000,6.5384,6.7221,6.5384,6.7221,2005,0
PEP,D,20050808,000000,6.5384,6.7221,6.5384,6.7221,323,0
PEP,D,20050809,000000,6.5384,6.6738,6.5384,6.6738,888,0
PEP,D,20050810,000000,6.5384,6.7221,6.5384,6.7221,1763,0
PEP,D,20050811,000000,6.5384,6.7221,6.5384,6.7221,12300,0
PEP,D,20050812,000000,6.6254,6.6254,6.5384,6.5384,4049,0
PEP,D,20050816,000000,6.6254,6.6254,6.6254,6.6254,862,0
PEP,D,20050817,000000,6.577,6.577,6.4416,6.577,2711,0
PEP,D,20050818,000000,6.5384,6.5384,6.4416,6.5384,4017,0
PEP,D,20050819,000000,6.5384,6.577,6.5384,6.577,15053,0
PEP,D,20050822,000000,6.3933,6.577,6.3933,6.577,17273,0
PEP,D,20050823,000000,6.49,6.577,6.3933,6.577,1833,0
PEP,D,20050824,000000,6.577,6.577,6.0161,6.5384,6381,0
PEP,D,20050825,000000,6.3449,6.5384,6.2579,6.5384,4645,0
PEP,D,20050826,000000,6.3449,6.5384,6.3449,6.5384,12207,0
PEP,D,20050829,000000,6.3449,6.5384,6.2579,6.5384,12541,0
PEP,D,20050830,000000,6.3933,6.4416,6.3449,6.4416,11414,0
PEP,D,20050831,000000,6.3449,6.4416,6.1128,6.3933,24358,0
PEP,D,20050901,000000,6.3449,6.3449,6.2095,6.2579,2758,0
PEP,D,20050902,000000,6.1611,6.2095,6.1128,6.2095,7977,0
