<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGM,D,19951222,000000,158.6,158.6,158.6,158.6,6871,0
PGM,D,19951227,000000,173,173,173,173,5625,0
PGM,D,19951228,000000,165.3,165.3,165.3,165.3,3082,0
PGM,D,19951229,000000,167.2,167.2,167.2,167.2,3735,0
PGM,D,19960102,000000,173,173,173,173,1575,0
PGM,D,19960103,000000,168.2,168.2,168.2,168.2,3336,0
PGM,D,19960104,000000,164.3,164.3,164.3,164.3,4968,0
PGM,D,19960105,000000,180.7,180.7,180.7,180.7,6656,0
PGM,D,19960108,000000,187.4,187.4,187.4,187.4,3236,0
PGM,D,19960109,000000,192.2,192.2,192.2,192.2,6035,0
PGM,D,19960110,000000,189.3,189.3,189.3,189.3,3127,0
PGM,D,19960111,000000,201.8,201.8,201.8,201.8,4360,0
PGM,D,19960112,000000,199.9,199.9,199.9,199.9,2994,0
PGM,D,19960115,000000,197,197,197,197,1606,0
PGM,D,19960116,000000,193.2,193.2,193.2,193.2,1827,0
PGM,D,19960117,000000,198.9,198.9,198.9,198.9,2260,0
PGM,D,19960118,000000,191.2,191.2,191.2,191.2,1378,0
PGM,D,19960119,000000,183.6,183.6,183.6,183.6,2141,0
PGM,D,19960122,000000,183.6,183.6,183.6,183.6,1242,0
PGM,D,19960123,000000,181.6,181.6,181.6,181.6,818,0
PGM,D,19960124,000000,188.4,188.4,188.4,188.4,2344,0
PGM,D,19960125,000000,195.1,195.1,195.1,195.1,1597,0
PGM,D,19960126,000000,192.2,192.2,192.2,192.2,3954,0
PGM,D,19960129,000000,190.3,190.3,190.3,190.3,1527,0
PGM,D,19960130,000000,182.6,182.6,182.6,182.6,3343,0
PGM,D,19960131,000000,190.3,190.3,190.3,190.3,6051,0
PGM,D,19960201,000000,182.6,182.6,182.6,182.6,2727,0
PGM,D,19960202,000000,189.3,189.3,189.3,189.3,3985,0
PGM,D,19960205,000000,187.4,187.4,187.4,187.4,1857,0
PGM,D,19960206,000000,187.4,187.4,187.4,187.4,2532,0
PGM,D,19960207,000000,185.5,185.5,185.5,185.5,2030,0
PGM,D,19960208,000000,188.4,188.4,188.4,188.4,650,0
PGM,D,19960209,000000,192.2,192.2,192.2,192.2,2979,0
PGM,D,19960212,000000,211.4,211.4,211.4,211.4,5576,0
PGM,D,19960213,000000,201.8,201.8,201.8,201.8,3275,0
PGM,D,19960214,000000,201.8,201.8,201.8,201.8,4700,0
PGM,D,19960215,000000,204.7,204.7,204.7,204.7,3583,0
PGM,D,19960216,000000,206.6,206.6,206.6,206.6,2171,0
PGM,D,19960219,000000,211.4,211.4,211.4,211.4,1608,0
PGM,D,19960220,000000,211.4,211.4,211.4,211.4,3762,0
PGM,D,19960221,000000,213.4,213.4,213.4,213.4,2784,0
PGM,D,19960222,000000,230.6,230.6,230.6,230.6,4908,0
PGM,D,19960223,000000,234.5,234.5,234.5,234.5,2070,0
PGM,D,19960226,000000,244.1,244.1,244.1,244.1,1688,0
PGM,D,19960227,000000,246,246,246,246,2640,0
PGM,D,19960228,000000,242.2,242.2,242.2,242.2,1577,0
PGM,D,19960229,000000,250.8,250.8,250.8,250.8,5478,0
PGM,D,19960301,000000,264.3,264.3,264.3,264.3,2758,0
PGM,D,19960304,000000,264.3,264.3,264.3,264.3,2113,0
PGM,D,19960305,000000,263.3,263.3,263.3,263.3,2360,0
PGM,D,19960306,000000,251.8,251.8,251.8,251.8,5044,0
PGM,D,19960307,000000,248.9,248.9,248.9,248.9,2075,0
PGM,D,19960308,000000,239.3,239.3,239.3,239.3,2833,0
PGM,D,19960311,000000,235.5,235.5,235.5,235.5,2160,0
PGM,D,19960312,000000,232.6,232.6,232.6,232.6,1346,0
PGM,D,19960313,000000,232.6,232.6,232.6,232.6,780,0
PGM,D,19960314,000000,230.6,230.6,230.6,230.6,1272,0
PGM,D,19960315,000000,232.6,232.6,232.6,232.6,980,0
PGM,D,19960318,000000,238.3,238.3,238.3,238.3,3927,0
PGM,D,19960319,000000,239.3,239.3,239.3,239.3,1958,0
PGM,D,19960320,000000,223,223,223,223,1480,0
PGM,D,19960321,000000,223.9,223.9,223.9,223.9,1117,0
PGM,D,19960322,000000,218.2,218.2,218.2,218.2,2528,0
PGM,D,19960325,000000,217.2,217.2,217.2,217.2,525,0
PGM,D,19960326,000000,219.1,219.1,219.1,219.1,543,0
PGM,D,19960327,000000,222,222,222,222,712,0
PGM,D,19960328,000000,213.4,213.4,213.4,213.4,265,0
PGM,D,19960329,000000,216.2,216.2,216.2,216.2,1135,0
PGM,D,19960401,000000,219.1,219.1,219.1,219.1,721,0
PGM,D,19960402,000000,216.2,216.2,216.2,216.2,541,0
PGM,D,19960403,000000,216.2,216.2,216.2,216.2,733,0
PGM,D,19960404,000000,219.1,219.1,219.1,219.1,929,0
PGM,D,19960405,000000,221,221,221,221,909,0
PGM,D,19960409,000000,219.1,219.1,219.1,219.1,1068,0
PGM,D,19960410,000000,225.8,225.8,225.8,225.8,1180,0
PGM,D,19960411,000000,227.8,227.8,227.8,227.8,1181,0
PGM,D,19960412,000000,223,223,223,223,195,0
PGM,D,19960415,000000,228.7,228.7,228.7,228.7,1049,0
PGM,D,19960416,000000,231.6,231.6,231.6,231.6,2079,0
