<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PGO,D,20111010,000000,0.9383,0.9383,0.6474,0.7131,123048,0
PGO,D,20111011,000000,0.7507,0.7882,0.685,0.7037,62557,0
PGO,D,20111012,000000,0.7131,0.7319,0.6568,0.7319,188288,0
PGO,D,20111013,000000,0.685,0.7507,0.685,0.7507,29000,0
PGO,D,20111014,000000,0.7319,0.7694,0.7319,0.76,5604,0
PGO,D,20111017,000000,0.7694,0.8257,0.7694,0.807,36036,0
PGO,D,20111018,000000,0.7788,0.8163,0.7788,0.807,37425,0
PGO,D,20111019,000000,0.807,0.8351,0.807,0.8257,7128,0
PGO,D,20111020,000000,0.8257,0.8257,0.7976,0.7976,809,0
PGO,D,20111021,000000,0.7976,0.8257,0.76,0.7788,9897,0
PGO,D,20111024,000000,0.7788,0.7976,0.7788,0.7788,8301,0
PGO,D,20111025,000000,0.7788,0.807,0.7788,0.7882,11801,0
PGO,D,20111026,000000,0.8163,0.8351,0.7788,0.8163,99180,0
PGO,D,20111027,000000,0.8163,0.8351,0.7882,0.7976,124029,0
PGO,D,20111028,000000,0.7694,0.807,0.7225,0.807,18475,0
PGO,D,20111031,000000,0.7507,0.8163,0.7507,0.8163,3515,0
PGO,D,20111102,000000,0.76,0.8163,0.76,0.807,33062,0
PGO,D,20111103,000000,0.807,0.8257,0.7788,0.7976,6928,0
PGO,D,20111104,000000,0.7976,0.807,0.7882,0.807,43739,0
PGO,D,20111107,000000,0.807,0.8445,0.807,0.8351,39215,0
PGO,D,20111108,000000,0.8257,0.9289,0.8257,0.9102,158455,0
PGO,D,20111109,000000,0.9665,1.0509,0.9102,0.9759,132670,0
PGO,D,20111110,000000,1.004,1.004,0.8726,0.9477,22195,0
PGO,D,20111114,000000,0.9008,0.9571,0.8726,0.8726,144450,0
PGO,D,20111115,000000,0.8445,0.9665,0.8445,0.9665,488584,0
PGO,D,20111116,000000,0.9852,1.0322,0.9852,1.0322,27327,0
PGO,D,20111117,000000,1.0415,1.0791,1.004,1.0509,71434,0
PGO,D,20111118,000000,1.0134,1.0603,1.0134,1.0603,1471,0
PGO,D,20111121,000000,0.9852,1.0322,0.9759,0.9946,19297,0
PGO,D,20111122,000000,0.9571,1.0509,0.9571,1.004,8730,0
PGO,D,20111123,000000,1.004,1.004,1.004,1.004,3006,0
PGO,D,20111124,000000,1.004,1.004,1.004,1.004,83070,0
PGO,D,20111125,000000,1.004,1.004,0.9665,0.9946,6573,0
PGO,D,20111128,000000,0.9383,1.004,0.9289,1.004,40642,0
PGO,D,20111129,000000,0.9946,1.0134,0.9759,1.0134,10177,0
PGO,D,20111130,000000,1.004,1.0697,0.9852,1.0697,53967,0
PGO,D,20111201,000000,1.0322,1.0791,1.004,1.0322,79426,0
PGO,D,20111202,000000,1.0415,1.0509,1.0228,1.0322,29511,0
PGO,D,20111205,000000,1.0322,1.0791,1.0322,1.0791,28298,0
PGO,D,20111206,000000,1.0603,1.1448,1.0603,1.126,9477,0
PGO,D,20111207,000000,1.1823,1.2855,1.1072,1.2667,28904,0
PGO,D,20111208,000000,1.2198,1.2667,1.1729,1.2198,41291,0
PGO,D,20111209,000000,1.2104,1.2292,1.1823,1.2198,1815,0
PGO,D,20111212,000000,1.2104,1.2386,1.1917,1.2198,11373,0
PGO,D,20111213,000000,1.1917,1.2292,1.1917,1.2198,6302,0
