<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHN,D,20130213,000000,18.058,18.811,18.058,18.732,763900,0
PHN,D,20130214,000000,18.732,19.042,18.629,19.01,331273,0
PHN,D,20130215,000000,19.01,19.05,18.804,18.875,48781,0
PHN,D,20130218,000000,18.811,18.811,17.066,18.573,71648,0
PHN,D,20130219,000000,18.342,18.652,18.342,18.614,73959,0
PHN,D,20130220,000000,18.573,18.692,18.534,18.66,74855,0
PHN,D,20130221,000000,18.494,18.692,18.297,18.645,72809,0
PHN,D,20130222,000000,18.62,18.766,18.62,18.732,18361,0
PHN,D,20130225,000000,18.732,18.852,18.716,18.741,46961,0
PHN,D,20130226,000000,18.71,18.891,18.692,18.811,28518,0
PHN,D,20130227,000000,18.891,19.114,18.811,19.05,76176,0
PHN,D,20130228,000000,19.05,19.28,19.05,19.207,25823,0
PHN,D,20130301,000000,19.207,19.272,18.891,19.207,22393,0
PHN,D,20130304,000000,19.207,19.207,18.899,18.906,7184,0
PHN,D,20130305,000000,18.947,19.073,18.947,19.05,17349,0
PHN,D,20130306,000000,19.05,19.17,19.01,19.058,16830,0
PHN,D,20130307,000000,19.05,19.153,18.979,19.153,16908,0
PHN,D,20130308,000000,19.05,19.177,19.01,19.161,16913,0
PHN,D,20130311,000000,19.161,19.763,19.019,19.439,60303,0
PHN,D,20130312,000000,19.447,19.685,19.447,19.685,15174,0
PHN,D,20130313,000000,19.702,19.725,19.456,19.694,10139,0
PHN,D,20130314,000000,19.702,20.304,19.702,20.161,60802,0
PHN,D,20130315,000000,20.161,20.796,20.161,20.637,55093,0
PHN,D,20130318,000000,20.264,20.533,19.073,20.471,25805,0
PHN,D,20130319,000000,20.32,20.55,20.185,20.312,7315,0
PHN,D,20130320,000000,20.24,21.027,19.972,20.796,60533,0
PHN,D,20130321,000000,20.834,20.834,19.549,20.003,36346,0
PHN,D,20130322,000000,19.859,20.161,19.566,19.923,69498,0
PHN,D,20130325,000000,19.844,20.541,19.605,20.375,9480,0
PHN,D,20130326,000000,20.24,20.478,20.161,20.406,74360,0
PHN,D,20130327,000000,20.415,20.478,20.406,20.415,24948,0
PHN,D,20130328,000000,20.24,20.637,20.05,20.415,157645,0
PHN,D,20130402,000000,20.415,20.478,20.28,20.478,117857,0
PHN,D,20130403,000000,20.44,20.63,20.44,20.558,96063,0
PHN,D,20130404,000000,20.4,20.478,20.28,20.392,36628,0
PHN,D,20130405,000000,20.4,20.478,20.288,20.327,31774,0
PHN,D,20130408,000000,20.32,20.716,20.32,20.55,20627,0
PHN,D,20130409,000000,20.55,20.55,20.344,20.4,14284,0
PHN,D,20130410,000000,20.558,20.637,20.471,20.63,31180,0
PHN,D,20130411,000000,20.63,20.63,20.4,20.4,5483,0
PHN,D,20130412,000000,20.32,20.478,20.28,20.415,9671,0
PHN,D,20130415,000000,20.32,20.32,19.058,20.28,8873,0
PHN,D,20130417,000000,19.581,20.122,19.581,19.851,17454,0
PHN,D,20130418,000000,19.844,20.081,19.549,20.05,123975,0
PHN,D,20130419,000000,19.851,20.24,19.844,19.963,60370,0
PHN,D,20130422,000000,19.859,20.003,19.859,19.954,2698,0
PHN,D,20130423,000000,19.542,19.963,19.542,19.645,27559,0
PHN,D,20130424,000000,19.613,19.804,19.613,19.757,4764,0
PHN,D,20130425,000000,19.566,19.844,19.566,19.844,21474,0
PHN,D,20130426,000000,19.804,19.844,19.63,19.63,2002,0
PHN,D,20130429,000000,19.63,19.63,19.549,19.605,2375,0
PHN,D,20130430,000000,19.549,19.549,19.296,19.367,6536,0
PHN,D,20130502,000000,19.128,19.128,19.042,19.05,24595,0
PHN,D,20130506,000000,19.05,19.439,19.05,19.439,3043,0
PHN,D,20130507,000000,19.439,19.486,19.439,19.486,213,0
PHN,D,20130508,000000,19.518,19.78,19.486,19.78,15852,0
PHN,D,20130509,000000,19.566,19.844,19.526,19.844,8763,0
PHN,D,20130510,000000,19.073,19.836,19.073,19.836,3,0
PHN,D,20130513,000000,19.225,19.447,19.225,19.375,12986,0
PHN,D,20130514,000000,19.058,20.081,19.058,20.081,10135,0
PHN,D,20130515,000000,20.081,20.081,19.716,20.003,1225,0
PHN,D,20130516,000000,20.043,20.423,19.923,20.081,18171,0
PHN,D,20130517,000000,20.081,20.081,19.923,19.923,5920,0
PHN,D,20130520,000000,19.844,19.923,19.844,19.923,2450,0
PHN,D,20130521,000000,19.804,20.161,19.447,20.154,6816,0
PHN,D,20130522,000000,19.844,19.851,19.694,19.844,41491,0
PHN,D,20130523,000000,19.82,19.954,19.82,19.954,15347,0
PHN,D,20130524,000000,19.883,20.2,19.883,20.2,3362,0
PHN,D,20130527,000000,19.844,20.161,19.844,20.074,721,0
PHN,D,20130528,000000,19.844,20.146,19.844,20.081,19123,0
PHN,D,20130529,000000,19.844,20.074,19.844,19.923,19078,0
PHN,D,20130531,000000,19.923,21.193,19.923,21.193,52722,0
PHN,D,20130603,000000,20.716,21.035,20.637,20.876,3842,0
PHN,D,20130604,000000,20.876,21.193,20.645,21.193,8797,0
PHN,D,20130605,000000,21.193,21.193,20.828,20.828,14346,0
PHN,D,20130606,000000,20.851,21.193,20.819,20.819,21844,0
PHN,D,20130607,000000,20.828,21.035,20.819,21.035,3205,0
PHN,D,20130610,000000,21.035,21.407,21.035,21.336,22158,0
PHN,D,20130611,000000,21.328,21.415,21.21,21.272,20513,0
PHN,D,20130612,000000,21.232,21.232,21.193,21.193,551,0
PHN,D,20130613,000000,20.956,20.956,20.725,20.764,2752,0
PHN,D,20130614,000000,20.772,20.796,20.685,20.764,1905,0
PHN,D,20130617,000000,20.764,20.834,20.733,20.834,1343,0
PHN,D,20130618,000000,20.939,21.137,20.645,20.645,31661,0
PHN,D,20130619,000000,20.637,20.653,20.487,20.495,5596,0
PHN,D,20130620,000000,20.44,20.614,19.851,19.908,11015,0
PHN,D,20130621,000000,19.923,20.081,19.859,19.923,5284,0
PHN,D,20130624,000000,19.844,20.478,19.184,19.844,86897,0
PHN,D,20130625,000000,19.844,19.876,19.788,19.844,7750,0
PHN,D,20130626,000000,19.456,19.844,19.456,19.844,3753,0
PHN,D,20130627,000000,19.844,20.232,19.494,20.232,30342,0
PHN,D,20130628,000000,20.217,20.478,19.844,20.24,1732,0
PHN,D,20130701,000000,19.605,21.027,19.605,21.027,4793,0
PHN,D,20130702,000000,20.637,20.637,20.24,20.312,1468,0
PHN,D,20130703,000000,20.161,20.637,20.058,20.637,2802,0
PHN,D,20130704,000000,20.63,20.915,20.63,20.645,31450,0
PHN,D,20130705,000000,20.645,20.653,20.645,20.653,2032,0
PHN,D,20130708,000000,20.915,20.915,20.257,20.653,2809,0
PHN,D,20130709,000000,20.558,20.558,20.406,20.406,254522,0
PHN,D,20130710,000000,20.32,20.478,20.09,20.24,1996,0
PHN,D,20130711,000000,20.558,20.892,20.32,20.892,124966,0
PHN,D,20130712,000000,20.956,21.035,20.678,21.035,18218,0
PHN,D,20130715,000000,21.035,21.272,20.725,21.272,7333,0
PHN,D,20130716,000000,21.272,21.272,20.637,21.193,2526,0
PHN,D,20130717,000000,20.653,21.351,20.637,21.272,70909,0
PHN,D,20130718,000000,20.882,20.899,20.882,20.899,76,0
PHN,D,20130719,000000,21.344,21.344,20.899,20.899,17454,0
PHN,D,20130722,000000,20.741,20.892,20.637,20.653,858,0
PHN,D,20130723,000000,20.653,21.177,20.653,21.177,6506,0
PHN,D,20130724,000000,21.153,21.153,20.741,21.027,136,0
PHN,D,20130725,000000,20.876,21.027,20.716,21.027,17952,0
PHN,D,20130726,000000,20.653,20.834,20.541,20.541,1600,0
PHN,D,20130729,000000,20.558,21.035,20.558,21.035,12263,0
PHN,D,20130730,000000,20.876,21.035,20.709,21.027,2019,0
PHN,D,20130731,000000,20.637,20.947,20.637,20.947,8900,0
PHN,D,20130801,000000,20.876,21.035,20.662,21.035,3340,0
PHN,D,20130802,000000,20.662,21.097,20.662,21.027,3289,0
PHN,D,20130805,000000,20.678,21.153,20.678,21.153,1505,0
PHN,D,20130806,000000,21.074,21.153,20.7,20.7,4783,0
PHN,D,20130807,000000,20.662,20.733,20.662,20.733,198,0
PHN,D,20130808,000000,20.748,21.027,20.748,21.027,22826,0
PHN,D,20130809,000000,20.678,21.035,20.678,20.956,8903,0
PHN,D,20130812,000000,20.678,20.956,20.678,20.956,6512,0
PHN,D,20130813,000000,20.804,21.035,20.804,20.956,21485,0
PHN,D,20130814,000000,21.106,21.272,20.915,21.074,3444,0
PHN,D,20130816,000000,20.7,21.113,20.7,20.956,804,0
PHN,D,20130819,000000,21.035,21.272,20.741,21.272,5613,0
PHN,D,20130820,000000,20.86,21.153,20.86,21.035,2068,0
PHN,D,20130821,000000,21.257,21.272,20.994,21.035,1116,0
PHN,D,20130822,000000,20.924,21.193,20.924,21.113,1875,0
PHN,D,20130823,000000,21.035,21.113,20.987,20.987,13316,0
PHN,D,20130826,000000,21.113,21.113,20.939,21.113,21722,0
PHN,D,20130827,000000,21.049,21.113,21.027,21.113,13914,0
PHN,D,20130828,000000,21.074,21.113,20.963,20.963,3384,0
PHN,D,20130829,000000,20.956,21.035,20.804,21.035,11249,0
PHN,D,20130830,000000,20.915,21.828,20.819,21.828,25793,0
PHN,D,20130902,000000,21.828,23.654,21.82,23.019,22695,0
PHN,D,20130903,000000,23.019,23.019,22.329,22.447,2942,0
PHN,D,20130904,000000,22.352,22.447,21.51,21.828,10355,0
PHN,D,20130905,000000,21.51,21.812,20.994,21.432,5487,0
PHN,D,20130906,000000,20.994,21.828,20.956,21.828,23674,0
PHN,D,20130909,000000,22.066,23.019,21.995,22.971,6491,0
PHN,D,20130910,000000,22.955,22.994,22.63,22.709,2957,0
PHN,D,20130911,000000,22.82,23.058,22.82,22.82,2574,0
PHN,D,20130912,000000,22.646,23.058,22.646,22.702,3716,0
PHN,D,20130913,000000,23.019,23.177,22.781,22.86,195952,0
PHN,D,20130916,000000,22.867,22.867,22.662,22.86,4659,0
PHN,D,20130917,000000,22.709,23.416,22.677,23.416,15298,0
PHN,D,20130918,000000,22.621,23.249,22.224,22.979,200452,0
PHN,D,20130919,000000,22.614,22.916,22.614,22.916,209658,0
PHN,D,20130920,000000,22.646,22.971,22.646,22.94,114716,0
PHN,D,20130923,000000,22.638,23.019,22.621,23.019,83463,0
PHN,D,20130924,000000,22.789,22.971,22.646,22.893,60297,0
PHN,D,20130925,000000,22.884,22.955,22.662,22.86,60327,0
PHN,D,20130926,000000,22.852,23.257,22.702,23.107,68512,0
PHN,D,20130927,000000,23.019,23.654,23.019,23.416,111341,0
PHN,D,20130930,000000,23.416,23.613,23.177,23.177,176405,0
PHN,D,20131001,000000,22.702,23.375,22.702,22.963,19689,0
PHN,D,20131002,000000,22.844,23.233,22.702,22.709,19761,0
PHN,D,20131003,000000,22.67,23.019,22.653,22.74,34589,0
PHN,D,20131004,000000,22.923,23.019,22.709,22.86,23400,0
PHN,D,20131007,000000,22.994,22.994,22.726,22.899,13723,0
PHN,D,20131008,000000,22.907,22.979,22.789,22.979,12772,0
PHN,D,20131009,000000,22.893,22.94,22.757,22.899,4889,0
PHN,D,20131010,000000,22.82,22.899,22.797,22.899,3778,0
PHN,D,20131011,000000,22.804,22.899,22.781,22.836,56787,0
