<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIW,D,20080929,000000,2.4173,6.4461,2.4173,5.5113,83809,0
PIW,D,20080930,000000,5.157,5.882,4.3189,4.3189,55476,0
PIW,D,20081001,000000,4.2302,4.5929,4.0288,4.0288,16877,0
PIW,D,20081002,000000,4.0288,4.0288,3.5857,3.5857,30628,0
PIW,D,20081003,000000,3.6662,3.8677,3.5051,3.5454,12633,0
PIW,D,20081006,000000,3.5051,3.5051,3.0055,3.1828,15861,0
PIW,D,20081007,000000,2.9814,3.1103,2.8283,3.0861,4753,0
PIW,D,20081008,000000,2.941,3.3923,2.8121,3.0538,9791,0
PIW,D,20081009,000000,3.1989,3.1989,3.0458,3.0458,9369,0
PIW,D,20081010,000000,2.8766,2.8766,2.6912,2.8121,969,0
PIW,D,20081013,000000,2.9491,3.0378,2.8443,2.8443,3141,0
PIW,D,20081014,000000,3.215,3.215,2.9814,2.9814,4145,0
PIW,D,20081015,000000,3.1103,3.1103,2.9008,2.9008,6714,0
PIW,D,20081016,000000,2.7235,2.7316,2.3367,2.4415,6963,0
PIW,D,20081017,000000,2.8121,2.8121,2.5301,2.5301,6293,0
PIW,D,20081020,000000,2.5301,2.659,2.4495,2.659,6094,0
PIW,D,20081021,000000,2.7074,2.7074,2.4415,2.4495,6392,0
PIW,D,20081022,000000,2.4576,2.5785,2.4576,2.5785,8178,0
PIW,D,20081023,000000,2.8202,2.8202,2.5382,2.6671,18542,0
PIW,D,20081024,000000,2.659,2.6993,2.5059,2.5785,15314,0
PIW,D,20081027,000000,2.651,2.651,2.4173,2.651,7309,0
PIW,D,20081028,000000,2.6993,2.6993,2.4979,2.4979,1092,0
PIW,D,20081029,000000,2.6187,2.659,2.4979,2.5865,16011,0
PIW,D,20081030,000000,2.6107,2.7074,2.5382,2.5382,11442,0
PIW,D,20081031,000000,2.6026,2.6026,2.6026,2.6026,12,0
PIW,D,20081103,000000,2.6268,2.6268,2.6268,2.6268,24,0
PIW,D,20081104,000000,2.6187,2.6187,2.3851,2.5059,6305,0
PIW,D,20081105,000000,2.6026,2.6026,2.4737,2.4737,1279,0
PIW,D,20081106,000000,2.5785,2.5946,2.4657,2.4657,3922,0
PIW,D,20081107,000000,2.369,2.4576,2.369,2.4576,632,0
PIW,D,20081110,000000,2.3528,2.3528,2.3528,2.3528,621,0
PIW,D,20081112,000000,2.3367,2.3367,2.1917,2.1917,3226,0
PIW,D,20081113,000000,2.0628,2.3528,2.0547,2.3528,8600,0
PIW,D,20081114,000000,2.2964,2.369,2.2964,2.369,4531,0
PIW,D,20081117,000000,2.3528,2.3528,2.24,2.3528,1153,0
PIW,D,20081118,000000,2.2159,2.3045,2.2159,2.3045,4010,0
PIW,D,20081119,000000,2.1675,2.1675,1.8371,1.8371,6217,0
PIW,D,20081120,000000,1.7324,1.8533,1.7324,1.8533,8725,0
PIW,D,20081121,000000,1.7646,2.0064,1.7324,1.7324,26100,0
PIW,D,20081124,000000,1.7727,1.7727,1.7727,1.7727,0,0
PIW,D,20081125,000000,1.7727,2.1675,1.7727,2.1514,14720,0
PIW,D,20081126,000000,1.9258,2.1514,1.8533,2.1514,12808,0
PIW,D,20081127,000000,2.0306,2.0306,1.8291,1.9016,14893,0
PIW,D,20081128,000000,1.7808,1.7888,1.7082,1.7808,8761,0
PIW,D,20081201,000000,1.7566,1.813,1.7324,1.813,6118,0
