<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PJP,D,19990810,000000,5.316,5.316,5.316,5.316,45913,0
PJP,D,19990811,000000,5.5789,5.5789,5.5789,5.5789,54247,0
PJP,D,19990812,000000,6.1119,6.1119,6.1119,6.1119,32456,0
PJP,D,19990813,000000,6.6449,6.6449,6.6449,6.6449,57069,0
PJP,D,19990816,000000,6.5097,6.5097,6.5097,6.5097,19617,0
PJP,D,19990817,000000,5.8774,5.8774,5.8774,5.8774,0,0
PJP,D,19990818,000000,5.38,5.38,5.38,5.38,36047,0
PJP,D,19990819,000000,5.5789,5.5789,5.5789,5.5789,19455,0
PJP,D,19990820,000000,5.4439,5.4439,5.4439,5.4439,4665,0
PJP,D,19990823,000000,5.316,5.316,5.316,5.316,12757,0
PJP,D,19990824,000000,5.4153,5.4153,5.4153,5.4153,21064,0
PJP,D,19990825,000000,5.316,5.316,5.316,5.316,5462,0
PJP,D,19990826,000000,5.316,5.316,5.316,5.316,7946,0
PJP,D,19990827,000000,5.2448,5.2448,5.2448,5.2448,6078,0
PJP,D,19990830,000000,5.316,5.316,5.316,5.316,2656,0
PJP,D,19990831,000000,5.2448,5.2448,5.2448,5.2448,13614,0
PJP,D,19990901,000000,5.316,5.316,5.316,5.316,6008,0
PJP,D,19990902,000000,5.2448,5.2448,5.2448,5.2448,2786,0
PJP,D,19990903,000000,5.1809,5.1809,5.1809,5.1809,2197,0
PJP,D,19990906,000000,5.1809,5.1809,5.1809,5.1809,5306,0
PJP,D,19990907,000000,5.1169,5.1169,5.1169,5.1169,6705,0
PJP,D,19990908,000000,4.9819,4.9819,4.9819,4.9819,5051,0
PJP,D,19990909,000000,4.7189,4.7189,4.7189,4.7189,15292,0
PJP,D,19990910,000000,4.7473,4.7473,4.7473,4.7473,14637,0
PJP,D,19990913,000000,4.7829,4.7829,4.7829,4.7829,11686,0
PJP,D,19990914,000000,4.3849,4.3849,4.3849,4.3849,1730,0
PJP,D,19990915,000000,4.3849,4.3849,4.3849,4.3849,7892,0
PJP,D,19990916,000000,4.0508,4.0508,4.0508,4.0508,10605,0
PJP,D,19990917,000000,3.9869,3.9869,3.9869,3.9869,17583,0
PJP,D,19990920,000000,3.9869,3.9869,3.9869,3.9869,9970,0
PJP,D,19990921,000000,3.6529,3.6529,3.6529,3.6529,8266,0
PJP,D,19990922,000000,3.2904,3.2904,3.2904,3.2904,15080,0
PJP,D,19990923,000000,3.3901,3.3901,3.3901,3.3901,21810,0
PJP,D,19990924,000000,3.454,3.454,3.454,3.454,22127,0
PJP,D,19990927,000000,3.5179,3.5179,3.5179,3.5179,13757,0
PJP,D,19990928,000000,3.6529,3.6529,3.6529,3.6529,11254,0
PJP,D,19990929,000000,3.5533,3.5533,3.5533,3.5533,4789,0
PJP,D,19990930,000000,3.3189,3.3189,3.3189,3.3189,2515,0
PJP,D,19991001,000000,3.4184,3.4184,3.4184,3.4184,2002,0
PJP,D,19991004,000000,3.3189,3.3189,3.3189,3.3189,1734,0
PJP,D,19991005,000000,3.3901,3.3901,3.3901,3.3901,9955,0
PJP,D,19991006,000000,3.454,3.454,3.454,3.454,3009,0
PJP,D,19991007,000000,3.5179,3.5179,3.5179,3.5179,6978,0
PJP,D,19991008,000000,3.3901,3.3901,3.3901,3.3901,1797,0
PJP,D,19991011,000000,3.454,3.454,3.454,3.454,6767,0
PJP,D,19991012,000000,3.3901,3.3901,3.3901,3.3901,1509,0
PJP,D,19991013,000000,3.3189,3.3189,3.3189,3.3189,10447,0
PJP,D,19991014,000000,3.3189,3.3189,3.3189,3.3189,5117,0
PJP,D,19991015,000000,3.3189,3.3189,3.3189,3.3189,6823,0
PJP,D,19991018,000000,2.9919,2.9919,2.9919,2.9919,6051,0
PJP,D,19991019,000000,3.056,3.056,3.056,3.056,1658,0
PJP,D,19991020,000000,3.1911,3.1911,3.1911,3.1911,3009,0
PJP,D,19991021,000000,3.3901,3.3901,3.3901,3.3901,15183,0
PJP,D,19991022,000000,3.3901,3.3901,3.3901,3.3901,19524,0
PJP,D,19991025,000000,3.454,3.454,3.454,3.454,10938,0
PJP,D,19991026,000000,3.3544,3.3544,3.3544,3.3544,4555,0
PJP,D,19991027,000000,3.3544,3.3544,3.3544,3.3544,2635,0
PJP,D,19991028,000000,3.4184,3.4184,3.4184,3.4184,2402,0
PJP,D,19991029,000000,3.3901,3.3901,3.3901,3.3901,750,0
PJP,D,19991102,000000,3.3544,3.3544,3.3544,3.3544,1654,0
PJP,D,19991103,000000,3.255,3.255,3.255,3.255,2179,0
PJP,D,19991104,000000,3.2904,3.2904,3.2904,3.2904,6957,0
PJP,D,19991105,000000,3.255,3.255,3.255,3.255,3649,0
PJP,D,19991108,000000,3.255,3.255,3.255,3.255,708,0
PJP,D,19991109,000000,3.255,3.255,3.255,3.255,4342,0
PJP,D,19991110,000000,3.1911,3.1911,3.1911,3.1911,1096,0
PJP,D,19991115,000000,3.056,3.056,3.056,3.056,3696,0
PJP,D,19991116,000000,3.1554,3.1554,3.1554,3.1554,1730,0
PJP,D,19991117,000000,3.3189,3.3189,3.3189,3.3189,3009,0
PJP,D,19991118,000000,3.07,3.07,3.07,3.07,1399,0
PJP,D,19991119,000000,3.255,3.255,3.255,3.255,2832,0
PJP,D,19991122,000000,3.3189,3.3189,3.3189,3.3189,8258,0
PJP,D,19991123,000000,3.2904,3.2904,3.2904,3.2904,4200,0
PJP,D,19991124,000000,3.255,3.255,3.255,3.255,6187,0
PJP,D,19991125,000000,3.3189,3.3189,3.3189,3.3189,12272,0
PJP,D,19991126,000000,3.3189,3.3189,3.3189,3.3189,10829,0
PJP,D,19991129,000000,3.3189,3.3189,3.3189,3.3189,9994,0
PJP,D,19991130,000000,3.255,3.255,3.255,3.255,2207,0
PJP,D,19991201,000000,3.3189,3.3189,3.3189,3.3189,23360,0
PJP,D,19991202,000000,3.3189,3.3189,3.3189,3.3189,14639,0
PJP,D,19991203,000000,3.3544,3.3544,3.3544,3.3544,8316,0
PJP,D,19991206,000000,3.4894,3.4894,3.4894,3.4894,24519,0
PJP,D,19991207,000000,3.8163,3.8163,3.8163,3.8163,56912,0
PJP,D,19991208,000000,3.9157,3.9157,3.9157,3.9157,55907,0
PJP,D,19991209,000000,3.8163,3.8163,3.8163,3.8163,9249,0
PJP,D,19991210,000000,3.788,3.788,3.788,3.788,22195,0
PJP,D,19991213,000000,3.6885,3.6885,3.6885,3.6885,17769,0
PJP,D,19991214,000000,3.7524,3.7524,3.7524,3.7524,26442,0
PJP,D,19991215,000000,3.7168,3.7168,3.7168,3.7168,3762,0
PJP,D,19991216,000000,3.6529,3.6529,3.6529,3.6529,20341,0
PJP,D,19991217,000000,3.7168,3.7168,3.7168,3.7168,34137,0
PJP,D,19991220,000000,3.8519,3.8519,3.8519,3.8519,46407,0
PJP,D,19991221,000000,3.9869,3.9869,3.9869,3.9869,51436,0
PJP,D,19991222,000000,4.1504,4.1504,4.1504,4.1504,35877,0
PJP,D,19991223,000000,4.5484,4.5484,4.5484,4.5484,56227,0
PJP,D,19991227,000000,4.9463,4.9463,4.9463,4.9463,74103,0
PJP,D,19991228,000000,4.8185,4.8185,4.8185,4.8185,41365,0
PJP,D,19991229,000000,4.6196,4.6196,4.6196,4.6196,45988,0
PJP,D,20000103,000000,4.8185,4.8185,4.8185,4.8185,31275,0
PJP,D,20000104,000000,4.8185,4.8185,4.8185,4.8185,48261,0
PJP,D,20000105,000000,4.4204,4.4204,4.4204,4.4204,30785,0
PJP,D,20000106,000000,4.4204,4.4204,4.4204,4.4204,18707,0
PJP,D,20000107,000000,4.5198,4.5198,4.5198,4.5198,13996,0
PJP,D,20000110,000000,4.6479,4.6479,4.6479,4.6479,37417,0
