<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKN,D,19991126,000000,16.307,16.452,15.717,16.229,14845780,0
PKN,D,19991129,000000,16.154,16.229,15.863,15.94,5148506,0
PKN,D,19991130,000000,16.086,16.375,16.086,16.229,3077465,0
PKN,D,19991201,000000,16.375,16.742,16.229,16.742,2881475,0
PKN,D,19991202,000000,16.895,17.407,16.818,17.04,3093313,0
PKN,D,19991203,000000,17.04,17.33,16.895,17.26,2207547,0
PKN,D,19991206,000000,17.407,17.995,17.407,17.919,2813413,0
PKN,D,19991207,000000,17.85,17.919,17.627,17.627,2271521,0
PKN,D,19991208,000000,17.627,18.063,17.627,17.772,3564539,0
PKN,D,19991209,000000,17.772,17.772,17.33,17.627,2353122,0
PKN,D,19991210,000000,17.772,17.772,17.475,17.55,1753631,0
PKN,D,19991213,000000,17.475,17.627,17.33,17.407,1476770,0
PKN,D,19991214,000000,17.627,17.919,17.627,17.919,2959423,0
PKN,D,19991215,000000,17.85,17.85,17.627,17.697,1227203,0
PKN,D,19991216,000000,17.627,17.627,17.407,17.475,1371993,0
PKN,D,19991217,000000,17.475,17.627,17.407,17.407,1262804,0
PKN,D,19991220,000000,17.627,17.85,17.55,17.85,2281133,0
PKN,D,19991221,000000,17.697,18.216,17.697,17.919,1489935,0
PKN,D,19991222,000000,18.363,18.95,18.363,18.797,2681207,0
PKN,D,19991223,000000,18.874,19.095,18.729,18.797,1223522,0
PKN,D,19991227,000000,18.874,19.317,18.874,18.95,1441877,0
PKN,D,19991228,000000,18.874,18.874,18.431,18.506,1049493,0
PKN,D,19991229,000000,18.506,19.172,18.506,19.172,1883765,0
PKN,D,20000103,000000,19.539,19.829,19.241,19.607,1504349,0
PKN,D,20000104,000000,19.095,19.095,18.652,18.797,1846485,0
PKN,D,20000105,000000,18.14,18.729,18.14,18.583,2545532,0
PKN,D,20000106,000000,18.652,19.019,18.431,18.95,1538629,0
PKN,D,20000107,000000,19.241,20.05,19.241,19.829,3920464,0
PKN,D,20000110,000000,19.906,20.859,19.906,20.05,4131937,0
PKN,D,20000111,000000,19.752,19.906,19.317,19.683,1577525,0
PKN,D,20000112,000000,19.241,19.607,19.241,19.607,1279403,0
