<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKP,D,20131030,000000,72.424,75.386,72.27,73.29,7878057,0
PKP,D,20131031,000000,72.433,74.14,72.433,73.282,340392,0
PKP,D,20131104,000000,73.146,73.824,72.795,73.011,165168,0
PKP,D,20131105,000000,72.83,73.146,72.334,72.785,286287,0
PKP,D,20131106,000000,72.116,72.477,67.737,72.477,571503,0
PKP,D,20131107,000000,70.527,72.379,70.527,72.243,224280,0
PKP,D,20131108,000000,72.243,72.604,72.243,72.604,144909,0
PKP,D,20131112,000000,72.243,73.598,72.071,73.282,131557,0
PKP,D,20131113,000000,72.957,74.537,72.785,74.356,125099,0
PKP,D,20131114,000000,73.064,74.049,72.795,74.049,112656,0
PKP,D,20131115,000000,73.164,76.297,73.164,74.962,150131,0
PKP,D,20131118,000000,74.952,75.99,74.185,75.585,219617,0
PKP,D,20131119,000000,74.862,76,74.663,75.404,121691,0
PKP,D,20131120,000000,75.404,75.404,74.501,74.501,188527,0
PKP,D,20131121,000000,74.356,74.591,73.598,73.842,584160,0
PKP,D,20131122,000000,73.598,74.727,73.507,74.41,156643,0
PKP,D,20131125,000000,74.094,76.189,74.094,75.855,316155,0
PKP,D,20131126,000000,75.503,75.855,74.97,75.575,144217,0
PKP,D,20131127,000000,74.78,77.066,74.78,76.759,508515,0
PKP,D,20131128,000000,76.759,79.468,76.759,77.887,288377,0
PKP,D,20131129,000000,77.933,78.935,77.933,78.474,93914,0
PKP,D,20131202,000000,78.474,78.474,77.391,77.391,71546,0
PKP,D,20131203,000000,78.005,78.195,75.855,76.324,65785,0
PKP,D,20131204,000000,76.759,77.165,75.864,75.864,92114,0
PKP,D,20131205,000000,76.487,76.749,75.404,75.404,39045,0
PKP,D,20131206,000000,75.828,75.855,75.223,75.539,38778,0
PKP,D,20131209,000000,75.864,78.023,75.864,77.662,67169,0
PKP,D,20131210,000000,77.841,78.095,77.391,77.662,73736,0
PKP,D,20131211,000000,77.841,77.887,76.759,77.165,119454,0
