<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW,D,20161019,000000,49.056,49.15,44.615,47.443,59332,0
PLW,D,20161020,000000,47.253,47.443,45.602,47.443,6954,0
PLW,D,20161021,000000,46.589,47.443,46.57,47.395,1286,0
PLW,D,20161024,000000,47.443,50.29,47.386,49.758,9612,0
PLW,D,20161025,000000,49.815,49.815,48.392,49.53,8049,0
PLW,D,20161026,000000,49.341,49.341,47.917,47.917,1554,0
PLW,D,20161027,000000,48.392,48.392,46.968,48.382,283,0
PLW,D,20161028,000000,47.547,48.202,47.547,48.202,210,0
PLW,D,20161031,000000,47.443,49.332,47.443,49.322,1561,0
PLW,D,20161102,000000,49.332,49.341,48.26,49.245,551,0
PLW,D,20161103,000000,49.245,49.245,48.25,48.866,498,0
PLW,D,20161104,000000,48.771,48.771,47.679,48.392,131,0
PLW,D,20161107,000000,48.392,48.392,47.917,48.363,449,0
PLW,D,20161108,000000,48.363,48.363,47.699,48.013,50,0
PLW,D,20161109,000000,48.297,48.392,47.727,48.392,680,0
PLW,D,20161110,000000,48.392,48.392,47.253,48.108,1057,0
PLW,D,20161114,000000,48.392,48.392,48.297,48.297,125,0
PLW,D,20161115,000000,48.287,48.287,47.253,47.917,1368,0
PLW,D,20161116,000000,47.917,47.917,46.503,47.917,384,0
PLW,D,20161117,000000,48.297,48.297,46.304,46.304,884,0
PLW,D,20161118,000000,46.494,46.494,44.624,44.624,1720,0
PLW,D,20161121,000000,44.51,44.51,42.841,43.638,1549,0
PLW,D,20161122,000000,42.841,43.638,42.841,42.907,1216,0
PLW,D,20161123,000000,42.907,42.907,42.603,42.841,670,0
PLW,D,20161124,000000,42.888,42.888,39.008,42.224,7214,0
PLW,D,20161125,000000,42.907,44.597,42.224,44.587,855,0
PLW,D,20161128,000000,44.587,44.587,44.482,44.482,236,0
PLW,D,20161129,000000,44.502,46.21,43.647,46.019,5790,0
PLW,D,20161130,000000,46.019,47.917,45.07,47.443,3224,0
PLW,D,20161201,000000,47.443,47.443,45.355,47.443,360,0
PLW,D,20161202,000000,47.443,47.443,45.925,47.386,355,0
PLW,D,20161205,000000,47.395,47.395,46.019,46.067,114,0
PLW,D,20161206,000000,47.405,47.405,45.83,47.11,830,0
PLW,D,20161207,000000,47.11,47.11,45.933,47.053,194,0
PLW,D,20161208,000000,45.925,46.968,45.925,46.968,607,0
PLW,D,20161209,000000,47.053,47.053,45.906,46.958,567,0
PLW,D,20161212,000000,46.958,47.016,45.906,45.906,785,0
PLW,D,20161213,000000,45.906,47.424,45.906,46.958,895,0
PLW,D,20161214,000000,47.158,47.158,46.494,46.494,94,0
PLW,D,20161215,000000,46.494,46.494,45.925,46.494,284,0
PLW,D,20161216,000000,46.494,46.494,44.891,45.545,748,0
PLW,D,20161219,000000,43.942,46.295,43.704,45.925,4745,0
PLW,D,20161220,000000,44.502,46.019,44.502,45.535,326,0
PLW,D,20161221,000000,45.535,45.535,43.751,43.751,1557,0
PLW,D,20161222,000000,45.061,45.061,43.667,43.667,57,0
PLW,D,20161223,000000,44.113,44.113,43.647,43.885,972,0
PLW,D,20161227,000000,43.932,44.852,43.315,44.843,1681,0
PLW,D,20161228,000000,44.597,44.597,43.315,44.027,686,0
PLW,D,20161229,000000,44.786,46.494,44.502,46.019,2627,0
PLW,D,20161230,000000,45.545,47.11,45.545,47.11,1924,0
PLW,D,20170102,000000,47.235,47.235,45.213,46.95,2504,0
PLW,D,20170103,000000,47.235,47.235,44.587,44.587,1027,0
PLW,D,20170104,000000,45.526,45.526,44.597,44.597,82,0
PLW,D,20170105,000000,44.597,45.393,43.647,43.647,2596,0
PLW,D,20170109,000000,43.647,44.121,43.647,43.676,721,0
PLW,D,20170110,000000,43.676,43.724,43.079,43.647,2312,0
PLW,D,20170111,000000,43.647,43.647,43.088,43.144,954,0
PLW,D,20170112,000000,43.552,43.552,42.224,42.983,1153,0
PLW,D,20170113,000000,43.552,43.552,42.243,42.699,670,0
PLW,D,20170116,000000,42.243,42.642,41.75,42.233,947,0
PLW,D,20170117,000000,42.271,42.271,41.465,41.512,1892,0
PLW,D,20170118,000000,41.512,41.655,41.37,41.655,299,0
PLW,D,20170119,000000,41.75,41.75,40.8,41.512,2019,0
PLW,D,20170120,000000,41.74,41.74,40.8,41.645,428,0
PLW,D,20170123,000000,41.73,41.73,40.8,41.636,415,0
PLW,D,20170124,000000,41.797,41.797,40.8,41.276,587,0
PLW,D,20170125,000000,40.82,41.276,40.611,40.895,1490,0
PLW,D,20170126,000000,41.845,42.215,40.924,42.215,354,0
PLW,D,20170127,000000,42.215,42.215,41.086,41.427,527,0
PLW,D,20170130,000000,40.924,42.518,40.924,42.509,2579,0
PLW,D,20170131,000000,42.509,46.399,42.509,44.644,3402,0
PLW,D,20170201,000000,44.587,45.535,44.587,45.507,999,0
PLW,D,20170202,000000,45.545,45.83,45.166,45.545,1593,0
PLW,D,20170203,000000,45.545,45.545,45.07,45.07,174,0
PLW,D,20170206,000000,45.07,45.535,45.07,45.535,347,0
PLW,D,20170207,000000,45.535,45.535,44.976,45.403,784,0
PLW,D,20170208,000000,45.535,45.535,45.308,45.488,99,0
PLW,D,20170209,000000,45.497,46.399,44.976,46.2,807,0
PLW,D,20170210,000000,45.555,46.21,45.545,45.545,305,0
PLW,D,20170213,000000,45.555,46.589,45.545,46.494,1462,0
PLW,D,20170214,000000,46.826,46.826,45.734,46.114,511,0
PLW,D,20170215,000000,46.494,46.712,45.582,46.712,172,0
PLW,D,20170216,000000,46.712,46.712,45.649,46.58,202,0
PLW,D,20170217,000000,46.494,46.494,45.582,45.659,107,0
PLW,D,20170220,000000,46.674,46.826,46.494,46.826,1325,0
PLW,D,20170221,000000,46.826,47.917,46.019,47.585,9185,0
PLW,D,20170222,000000,47.585,48.173,46.968,47.537,1446,0
PLW,D,20170223,000000,47.917,47.956,47.253,47.443,629,0
PLW,D,20170224,000000,47.443,47.443,46.779,47.443,828,0
PLW,D,20170227,000000,48.534,51.238,48.534,49.397,7514,0
PLW,D,20170228,000000,49.881,54.322,49.292,53.136,22574,0
PLW,D,20170301,000000,54.559,55.982,53.706,54.312,21130,0
PLW,D,20170302,000000,55.034,59.493,55.034,58.64,31283,0
PLW,D,20170303,000000,60.253,63.573,58.829,61.296,16122,0
PLW,D,20170306,000000,61.486,61.666,59.398,61.153,17960,0
PLW,D,20170307,000000,58.64,59.635,54.275,55.992,13035,0
PLW,D,20170308,000000,55.935,57.88,53.24,54.084,6281,0
PLW,D,20170309,000000,55.034,56.457,53.611,55.945,4582,0
PLW,D,20170310,000000,56.827,58.829,55.251,58.64,4855,0
PLW,D,20170313,000000,59.493,59.873,58.839,59.75,8179,0
PLW,D,20170314,000000,59.493,59.826,58.64,59.665,1605,0
PLW,D,20170315,000000,59.493,59.986,58.355,59.968,3678,0
PLW,D,20170316,000000,59.986,59.986,59.351,59.777,4041,0
PLW,D,20170317,000000,59.304,60.727,59.304,59.777,4438,0
PLW,D,20170320,000000,60.613,61.675,60.347,60.917,10993,0
PLW,D,20170321,000000,61.183,62.151,61.011,61.296,5081,0
PLW,D,20170322,000000,61.58,62.046,59.777,61.201,3068,0
PLW,D,20170323,000000,61.77,61.913,60.253,61.201,3003,0
PLW,D,20170324,000000,61.675,62.056,59.588,60.727,3090,0
PLW,D,20170327,000000,60.727,60.727,58.364,60.717,1928,0
PLW,D,20170328,000000,60.727,60.727,57.406,60.528,2163,0
PLW,D,20170329,000000,60.442,60.442,57.426,58.725,1929,0
PLW,D,20170330,000000,58.725,58.725,56.989,58.535,642,0
PLW,D,20170331,000000,59.854,59.854,57.027,58.042,1643,0
PLW,D,20170403,000000,59.777,59.777,55.129,55.982,2447,0
PLW,D,20170404,000000,56.837,56.922,55.982,56.884,435,0
PLW,D,20170405,000000,56.457,56.931,55.518,56.931,668,0
PLW,D,20170406,000000,56.94,57.87,56.457,57.776,1126,0
PLW,D,20170407,000000,57.767,57.767,56.627,56.931,176,0
PLW,D,20170410,000000,56.94,57.87,55.138,56.922,2691,0
PLW,D,20170411,000000,55.508,56.893,53.99,55.034,3641,0
PLW,D,20170412,000000,54.559,55.508,54.559,55.508,626,0
PLW,D,20170413,000000,55.508,55.508,53.516,54.559,4827,0
PLW,D,20170418,000000,54.084,54.94,54.084,54.94,1185,0
PLW,D,20170419,000000,55.025,55.025,54.179,54.748,212,0
PLW,D,20170420,000000,55.025,58.269,55.025,57.719,11453,0
PLW,D,20170421,000000,57.719,57.862,56.599,57.852,1871,0
PLW,D,20170424,000000,57.852,57.852,56.979,57.852,1433,0
PLW,D,20170425,000000,57.406,57.406,56.124,57.027,756,0
PLW,D,20170426,000000,56.931,56.931,53.516,54.464,3041,0
PLW,D,20170427,000000,55.034,56.913,55.034,56.552,176,0
PLW,D,20170428,000000,56.552,56.552,55.508,56.552,861,0
PLW,D,20170502,000000,56.647,56.647,55.508,56.306,538,0
PLW,D,20170504,000000,56.371,56.371,54.084,55.499,3147,0
PLW,D,20170505,000000,55.499,55.499,54.084,54.084,1232,0
PLW,D,20170508,000000,54.084,54.559,53.8,53.8,180,0
PLW,D,20170509,000000,53.81,53.81,50.668,52.651,3087,0
PLW,D,20170510,000000,51.238,54.464,51.238,53.611,1403,0
PLW,D,20170511,000000,53.601,53.611,52.946,53.611,2240,0
PLW,D,20170512,000000,53.611,53.611,50.82,53.601,643,0
PLW,D,20170515,000000,53.127,53.136,50.916,53.041,729,0
PLW,D,20170516,000000,53.041,53.041,50.811,50.811,1193,0
PLW,D,20170517,000000,52.188,52.188,47.443,49.341,2960,0
PLW,D,20170518,000000,50.1,50.29,48.866,48.866,406,0
PLW,D,20170519,000000,48.866,52.188,48.819,52.188,479,0
PLW,D,20170522,000000,52.188,52.188,51.238,52.188,262,0
PLW,D,20170523,000000,52.188,52.188,51.295,52.188,561,0
PLW,D,20170524,000000,52.188,52.188,52.168,52.168,19,0
PLW,D,20170525,000000,52.188,53.723,51.238,53.723,1191,0
PLW,D,20170526,000000,53.895,53.895,51.997,51.997,194,0
PLW,D,20170529,000000,53.895,54.275,51.001,54.275,393,0
PLW,D,20170530,000000,54.265,55.413,51.855,55.413,3095,0
PLW,D,20170531,000000,55.413,56.219,54.076,54.076,1958,0
PLW,D,20170601,000000,54.076,56.266,54.076,55.698,1481,0
PLW,D,20170602,000000,55.972,55.972,54.796,54.891,197,0
