<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLX,D,20040227,000000,1.595,1.6229,1.5251,1.5484,3722641,0
PLX,D,20040301,000000,1.5907,1.5996,1.5529,1.5717,1658144,0
PLX,D,20040302,000000,1.5853,1.6454,1.5628,1.6176,1018505,0
PLX,D,20040303,000000,1.6176,1.6319,1.595,1.6086,370037,0
PLX,D,20040304,000000,1.6176,1.6176,1.5808,1.5853,257871,0
PLX,D,20040305,000000,1.5808,1.595,1.5628,1.5808,704623,0
PLX,D,20040308,000000,1.6086,1.6086,1.5439,1.5439,239894,0
PLX,D,20040309,000000,1.5673,1.5673,1.5026,1.5251,118910,0
PLX,D,20040310,000000,1.5251,1.5251,1.5026,1.5251,100951,0
PLX,D,20040311,000000,1.5071,1.5071,1.4425,1.4794,50977,0
PLX,D,20040312,000000,1.4794,1.4794,1.4282,1.4749,116201,0
PLX,D,20040315,000000,1.4471,1.4704,1.4471,1.4659,117738,0
PLX,D,20040316,000000,1.438,1.4471,1.4282,1.4326,67765,0
PLX,D,20040317,000000,1.4659,1.4794,1.438,1.4425,70105,0
PLX,D,20040318,000000,1.4471,1.4749,1.4471,1.4515,81378,0
PLX,D,20040319,000000,1.4515,1.4515,1.4148,1.438,100700,0
PLX,D,20040322,000000,1.4471,1.4471,1.3868,1.4056,220030,0
PLX,D,20040323,000000,1.3913,1.4103,1.3779,1.3913,42754,0
PLX,D,20040324,000000,1.368,1.4103,1.3545,1.3779,179369,0
PLX,D,20040325,000000,1.3779,1.4103,1.3779,1.4103,416022,0
PLX,D,20040326,000000,1.4056,1.5071,1.3868,1.4559,317145,0
PLX,D,20040329,000000,1.438,1.4659,1.4326,1.4559,29089,0
PLX,D,20040330,000000,1.4425,1.4704,1.4326,1.4326,24699,0
PLX,D,20040331,000000,1.4425,1.4515,1.4326,1.4425,44293,0
PLX,D,20040401,000000,1.4515,1.4515,1.4326,1.438,30647,0
PLX,D,20040402,000000,1.4659,1.4704,1.4425,1.4604,31403,0
PLX,D,20040405,000000,1.4471,1.4604,1.4425,1.4425,16200,0
PLX,D,20040406,000000,1.4471,1.4559,1.4425,1.4515,26491,0
PLX,D,20040407,000000,1.4659,1.4704,1.4425,1.4425,15416,0
PLX,D,20040408,000000,1.4604,1.4704,1.4425,1.4704,68198,0
PLX,D,20040413,000000,1.4749,1.4982,1.4749,1.4794,38806,0
