<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLZ,D,20061027,000000,1008,1008,954.7,964.8,372873,0
PLZ,D,20061030,000000,981.4,981.4,965.8,965.8,32306,0
PLZ,D,20061031,000000,977.7,977.7,966.7,977.7,21435,0
PLZ,D,20061101,000000,988.7,994.2,977.7,977.7,23008,0
PLZ,D,20061102,000000,974.9,974.9,963.9,972.2,12074,0
PLZ,D,20061103,000000,975.9,986.9,974,974,2195,0
PLZ,D,20061106,000000,970.3,978.6,970.3,973.1,29053,0
PLZ,D,20061107,000000,975.9,975.9,965.8,965.8,645,0
PLZ,D,20061108,000000,962.1,963.9,962.1,962.1,7086,0
PLZ,D,20061109,000000,982.3,987.8,962.1,972.2,2465,0
PLZ,D,20061110,000000,960.2,964.8,960.2,964.8,3964,0
PLZ,D,20061113,000000,965.8,968.5,965.8,968.5,5504,0
PLZ,D,20061114,000000,961.2,961.2,950.1,955.7,8201,0
PLZ,D,20061115,000000,949.22,949.22,949.22,949.22,6817,0
PLZ,D,20061116,000000,946.47,952,936.37,936.37,14962,0
PLZ,D,20061117,000000,947.39,947.39,937.29,937.29,5616,0
PLZ,D,20061120,000000,955.7,955.7,951.1,951.1,7729,0
PLZ,D,20061121,000000,949.22,954.7,949.22,954.7,15701,0
PLZ,D,20061122,000000,958.4,958.4,952,954.7,446,0
PLZ,D,20061124,000000,959.3,959.3,959.3,959.3,13243,0
PLZ,D,20061127,000000,948.31,952,948.31,952,9390,0
PLZ,D,20061128,000000,952.9,952.9,952.9,952.9,11440,0
PLZ,D,20061129,000000,955.7,961.2,955.7,961.2,9846,0
PLZ,D,20061130,000000,961.2,961.2,955.7,958.4,874,0
PLZ,D,20061201,000000,957.5,973.1,957.5,973.1,7333,0
PLZ,D,20061204,000000,983.2,1030,983.2,1017.2,18032,0
PLZ,D,20061205,000000,1014.4,1014.4,1007.1,1014.4,5747,0
PLZ,D,20061206,000000,1010.7,1010.7,1003.4,1003.4,2259,0
PLZ,D,20061207,000000,1005.2,1020.8,1005.2,1020.8,1584,0
PLZ,D,20061208,000000,1033.7,1118.1,1033.7,1064.9,2188,0
PLZ,D,20061211,000000,1067.7,1088.8,1067.7,1069.5,2509,0
PLZ,D,20061212,000000,1077.8,1088.8,1075.9,1075.9,19823,0
PLZ,D,20061213,000000,1088.8,1088.8,1067.7,1070.4,2967,0
PLZ,D,20061214,000000,1064,1073.2,1064,1066.7,4937,0
PLZ,D,20061215,000000,1064.9,1070.4,1061.2,1067.7,8916,0
PLZ,D,20061218,000000,1064.9,1064.9,1064.9,1064.9,377,0
PLZ,D,20061219,000000,1071.3,1071.3,1053,1055.7,241,0
PLZ,D,20061220,000000,1069.5,1069.5,1043.8,1064,3823,0
PLZ,D,20061221,000000,1066.7,1066.7,1061.2,1061.2,6375,0
PLZ,D,20061222,000000,1043.8,1048.4,1025.4,1025.4,329,0
PLZ,D,20061227,000000,1030.9,1030.9,1030.9,1030.9,484,0
PLZ,D,20061229,000000,1047.5,1053,1024.5,1024.5,391,0
PLZ,D,20070102,000000,1032.8,1038.3,1012.6,1017.2,331,0
PLZ,D,20070103,000000,1039.2,1039.2,1027.3,1027.3,5172,0
PLZ,D,20070104,000000,1041.9,1087.8,1041.9,1072.2,1093,0
PLZ,D,20070105,000000,1097,1101.6,1070.4,1086,596,0
PLZ,D,20070108,000000,1083.3,1088.8,1075,1075,224,0
PLZ,D,20070109,000000,1073.2,1073.2,1064.9,1064.9,99,0
PLZ,D,20070110,000000,1093.4,1093.4,1078.7,1078.7,393,0
PLZ,D,20070111,000000,1097,1097,1064.9,1067.7,2249,0
PLZ,D,20070112,000000,1075,1075,1075,1075,7218,0
PLZ,D,20070115,000000,1079.6,1090.6,1079.6,1090.6,1009,0
PLZ,D,20070116,000000,1084.2,1084.2,1084.2,1084.2,816,0
PLZ,D,20070117,000000,1108,1108,1108,1108,10,0
PLZ,D,20070118,000000,1084.2,1106.2,1084.2,1092.4,16896,0
PLZ,D,20070119,000000,1096.1,1096.1,1079.6,1079.6,313,0
PLZ,D,20070122,000000,1094.3,1094.3,1084.2,1084.2,4148,0
PLZ,D,20070123,000000,1104.4,1109.9,1104.4,1109.9,265,0
PLZ,D,20070124,000000,1104.4,1104.4,1104.4,1104.4,680,0
PLZ,D,20070125,000000,1088.8,1088.8,1088.8,1088.8,2828,0
PLZ,D,20070126,000000,1115.4,1131.9,1101.6,1101.6,4980,0
PLZ,D,20070129,000000,1119.1,1119.1,1110.8,1110.8,223,0
PLZ,D,20070130,000000,1123.7,1123.7,1115.4,1115.4,20,0
PLZ,D,20070131,000000,1101.6,1101.6,1090.6,1090.6,2066,0
PLZ,D,20070201,000000,1081.4,1081.4,1081.4,1081.4,1355,0
PLZ,D,20070202,000000,1084.2,1110.8,1084.2,1110.8,36516,0
PLZ,D,20070206,000000,1079.6,1089.7,1079.6,1089.7,8417,0
PLZ,D,20070207,000000,1075,1080.5,1075,1075,11582,0
PLZ,D,20070208,000000,1077.8,1077.8,1073.2,1073.2,4380,0
PLZ,D,20070212,000000,1069.5,1069.5,1069.5,1069.5,1198,0
PLZ,D,20070213,000000,1075,1075,1069.5,1069.5,2573,0
PLZ,D,20070214,000000,1069.5,1069.5,1064,1064,2491,0
PLZ,D,20070215,000000,1066.7,1066.7,1064,1064,14346,0
PLZ,D,20070216,000000,1065.8,1078.7,1063.1,1078.7,18897,0
PLZ,D,20070220,000000,1064,1064,1055.7,1055.7,2725,0
PLZ,D,20070221,000000,1055.7,1055.7,1051.1,1051.1,5832,0
PLZ,D,20070222,000000,1045.6,1045.6,1037.4,1040.1,1318,0
PLZ,D,20070223,000000,1036.4,1047.5,1036.4,1047.5,432,0
PLZ,D,20070226,000000,1044.7,1064,1044.7,1044.7,5782,0
PLZ,D,20070227,000000,1036.4,1039.2,1036.4,1039.2,4078,0
PLZ,D,20070228,000000,1029.1,1029.1,1018.1,1020.8,7942,0
PLZ,D,20070301,000000,1010.7,1037.4,1010.7,1031.9,2719,0
PLZ,D,20070302,000000,1025.4,1025.4,1002.5,1002.5,343,0
PLZ,D,20070305,000000,1000.6,1000.6,942.8,948.31,5057,0
PLZ,D,20070306,000000,948.31,948.31,930.86,930.86,2764,0
PLZ,D,20070307,000000,937.29,937.29,926.27,926.27,780,0
PLZ,D,20070308,000000,947.39,947.39,902.41,923.52,30146,0
PLZ,D,20070309,000000,935.45,983.2,922.6,977.7,11000,0
PLZ,D,20070312,000000,979.5,995.1,974,981.4,5600,0
PLZ,D,20070313,000000,975.9,994.2,975.9,987.8,2554,0
PLZ,D,20070314,000000,982.3,989.6,982.3,987.8,2562,0
PLZ,D,20070315,000000,988.7,991.5,979.5,988.7,5386,0
PLZ,D,20070316,000000,991.5,996,981.4,987.8,39290,0
PLZ,D,20070319,000000,973.1,978.6,952,972.2,18848,0
PLZ,D,20070320,000000,975.9,978.6,927.19,952,1096,0
PLZ,D,20070321,000000,943.72,953.8,917.09,925.36,9217,0
PLZ,D,20070322,000000,932.7,952,927.19,948.31,28695,0
PLZ,D,20070323,000000,948.31,981.4,948.31,977.7,1453,0
PLZ,D,20070326,000000,975.9,986.9,934.54,950.1,4432,0
PLZ,D,20070327,000000,952.9,952.9,937.29,946.47,25654,0
PLZ,D,20070328,000000,955.7,960.2,948.31,948.31,1003,0
PLZ,D,20070329,000000,981.4,1012.6,981.4,994.2,2762,0
PLZ,D,20070330,000000,989.6,989.6,985,985,986,0
PLZ,D,20070402,000000,985,985,974.9,985,3190,0
PLZ,D,20070403,000000,981.4,1000.6,981.4,984.1,1773,0
PLZ,D,20070404,000000,989.6,994.2,988.7,988.7,1366,0
PLZ,D,20070405,000000,963,984.1,963,976.8,580,0
PLZ,D,20070410,000000,985,985,982.3,985,5061,0
PLZ,D,20070411,000000,983.2,983.2,976.8,980.4,1702,0
PLZ,D,20070412,000000,974,974,932.7,932.7,1916,0
PLZ,D,20070413,000000,941.88,941.88,931.78,934.54,11708,0
PLZ,D,20070416,000000,934.54,937.29,930.86,930.86,4771,0
PLZ,D,20070417,000000,933.62,933.62,880.37,901.49,7513,0
PLZ,D,20070418,000000,891.39,935.45,891.39,925.36,13160,0
PLZ,D,20070419,000000,918.93,921.68,905.16,906.08,6004,0
PLZ,D,20070420,000000,904.24,911.59,896.9,901.49,39026,0
PLZ,D,20070423,000000,920.77,930.86,910.67,930.86,22457,0
PLZ,D,20070424,000000,931.78,935.45,927.19,934.54,6408,0
PLZ,D,20070426,000000,956.6,966.7,926.27,927.19,10511,0
PLZ,D,20070427,000000,938.21,938.21,929.95,938.21,5084,0
PLZ,D,20070430,000000,936.37,966.7,926.27,959.3,11832,0
PLZ,D,20070501,000000,972.2,974.9,966.7,974.9,4367,0
PLZ,D,20070502,000000,991.5,1005.2,991.5,997,6928,0
PLZ,D,20070503,000000,1006.1,1016.2,1006.1,1008,1571,0
PLZ,D,20070504,000000,1007.1,1032.8,1007.1,1032.8,4050,0
PLZ,D,20070508,000000,1045.6,1048.4,1020.8,1025.4,1027,0
PLZ,D,20070509,000000,1030.9,1035.5,1012.6,1025.4,19258,0
PLZ,D,20070510,000000,1041,1041,1030.9,1039.2,1010,0
PLZ,D,20070511,000000,1035.5,1035.5,1025.4,1032.8,10926,0
PLZ,D,20070514,000000,1038.3,1038.3,1019.9,1022.7,5636,0
PLZ,D,20070515,000000,1028.2,1028.2,1022.7,1022.7,2101,0
PLZ,D,20070516,000000,1026.3,1029.1,1013.5,1019,13328,0
PLZ,D,20070517,000000,1016.2,1018.1,1016.2,1016.2,8628,0
PLZ,D,20070518,000000,1030,1030,1017.2,1017.2,2664,0
PLZ,D,20070521,000000,1028.2,1028.2,1008,1012.6,4700,0
PLZ,D,20070522,000000,1015.3,1016.2,996,1007.1,1650,0
PLZ,D,20070523,000000,1005.2,1010.7,995.1,998.8,443,0
PLZ,D,20070524,000000,999.7,1006.1,974,974,3440,0
PLZ,D,20070525,000000,976.8,976.8,955.7,972.2,4162,0
PLZ,D,20070529,000000,983.2,998.8,973.1,998.8,28511,0
PLZ,D,20070530,000000,982.3,997,982.3,990.5,678,0
PLZ,D,20070531,000000,998.8,1004.3,991.5,991.5,2121,0
PLZ,D,20070604,000000,997,997,965.8,981.4,1764,0
PLZ,D,20070605,000000,989.6,989.6,981.4,989.6,4530,0
PLZ,D,20070606,000000,986.9,989.6,915.26,919.85,11774,0
PLZ,D,20070607,000000,944.63,945.55,873.95,875.78,3894,0
PLZ,D,20070608,000000,900.57,966.7,900.57,961.2,24121,0
PLZ,D,20070611,000000,976.8,1033.7,976.8,986.9,6968,0
PLZ,D,20070612,000000,994.2,1022.7,986.9,1015.3,7293,0
PLZ,D,20070613,000000,1013.5,1041.9,1010.7,1020.8,16309,0
PLZ,D,20070614,000000,1011.7,1018.1,1008,1018.1,12128,0
PLZ,D,20070615,000000,1019.9,1044.7,1014.4,1044.7,4441,0
PLZ,D,20070618,000000,1032.8,1042.9,991.5,1017.2,5529,0
PLZ,D,20070619,000000,1008.9,1040.1,1008.9,1031.9,4698,0
PLZ,D,20070620,000000,1027.3,1030,1014.4,1025.4,9031,0
PLZ,D,20070621,000000,1020.8,1026.3,1000.6,1020.8,13439,0
PLZ,D,20070622,000000,1023.6,1033.7,1013.5,1018.1,26695,0
PLZ,D,20070625,000000,1013.5,1038.3,1003.4,1029.1,7965,0
PLZ,D,20070626,000000,1019.9,1037.4,1019.9,1035.5,12900,0
PLZ,D,20070627,000000,1021.8,1042.9,1021.8,1037.4,7327,0
PLZ,D,20070628,000000,1036.4,1046.5,1027.3,1046.5,10628,0
PLZ,D,20070629,000000,1038.3,1043.8,1020.8,1028.2,4705,0
PLZ,D,20070702,000000,1022.7,1032.8,1003.4,1017.2,20178,0
PLZ,D,20070703,000000,1018.1,1048.4,1018.1,1043.8,18361,0
PLZ,D,20070704,000000,1048.4,1058.5,1032.8,1043.8,13701,0
PLZ,D,20070705,000000,1041.9,1047.5,1041.9,1042.9,17194,0
PLZ,D,20070706,000000,1050.2,1060.3,1050.2,1052,17722,0
PLZ,D,20070709,000000,1056.6,1064,1046.5,1046.5,3910,0
PLZ,D,20070710,000000,1049.3,1049.3,1039.2,1044.7,8540,0
PLZ,D,20070711,000000,1046.5,1048.4,1045.6,1045.6,4197,0
PLZ,D,20070712,000000,1041,1042.9,1030.9,1042.9,8414,0
PLZ,D,20070713,000000,1048.4,1048.4,997.9,1013.5,3634,0
PLZ,D,20070716,000000,1002.5,1016.2,989.6,997,3825,0
PLZ,D,20070717,000000,990.5,1011.7,975.9,975.9,2786,0
PLZ,D,20070718,000000,991.5,1002.5,938.21,938.21,1468,0
PLZ,D,20070719,000000,960.2,996,955.7,996,11155,0
PLZ,D,20070720,000000,990.5,1016.2,990.5,1009.8,1617,0
PLZ,D,20070723,000000,1024.5,1030,1011.7,1017.2,3900,0
PLZ,D,20070724,000000,1017.2,1017.2,998.8,1001.6,3309,0
PLZ,D,20070725,000000,1017.2,1017.2,994.2,996,5161,0
PLZ,D,20070726,000000,990.5,1000.6,943.72,953.8,4316,0
PLZ,D,20070727,000000,963,966.7,938.21,958.4,1671,0
PLZ,D,20070730,000000,946.47,949.22,930.86,943.72,868,0
PLZ,D,20070731,000000,930.86,987.8,930.86,978.6,3753,0
PLZ,D,20070801,000000,959.3,969.4,952,958.4,24537,0
PLZ,D,20070802,000000,952.9,958.4,948.31,957.5,887,0
PLZ,D,20070803,000000,944.63,961.2,939.13,961.2,2910,0
PLZ,D,20070806,000000,935.45,953.8,934.54,945.55,1382,0
PLZ,D,20070807,000000,939.13,1020.8,939.13,1000.6,10401,0
PLZ,D,20070808,000000,993.3,1007.1,975.9,1007.1,7224,0
PLZ,D,20070809,000000,1010.7,1013.5,972.2,997.9,7642,0
PLZ,D,20070810,000000,962.1,1009.8,906.08,973.1,7766,0
PLZ,D,20070813,000000,967.6,967.6,946.47,948.31,2943,0
PLZ,D,20070815,000000,931.78,931.78,906.08,906.08,999,0
PLZ,D,20070816,000000,897.82,897.82,856.51,871.19,2072,0
PLZ,D,20070817,000000,854.67,870.28,828.97,846.41,11211,0
PLZ,D,20070820,000000,838.15,886.8,838.15,886.8,3544,0
PLZ,D,20070821,000000,882.21,906.08,856.51,882.21,954,0
PLZ,D,20070822,000000,881.29,959.3,878.54,954.7,917,0
PLZ,D,20070823,000000,949.22,964.8,855.59,901.49,3827,0
PLZ,D,20070824,000000,882.21,908.83,879.46,898.73,4932,0
PLZ,D,20070828,000000,880.37,915.26,880.37,910.67,1239,0
PLZ,D,20070829,000000,922.6,990.5,922.6,982.3,1143,0
PLZ,D,20070830,000000,962.1,966.7,953.8,959.3,3241,0
PLZ,D,20070831,000000,952.9,972.2,952.9,968.5,12096,0
PLZ,D,20070903,000000,954.7,976.8,954.7,976.8,22666,0
PLZ,D,20070904,000000,966.7,992.4,957.5,982.3,3236,0
PLZ,D,20070905,000000,958.4,979.5,953.8,979.5,1779,0
PLZ,D,20070906,000000,966.7,986.9,962.1,981.4,1744,0
