<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PMA,D,20071120,000000,10.511,10.511,8.6,9.46,67351,0
PMA,D,20071121,000000,9.46,9.46,8.5236,8.772,13815,0
PMA,D,20071122,000000,8.5618,8.7911,7.2718,8.4089,22291,0
PMA,D,20071123,000000,8.3324,8.5522,7.9598,8.5522,8165,0
PMA,D,20071126,000000,8.5522,9.1256,8.4567,8.4567,13118,0
PMA,D,20071127,000000,8.4471,8.5904,8.2178,8.5904,775,0
PMA,D,20071128,000000,8.9822,8.9822,8.6096,8.6096,3286,0
PMA,D,20071129,000000,8.6191,8.9344,8.6191,8.9249,1085,0
PMA,D,20071130,000000,8.858,8.8771,8.7529,8.8676,2242,0
PMA,D,20071203,000000,8.8484,8.8484,8.3802,8.772,395,0
PMA,D,20071204,000000,8.2656,8.7816,8.2656,8.4567,1775,0
PMA,D,20071205,000000,8.4567,8.6,8.3133,8.6,1520,0
PMA,D,20071206,000000,8.6096,8.6096,8.3133,8.4089,4182,0
PMA,D,20071207,000000,8.4089,8.5522,8.3133,8.5522,2017,0
PMA,D,20071210,000000,8.2178,8.5331,8.2178,8.5044,5179,0
PMA,D,20071211,000000,7.74,8.4089,7.74,8.4089,514,0
PMA,D,20071212,000000,8.0267,8.4949,8.0267,8.0362,505,0
PMA,D,20071213,000000,7.74,7.74,7.6444,7.6444,2099,0
PMA,D,20071214,000000,7.3196,7.6444,7.3196,7.6444,6423,0
PMA,D,20071217,000000,6.9947,7.2144,6.9947,7.0711,4207,0
PMA,D,20071218,000000,6.88,7.4056,6.8322,7.0998,39169,0
PMA,D,20071219,000000,7.4056,7.4056,7.1189,7.3482,26678,0
PMA,D,20071220,000000,7.5489,7.6444,7.0233,7.224,3796,0
PMA,D,20071221,000000,6.8513,7.1571,6.6889,6.8322,16620,0
PMA,D,20071227,000000,6.7844,6.9278,6.6889,6.8704,10724,0
PMA,D,20071228,000000,6.8704,7.4916,6.708,7.4916,6669,0
PMA,D,20080102,000000,6.7462,6.9278,6.4978,6.6507,11169,0
PMA,D,20080103,000000,6.6889,6.6889,6.4978,6.6698,4537,0
PMA,D,20080104,000000,6.6602,6.6602,6.1156,6.6411,6252,0
PMA,D,20080107,000000,6.1156,6.6411,6.1156,6.6411,175,0
PMA,D,20080108,000000,6.1347,6.5838,6.1347,6.4882,617,0
PMA,D,20080109,000000,6.1442,6.3067,6.1156,6.1156,4345,0
PMA,D,20080110,000000,5.7429,5.9244,5.7333,5.9244,3497,0
PMA,D,20080111,000000,6.106,6.106,6.106,6.106,1,0
