<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PND,D,19981218,000000,10.431,10.431,10.431,10.431,1987,0
PND,D,19981221,000000,10.328,10.328,10.328,10.328,5602,0
PND,D,19981222,000000,9.3051,9.3051,9.3051,9.3051,0,0
PND,D,19981223,000000,8.7986,8.7986,8.7986,8.7986,2153,0
PND,D,19981228,000000,8.3952,8.3952,8.3952,8.3952,2059,0
PND,D,19981229,000000,8.339,8.339,8.339,8.339,1016,0
PND,D,19981230,000000,8.142,8.142,8.142,8.142,1250,0
PND,D,19981231,000000,8.3952,8.3952,8.3952,8.3952,197,0
PND,D,19990104,000000,8.6485,8.6485,8.6485,8.6485,526,0
PND,D,19990105,000000,8.6485,8.6485,8.6485,8.6485,97,0
PND,D,19990106,000000,8.6485,8.6485,8.6485,8.6485,197,0
PND,D,19990107,000000,8.3952,8.3952,8.3952,8.3952,1024,0
PND,D,19990108,000000,8.3952,8.3952,8.3952,8.3952,0,0
PND,D,19990111,000000,8.339,8.339,8.339,8.339,0,0
PND,D,19990112,000000,8.339,8.339,8.339,8.339,90,0
PND,D,19990113,000000,8.3952,8.3952,8.3952,8.3952,236,0
PND,D,19990114,000000,8.0387,8.0387,8.0387,8.0387,0,0
PND,D,19990115,000000,7.6261,7.6261,7.6261,7.6261,40,0
PND,D,19990118,000000,6.8663,6.8663,6.8663,6.8663,191,0
PND,D,19990119,000000,7.5323,7.5323,7.5323,7.5323,393,0
PND,D,19990120,000000,8.2358,8.2358,8.2358,8.2358,174,0
PND,D,19990121,000000,7.4291,7.4291,7.4291,7.4291,97,0
PND,D,19990122,000000,8.142,8.142,8.142,8.142,49,0
PND,D,19990125,000000,7.8324,7.8324,7.8324,7.8324,137,0
PND,D,19990126,000000,7.1196,7.1196,7.1196,7.1196,197,0
PND,D,19990127,000000,7.6261,7.6261,7.6261,7.6261,197,0
PND,D,19990128,000000,7.8886,7.8886,7.8886,7.8886,18,0
PND,D,19990129,000000,7.8324,7.8324,7.8324,7.8324,18,0
PND,D,19990201,000000,7.9825,7.9825,7.9825,7.9825,40,0
PND,D,19990202,000000,8.142,8.142,8.142,8.142,66,0
PND,D,19990203,000000,7.9356,7.9356,7.9356,7.9356,0,0
PND,D,19990204,000000,7.8886,7.8886,7.8886,7.8886,263,0
PND,D,19990205,000000,8.0387,8.0387,8.0387,8.0387,15,0
PND,D,19990208,000000,7.9356,7.9356,7.9356,7.9356,197,0
PND,D,19990209,000000,7.9825,7.9825,7.9825,7.9825,35,0
PND,D,19990210,000000,7.9825,7.9825,7.9825,7.9825,0,0
PND,D,19990211,000000,7.2228,7.2228,7.2228,7.2228,0,0
PND,D,19990212,000000,7.8886,7.8886,7.8886,7.8886,393,0
PND,D,19990215,000000,8.142,8.142,8.142,8.142,321,0
PND,D,19990216,000000,8.2358,8.2358,8.2358,8.2358,334,0
PND,D,19990217,000000,8.3952,8.3952,8.3952,8.3952,559,0
PND,D,19990218,000000,8.6485,8.6485,8.6485,8.6485,570,0
PND,D,19990219,000000,9.512,9.512,9.512,9.512,2359,0
PND,D,19990222,000000,8.6485,8.6485,8.6485,8.6485,10716,0
PND,D,19990223,000000,8.6485,8.6485,8.6485,8.6485,15910,0
PND,D,19990224,000000,7.7855,7.7855,7.7855,7.7855,1968,0
PND,D,19990225,000000,7.6824,7.6824,7.6824,7.6824,3712,0
PND,D,19990226,000000,7.5792,7.5792,7.5792,7.5792,983,0
PND,D,19990301,000000,6.8663,6.8663,6.8663,6.8663,1476,0
PND,D,19990302,000000,6.6131,6.6131,6.6131,6.6131,2699,0
PND,D,19990303,000000,6.4066,6.4066,6.4066,6.4066,3608,0
PND,D,19990304,000000,6.5098,6.5098,6.5098,6.5098,1960,0
PND,D,19990305,000000,6.6131,6.6131,6.6131,6.6131,1592,0
PND,D,19990308,000000,6.8663,6.8663,6.8663,6.8663,1123,0
PND,D,19990309,000000,6.8194,6.8194,6.8194,6.8194,2762,0
PND,D,19990310,000000,7.0164,7.0164,7.0164,7.0164,2793,0
PND,D,19990311,000000,7.0727,7.0727,7.0727,7.0727,295,0
PND,D,19990312,000000,7.0727,7.0727,7.0727,7.0727,590,0
PND,D,19990315,000000,6.8663,6.8663,6.8663,6.8663,210,0
PND,D,19990316,000000,7.1196,7.1196,7.1196,7.1196,952,0
PND,D,19990317,000000,6.9695,6.9695,6.9695,6.9695,2064,0
PND,D,19990318,000000,6.8663,6.8663,6.8663,6.8663,2441,0
PND,D,19990319,000000,6.9695,6.9695,6.9695,6.9695,590,0
PND,D,19990322,000000,6.8663,6.8663,6.8663,6.8663,786,0
PND,D,19990323,000000,6.763,6.763,6.763,6.763,2642,0
PND,D,19990324,000000,6.9131,6.9131,6.9131,6.9131,1965,0
PND,D,19990325,000000,6.2565,6.2565,6.2565,6.2565,751,0
PND,D,19990326,000000,6.8663,6.8663,6.8663,6.8663,393,0
PND,D,19990329,000000,7.0727,7.0727,7.0727,7.0727,1372,0
PND,D,19990330,000000,7.4291,7.4291,7.4291,7.4291,983,0
PND,D,19990331,000000,7.4291,7.4291,7.4291,7.4291,492,0
PND,D,19990401,000000,7.1196,7.1196,7.1196,7.1196,15138,0
PND,D,19990406,000000,7.1196,7.1196,7.1196,7.1196,197,0
PND,D,19990407,000000,6.4066,6.4066,6.4066,6.4066,983,0
PND,D,19990408,000000,7.0164,7.0164,7.0164,7.0164,492,0
PND,D,19990409,000000,7.5323,7.5323,7.5323,7.5323,680,0
PND,D,19990412,000000,7.1196,7.1196,7.1196,7.1196,4234,0
PND,D,19990413,000000,7.1196,7.1196,7.1196,7.1196,1321,0
PND,D,19990414,000000,7.1196,7.1196,7.1196,7.1196,20589,0
PND,D,19990415,000000,7.2228,7.2228,7.2228,7.2228,97,0
PND,D,19990416,000000,7.3259,7.3259,7.3259,7.3259,135,0
PND,D,19990419,000000,7.2228,7.2228,7.2228,7.2228,97,0
PND,D,19990420,000000,7.3728,7.3728,7.3728,7.3728,197,0
PND,D,19990421,000000,7.1196,7.1196,7.1196,7.1196,56,0
PND,D,19990422,000000,7.2228,7.2228,7.2228,7.2228,197,0
PND,D,19990423,000000,7.1196,7.1196,7.1196,7.1196,97,0
PND,D,19990426,000000,7.1196,7.1196,7.1196,7.1196,287,0
PND,D,19990427,000000,6.4066,6.4066,6.4066,6.4066,2163,0
PND,D,19990428,000000,7.0164,7.0164,7.0164,7.0164,776,0
PND,D,19990429,000000,7.6824,7.6824,7.6824,7.6824,630,0
PND,D,19990430,000000,8.3952,8.3952,8.3952,8.3952,1965,0
PND,D,19990504,000000,8.142,8.142,8.142,8.142,1670,0
PND,D,19990505,000000,7.3259,7.3259,7.3259,7.3259,997,0
PND,D,19990506,000000,7.5792,7.5792,7.5792,7.5792,393,0
PND,D,19990507,000000,7.8324,7.8324,7.8324,7.8324,86,0
PND,D,19990510,000000,7.6261,7.6261,7.6261,7.6261,295,0
PND,D,19990511,000000,7.5323,7.5323,7.5323,7.5323,141,0
PND,D,19990512,000000,7.2228,7.2228,7.2228,7.2228,983,0
PND,D,19990513,000000,7.3259,7.3259,7.3259,7.3259,296,0
PND,D,19990514,000000,7.3259,7.3259,7.3259,7.3259,197,0
PND,D,19990517,000000,6.9695,6.9695,6.9695,6.9695,501,0
PND,D,19990518,000000,7.1196,7.1196,7.1196,7.1196,1965,0
PND,D,19990519,000000,7.1196,7.1196,7.1196,7.1196,197,0
PND,D,19990520,000000,7.1196,7.1196,7.1196,7.1196,197,0
PND,D,19990521,000000,7.1196,7.1196,7.1196,7.1196,197,0
PND,D,19990524,000000,7.476,7.476,7.476,7.476,393,0
PND,D,19990525,000000,7.5792,7.5792,7.5792,7.5792,864,0
PND,D,19990526,000000,7.6261,7.6261,7.6261,7.6261,24,0
PND,D,19990527,000000,7.5323,7.5323,7.5323,7.5323,197,0
PND,D,19990528,000000,7.6261,7.6261,7.6261,7.6261,197,0
PND,D,19990531,000000,7.1196,7.1196,7.1196,7.1196,197,0
PND,D,19990601,000000,7.1196,7.1196,7.1196,7.1196,197,0
PND,D,19990602,000000,7.1758,7.1758,7.1758,7.1758,218,0
PND,D,19990607,000000,7.2228,7.2228,7.2228,7.2228,197,0
PND,D,19990608,000000,7.1196,7.1196,7.1196,7.1196,983,0
PND,D,19990609,000000,7.2697,7.2697,7.2697,7.2697,197,0
PND,D,19990610,000000,7.2697,7.2697,7.2697,7.2697,1670,0
