<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
POZ,D,20080611,000000,2.1829,2.2124,1.9272,1.9666,74549,0
POZ,D,20080612,000000,2.1239,2.1239,2.0256,2.0256,12281,0
POZ,D,20080613,000000,2.0452,2.114,1.9666,2.0157,14446,0
POZ,D,20080616,000000,1.9666,2.1632,1.8682,2.1042,23832,0
POZ,D,20080617,000000,2.0157,2.1534,2.0157,2.1534,14802,0
POZ,D,20080618,000000,2.1239,2.1239,1.9666,1.9666,13665,0
POZ,D,20080619,000000,2.0452,2.0452,1.9076,2.0059,4099,0
POZ,D,20080620,000000,2.0452,2.0452,1.8879,1.9862,4186,0
POZ,D,20080623,000000,1.9666,1.9666,1.8387,1.8486,5799,0
POZ,D,20080624,000000,1.9076,1.9076,1.6716,1.7699,3868,0
POZ,D,20080625,000000,1.6912,1.8092,1.6912,1.8092,20343,0
POZ,D,20080626,000000,1.8781,1.9076,1.6322,1.6814,13176,0
POZ,D,20080627,000000,1.6421,1.8289,1.5831,1.7699,22963,0
POZ,D,20080630,000000,1.7601,1.9076,1.7601,1.8682,10947,0
POZ,D,20080701,000000,1.8682,1.9076,1.8682,1.9076,103,0
POZ,D,20080702,000000,1.9076,1.9272,1.7797,1.7797,8193,0
POZ,D,20080703,000000,1.9272,1.9272,1.7699,1.8879,2715,0
POZ,D,20080704,000000,1.7699,1.8289,1.6912,1.7601,27680,0
POZ,D,20080707,000000,1.8191,1.8191,1.5831,1.7502,23362,0
POZ,D,20080708,000000,1.7502,1.7502,1.5831,1.6814,12265,0
POZ,D,20080709,000000,1.7207,1.7207,1.5241,1.6716,6451,0
POZ,D,20080710,000000,1.6617,1.7306,1.5142,1.7306,13219,0
POZ,D,20080711,000000,1.6716,1.9076,1.6716,1.8486,18596,0
POZ,D,20080714,000000,1.9272,1.9272,1.9174,1.9174,33,0
POZ,D,20080715,000000,1.8682,1.8682,1.8682,1.8682,361,0
POZ,D,20080716,000000,1.6617,1.9174,1.6617,1.8977,3006,0
POZ,D,20080717,000000,1.9272,1.9469,1.8289,1.9174,18663,0
POZ,D,20080718,000000,1.9174,1.9174,1.8092,1.8879,54681,0
POZ,D,20080721,000000,1.6912,1.9174,1.6912,1.8387,3437,0
POZ,D,20080722,000000,1.8191,2.0452,1.7404,1.9666,40006,0
POZ,D,20080723,000000,1.9666,2.1435,1.9371,2.1239,16759,0
POZ,D,20080724,000000,2.1435,2.2025,2.0649,2.1632,21478,0
POZ,D,20080725,000000,2.114,2.114,1.9174,2.0452,4267,0
POZ,D,20080728,000000,2.114,2.3402,1.9961,2.114,1846,0
POZ,D,20080729,000000,2.114,2.2025,2.114,2.1927,6179,0
POZ,D,20080730,000000,2.1239,2.409,2.1239,2.35,13737,0
POZ,D,20080731,000000,2.2517,2.3402,2.1239,2.3304,18281,0
POZ,D,20080801,000000,2.2714,2.35,2.2124,2.35,7272,0
POZ,D,20080804,000000,2.3599,2.4582,2.2714,2.291,9511,0
POZ,D,20080805,000000,2.35,2.35,2.1927,2.35,9296,0
POZ,D,20080806,000000,2.1927,2.3009,2.1632,2.1632,3509,0
POZ,D,20080808,000000,2.1632,2.1632,2.1632,2.1632,1526,0
POZ,D,20080811,000000,2.2517,2.3304,2.0354,2.0354,5731,0
POZ,D,20080812,000000,2.0452,2.114,2.0157,2.114,4492,0
POZ,D,20080813,000000,2.1435,2.2517,1.9469,2.0944,10424,0
POZ,D,20080814,000000,2.2124,2.2124,1.9469,2.0649,28589,0
POZ,D,20080818,000000,1.9567,2.1042,1.9567,2.0452,13057,0
POZ,D,20080819,000000,1.9272,2.114,1.9272,2.114,25389,0
POZ,D,20080820,000000,2.1239,2.1435,1.9567,1.9961,36116,0
POZ,D,20080821,000000,1.9469,1.9469,1.8682,1.8781,58639,0
POZ,D,20080822,000000,1.9666,1.9961,1.8387,1.9272,28825,0
POZ,D,20080825,000000,1.9567,2.114,1.9174,2.114,12477,0
POZ,D,20080826,000000,2.1435,2.2812,2.1435,2.2025,14035,0
POZ,D,20080827,000000,2.0649,2.1927,2.0157,2.0157,10718,0
POZ,D,20080828,000000,2.0256,2.173,2.0256,2.173,11537,0
POZ,D,20080829,000000,2.0551,2.2025,2.0551,2.0551,4448,0
POZ,D,20080901,000000,2.0649,2.0649,2.0551,2.0649,4431,0
POZ,D,20080902,000000,2.1239,2.1239,2.0649,2.0944,9373,0
POZ,D,20080903,000000,2.0649,2.114,2.0649,2.114,899,0
POZ,D,20080904,000000,2.1632,2.2124,2.114,2.1632,6845,0
POZ,D,20080905,000000,2.1632,2.2615,2.1239,2.2615,20764,0
POZ,D,20080908,000000,2.3304,2.4385,2.2615,2.2615,24696,0
POZ,D,20080909,000000,2.1927,2.3009,2.1632,2.3009,6969,0
POZ,D,20080910,000000,2.232,2.2419,2.232,2.2419,712,0
POZ,D,20080911,000000,2.3599,2.3599,2.3599,2.3599,1018,0
POZ,D,20080912,000000,2.3795,2.4189,2.3599,2.3599,3691,0
POZ,D,20080916,000000,2.291,2.291,2.291,2.291,14,0
POZ,D,20080918,000000,2.2615,2.2615,2.1927,2.1927,1001,0
POZ,D,20080919,000000,2.4189,2.4189,2.4189,2.4189,20,0
POZ,D,20080922,000000,2.2615,2.3795,2.2615,2.3599,7716,0
POZ,D,20080923,000000,2.35,2.3599,2.2615,2.2615,1566,0
POZ,D,20080924,000000,2.2714,2.3304,2.2714,2.3304,1245,0
POZ,D,20080925,000000,2.3304,2.3599,2.3205,2.3599,10693,0
POZ,D,20080926,000000,2.2615,2.3107,2.2615,2.3107,47341,0
POZ,D,20080930,000000,1.9666,2.3697,1.9666,2.3697,9729,0
POZ,D,20081001,000000,2.1632,2.35,2.1632,2.3402,1768,0
POZ,D,20081002,000000,2.2615,2.3599,2.2615,2.3599,362,0
POZ,D,20081003,000000,2.2222,2.2222,2.2124,2.2124,1308,0
POZ,D,20081006,000000,2.2615,2.2615,2.2615,2.2615,104,0
POZ,D,20081007,000000,2.1337,2.2517,2.1337,2.2517,1536,0
POZ,D,20081008,000000,2.291,2.291,1.9076,2.114,7822,0
POZ,D,20081009,000000,2.3009,2.3009,2.0845,2.114,9703,0
POZ,D,20081010,000000,2.0354,2.2517,1.9076,2.2517,11384,0
POZ,D,20081013,000000,2.0354,2.2419,2.0354,2.2419,2203,0
POZ,D,20081014,000000,2.2517,2.2517,2.2124,2.2517,4021,0
POZ,D,20081015,000000,2.0452,2.1632,2.0452,2.1632,133,0
POZ,D,20081016,000000,2.2025,2.2025,1.9764,1.9764,5145,0
POZ,D,20081017,000000,2.1534,2.1534,1.9469,1.9469,3932,0
POZ,D,20081020,000000,2.0059,2.0059,2.0059,2.0059,734,0
POZ,D,20081021,000000,2.0551,2.2124,1.9174,2.1337,9121,0
POZ,D,20081022,000000,1.9567,2.0157,1.9469,1.9469,8250,0
POZ,D,20081023,000000,1.9371,2.114,1.8879,2.114,4597,0
POZ,D,20081024,000000,2.0157,2.0845,2.0157,2.0845,3098,0
POZ,D,20081027,000000,2.0157,2.35,1.9174,2.3107,34015,0
POZ,D,20081028,000000,2.0256,2.2025,2.0256,2.0944,4142,0
POZ,D,20081029,000000,2.1435,2.173,2.0649,2.1042,5401,0
POZ,D,20081030,000000,2.114,2.1239,2.0649,2.0649,3088,0
POZ,D,20081031,000000,2.1337,2.1435,2.0059,2.1435,1717,0
