<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPS,D,19970522,000000,0.9911,0.9911,0.9911,0.9911,1101364,0
PPS,D,19970523,000000,0.9128,0.9128,0.9128,0.9128,1745338,0
PPS,D,19970526,000000,0.8259,0.8259,0.8259,0.8259,2118044,0
PPS,D,19970527,000000,0.7824,0.7824,0.7824,0.7824,1551755,0
PPS,D,19970528,000000,0.7824,0.7824,0.7824,0.7824,1124543,0
PPS,D,19970530,000000,0.7911,0.7911,0.7911,0.7911,726937,0
PPS,D,19970602,000000,0.7999,0.7999,0.7999,0.7999,1499200,0
PPS,D,19970603,000000,0.765,0.765,0.765,0.765,1307913,0
PPS,D,19970604,000000,0.6955,0.6955,0.6955,0.6955,2320232,0
PPS,D,19970605,000000,0.6607,0.6607,0.6607,0.6607,2225794,0
PPS,D,19970606,000000,0.6781,0.6781,0.6781,0.6781,1171934,0
PPS,D,19970609,000000,0.652,0.652,0.652,0.652,1091611,0
PPS,D,19970610,000000,0.6086,0.6086,0.6086,0.6086,1022645,0
PPS,D,19970611,000000,0.5999,0.5999,0.5999,0.5999,918798,0
PPS,D,19970612,000000,0.6347,0.6347,0.6347,0.6347,1467415,0
PPS,D,19970613,000000,0.6781,0.6781,0.6781,0.6781,1179854,0
PPS,D,19970616,000000,0.6781,0.6781,0.6781,0.6781,644317,0
PPS,D,19970617,000000,0.6694,0.6694,0.6694,0.6694,850522,0
PPS,D,19970618,000000,0.652,0.652,0.652,0.652,522912,0
PPS,D,19970619,000000,0.6347,0.6347,0.6347,0.6347,749772,0
PPS,D,19970620,000000,0.6347,0.6347,0.6347,0.6347,762853,0
PPS,D,19970623,000000,0.5999,0.5999,0.5999,0.5999,768362,0
PPS,D,19970624,000000,0.5825,0.5825,0.5825,0.5825,992467,0
PPS,D,19970625,000000,0.5651,0.5651,0.5651,0.5651,860620,0
PPS,D,19970626,000000,0.5477,0.5477,0.5477,0.5477,926715,0
PPS,D,19970627,000000,0.5651,0.5651,0.5651,0.5651,1251686,0
PPS,D,19970630,000000,0.5738,0.5738,0.5738,0.5738,503520,0
PPS,D,19970701,000000,0.5564,0.5564,0.5564,0.5564,526011,0
PPS,D,19970702,000000,0.5564,0.5564,0.5564,0.5564,459112,0
PPS,D,19970703,000000,0.5912,0.5912,0.5912,0.5912,896422,0
PPS,D,19970704,000000,0.6434,0.6434,0.6434,0.6434,725216,0
PPS,D,19970707,000000,0.626,0.626,0.626,0.626,604845,0
PPS,D,19970708,000000,0.6434,0.6434,0.6434,0.6434,530830,0
PPS,D,19970709,000000,0.6694,0.6694,0.6694,0.6694,1140722,0
PPS,D,19970710,000000,0.6694,0.6694,0.6694,0.6694,708576,0
PPS,D,19970711,000000,0.6434,0.6434,0.6434,0.6434,565255,0
PPS,D,19970714,000000,0.5825,0.5825,0.5825,0.5825,399098,0
PPS,D,19970715,000000,0.5651,0.5651,0.5651,0.5651,1647456,0
PPS,D,19970716,000000,0.5825,0.5825,0.5825,0.5825,964238,0
PPS,D,19970717,000000,0.5825,0.5825,0.5825,0.5825,927634,0
PPS,D,19970718,000000,0.5738,0.5738,0.5738,0.5738,347691,0
PPS,D,19970721,000000,0.5303,0.5303,0.5303,0.5303,1203032,0
PPS,D,19970722,000000,0.5303,0.5303,0.5303,0.5303,741165,0
PPS,D,19970723,000000,0.539,0.539,0.539,0.539,740363,0
PPS,D,19970724,000000,0.5042,0.5042,0.5042,0.5042,551944,0
PPS,D,19970725,000000,0.5042,0.5042,0.5042,0.5042,1225638,0
PPS,D,19970728,000000,0.48682,0.48682,0.48682,0.48682,1048235,0
PPS,D,19970729,000000,0.47811,0.47811,0.47811,0.47811,671627,0
PPS,D,19970730,000000,0.49552,0.49552,0.49552,0.49552,875309,0
PPS,D,19970731,000000,0.5042,0.5042,0.5042,0.5042,433064,0
PPS,D,19970801,000000,0.46951,0.46951,0.46951,0.46951,486652,0
PPS,D,19970804,000000,0.49552,0.49552,0.49552,0.49552,620449,0
PPS,D,19970805,000000,0.48682,0.48682,0.48682,0.48682,865784,0
PPS,D,19970806,000000,0.49552,0.49552,0.49552,0.49552,666348,0
PPS,D,19970807,000000,0.5042,0.5042,0.5042,0.5042,1127756,0
PPS,D,19970808,000000,0.5216,0.5216,0.5216,0.5216,1284274,0
PPS,D,19970811,000000,0.5477,0.5477,0.5477,0.5477,2048161,0
PPS,D,19970812,000000,0.539,0.539,0.539,0.539,1100676,0
PPS,D,19970813,000000,0.5477,0.5477,0.5477,0.5477,1869725,0
PPS,D,19970814,000000,0.5564,0.5564,0.5564,0.5564,2114830,0
PPS,D,19970818,000000,0.5477,0.5477,0.5477,0.5477,1542690,0
PPS,D,19970819,000000,0.5216,0.5216,0.5216,0.5216,478160,0
PPS,D,19970820,000000,0.539,0.539,0.539,0.539,748625,0
PPS,D,19970821,000000,0.5303,0.5303,0.5303,0.5303,789130,0
PPS,D,19970822,000000,0.539,0.539,0.539,0.539,558829,0
PPS,D,19970825,000000,0.539,0.539,0.539,0.539,862685,0
PPS,D,19970826,000000,0.5477,0.5477,0.5477,0.5477,802327,0
PPS,D,19970827,000000,0.5477,0.5477,0.5477,0.5477,1196376,0
PPS,D,19970828,000000,0.5651,0.5651,0.5651,0.5651,947026,0
PPS,D,19970829,000000,0.5912,0.5912,0.5912,0.5912,2429703,0
PPS,D,19970901,000000,0.5825,0.5825,0.5825,0.5825,1293340,0
PPS,D,19970902,000000,0.5912,0.5912,0.5912,0.5912,1586868,0
PPS,D,19970903,000000,0.6086,0.6086,0.6086,0.6086,2063078,0
PPS,D,19970904,000000,0.626,0.626,0.626,0.626,2647267,0
PPS,D,19970905,000000,0.626,0.626,0.626,0.626,1148298,0
PPS,D,19970908,000000,0.652,0.652,0.652,0.652,1681537,0
PPS,D,19970909,000000,0.6781,0.6781,0.6781,0.6781,2026474,0
PPS,D,19970910,000000,0.6781,0.6781,0.6781,0.6781,1823023,0
PPS,D,19970911,000000,0.652,0.652,0.652,0.652,726707,0
PPS,D,19970912,000000,0.652,0.652,0.652,0.652,1399139,0
PPS,D,19970915,000000,0.6347,0.6347,0.6347,0.6347,931764,0
PPS,D,19970916,000000,0.626,0.626,0.626,0.626,836293,0
PPS,D,19970917,000000,0.6173,0.6173,0.6173,0.6173,1491397,0
PPS,D,19970918,000000,0.6173,0.6173,0.6173,0.6173,1459956,0
PPS,D,19970919,000000,0.6173,0.6173,0.6173,0.6173,996253,0
PPS,D,19970922,000000,0.6173,0.6173,0.6173,0.6173,544944,0
PPS,D,19970923,000000,0.6347,0.6347,0.6347,0.6347,677824,0
PPS,D,19970924,000000,0.6173,0.6173,0.6173,0.6173,422277,0
PPS,D,19970925,000000,0.5825,0.5825,0.5825,0.5825,1194082,0
PPS,D,19970926,000000,0.5564,0.5564,0.5564,0.5564,540010,0
PPS,D,19970929,000000,0.5738,0.5738,0.5738,0.5738,566975,0
PPS,D,19970930,000000,0.5651,0.5651,0.5651,0.5651,489062,0
PPS,D,19971001,000000,0.5564,0.5564,0.5564,0.5564,434211,0
PPS,D,19971002,000000,0.5825,0.5825,0.5825,0.5825,744723,0
PPS,D,19971003,000000,0.5651,0.5651,0.5651,0.5651,151928,0
PPS,D,19971006,000000,0.5477,0.5477,0.5477,0.5477,203565,0
PPS,D,19971007,000000,0.5477,0.5477,0.5477,0.5477,378557,0
PPS,D,19971008,000000,0.5564,0.5564,0.5564,0.5564,1013466,0
PPS,D,19971009,000000,0.5738,0.5738,0.5738,0.5738,837785,0
PPS,D,19971010,000000,0.5651,0.5651,0.5651,0.5651,1323978,0
PPS,D,19971013,000000,0.5564,0.5564,0.5564,0.5564,670940,0
PPS,D,19971014,000000,0.5738,0.5738,0.5738,0.5738,726362,0
PPS,D,19971015,000000,0.5738,0.5738,0.5738,0.5738,688380,0
PPS,D,19971016,000000,0.5825,0.5825,0.5825,0.5825,569385,0
PPS,D,19971017,000000,0.5738,0.5738,0.5738,0.5738,666464,0
PPS,D,19971020,000000,0.5564,0.5564,0.5564,0.5564,822523,0
PPS,D,19971021,000000,0.5477,0.5477,0.5477,0.5477,481373,0
PPS,D,19971022,000000,0.5564,0.5564,0.5564,0.5564,315674,0
PPS,D,19971023,000000,0.539,0.539,0.539,0.539,630891,0
PPS,D,19971024,000000,0.5216,0.5216,0.5216,0.5216,680349,0
PPS,D,19971027,000000,0.5216,0.5216,0.5216,0.5216,1006810,0
PPS,D,19971028,000000,0.46951,0.46951,0.46951,0.46951,0,0
PPS,D,19971029,000000,0.5129,0.5129,0.5129,0.5129,905257,0
PPS,D,19971030,000000,0.48682,0.48682,0.48682,0.48682,669447,0
PPS,D,19971031,000000,0.46951,0.46951,0.46951,0.46951,683102,0
PPS,D,19971103,000000,0.49552,0.49552,0.49552,0.49552,390147,0
PPS,D,19971104,000000,0.49552,0.49552,0.49552,0.49552,1119150,0
PPS,D,19971105,000000,0.49552,0.49552,0.49552,0.49552,576729,0
PPS,D,19971106,000000,0.48682,0.48682,0.48682,0.48682,379016,0
PPS,D,19971107,000000,0.48682,0.48682,0.48682,0.48682,635482,0
PPS,D,19971112,000000,0.47811,0.47811,0.47811,0.47811,533928,0
PPS,D,19971113,000000,0.47811,0.47811,0.47811,0.47811,673923,0
PPS,D,19971114,000000,0.48682,0.48682,0.48682,0.48682,456588,0
PPS,D,19971117,000000,0.49552,0.49552,0.49552,0.49552,927978,0
PPS,D,19971118,000000,0.49552,0.49552,0.49552,0.49552,811278,0
PPS,D,19971119,000000,0.49552,0.49552,0.49552,0.49552,1039629,0
PPS,D,19971120,000000,0.5042,0.5042,0.5042,0.5042,268054,0
PPS,D,19971121,000000,0.5129,0.5129,0.5129,0.5129,356870,0
PPS,D,19971124,000000,0.5129,0.5129,0.5129,0.5129,293988,0
PPS,D,19971125,000000,0.48682,0.48682,0.48682,0.48682,589008,0
PPS,D,19971126,000000,0.5042,0.5042,0.5042,0.5042,143781,0
PPS,D,19971127,000000,0.49552,0.49552,0.49552,0.49552,254857,0
PPS,D,19971128,000000,0.49552,0.49552,0.49552,0.49552,435244,0
PPS,D,19971201,000000,0.5042,0.5042,0.5042,0.5042,218482,0
PPS,D,19971202,000000,0.5216,0.5216,0.5216,0.5216,618499,0
PPS,D,19971203,000000,0.5216,0.5216,0.5216,0.5216,718445,0
PPS,D,19971204,000000,0.539,0.539,0.539,0.539,775935,0
PPS,D,19971205,000000,0.5477,0.5477,0.5477,0.5477,531634,0
PPS,D,19971208,000000,0.5303,0.5303,0.5303,0.5303,373508,0
PPS,D,19971209,000000,0.5303,0.5303,0.5303,0.5303,165583,0
PPS,D,19971210,000000,0.5216,0.5216,0.5216,0.5216,290200,0
PPS,D,19971211,000000,0.5042,0.5042,0.5042,0.5042,470586,0
PPS,D,19971212,000000,0.49552,0.49552,0.49552,0.49552,341838,0
PPS,D,19971215,000000,0.48682,0.48682,0.48682,0.48682,533699,0
PPS,D,19971216,000000,0.49552,0.49552,0.49552,0.49552,198745,0
PPS,D,19971217,000000,0.47811,0.47811,0.47811,0.47811,420441,0
PPS,D,19971218,000000,0.47811,0.47811,0.47811,0.47811,284119,0
PPS,D,19971219,000000,0.46951,0.46951,0.46951,0.46951,490094,0
PPS,D,19971222,000000,0.43469,0.43469,0.43469,0.43469,492618,0
PPS,D,19971223,000000,0.43469,0.43469,0.43469,0.43469,691021,0
PPS,D,19971229,000000,0.44339,0.44339,0.44339,0.44339,496635,0
PPS,D,19971230,000000,0.45208,0.45208,0.45208,0.45208,765607,0
PPS,D,19971231,000000,0.46077,0.46077,0.46077,0.46077,918568,0
PPS,D,19980105,000000,0.46951,0.46951,0.46951,0.46951,522224,0
PPS,D,19980106,000000,0.46951,0.46951,0.46951,0.46951,1448595,0
PPS,D,19980107,000000,0.46077,0.46077,0.46077,0.46077,622056,0
PPS,D,19980108,000000,0.47811,0.47811,0.47811,0.47811,758492,0
PPS,D,19980109,000000,0.46951,0.46951,0.46951,0.46951,847194,0
PPS,D,19980112,000000,0.46077,0.46077,0.46077,0.46077,1328453,0
PPS,D,19980113,000000,0.46951,0.46951,0.46951,0.46951,881274,0
PPS,D,19980114,000000,0.47811,0.47811,0.47811,0.47811,829753,0
PPS,D,19980115,000000,0.46077,0.46077,0.46077,0.46077,610582,0
PPS,D,19980116,000000,0.46951,0.46951,0.46951,0.46951,1037449,0
PPS,D,19980119,000000,0.48682,0.48682,0.48682,0.48682,599335,0
PPS,D,19980120,000000,0.46077,0.46077,0.46077,0.46077,539780,0
PPS,D,19980121,000000,0.45208,0.45208,0.45208,0.45208,402540,0
PPS,D,19980122,000000,0.43469,0.43469,0.43469,0.43469,763542,0
PPS,D,19980123,000000,0.44339,0.44339,0.44339,0.44339,256235,0
PPS,D,19980126,000000,0.44339,0.44339,0.44339,0.44339,377869,0
PPS,D,19980127,000000,0.43469,0.43469,0.43469,0.43469,45784,0
PPS,D,19980128,000000,0.44339,0.44339,0.44339,0.44339,577189,0
PPS,D,19980129,000000,0.44339,0.44339,0.44339,0.44339,825163,0
PPS,D,19980130,000000,0.44339,0.44339,0.44339,0.44339,756887,0
PPS,D,19980202,000000,0.45208,0.45208,0.45208,0.45208,762969,0
PPS,D,19980203,000000,0.46077,0.46077,0.46077,0.46077,630891,0
PPS,D,19980204,000000,0.45208,0.45208,0.45208,0.45208,435474,0
PPS,D,19980205,000000,0.45208,0.45208,0.45208,0.45208,173385,0
PPS,D,19980206,000000,0.46951,0.46951,0.46951,0.46951,1532478,0
PPS,D,19980209,000000,0.46951,0.46951,0.46951,0.46951,648677,0
PPS,D,19980210,000000,0.46077,0.46077,0.46077,0.46077,272759,0
PPS,D,19980211,000000,0.46077,0.46077,0.46077,0.46077,513273,0
PPS,D,19980212,000000,0.40861,0.40861,0.40861,0.40861,723494,0
PPS,D,19980213,000000,0.426,0.426,0.426,0.426,744380,0
PPS,D,19980216,000000,0.43469,0.43469,0.43469,0.43469,536337,0
PPS,D,19980217,000000,0.43469,0.43469,0.43469,0.43469,611269,0
PPS,D,19980218,000000,0.44339,0.44339,0.44339,0.44339,356755,0
PPS,D,19980219,000000,0.43469,0.43469,0.43469,0.43469,313036,0
PPS,D,19980220,000000,0.426,0.426,0.426,0.426,684135,0
PPS,D,19980223,000000,0.43469,0.43469,0.43469,0.43469,537371,0
PPS,D,19980224,000000,0.43469,0.43469,0.43469,0.43469,452456,0
PPS,D,19980225,000000,0.43469,0.43469,0.43469,0.43469,235235,0
PPS,D,19980226,000000,0.43469,0.43469,0.43469,0.43469,336788,0
PPS,D,19980227,000000,0.426,0.426,0.426,0.426,221351,0
PPS,D,19980302,000000,0.44339,0.44339,0.44339,0.44339,612531,0
PPS,D,19980303,000000,0.45208,0.45208,0.45208,0.45208,721888,0
PPS,D,19980304,000000,0.46951,0.46951,0.46951,0.46951,1812466,0
PPS,D,19980305,000000,0.45208,0.45208,0.45208,0.45208,386591,0
PPS,D,19980306,000000,0.44339,0.44339,0.44339,0.44339,725330,0
PPS,D,19980309,000000,0.44339,0.44339,0.44339,0.44339,391754,0
PPS,D,19980310,000000,0.43469,0.43469,0.43469,0.43469,531404,0
PPS,D,19980311,000000,0.43469,0.43469,0.43469,0.43469,644202,0
PPS,D,19980312,000000,0.44339,0.44339,0.44339,0.44339,706397,0
PPS,D,19980313,000000,0.44339,0.44339,0.44339,0.44339,903995,0
PPS,D,19980316,000000,0.44339,0.44339,0.44339,0.44339,141486,0
PPS,D,19980317,000000,0.44339,0.44339,0.44339,0.44339,1069464,0
PPS,D,19980318,000000,0.43469,0.43469,0.43469,0.43469,301331,0
PPS,D,19980319,000000,0.4173,0.4173,0.4173,0.4173,312118,0
PPS,D,19980320,000000,0.426,0.426,0.426,0.426,258530,0
PPS,D,19980323,000000,0.43469,0.43469,0.43469,0.43469,627105,0
PPS,D,19980324,000000,0.43469,0.43469,0.43469,0.43469,806114,0
PPS,D,19980325,000000,0.44339,0.44339,0.44339,0.44339,590041,0
PPS,D,19980326,000000,0.43469,0.43469,0.43469,0.43469,324511,0
PPS,D,19980327,000000,0.426,0.426,0.426,0.426,135518,0
PPS,D,19980330,000000,0.426,0.426,0.426,0.426,488488,0
PPS,D,19980331,000000,0.4173,0.4173,0.4173,0.4173,137928,0
PPS,D,19980401,000000,0.4173,0.4173,0.4173,0.4173,163518,0
PPS,D,19980402,000000,0.40861,0.40861,0.40861,0.40861,188304,0
PPS,D,19980406,000000,0.40861,0.40861,0.40861,0.40861,161681,0
PPS,D,19980407,000000,0.40861,0.40861,0.40861,0.40861,264267,0
PPS,D,19980408,000000,0.4173,0.4173,0.4173,0.4173,129897,0
PPS,D,19980409,000000,0.40861,0.40861,0.40861,0.40861,456014,0
PPS,D,19980414,000000,0.39992,0.39992,0.39992,0.39992,193123,0
PPS,D,19980415,000000,0.39992,0.39992,0.39992,0.39992,402426,0
PPS,D,19980416,000000,0.39122,0.39122,0.39122,0.39122,207351,0
PPS,D,19980417,000000,0.39122,0.39122,0.39122,0.39122,136436,0
PPS,D,19980420,000000,0.38253,0.38253,0.38253,0.38253,109126,0
PPS,D,19980421,000000,0.34775,0.34775,0.34775,0.34775,527962,0
PPS,D,19980422,000000,0.35645,0.35645,0.35645,0.35645,843179,0
PPS,D,19980423,000000,0.34775,0.34775,0.34775,0.34775,142748,0
PPS,D,19980424,000000,0.33906,0.33906,0.33906,0.33906,244759,0
PPS,D,19980427,000000,0.33037,0.33037,0.33037,0.33037,238104,0
PPS,D,19980428,000000,0.31298,0.31298,0.31298,0.31298,232710,0
PPS,D,19980429,000000,0.31298,0.31298,0.31298,0.31298,198860,0
PPS,D,19980430,000000,0.32167,0.32167,0.32167,0.32167,255431,0
PPS,D,19980504,000000,0.33037,0.33037,0.33037,0.33037,159501,0
PPS,D,19980505,000000,0.36514,0.36514,0.36514,0.36514,552632,0
PPS,D,19980506,000000,0.38253,0.38253,0.38253,0.38253,378098,0
PPS,D,19980507,000000,0.38253,0.38253,0.38253,0.38253,285151,0
PPS,D,19980508,000000,0.38253,0.38253,0.38253,0.38253,148141,0
PPS,D,19980511,000000,0.37384,0.37384,0.37384,0.37384,356410,0
PPS,D,19980512,000000,0.34775,0.34775,0.34775,0.34775,142289,0
PPS,D,19980513,000000,0.33906,0.33906,0.33906,0.33906,477357,0
PPS,D,19980514,000000,0.33906,0.33906,0.33906,0.33906,605188,0
PPS,D,19980515,000000,0.33906,0.33906,0.33906,0.33906,273103,0
PPS,D,19980518,000000,0.34775,0.34775,0.34775,0.34775,95470,0
PPS,D,19980519,000000,0.35645,0.35645,0.35645,0.35645,756887,0
PPS,D,19980520,000000,0.36514,0.36514,0.36514,0.36514,159042,0
PPS,D,19980521,000000,0.37384,0.37384,0.37384,0.37384,554813,0
PPS,D,19980522,000000,0.36514,0.36514,0.36514,0.36514,117388,0
PPS,D,19980525,000000,0.34775,0.34775,0.34775,0.34775,113831,0
PPS,D,19980526,000000,0.31298,0.31298,0.31298,0.31298,630088,0
PPS,D,19980527,000000,0.31298,0.31298,0.31298,0.31298,556075,0
PPS,D,19980528,000000,0.31298,0.31298,0.31298,0.31298,239481,0
PPS,D,19980529,000000,0.32167,0.32167,0.32167,0.32167,124273,0
PPS,D,19980601,000000,0.2869,0.2869,0.2869,0.2869,161796,0
PPS,D,19980602,000000,0.2869,0.2869,0.2869,0.2869,194499,0
PPS,D,19980603,000000,0.29559,0.29559,0.29559,0.29559,215039,0
PPS,D,19980604,000000,0.2869,0.2869,0.2869,0.2869,173385,0
PPS,D,19980605,000000,0.29559,0.29559,0.29559,0.29559,272185,0
PPS,D,19980608,000000,0.2869,0.2869,0.2869,0.2869,74930,0
PPS,D,19980609,000000,0.2869,0.2869,0.2869,0.2869,342985,0
PPS,D,19980610,000000,0.2782,0.2782,0.2782,0.2782,52783,0
PPS,D,19980615,000000,0.25212,0.25212,0.25212,0.25212,126798,0
