<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRD,D,20070115,000000,2.9408,3.1319,2.9408,3.0173,1138969,0
PRD,D,20070116,000000,3.1395,3.1395,3.0173,3.0783,168255,0
PRD,D,20070117,000000,3.0631,3.086,3.0173,3.0554,78530,0
PRD,D,20070118,000000,2.9867,3.0554,2.9867,3.0173,128747,0
PRD,D,20070119,000000,3.0478,3.0631,3.002,3.0554,81093,0
PRD,D,20070122,000000,3.0249,3.0554,2.9867,3.0249,74279,0
PRD,D,20070123,000000,3.0249,3.0249,2.9026,3.0173,57919,0
PRD,D,20070124,000000,2.9485,2.9791,2.9255,2.9715,39807,0
PRD,D,20070125,000000,2.9715,2.9791,2.9103,2.9332,69872,0
PRD,D,20070126,000000,2.9026,2.9332,2.788,2.9332,35086,0
PRD,D,20070129,000000,2.7958,2.9408,2.7958,2.9408,70253,0
PRD,D,20070130,000000,2.9408,2.9408,2.8645,2.8721,49510,0
PRD,D,20070131,000000,2.9026,2.9255,2.9026,2.9255,61620,0
PRD,D,20070201,000000,2.9255,2.9255,2.8797,2.9026,30718,0
PRD,D,20070202,000000,2.9026,3.0478,2.8875,3.0478,88758,0
PRD,D,20070205,000000,3.0478,3.0935,2.9867,3.0478,69062,0
PRD,D,20070206,000000,3.0478,3.0935,3.0402,3.0554,108555,0
PRD,D,20070207,000000,3.0707,3.0707,3.002,3.0554,42658,0
PRD,D,20070208,000000,3.0554,3.0554,2.8875,2.8875,33949,0
PRD,D,20070209,000000,2.9408,2.9637,2.9026,2.9561,10959,0
PRD,D,20070212,000000,2.9178,2.9561,2.9178,2.9255,9638,0
PRD,D,20070213,000000,2.9255,2.9255,2.9026,2.9255,6094,0
PRD,D,20070214,000000,2.9026,3.002,2.8797,2.9944,32131,0
PRD,D,20070215,000000,3.0554,3.1319,2.9408,2.9408,29435,0
PRD,D,20070216,000000,2.9408,3.0173,2.9103,2.9103,17000,0
PRD,D,20070219,000000,2.9944,2.9944,2.9178,2.9867,48674,0
PRD,D,20070220,000000,2.9867,2.9944,2.9103,2.9791,16817,0
PRD,D,20070221,000000,2.9791,2.9944,2.9485,2.9867,22440,0
PRD,D,20070222,000000,2.9867,3.0478,2.9791,3.0478,69560,0
PRD,D,20070223,000000,3.0402,3.0478,3.0249,3.0478,32837,0
PRD,D,20070226,000000,3.0478,3.0478,2.9791,3.0478,115669,0
PRD,D,20070227,000000,3.0478,3.0478,2.8797,2.9026,26258,0
PRD,D,20070228,000000,2.8263,2.9408,2.7958,2.9178,19172,0
PRD,D,20070301,000000,2.9026,3.0478,2.9026,2.9485,37087,0
PRD,D,20070302,000000,2.9026,3.002,2.9026,2.9791,12369,0
PRD,D,20070305,000000,2.8416,2.9561,2.8416,2.9408,40605,0
PRD,D,20070306,000000,2.9332,2.9791,2.9178,2.9715,29448,0
PRD,D,20070307,000000,2.9791,2.9791,2.9715,2.9715,15510,0
PRD,D,20070308,000000,2.9715,3.2081,2.9715,3.1777,190486,0
PRD,D,20070309,000000,3.3228,3.3228,3.1548,3.2081,85449,0
PRD,D,20070312,000000,3.2235,3.2539,3.1777,3.2081,48242,0
PRD,D,20070313,000000,3.2081,3.5137,3.2081,3.3992,118405,0
PRD,D,20070314,000000,3.3763,3.4984,3.2158,3.4984,73325,0
PRD,D,20070315,000000,3.6589,3.7887,3.5978,3.7887,204793,0
PRD,D,20070316,000000,3.8193,3.8881,3.7735,3.7887,132004,0
PRD,D,20070319,000000,3.7964,3.8193,3.636,3.8117,89213,0
PRD,D,20070320,000000,3.7887,4.0026,3.7887,3.9797,109903,0
PRD,D,20070321,000000,4.1477,4.4379,4.0638,4.4379,229222,0
PRD,D,20070322,000000,4.8122,4.8199,4.2241,4.4608,151174,0
PRD,D,20070323,000000,4.4379,4.4608,4.2547,4.3463,65975,0
PRD,D,20070326,000000,4.3387,4.5907,4.3005,4.3234,38892,0
PRD,D,20070327,000000,4.3617,4.3617,4.102,4.3157,39205,0
PRD,D,20070328,000000,4.2776,4.2776,4.0867,4.1325,78476,0
PRD,D,20070329,000000,4.1706,4.2089,3.9797,4.2013,89658,0
PRD,D,20070330,000000,4.27,4.27,3.9874,4.1325,55735,0
PRD,D,20070402,000000,4.1477,4.2013,3.8423,4.2013,33778,0
PRD,D,20070403,000000,4.2013,4.3617,4.1401,4.3234,42267,0
PRD,D,20070404,000000,4.354,4.7435,4.354,4.5831,82832,0
PRD,D,20070405,000000,4.5831,4.5907,4.4533,4.5525,35363,0
PRD,D,20070410,000000,4.4608,4.5678,4.4533,4.4761,49681,0
PRD,D,20070411,000000,4.4379,4.5373,4.4303,4.4379,112008,0
PRD,D,20070412,000000,4.3998,4.4227,4.2471,4.2624,51497,0
PRD,D,20070413,000000,4.3082,4.4227,4.2089,4.2853,65085,0
PRD,D,20070416,000000,4.4456,4.7282,4.2853,4.6594,290437,0
PRD,D,20070417,000000,4.7817,4.8199,4.5068,4.6977,202216,0
PRD,D,20070418,000000,4.7358,4.7358,4.5143,4.5831,55723,0
PRD,D,20070419,000000,4.4761,4.5907,4.4608,4.5143,76634,0
PRD,D,20070420,000000,4.4761,4.8047,4.4761,4.8047,222055,0
PRD,D,20070423,000000,4.8199,4.8505,4.7053,4.7971,96263,0
PRD,D,20070424,000000,4.8276,4.8276,4.5373,4.7817,50910,0
PRD,D,20070425,000000,4.629,4.7894,4.629,4.7817,36381,0
