<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRF,D,20070614,000000,14.57,14.657,13.771,13.771,334100,0
PRF,D,20070615,000000,13.564,14.015,12.999,13.483,132892,0
PRF,D,20070618,000000,13.597,13.956,13.472,13.477,43908,0
PRF,D,20070619,000000,13.456,13.51,13.266,13.499,56778,0
PRF,D,20070620,000000,13.89,13.89,13.385,13.591,21740,0
PRF,D,20070621,000000,13.58,13.58,12.966,13.2,33284,0
PRF,D,20070622,000000,13.46,13.58,13.248,13.248,34143,0
PRF,D,20070625,000000,13.2,13.417,13.047,13.211,7907,0
PRF,D,20070626,000000,13.081,13.368,13.054,13.081,14720,0
PRF,D,20070627,000000,13.275,13.275,11.96,12.656,32894,0
PRF,D,20070628,000000,12.662,13.047,12.303,12.776,34341,0
PRF,D,20070629,000000,12.548,12.776,12.287,12.395,18332,0
PRF,D,20070702,000000,12.395,12.395,11.971,12.151,12503,0
PRF,D,20070703,000000,11.977,12.233,11.634,11.96,20326,0
PRF,D,20070704,000000,11.939,12.341,11.939,12.341,20820,0
PRF,D,20070705,000000,12.287,12.493,12.287,12.39,8501,0
PRF,D,20070706,000000,12.422,12.504,12.206,12.26,8858,0
PRF,D,20070709,000000,12.075,12.178,12.015,12.025,15478,0
PRF,D,20070710,000000,11.982,11.982,11.808,11.851,6613,0
PRF,D,20070711,000000,11.851,11.851,11.526,11.634,13293,0
PRF,D,20070712,000000,11.422,11.629,11.422,11.443,18796,0
PRF,D,20070713,000000,11.439,12.172,11.439,11.955,15472,0
PRF,D,20070716,000000,11.955,12.172,11.716,11.971,20027,0
PRF,D,20070717,000000,11.971,11.971,10.983,11.939,20304,0
PRF,D,20070718,000000,11.851,11.905,11.688,11.847,8164,0
PRF,D,20070719,000000,11.661,11.96,11.661,11.96,11390,0
PRF,D,20070720,000000,11.96,11.96,11.688,11.905,12389,0
PRF,D,20070723,000000,11.912,11.912,11.694,11.895,6636,0
PRF,D,20070724,000000,11.851,11.955,11.704,11.727,11892,0
PRF,D,20070725,000000,11.716,11.721,11.416,11.634,13364,0
PRF,D,20070726,000000,11.634,11.688,11.531,11.531,9352,0
PRF,D,20070727,000000,11.145,11.634,10.992,11.389,12235,0
PRF,D,20070730,000000,11.254,11.493,11.254,11.493,3047,0
PRF,D,20070731,000000,11.493,11.851,11.362,11.851,6821,0
PRF,D,20070801,000000,11.59,11.96,11.416,11.96,20588,0
PRF,D,20070802,000000,11.96,11.96,11.716,11.955,1349,0
PRF,D,20070803,000000,11.912,11.912,11.835,11.835,5407,0
PRF,D,20070806,000000,11.743,11.851,11.716,11.716,5886,0
PRF,D,20070807,000000,11.878,12.07,11.83,11.83,7391,0
PRF,D,20070808,000000,11.754,11.987,11.754,11.797,311,0
PRF,D,20070809,000000,11.933,11.96,11.688,11.688,3920,0
PRF,D,20070810,000000,11.688,11.688,10.601,10.601,17649,0
PRF,D,20070813,000000,10.607,10.873,10.601,10.873,9059,0
PRF,D,20070814,000000,10.873,10.873,10.709,10.873,4627,0
PRF,D,20070816,000000,10.709,10.709,9.764,10.058,22883,0
PRF,D,20070817,000000,9.307,10.024,9.2205,9.776,39812,0
PRF,D,20070820,000000,9.938,10.004,9.552,10.004,14054,0
PRF,D,20070821,000000,9.813,9.997,9.622,9.813,7701,0
PRF,D,20070822,000000,9.813,10.514,9.813,10.514,17324,0
PRF,D,20070823,000000,10.818,10.928,10.438,10.873,20391,0
PRF,D,20070824,000000,10.9,11.905,10.9,11.851,11149,0
PRF,D,20070827,000000,11.933,11.933,11.443,11.553,4546,0
PRF,D,20070828,000000,11.041,11.553,11.041,11.553,3968,0
PRF,D,20070829,000000,11.498,11.683,11.416,11.683,10714,0
PRF,D,20070830,000000,11.199,11.526,11.199,11.362,8336,0
PRF,D,20070831,000000,11.199,11.743,11.199,11.743,13439,0
PRF,D,20070903,000000,11.476,12.504,11.476,12.504,314,0
PRF,D,20070904,000000,11.96,12.161,11.955,11.96,9846,0
PRF,D,20070905,000000,11.802,11.808,11.526,11.526,2823,0
PRF,D,20070906,000000,11.553,11.553,11.199,11.199,4184,0
PRF,D,20070907,000000,11.226,11.878,11.199,11.683,3560,0
PRF,D,20070910,000000,11.412,11.412,11.199,11.226,5272,0
PRF,D,20070911,000000,11.226,11.412,11.199,11.308,4384,0
PRF,D,20070912,000000,11.683,11.683,11.254,11.634,6767,0
PRF,D,20070913,000000,11.471,11.471,11.416,11.416,4815,0
PRF,D,20070914,000000,11.254,11.254,11.254,11.254,2390,0
