<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRI,D,20080414,000000,6.8424,6.8424,5.3307,5.45,16434,0
PRI,D,20080415,000000,5.1317,5.9672,5.1317,5.9672,28378,0
PRI,D,20080416,000000,5.8081,6.19,5.4102,6.19,3990,0
PRI,D,20080417,000000,6.2774,6.2774,5.9672,6.2456,855,0
PRI,D,20080418,000000,6.2456,6.2456,5.6888,6.2456,3495,0
PRI,D,20080421,000000,5.9672,6.2378,5.9672,6.2378,3141,0
PRI,D,20080422,000000,6.2059,6.2059,5.5694,6.0387,7746,0
PRI,D,20080423,000000,5.7683,6.0467,5.7683,6.0467,1093,0
PRI,D,20080424,000000,5.9672,5.9672,5.7683,5.9592,1333,0
PRI,D,20080425,000000,5.9672,5.9672,5.7761,5.9672,3001,0
PRI,D,20080428,000000,5.9672,6.0069,5.9672,6.0069,181,0
PRI,D,20080429,000000,5.8081,6.0945,5.8081,6.0467,767,0
PRI,D,20080430,000000,6.0069,6.0467,5.8081,6.0467,1153,0
PRI,D,20080505,000000,6.0467,6.0467,5.6489,6.0467,1341,0
PRI,D,20080506,000000,6.0387,6.0387,6.0387,6.0387,126,0
PRI,D,20080507,000000,6.0387,6.0387,6.0387,6.0387,62,0
PRI,D,20080508,000000,6.0387,6.0467,5.7285,6.0467,3813,0
PRI,D,20080509,000000,6.0467,6.0467,6.0467,6.0467,25,0
PRI,D,20080512,000000,6.0467,6.0467,5.7683,6.0387,2922,0
PRI,D,20080513,000000,6.0467,6.0467,5.7683,5.9672,767,0
PRI,D,20080514,000000,5.7683,5.9194,5.6888,5.9194,805,0
PRI,D,20080515,000000,5.9274,5.9274,5.7046,5.9274,440,0
PRI,D,20080516,000000,5.7364,5.8081,5.6569,5.8081,4525,0
PRI,D,20080519,000000,5.8875,5.8875,5.5295,5.8478,5995,0
PRI,D,20080520,000000,5.8478,5.8478,5.5694,5.8478,1458,0
PRI,D,20080521,000000,5.8081,5.8081,5.5694,5.8081,854,0
PRI,D,20080523,000000,5.8081,5.8081,5.45,5.8081,464,0
PRI,D,20080526,000000,5.8081,5.8081,5.5694,5.8081,2301,0
PRI,D,20080527,000000,5.8081,5.8081,5.4102,5.7285,9188,0
PRI,D,20080528,000000,5.9194,5.9194,5.9194,5.9194,13,0
PRI,D,20080529,000000,5.9035,5.9035,5.6489,5.8081,340,0
PRI,D,20080602,000000,5.6489,5.8875,5.5137,5.8875,2199,0
PRI,D,20080603,000000,5.5774,5.5853,5.5774,5.5774,3771,0
PRI,D,20080604,000000,5.5694,5.8081,5.4102,5.8081,1696,0
PRI,D,20080605,000000,5.4897,5.8081,5.4897,5.8081,276,0
PRI,D,20080606,000000,5.8081,5.8081,5.8081,5.8081,13,0
PRI,D,20080609,000000,5.8002,5.8002,5.4897,5.7683,1031,0
PRI,D,20080610,000000,5.8002,5.8002,5.8002,5.8002,25,0
PRI,D,20080611,000000,5.8002,5.8002,5.5375,5.6091,1282,0
PRI,D,20080612,000000,5.5694,5.5694,5.3307,5.5694,516,0
PRI,D,20080613,000000,5.5694,5.5694,5.3307,5.5694,1658,0
PRI,D,20080616,000000,5.5694,5.5694,5.5694,5.5694,13,0
PRI,D,20080617,000000,5.5694,5.5694,5.5694,5.5694,13,0
PRI,D,20080618,000000,5.3386,5.625,5.3386,5.625,653,0
PRI,D,20080619,000000,5.4102,5.6728,5.4102,5.6728,629,0
PRI,D,20080620,000000,5.4102,5.6489,5.4102,5.6489,552,0
PRI,D,20080623,000000,5.6489,5.6489,5.4182,5.6489,2564,0
PRI,D,20080624,000000,5.6409,5.6409,5.4102,5.5694,528,0
PRI,D,20080625,000000,5.6091,5.6091,5.6091,5.6091,13,0
PRI,D,20080626,000000,5.3307,5.3307,5.3307,5.3307,503,0
PRI,D,20080627,000000,5.3307,5.3307,4.9806,5.3307,1545,0
PRI,D,20080630,000000,5.291,5.5694,5.0919,5.5694,3356,0
PRI,D,20080701,000000,5.3465,5.3465,5.0919,5.3307,1885,0
PRI,D,20080702,000000,5.3307,5.3307,5.0124,5.1716,1256,0
PRI,D,20080703,000000,5.1716,5.1716,5.1716,5.1716,126,0
PRI,D,20080704,000000,5.1716,5.1716,4.9329,5.1716,4525,0
PRI,D,20080708,000000,5.0124,5.0919,5.0124,5.0919,640,0
PRI,D,20080709,000000,5.0919,5.0919,4.7737,4.9329,591,0
PRI,D,20080710,000000,5.0919,5.2511,4.5749,5.1317,3729,0
PRI,D,20080711,000000,4.8931,5.0919,4.8931,4.9727,1816,0
PRI,D,20080714,000000,5.0919,5.1317,5.0919,5.1317,942,0
PRI,D,20080716,000000,4.9329,4.9329,4.8135,4.9329,1282,0
