<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRT,D,19980714,000000,0.6855,0.6855,0.6855,0.6855,68371,0
PRT,D,19980715,000000,0.6855,0.6855,0.6855,0.6855,9093,0
PRT,D,19980716,000000,0.6148,0.6148,0.6148,0.6148,5471,0
PRT,D,19980717,000000,0.5653,0.5653,0.5653,0.5653,107261,0
PRT,D,19980720,000000,0.5088,0.5088,0.5088,0.5088,22042,0
PRT,D,19980721,000000,0.45928,0.45928,0.45928,0.45928,0,0
PRT,D,19980722,000000,0.41688,0.41688,0.41688,0.41688,18857,0
PRT,D,19980723,000000,0.37451,0.37451,0.37451,0.37451,0,0
PRT,D,19980724,000000,0.33918,0.33918,0.33918,0.33918,77371,0
PRT,D,19980727,000000,0.35332,0.35332,0.35332,0.35332,21946,0
PRT,D,19980728,000000,0.35332,0.35332,0.35332,0.35332,30055,0
PRT,D,19980729,000000,0.35332,0.35332,0.35332,0.35332,8285,0
PRT,D,19980730,000000,0.31799,0.31799,0.31799,0.31799,11022,0
PRT,D,19980731,000000,0.31799,0.31799,0.31799,0.31799,21058,0
PRT,D,19980803,000000,0.30385,0.30385,0.30385,0.30385,21195,0
PRT,D,19980804,000000,0.29679,0.29679,0.29679,0.29679,22973,0
PRT,D,19980805,000000,0.28972,0.28972,0.28972,0.28972,31041,0
PRT,D,19980806,000000,0.28972,0.28972,0.28972,0.28972,13673,0
PRT,D,19980807,000000,0.28265,0.28265,0.28265,0.28265,408,0
PRT,D,19980810,000000,0.28265,0.28265,0.28265,0.28265,44414,0
PRT,D,19980811,000000,0.28972,0.28972,0.28972,0.28972,54697,0
PRT,D,19980812,000000,0.26145,0.26145,0.26145,0.26145,15711,0
PRT,D,19980813,000000,0.25439,0.25439,0.25439,0.25439,244200,0
PRT,D,19980814,000000,0.26145,0.26145,0.26145,0.26145,202573,0
PRT,D,19980817,000000,0.26145,0.26145,0.26145,0.26145,20512,0
PRT,D,19980818,000000,0.2756,0.2756,0.2756,0.2756,19882,0
PRT,D,19980819,000000,0.28265,0.28265,0.28265,0.28265,15191,0
PRT,D,19980820,000000,0.26145,0.26145,0.26145,0.26145,10773,0
PRT,D,19980821,000000,0.24026,0.24026,0.24026,0.24026,36920,0
PRT,D,19980824,000000,0.26145,0.26145,0.26145,0.26145,28715,0
PRT,D,19980825,000000,0.25439,0.25439,0.25439,0.25439,13645,0
PRT,D,19980826,000000,0.23319,0.23319,0.23319,0.23319,75209,0
PRT,D,19980827,000000,0.21198,0.21198,0.21198,0.21198,41392,0
PRT,D,19980828,000000,0.1908,0.1908,0.1908,0.1908,43047,0
PRT,D,19980831,000000,0.21198,0.21198,0.21198,0.21198,12578,0
PRT,D,19980901,000000,0.19786,0.19786,0.19786,0.19786,1368,0
PRT,D,19980902,000000,0.21906,0.21906,0.21906,0.21906,39451,0
PRT,D,19980903,000000,0.21198,0.21198,0.21198,0.21198,11623,0
PRT,D,19980904,000000,0.21906,0.21906,0.21906,0.21906,1368,0
PRT,D,19980907,000000,0.22613,0.22613,0.22613,0.22613,1641,0
PRT,D,19980908,000000,0.22613,0.22613,0.22613,0.22613,4784,0
PRT,D,19980909,000000,0.21906,0.21906,0.21906,0.21906,5471,0
PRT,D,19980910,000000,0.20493,0.20493,0.20493,0.20493,23793,0
PRT,D,19980911,000000,0.18372,0.18372,0.18372,0.18372,59511,0
PRT,D,19980914,000000,0.1908,0.1908,0.1908,0.1908,36360,0
PRT,D,19980915,000000,0.18372,0.18372,0.18372,0.18372,61657,0
PRT,D,19980916,000000,0.1908,0.1908,0.1908,0.1908,18337,0
PRT,D,19980917,000000,0.17666,0.17666,0.17666,0.17666,30248,0
PRT,D,19980918,000000,0.17666,0.17666,0.17666,0.17666,35676,0
PRT,D,19980921,000000,0.15546,0.15546,0.15546,0.15546,97251,0
PRT,D,19980922,000000,0.15546,0.15546,0.15546,0.15546,66881,0
PRT,D,19980923,000000,0.16252,0.16252,0.16252,0.16252,42171,0
PRT,D,19980924,000000,0.16252,0.16252,0.16252,0.16252,888,0
PRT,D,19980925,000000,0.16252,0.16252,0.16252,0.16252,10939,0
PRT,D,19980928,000000,0.16252,0.16252,0.16252,0.16252,29386,0
PRT,D,19980929,000000,0.16252,0.16252,0.16252,0.16252,19266,0
PRT,D,19980930,000000,0.16252,0.16252,0.16252,0.16252,6153,0
PRT,D,19981001,000000,0.14839,0.14839,0.14839,0.14839,54697,0
PRT,D,19981002,000000,0.14132,0.14132,0.14132,0.14132,16408,0
PRT,D,19981005,000000,0.14132,0.14132,0.14132,0.14132,1914,0
PRT,D,19981006,000000,0.14132,0.14132,0.14132,0.14132,6836,0
PRT,D,19981007,000000,0.14132,0.14132,0.14132,0.14132,5880,0
PRT,D,19981008,000000,0.14132,0.14132,0.14132,0.14132,15725,0
PRT,D,19981009,000000,0.14132,0.14132,0.14132,0.14132,6836,0
PRT,D,19981012,000000,0.14132,0.14132,0.14132,0.14132,19143,0
PRT,D,19981013,000000,0.14839,0.14839,0.14839,0.14839,14083,0
PRT,D,19981014,000000,0.14132,0.14132,0.14132,0.14132,1368,0
PRT,D,19981015,000000,0.14132,0.14132,0.14132,0.14132,1641,0
PRT,D,19981016,000000,0.14839,0.14839,0.14839,0.14839,3555,0
PRT,D,19981019,000000,0.14839,0.14839,0.14839,0.14839,136,0
PRT,D,19981020,000000,0.14839,0.14839,0.14839,0.14839,136,0
PRT,D,19981021,000000,0.14132,0.14132,0.14132,0.14132,30096,0
PRT,D,19981022,000000,0.14132,0.14132,0.14132,0.14132,13523,0
PRT,D,19981023,000000,0.14132,0.14132,0.14132,0.14132,4101,0
PRT,D,19981026,000000,0.14839,0.14839,0.14839,0.14839,21605,0
PRT,D,19981027,000000,0.14839,0.14839,0.14839,0.14839,136,0
PRT,D,19981028,000000,0.13425,0.13425,0.13425,0.13425,45561,0
PRT,D,19981029,000000,0.12013,0.12013,0.12013,0.12013,84234,0
PRT,D,19981030,000000,0.12013,0.12013,0.12013,0.12013,41583,0
PRT,D,19981102,000000,0.12719,0.12719,0.12719,0.12719,11689,0
PRT,D,19981103,000000,0.13425,0.13425,0.13425,0.13425,42717,0
PRT,D,19981104,000000,0.13425,0.13425,0.13425,0.13425,18610,0
PRT,D,19981105,000000,0.13425,0.13425,0.13425,0.13425,8190,0
PRT,D,19981106,000000,0.13425,0.13425,0.13425,0.13425,6099,0
PRT,D,19981109,000000,0.12719,0.12719,0.12719,0.12719,12306,0
PRT,D,19981110,000000,0.13425,0.13425,0.13425,0.13425,5471,0
PRT,D,19981112,000000,0.13425,0.13425,0.13425,0.13425,69738,0
PRT,D,19981113,000000,0.12719,0.12719,0.12719,0.12719,3419,0
PRT,D,19981116,000000,0.13425,0.13425,0.13425,0.13425,13673,0
