<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PWX,D,20141006,000000,5.87,6.1362,5.831,5.87,449126,0
PWX,D,20141007,000000,5.9318,5.9432,5.87,5.9081,56295,0
PWX,D,20141008,000000,5.9046,5.9046,5.831,5.866,35845,0
PWX,D,20141009,000000,5.8389,5.8967,5.8389,5.8849,15862,0
PWX,D,20141010,000000,5.8774,5.8774,5.7503,5.7928,23508,0
PWX,D,20141013,000000,5.7884,5.8349,5.7884,5.7928,40658,0
PWX,D,20141014,000000,5.8042,5.8274,5.6384,5.781,111434,0
PWX,D,20141015,000000,5.6998,5.7345,5.6766,5.7345,65249,0
PWX,D,20141016,000000,5.7345,5.7538,5.6959,5.7538,102749,0
PWX,D,20141017,000000,5.7928,5.7928,5.7538,5.7538,1459,0
PWX,D,20141020,000000,5.7538,5.7582,5.7538,5.7538,2526,0
PWX,D,20141021,000000,5.7463,5.7731,5.7156,5.7538,12775,0
PWX,D,20141022,000000,5.7538,5.8121,5.7191,5.7731,15805,0
PWX,D,20141023,000000,5.7928,5.7928,5.7928,5.7928,155373,0
PWX,D,20141024,000000,5.8003,5.8274,5.7928,5.8121,9823,0
PWX,D,20141027,000000,5.8196,5.8196,5.8042,5.8042,3003,0
PWX,D,20141028,000000,5.8077,5.8274,5.7928,5.8274,37906,0
PWX,D,20141029,000000,5.8196,5.8274,5.8196,5.8196,12942,0
PWX,D,20141030,000000,5.8196,5.8196,5.7928,5.7928,1370,0
PWX,D,20141031,000000,5.7963,5.7963,5.7928,5.7928,18029,0
PWX,D,20141103,000000,5.7928,5.8156,5.7928,5.7928,11560,0
PWX,D,20141104,000000,5.7928,5.8121,5.7928,5.7928,3972,0
PWX,D,20141105,000000,5.7731,5.8121,5.7731,5.8121,5937,0
PWX,D,20141106,000000,5.8503,6.1437,5.8503,6.1362,92496,0
PWX,D,20141107,000000,6.1783,6.1783,6.0244,6.1402,27247,0
PWX,D,20141110,000000,6.2366,6.3717,6.1981,6.2945,88200,0
PWX,D,20141112,000000,6.2752,6.5454,6.2752,6.3638,48490,0
PWX,D,20141113,000000,6.3406,6.4875,6.3406,6.4257,29999,0
PWX,D,20141114,000000,6.4875,6.5301,6.4489,6.5301,81061,0
PWX,D,20141117,000000,6.5454,6.7463,6.5454,6.6691,51874,0
PWX,D,20141118,000000,6.7191,6.7502,6.6072,6.6498,41021,0
PWX,D,20141119,000000,6.6963,6.6963,6.4257,6.5726,39224,0
PWX,D,20141120,000000,6.5261,6.5375,6.4682,6.5375,12290,0
PWX,D,20141121,000000,6.4761,6.6419,6.4682,6.6037,27311,0
PWX,D,20141124,000000,6.6037,6.6037,6.4722,6.5073,11106,0
PWX,D,20141125,000000,6.4875,6.5073,6.2752,6.4375,28966,0
PWX,D,20141126,000000,6.3717,6.5647,6.2752,6.5647,34539,0
PWX,D,20141127,000000,6.5687,6.6037,6.3989,6.5301,52296,0
PWX,D,20141128,000000,6.5261,6.5647,6.4875,6.5647,3707,0
PWX,D,20141201,000000,6.4875,6.4875,6.3331,6.4257,14802,0
PWX,D,20141202,000000,6.5073,6.5073,6.298,6.4875,11637,0
PWX,D,20141203,000000,6.4064,6.445,6.3564,6.445,7476,0
PWX,D,20141204,000000,6.445,6.4682,6.3717,6.4682,7889,0
PWX,D,20141205,000000,6.4682,6.5647,6.3717,6.5612,13047,0
PWX,D,20141208,000000,6.5073,6.5647,6.3831,6.5187,21567,0
PWX,D,20141209,000000,6.4103,6.5498,6.3524,6.534,32974,0
