<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PXM,D,19971015,000000,50.82,50.82,50.82,50.82,41552,0
PXM,D,19971017,000000,48.99,48.99,48.99,48.99,28611,0
PXM,D,19971020,000000,47.16,47.16,47.16,47.16,6322,0
PXM,D,19971021,000000,47.16,47.16,47.16,47.16,4288,0
PXM,D,19971022,000000,46.695,46.695,46.695,46.695,3628,0
PXM,D,19971023,000000,46.245,46.245,46.245,46.245,9242,0
PXM,D,19971024,000000,45.325,45.325,45.325,45.325,8057,0
PXM,D,19971027,000000,40.75,40.75,40.75,40.75,2538,0
PXM,D,19971028,000000,37.085,37.085,37.085,37.085,8149,0
PXM,D,19971029,000000,40.75,40.75,40.75,40.75,10998,0
PXM,D,19971030,000000,40.75,40.75,40.75,40.75,7729,0
PXM,D,19971031,000000,40.75,40.75,40.75,40.75,1872,0
PXM,D,19971103,000000,44.865,44.865,44.865,44.865,1192,0
PXM,D,19971104,000000,45.325,45.325,45.325,45.325,4511,0
PXM,D,19971105,000000,46.245,46.245,46.245,46.245,4183,0
PXM,D,19971106,000000,45.325,45.325,45.325,45.325,5156,0
PXM,D,19971107,000000,44.415,44.415,44.415,44.415,6445,0
PXM,D,19971112,000000,43.035,43.035,43.035,43.035,6644,0
PXM,D,19971113,000000,41.665,41.665,41.665,41.665,14380,0
PXM,D,19971114,000000,42.125,42.125,42.125,42.125,580,0
PXM,D,19971117,000000,44.415,44.415,44.415,44.415,4046,0
PXM,D,19971118,000000,44.415,44.415,44.415,44.415,3315,0
PXM,D,19971119,000000,43.495,43.495,43.495,43.495,2505,0
PXM,D,19971120,000000,43.495,43.495,43.495,43.495,5292,0
PXM,D,19971121,000000,44.415,44.415,44.415,44.415,7857,0
PXM,D,19971124,000000,42.58,42.58,42.58,42.58,1789,0
PXM,D,19971125,000000,41.665,41.665,41.665,41.665,3399,0
PXM,D,19971126,000000,42.58,42.58,42.58,42.58,2688,0
PXM,D,19971127,000000,41.205,41.205,41.205,41.205,5324,0
PXM,D,19971128,000000,40.75,40.75,40.75,40.75,8478,0
PXM,D,19971201,000000,43.035,43.035,43.035,43.035,1385,0
PXM,D,19971202,000000,43.035,43.035,43.035,43.035,3854,0
PXM,D,19971203,000000,43.035,43.035,43.035,43.035,3664,0
PXM,D,19971204,000000,42.58,42.58,42.58,42.58,1253,0
PXM,D,19971205,000000,42.58,42.58,42.58,42.58,3781,0
PXM,D,19971208,000000,42.58,42.58,42.58,42.58,4226,0
PXM,D,19971209,000000,42.58,42.58,42.58,42.58,7192,0
PXM,D,19971210,000000,42.58,42.58,42.58,42.58,1267,0
PXM,D,19971211,000000,41.665,41.665,41.665,41.665,4774,0
PXM,D,19971212,000000,41.665,41.665,41.665,41.665,3895,0
PXM,D,19971215,000000,41.665,41.665,41.665,41.665,1426,0
PXM,D,19971216,000000,41.665,41.665,41.665,41.665,3459,0
PXM,D,19971217,000000,41.665,41.665,41.665,41.665,658,0
PXM,D,19971218,000000,41.665,41.665,41.665,41.665,1099,0
PXM,D,19971219,000000,41.205,41.205,41.205,41.205,6164,0
PXM,D,19971222,000000,40.75,40.75,40.75,40.75,3178,0
PXM,D,19971223,000000,39.835,39.835,39.835,39.835,3123,0
PXM,D,19971229,000000,39.375,39.375,39.375,39.375,2178,0
PXM,D,19971230,000000,39.835,39.835,39.835,39.835,1626,0
PXM,D,19971231,000000,36.165,36.165,36.165,36.165,1998,0
PXM,D,19980105,000000,38.46,38.46,38.46,38.46,5780,0
PXM,D,19980106,000000,38,38,38,38,4382,0
PXM,D,19980107,000000,38,38,38,38,4566,0
PXM,D,19980108,000000,38.46,38.46,38.46,38.46,5977,0
PXM,D,19980109,000000,38.46,38.46,38.46,38.46,7056,0
PXM,D,19980112,000000,37.085,37.085,37.085,37.085,5508,0
PXM,D,19980113,000000,37.085,37.085,37.085,37.085,4508,0
PXM,D,19980114,000000,36.635,36.635,36.635,36.635,5745,0
PXM,D,19980115,000000,35.71,35.71,35.71,35.71,4240,0
PXM,D,19980116,000000,35.71,35.71,35.71,35.71,5222,0
PXM,D,19980119,000000,38,38,38,38,1830,0
PXM,D,19980120,000000,36.635,36.635,36.635,36.635,1426,0
PXM,D,19980121,000000,37.085,37.085,37.085,37.085,6351,0
PXM,D,19980122,000000,35.71,35.71,35.71,35.71,5690,0
PXM,D,19980123,000000,35.71,35.71,35.71,35.71,2939,0
PXM,D,19980126,000000,35.71,35.71,35.71,35.71,1987,0
PXM,D,19980127,000000,35.71,35.71,35.71,35.71,4478,0
PXM,D,19980128,000000,35.71,35.71,35.71,35.71,7797,0
PXM,D,19980129,000000,36.635,36.635,36.635,36.635,5929,0
PXM,D,19980130,000000,37.085,37.085,37.085,37.085,6012,0
PXM,D,19980202,000000,38,38,38,38,8214,0
PXM,D,19980203,000000,39.835,39.835,39.835,39.835,14954,0
PXM,D,19980204,000000,38.915,38.915,38.915,38.915,13950,0
PXM,D,19980205,000000,39.835,39.835,39.835,39.835,10597,0
PXM,D,19980206,000000,40.29,40.29,40.29,40.29,11498,0
PXM,D,19980209,000000,41.665,41.665,41.665,41.665,7561,0
PXM,D,19980210,000000,41.665,41.665,41.665,41.665,4439,0
PXM,D,19980211,000000,41.665,41.665,41.665,41.665,881,0
PXM,D,19980212,000000,40.75,40.75,40.75,40.75,8694,0
PXM,D,19980213,000000,41.665,41.665,41.665,41.665,2747,0
PXM,D,19980216,000000,41.665,41.665,41.665,41.665,3889,0
PXM,D,19980217,000000,40.75,40.75,40.75,40.75,14925,0
PXM,D,19980218,000000,38,38,38,38,10358,0
PXM,D,19980219,000000,37.545,37.545,37.545,37.545,4194,0
PXM,D,19980220,000000,37.085,37.085,37.085,37.085,5627,0
PXM,D,19980223,000000,34.795,34.795,34.795,34.795,7476,0
PXM,D,19980224,000000,35.71,35.71,35.71,35.71,8682,0
PXM,D,19980225,000000,35.71,35.71,35.71,35.71,4766,0
PXM,D,19980226,000000,36.635,36.635,36.635,36.635,8929,0
PXM,D,19980227,000000,36.165,36.165,36.165,36.165,9854,0
PXM,D,19980302,000000,37.085,37.085,37.085,37.085,3196,0
PXM,D,19980303,000000,37.545,37.545,37.545,37.545,3750,0
PXM,D,19980304,000000,36.635,36.635,36.635,36.635,1961,0
PXM,D,19980305,000000,36.635,36.635,36.635,36.635,4384,0
PXM,D,19980306,000000,36.635,36.635,36.635,36.635,1076,0
PXM,D,19980309,000000,37.085,37.085,37.085,37.085,4081,0
PXM,D,19980310,000000,37.545,37.545,37.545,37.545,4411,0
PXM,D,19980311,000000,38.46,38.46,38.46,38.46,10119,0
PXM,D,19980312,000000,38.46,38.46,38.46,38.46,3833,0
PXM,D,19980313,000000,39.375,39.375,39.375,39.375,5538,0
PXM,D,19980316,000000,39.835,39.835,39.835,39.835,12684,0
PXM,D,19980317,000000,40.75,40.75,40.75,40.75,31729,0
PXM,D,19980318,000000,40.75,40.75,40.75,40.75,5311,0
PXM,D,19980319,000000,40.29,40.29,40.29,40.29,5795,0
PXM,D,19980320,000000,38.915,38.915,38.915,38.915,6976,0
PXM,D,19980323,000000,38.46,38.46,38.46,38.46,5244,0
PXM,D,19980324,000000,38,38,38,38,2076,0
PXM,D,19980325,000000,37.545,37.545,37.545,37.545,5123,0
PXM,D,19980326,000000,37.085,37.085,37.085,37.085,6250,0
PXM,D,19980327,000000,37.085,37.085,37.085,37.085,3097,0
PXM,D,19980330,000000,37.085,37.085,37.085,37.085,1099,0
PXM,D,19980331,000000,36.635,36.635,36.635,36.635,2875,0
PXM,D,19980401,000000,36.635,36.635,36.635,36.635,5710,0
PXM,D,19980402,000000,37.085,37.085,37.085,37.085,1793,0
PXM,D,19980406,000000,37.085,37.085,37.085,37.085,4247,0
PXM,D,19980407,000000,39.835,39.835,39.835,39.835,5494,0
PXM,D,19980408,000000,38,38,38,38,6782,0
PXM,D,19980409,000000,37.545,37.545,37.545,37.545,6184,0
PXM,D,19980414,000000,37.085,37.085,37.085,37.085,5407,0
PXM,D,19980415,000000,37.545,37.545,37.545,37.545,8103,0
PXM,D,19980416,000000,38,38,38,38,2098,0
PXM,D,19980417,000000,37.545,37.545,37.545,37.545,3305,0
PXM,D,19980420,000000,37.545,37.545,37.545,37.545,4917,0
PXM,D,19980421,000000,38,38,38,38,5433,0
PXM,D,19980422,000000,37.545,37.545,37.545,37.545,3846,0
PXM,D,19980423,000000,38,38,38,38,2901,0
PXM,D,19980424,000000,38,38,38,38,3573,0
PXM,D,19980427,000000,38,38,38,38,2345,0
PXM,D,19980428,000000,37.085,37.085,37.085,37.085,2747,0
PXM,D,19980429,000000,37.085,37.085,37.085,37.085,5494,0
PXM,D,19980430,000000,36.165,36.165,36.165,36.165,7676,0
PXM,D,19980504,000000,36.165,36.165,36.165,36.165,2011,0
PXM,D,19980505,000000,32.51,32.51,32.51,32.51,10207,0
PXM,D,19980506,000000,32.51,32.51,32.51,32.51,3984,0
PXM,D,19980507,000000,31.135,31.135,31.135,31.135,9293,0
PXM,D,19980508,000000,30.225,30.225,30.225,30.225,1589,0
PXM,D,19980511,000000,30.225,30.225,30.225,30.225,6935,0
PXM,D,19980512,000000,30.225,30.225,30.225,30.225,13650,0
PXM,D,19980513,000000,30.675,30.675,30.675,30.675,8809,0
PXM,D,19980514,000000,29.3,29.3,29.3,29.3,1652,0
PXM,D,19980515,000000,28.385,28.385,28.385,28.385,6015,0
PXM,D,19980518,000000,27.015,27.015,27.015,27.015,11178,0
PXM,D,19980519,000000,24.73,24.73,24.73,24.73,3051,0
PXM,D,19980520,000000,25.18,25.18,25.18,25.18,3140,0
PXM,D,19980521,000000,25.18,25.18,25.18,25.18,5984,0
PXM,D,19980522,000000,25.18,25.18,25.18,25.18,4986,0
PXM,D,19980525,000000,25.635,25.635,25.635,25.635,5799,0
PXM,D,19980526,000000,25.635,25.635,25.635,25.635,12724,0
PXM,D,19980527,000000,24.73,24.73,24.73,24.73,8646,0
PXM,D,19980528,000000,23.35,23.35,23.35,23.35,3627,0
PXM,D,19980529,000000,22.895,22.895,22.895,22.895,3770,0
PXM,D,19980601,000000,21.975,21.975,21.975,21.975,3241,0
PXM,D,19980602,000000,20.15,20.15,20.15,20.15,3306,0
PXM,D,19980603,000000,18.77,18.77,18.77,18.77,10948,0
PXM,D,19980604,000000,19.23,19.23,19.23,19.23,7187,0
PXM,D,19980605,000000,20.15,20.15,20.15,20.15,8743,0
PXM,D,19980608,000000,20.605,20.605,20.605,20.605,1436,0
PXM,D,19980609,000000,20.605,20.605,20.605,20.605,7217,0
PXM,D,19980610,000000,19.69,19.69,19.69,19.69,9020,0
PXM,D,19980615,000000,19.69,19.69,19.69,19.69,10583,0
PXM,D,19980616,000000,19.69,19.69,19.69,19.69,9208,0
PXM,D,19980617,000000,19.69,19.69,19.69,19.69,7688,0
PXM,D,19980618,000000,20.15,20.15,20.15,20.15,5286,0
PXM,D,19980619,000000,21.975,21.975,21.975,21.975,11432,0
PXM,D,19980622,000000,21.975,21.975,21.975,21.975,15719,0
PXM,D,19980623,000000,22.895,22.895,22.895,22.895,9702,0
PXM,D,19980624,000000,23.35,23.35,23.35,23.35,23977,0
PXM,D,19980625,000000,23.35,23.35,23.35,23.35,15168,0
PXM,D,19980626,000000,23.35,23.35,23.35,23.35,12021,0
PXM,D,19980629,000000,25.635,25.635,25.635,25.635,824,0
PXM,D,19980630,000000,24.73,24.73,24.73,24.73,2844,0
PXM,D,19980701,000000,24.73,24.73,24.73,24.73,4974,0
PXM,D,19980702,000000,24.73,24.73,24.73,24.73,5239,0
PXM,D,19980703,000000,24.73,24.73,24.73,24.73,1014,0
PXM,D,19980706,000000,24.73,24.73,24.73,24.73,1566,0
PXM,D,19980707,000000,24.73,24.73,24.73,24.73,473,0
PXM,D,19980708,000000,23.81,23.81,23.81,23.81,1080,0
PXM,D,19980709,000000,24.265,24.265,24.265,24.265,3642,0
PXM,D,19980710,000000,24.265,24.265,24.265,24.265,398,0
PXM,D,19980713,000000,23.81,23.81,23.81,23.81,353,0
PXM,D,19980714,000000,25.18,25.18,25.18,25.18,3569,0
PXM,D,19980715,000000,24.73,24.73,24.73,24.73,5593,0
PXM,D,19980716,000000,24.73,24.73,24.73,24.73,6049,0
PXM,D,19980717,000000,24.73,24.73,24.73,24.73,2279,0
PXM,D,19980720,000000,25.18,25.18,25.18,25.18,5549,0
