<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PZU,D,20100512,000000,17.86,18.423,17.814,18.423,141188121,0
PZU,D,20100513,000000,18.32,18.519,18.117,18.27,35337676,0
PZU,D,20100514,000000,18.182,18.423,18.08,18.168,20655655,0
PZU,D,20100517,000000,17.706,18.064,17.666,17.963,18199406,0
PZU,D,20100518,000000,17.937,18.157,17.927,18.064,11224792,0
PZU,D,20100519,000000,17.923,18.004,17.701,17.701,18071960,0
PZU,D,20100520,000000,17.605,17.656,16.914,16.939,20271390,0
PZU,D,20100521,000000,16.939,17.22,16.684,17.22,10417178,0
PZU,D,20100524,000000,17.226,17.63,17.22,17.527,9171435,0
PZU,D,20100525,000000,17.149,17.394,16.785,16.887,9925837,0
PZU,D,20100526,000000,17.109,18.117,17.109,18.117,49703309,0
PZU,D,20100527,000000,17.809,18.034,17.757,17.923,4665830,0
PZU,D,20100528,000000,17.932,17.983,17.706,17.912,3237436,0
PZU,D,20100531,000000,17.706,17.912,17.554,17.912,1459937,0
PZU,D,20100601,000000,17.676,17.9,17.425,17.84,4916462,0
PZU,D,20100602,000000,17.753,17.963,17.712,17.886,4446204,0
PZU,D,20100604,000000,17.84,17.963,17.502,17.502,4347641,0
PZU,D,20100607,000000,17.195,17.527,17.195,17.399,3536562,0
PZU,D,20100608,000000,17.409,17.605,17.349,17.349,23800128,0
PZU,D,20100609,000000,17.384,17.805,17.298,17.757,4322467,0
PZU,D,20100610,000000,17.619,17.978,17.619,17.912,6362155,0
PZU,D,20100611,000000,17.881,17.937,17.779,17.86,7745136,0
PZU,D,20100614,000000,17.86,18.09,17.757,17.998,3228703,0
PZU,D,20100615,000000,17.912,18.06,17.825,18.038,5227121,0
PZU,D,20100616,000000,18.048,18.09,17.717,18.034,6455424,0
PZU,D,20100617,000000,17.886,18.116,17.86,18.095,5833736,0
PZU,D,20100618,000000,18.045,18.361,18.045,18.295,21757420,0
PZU,D,20100621,000000,18.27,18.669,18.27,18.669,6747048,0
PZU,D,20100622,000000,18.449,18.592,18.346,18.423,3465948,0
PZU,D,20100623,000000,18.371,18.526,18.331,18.371,4040804,0
PZU,D,20100624,000000,18.371,18.475,18.168,18.168,3278235,0
PZU,D,20100625,000000,18.219,18.392,18.172,18.172,4225937,0
PZU,D,20100628,000000,18.198,18.254,17.937,18.013,1361617,0
PZU,D,20100629,000000,18.013,18.055,17.86,17.912,4533552,0
PZU,D,20100630,000000,17.912,18.116,17.886,17.912,2009439,0
PZU,D,20100701,000000,17.912,18.305,17.819,18.219,4463247,0
PZU,D,20100702,000000,18.055,18.423,18.055,18.117,3355380,0
PZU,D,20100705,000000,18.127,18.178,18.013,18.019,470911,0
PZU,D,20100706,000000,18.055,18.351,18.045,18.351,916187,0
PZU,D,20100707,000000,18.121,18.371,18.09,18.32,4052273,0
PZU,D,20100708,000000,18.423,18.669,18.219,18.368,8253304,0
PZU,D,20100709,000000,18.377,18.495,18.239,18.475,829337,0
PZU,D,20100712,000000,18.423,19.037,18.341,19.037,4971018,0
PZU,D,20100713,000000,18.95,19.343,18.95,19.343,5129838,0
PZU,D,20100714,000000,19.343,19.436,18.935,18.935,2262794,0
PZU,D,20100715,000000,18.935,19.14,18.883,18.935,776775,0
PZU,D,20100716,000000,18.833,19.216,18.833,18.833,1155376,0
PZU,D,20100719,000000,18.812,19.196,18.781,19.125,5139465,0
PZU,D,20100720,000000,19.089,19.125,18.883,18.94,2091060,0
PZU,D,20100721,000000,18.986,19.284,18.986,19.165,3675412,0
PZU,D,20100722,000000,19.14,19.549,19.094,19.549,4855298,0
PZU,D,20100723,000000,19.447,19.574,19.272,19.293,2724576,0
PZU,D,20100726,000000,19.601,19.938,19.405,19.866,3777809,0
PZU,D,20100727,000000,19.908,20.029,19.299,19.657,6934609,0
PZU,D,20100728,000000,19.805,19.805,19.396,19.402,1847308,0
PZU,D,20100729,000000,19.447,19.958,19.447,19.958,5367646,0
PZU,D,20100730,000000,19.958,20.193,19.83,20.162,7929260,0
PZU,D,20100802,000000,20.173,20.48,20.128,20.316,4156014,0
PZU,D,20100803,000000,20.316,20.531,20.291,20.418,2959610,0
PZU,D,20100804,000000,20.404,20.404,20.214,20.266,1198666,0
PZU,D,20100805,000000,20.214,20.414,20.112,20.343,4775746,0
PZU,D,20100806,000000,20.363,20.368,20.162,20.214,1190126,0
PZU,D,20100809,000000,20.137,20.214,19.463,19.549,2726507,0
PZU,D,20100810,000000,19.651,19.651,19.422,19.523,3426455,0
PZU,D,20100811,000000,19.523,19.574,19.241,19.293,2155307,0
PZU,D,20100812,000000,19.284,19.753,19.284,19.601,2562061,0
PZU,D,20100813,000000,19.917,20.112,19.718,19.851,1728455,0
PZU,D,20100816,000000,19.908,20.112,19.764,19.964,1152153,0
PZU,D,20100817,000000,19.958,19.958,19.554,19.702,1212258,0
PZU,D,20100818,000000,19.841,19.841,19.534,19.774,1712754,0
PZU,D,20100819,000000,19.764,19.958,19.651,19.699,2258332,0
PZU,D,20100820,000000,19.713,19.994,19.651,19.948,2505958,0
PZU,D,20100823,000000,20.163,20.669,20.122,20.558,2352061,0
PZU,D,20100824,000000,20.496,20.512,19.954,20.306,1806395,0
PZU,D,20100825,000000,20.196,20.401,19.89,19.98,1333170,0
PZU,D,20100826,000000,19.731,20.143,19.405,19.532,2791917,0
PZU,D,20100827,000000,19.427,19.67,19.427,19.67,2122193,0
PZU,D,20100830,000000,19.796,19.98,19.753,19.753,2141678,0
PZU,D,20100831,000000,19.584,19.879,19.48,19.879,3495816,0
PZU,D,20100901,000000,19.996,20.006,19.742,19.742,2262794,0
PZU,D,20100902,000000,19.895,19.974,19.721,19.721,1633793,0
PZU,D,20100903,000000,19.774,20.102,19.742,20.102,1276902,0
PZU,D,20100906,000000,20.132,20.348,20.132,20.348,1837744,0
PZU,D,20100907,000000,20.163,20.259,20.012,20.163,1021563,0
PZU,D,20100908,000000,20.185,20.827,20.163,20.795,5103141,0
PZU,D,20100909,000000,20.585,21.049,20.538,21.023,4080707,0
PZU,D,20100910,000000,20.802,21.054,20.764,20.848,3073334,0
PZU,D,20100913,000000,21.049,21.059,20.827,20.906,3711198,0
PZU,D,20100914,000000,20.902,21.113,20.748,21.091,3856440,0
PZU,D,20100915,000000,21.065,21.164,20.891,21.164,2347727,0
PZU,D,20100916,000000,20.985,21.154,20.954,20.954,1543924,0
PZU,D,20100917,000000,21.023,21.19,20.743,21.19,5064490,0
PZU,D,20100920,000000,20.954,21.422,20.954,21.368,1839457,0
PZU,D,20100921,000000,21.368,21.98,21.277,21.638,4771899,0
PZU,D,20100922,000000,21.532,21.765,21.486,21.638,2103643,0
PZU,D,20100923,000000,21.596,21.644,21.075,21.113,3851236,0
PZU,D,20100924,000000,21.113,21.154,20.764,20.795,6865337,0
PZU,D,20100927,000000,21.006,21.101,20.928,20.954,1325908,0
PZU,D,20100928,000000,20.954,21.054,20.758,21.011,1599156,0
PZU,D,20100929,000000,20.954,21.113,20.795,20.954,2417369,0
PZU,D,20100930,000000,20.928,21.586,20.86,21.586,4982090,0
PZU,D,20101001,000000,21.277,21.575,21.059,21.059,2039829,0
PZU,D,20101004,000000,21.113,21.348,21.017,21.348,1820945,0
PZU,D,20101005,000000,21.269,21.318,21.011,21.206,3172295,0
PZU,D,20101006,000000,21.265,21.375,21.07,21.201,1721397,0
PZU,D,20101007,000000,21.106,21.318,20.795,20.795,1714467,0
PZU,D,20101008,000000,20.86,21.049,20.538,20.665,2374692,0
PZU,D,20101011,000000,20.771,20.88,20.638,20.785,1847564,0
PZU,D,20101012,000000,20.695,20.785,20.59,20.638,2296010,0
PZU,D,20101013,000000,20.717,20.921,20.653,20.848,7033196,0
PZU,D,20101014,000000,20.902,20.954,20.291,20.296,8382169,0
PZU,D,20101015,000000,20.316,20.427,20.117,20.217,3025006,0
PZU,D,20101018,000000,20.243,20.323,20.163,20.323,2078608,0
PZU,D,20101019,000000,20.323,20.665,20.296,20.485,3718115,0
PZU,D,20101020,000000,20.344,20.585,20.217,20.296,5681144,0
PZU,D,20101021,000000,20.479,20.479,19.902,20.163,3086338,0
PZU,D,20101022,000000,20.154,20.154,19.78,20.058,2570128,0
PZU,D,20101025,000000,20.163,20.163,19.696,19.742,1875051,0
PZU,D,20101026,000000,19.742,19.822,19.433,19.48,3299164,0
PZU,D,20101027,000000,19.584,20,19.584,19.85,4546006,0
PZU,D,20101028,000000,20.053,20.348,19.902,20.111,2699274,0
PZU,D,20101029,000000,20.137,20.179,19.69,19.907,2908648,0
PZU,D,20101102,000000,20.006,20.09,19.954,20.033,2163107,0
PZU,D,20101103,000000,20.033,20.058,19.742,19.742,2310804,0
PZU,D,20101104,000000,19.902,20.033,19.742,19.796,3974960,0
PZU,D,20101105,000000,19.89,20.154,19.796,20.086,2893727,0
PZU,D,20101108,000000,20.111,20.355,19.911,20.159,3498706,0
PZU,D,20101109,000000,20.022,20.427,19.923,20.274,4727929,0
PZU,D,20101110,000000,20.259,20.264,19.98,19.985,3489947,0
PZU,D,20101112,000000,19.637,19.796,19.442,19.48,9356875,0
PZU,D,20101115,000000,19.742,19.76,18.931,19.075,14662395,0
PZU,D,20101116,000000,19.111,19.111,18.728,18.852,8647925,0
PZU,D,20101117,000000,18.9,19.717,18.785,19.427,9967018,0
PZU,D,20101118,000000,19.328,19.658,19.242,19.38,27412226,0
PZU,D,20101119,000000,19.516,19.516,19.233,19.233,15545468,0
PZU,D,20101122,000000,19.474,19.522,19.269,19.28,7531697,0
PZU,D,20101123,000000,19.28,19.295,18.81,18.818,12140314,0
PZU,D,20101124,000000,18.948,19.085,18.8,18.896,13270527,0
PZU,D,20101125,000000,18.954,19.037,18.822,18.889,4036995,0
PZU,D,20101126,000000,18.874,18.889,18.453,18.584,8641533,0
PZU,D,20101129,000000,18.79,18.832,18.432,18.48,6174262,0
PZU,D,20101130,000000,18.632,18.742,18.449,18.685,14114848,0
PZU,D,20101201,000000,18.737,19.191,18.648,19.085,6396855,0
PZU,D,20101202,000000,19.165,19.363,19.095,19.158,6346890,0
PZU,D,20101203,000000,19.216,19.254,18.864,19.105,1723457,0
PZU,D,20101206,000000,19.143,19.321,18.954,19.321,4437943,0
PZU,D,20101207,000000,19.195,19.374,19.169,19.374,4301204,0
PZU,D,20101208,000000,19.126,19.37,18.916,19.053,4115599,0
PZU,D,20101209,000000,19.059,19.132,18.911,18.954,4239093,0
PZU,D,20101210,000000,19.006,19.295,18.981,18.981,7678103,0
PZU,D,20101213,000000,19.122,19.201,19.053,19.137,1191277,0
PZU,D,20101214,000000,19.207,19.306,19.032,19.306,3655045,0
PZU,D,20101215,000000,19.191,19.295,19.09,19.269,1725692,0
PZU,D,20101216,000000,19.238,19.316,18.981,19.011,2844746,0
PZU,D,20101217,000000,19.053,19.059,18.847,18.9,9773895,0
PZU,D,20101220,000000,18.847,18.981,18.748,18.795,3342327,0
PZU,D,20101221,000000,18.847,18.847,18.695,18.795,3911263,0
PZU,D,20101222,000000,18.852,18.852,18.758,18.779,2323013,0
PZU,D,20101223,000000,18.779,18.8,18.754,18.785,1934887,0
PZU,D,20101227,000000,18.775,18.795,18.685,18.768,1024186,0
PZU,D,20101228,000000,18.742,18.768,18.688,18.716,2132562,0
PZU,D,20101229,000000,18.742,18.874,18.721,18.795,2089360,0
PZU,D,20101230,000000,18.795,18.852,18.721,18.733,1164185,0
PZU,D,20101231,000000,18.732,18.742,18.489,18.717,1962695,0
PZU,D,20110103,000000,18.758,19.079,18.742,19.059,1712357,0
PZU,D,20110104,000000,19.059,19.059,18.539,18.539,3823121,0
PZU,D,20110105,000000,18.579,18.595,18.168,18.48,3906213,0
PZU,D,20110107,000000,18.531,18.531,18.221,18.48,2899007,0
PZU,D,20110110,000000,18.32,18.364,17.879,18.037,5368310,0
PZU,D,20110111,000000,18.037,18.364,17.984,18.231,4800102,0
PZU,D,20110112,000000,18.216,18.269,17.947,18.111,3230097,0
PZU,D,20110113,000000,18.216,18.231,17.542,17.954,5405042,0
PZU,D,20110114,000000,17.927,18.211,17.794,17.954,2325326,0
PZU,D,20110117,000000,18.027,18.32,17.954,18.32,4817695,0
PZU,D,20110118,000000,18.417,18.71,18.32,18.688,5923208,0
PZU,D,20110119,000000,18.705,18.81,18.253,18.427,3495253,0
PZU,D,20110120,000000,18.216,18.559,18.138,18.421,3364151,0
PZU,D,20110121,000000,18.4,18.521,18.32,18.353,1282655,0
PZU,D,20110124,000000,18.353,18.41,17.963,18.32,2435026,0
PZU,D,20110125,000000,18.242,18.395,18.085,18.237,2575729,0
PZU,D,20110126,000000,18.253,18.421,18.168,18.342,2021610,0
PZU,D,20110127,000000,18.385,18.385,17.989,18.033,2688189,0
PZU,D,20110128,000000,18.033,18.263,17.963,18.216,2072100,0
PZU,D,20110131,000000,18.033,18.163,17.953,18.163,3781504,0
PZU,D,20110201,000000,18.201,18.211,18.059,18.163,3120961,0
PZU,D,20110202,000000,18.183,18.311,18.021,18.263,3440327,0
PZU,D,20110203,000000,18.305,18.818,18.216,18.8,7518260,0
PZU,D,20110204,000000,18.896,18.954,18.506,18.553,5080474,0
PZU,D,20110207,000000,18.495,18.795,18.48,18.584,3736066,0
PZU,D,20110208,000000,18.685,18.685,18.539,18.606,4862444,0
PZU,D,20110209,000000,18.539,18.584,18.374,18.427,4039897,0
PZU,D,20110210,000000,18.39,18.427,18.195,18.32,3964360,0
PZU,D,20110211,000000,18.316,18.41,18.269,18.374,4537529,0
PZU,D,20110214,000000,18.417,18.475,18.19,18.269,2543740,0
PZU,D,20110215,000000,18.174,18.311,18.174,18.19,6159955,0
PZU,D,20110216,000000,18.263,18.263,18.006,18.059,7513210,0
PZU,D,20110217,000000,18.059,18.111,17.768,17.768,6404002,0
PZU,D,20110218,000000,17.794,18.163,17.794,18.069,4491221,0
PZU,D,20110221,000000,18.069,18.206,18.021,18.163,4286296,0
PZU,D,20110222,000000,18.148,18.627,18.006,18.516,7607412,0
PZU,D,20110223,000000,18.48,18.584,18.295,18.427,4684907,0
PZU,D,20110224,000000,18.242,18.663,18.227,18.374,4113618,0
PZU,D,20110225,000000,18.39,18.48,18.237,18.316,3407916,0
PZU,D,20110228,000000,18.221,18.406,18.163,18.289,4917256,0
PZU,D,20110301,000000,18.242,18.279,17.895,18.074,4292880,0
PZU,D,20110302,000000,17.954,18.017,17.806,17.854,3588420,0
PZU,D,20110303,000000,17.989,18.311,17.927,18.311,3488335,0
PZU,D,20110304,000000,18.369,18.638,18.274,18.427,3478005,0
PZU,D,20110307,000000,18.489,18.611,18.347,18.4,2310164,0
PZU,D,20110308,000000,18.427,18.663,18.427,18.632,3248239,0
PZU,D,20110309,000000,18.51,18.579,18.231,18.231,3201663,0
PZU,D,20110310,000000,18.227,18.32,18.079,18.111,3026286,0
PZU,D,20110311,000000,18.033,18.1,17.854,18.006,4258003,0
PZU,D,20110314,000000,17.927,18.059,17.927,18.059,3211367,0
PZU,D,20110315,000000,18.006,18.048,17.858,18,3887840,0
PZU,D,20110316,000000,18.32,18.48,17.821,17.885,4282717,0
PZU,D,20110317,000000,17.915,18.569,17.858,18.48,8608649,0
PZU,D,20110318,000000,18.48,19.079,18.437,19.079,11614977,0
PZU,D,20110321,000000,19.059,19.059,18.818,18.874,4625990,0
PZU,D,20110322,000000,18.847,18.847,18.541,18.584,2785357,0
PZU,D,20110323,000000,18.584,18.847,18.484,18.754,2146012,0
PZU,D,20110324,000000,18.663,18.733,18.48,18.531,2394508,0
PZU,D,20110325,000000,18.541,18.71,18.427,18.559,1972734,0
PZU,D,20110328,000000,18.531,18.889,18.531,18.879,2854284,0
PZU,D,20110329,000000,18.879,19.027,18.716,18.742,5461221,0
PZU,D,20110330,000000,18.785,18.954,18.463,18.463,3932065,0
PZU,D,20110331,000000,18.611,18.742,18.516,18.742,5048280,0
PZU,D,20110401,000000,18.81,19.238,18.795,19.053,13642865,0
PZU,D,20110404,000000,19.165,19.21,19.063,19.165,2943194,0
PZU,D,20110405,000000,19.111,19.216,19.111,19.191,1742659,0
PZU,D,20110406,000000,19.216,19.427,19.191,19.321,8674582,0
PZU,D,20110407,000000,19.321,19.474,19.269,19.427,4589885,0
PZU,D,20110408,000000,19.427,19.469,19.059,19.191,5462371,0
PZU,D,20110411,000000,19.216,19.259,19.111,19.18,2493800,0
PZU,D,20110412,000000,19.111,19.269,19.032,19.148,4528964,0
PZU,D,20110413,000000,19.269,19.343,19.122,19.191,6100976,0
PZU,D,20110414,000000,19.143,19.226,19.037,19.137,5875199,0
PZU,D,20110415,000000,19.191,19.259,19.07,19.169,4127298,0
PZU,D,20110418,000000,19.191,19.259,18.927,18.927,4730998,0
PZU,D,20110419,000000,18.927,19.165,18.927,19.059,4796919,0
PZU,D,20110420,000000,19.154,19.254,19.116,19.116,5372516,0
PZU,D,20110421,000000,19.216,19.254,19.085,19.132,4468591,0
PZU,D,20110426,000000,19.132,19.311,19.132,19.259,3233894,0
PZU,D,20110427,000000,19.284,19.417,19.226,19.402,6020058,0
PZU,D,20110428,000000,19.38,19.742,19.38,19.69,7763866,0
PZU,D,20110429,000000,19.742,19.79,19.552,19.637,2190915,0
PZU,D,20110502,000000,19.69,19.875,19.637,19.796,2972356,0
PZU,D,20110504,000000,19.581,19.859,19.349,19.532,7221103,0
PZU,D,20110505,000000,19.48,19.622,19.48,19.543,6330065,0
PZU,D,20110506,000000,19.611,19.764,19.548,19.69,9131724,0
PZU,D,20110509,000000,19.742,19.837,19.349,19.349,2063752,0
PZU,D,20110510,000000,19.402,19.822,19.402,19.77,8435663,0
PZU,D,20110511,000000,19.764,20.233,19.748,20.217,8069809,0
PZU,D,20110512,000000,20.159,20.301,20.038,20.269,11227707,0
PZU,D,20110513,000000,20.269,20.634,20.233,20.527,4341133,0
PZU,D,20110516,000000,20.323,20.691,20.117,20.691,3474847,0
PZU,D,20110517,000000,20.533,20.533,20.163,20.163,4054178,0
PZU,D,20110518,000000,20.207,20.312,19.706,19.706,4658671,0
PZU,D,20110519,000000,20.006,20.479,19.958,20.169,6999698,0
PZU,D,20110520,000000,20.226,20.634,20.226,20.533,4827375,0
PZU,D,20110523,000000,20.269,20.512,20.185,20.512,3766162,0
PZU,D,20110524,000000,20.28,20.585,20.217,20.558,4651294,0
PZU,D,20110525,000000,20.512,20.933,20.381,20.891,5165304,0
PZU,D,20110526,000000,20.948,20.985,20.595,20.674,6025977,0
PZU,D,20110527,000000,20.674,20.717,20.454,20.533,4089876,0
PZU,D,20110530,000000,20.638,20.638,20.415,20.475,1206530,0
PZU,D,20110531,000000,20.527,20.585,20.438,20.479,5072955,0
PZU,D,20110601,000000,20.627,20.684,20.485,20.533,4640120,0
PZU,D,20110602,000000,20.427,20.717,20.415,20.585,1826007,0
PZU,D,20110603,000000,20.585,20.681,20.385,20.533,3465041,0
PZU,D,20110606,000000,20.538,20.705,20.538,20.611,1928317,0
PZU,D,20110607,000000,20.616,20.743,20.522,20.564,3698157,0
PZU,D,20110608,000000,20.564,20.634,20.259,20.323,5884930,0
