<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNT,D,20070816,000000,12.764,14.041,11.926,12.958,86237,0
QNT,D,20070817,000000,13.234,14.112,12.449,13.537,42945,0
QNT,D,20070820,000000,14.506,14.698,13.584,13.861,12200,0
QNT,D,20070821,000000,14.054,14.054,12.894,13.537,22302,0
QNT,D,20070822,000000,13.229,14.828,13.229,14.828,14906,0
QNT,D,20070823,000000,14.698,14.698,14.254,14.698,10657,0
QNT,D,20070824,000000,14.506,14.692,13.861,14.692,4624,0
QNT,D,20070827,000000,14.409,14.828,14.409,14.57,11015,0
QNT,D,20070828,000000,14.183,14.57,13.892,14.467,846,0
QNT,D,20070829,000000,13.577,14.428,13.577,14.183,1062,0
QNT,D,20070830,000000,14.183,14.459,13.732,14.151,5082,0
QNT,D,20070831,000000,13.861,14.183,13.732,14.054,3427,0
QNT,D,20070903,000000,13.687,14.183,13.603,13.738,2738,0
QNT,D,20070904,000000,14.176,14.183,13.868,14.022,2444,0
QNT,D,20070905,000000,13.957,14.183,13.732,14.183,2311,0
QNT,D,20070906,000000,14.171,14.171,14.119,14.119,1298,0
QNT,D,20070907,000000,13.861,13.925,13.215,13.537,4023,0
QNT,D,20070910,000000,13.537,13.537,13.241,13.254,895,0
QNT,D,20070911,000000,13.249,14.132,13.215,13.234,1625,0
QNT,D,20070912,000000,13.215,13.847,13.215,13.847,499,0
QNT,D,20070913,000000,13.537,13.783,13.229,13.537,943,0
QNT,D,20070914,000000,13.222,13.835,13.222,13.319,1062,0
QNT,D,20070917,000000,13.093,13.537,13.087,13.532,1213,0
QNT,D,20070918,000000,13.087,13.537,13.087,13.532,2746,0
QNT,D,20070919,000000,13.66,13.732,13.416,13.537,6336,0
QNT,D,20070920,000000,13.537,13.537,13.286,13.474,2115,0
QNT,D,20070921,000000,13.345,13.474,13.313,13.313,1057,0
QNT,D,20070924,000000,13.345,13.351,12.262,13.215,4054,0
QNT,D,20070925,000000,12.899,13.215,12.894,13.215,725,0
QNT,D,20070926,000000,13.537,13.537,12.965,13.215,1118,0
QNT,D,20070927,000000,12.97,13.21,12.965,13.21,776,0
QNT,D,20070928,000000,12.894,13.145,12.829,13.145,2187,0
QNT,D,20071001,000000,12.604,13.139,12.604,12.642,3111,0
QNT,D,20071002,000000,12.674,12.868,12.506,12.824,2287,0
QNT,D,20071003,000000,12.572,12.572,12.056,12.074,2134,0
QNT,D,20071004,000000,11.998,12.629,11.998,12.629,6138,0
QNT,D,20071005,000000,12.061,12.248,12.061,12.248,551,0
QNT,D,20071008,000000,12.248,12.248,12.248,12.248,990,0
QNT,D,20071009,000000,12.248,12.313,12.152,12.313,1466,0
QNT,D,20071010,000000,12.248,13.151,12.248,12.848,1415,0
QNT,D,20071011,000000,12.572,12.796,12.572,12.572,433,0
QNT,D,20071012,000000,12.217,12.733,12.217,12.635,1093,0
QNT,D,20071015,000000,12.326,12.803,12.326,12.803,353,0
QNT,D,20071016,000000,12.32,12.623,12.32,12.623,2,0
QNT,D,20071017,000000,12.313,12.565,12.313,12.32,469,0
QNT,D,20071018,000000,12.32,12.565,12.32,12.345,1188,0
QNT,D,20071019,000000,12.345,12.54,12.345,12.54,1904,0
QNT,D,20071022,000000,12.475,12.475,12.377,12.475,1254,0
QNT,D,20071023,000000,12.262,12.345,12.248,12.345,838,0
QNT,D,20071024,000000,12.248,12.345,12.248,12.248,2336,0
QNT,D,20071025,000000,12.248,12.248,12.178,12.248,917,0
QNT,D,20071026,000000,12.178,12.248,12.12,12.133,323,0
QNT,D,20071029,000000,12.248,12.248,12.12,12.12,1070,0
QNT,D,20071030,000000,11.99,12.056,11.99,12.023,439,0
QNT,D,20071031,000000,12.023,12.248,11.926,12.242,3263,0
QNT,D,20071102,000000,12.172,12.242,11.926,11.998,2349,0
QNT,D,20071105,000000,12.248,12.461,12.248,12.371,2834,0
QNT,D,20071106,000000,11.702,12.468,11.702,12.461,3798,0
QNT,D,20071107,000000,12.449,13.048,12.449,13.048,11931,0
QNT,D,20071108,000000,12.829,13.281,12.572,12.894,8375,0
QNT,D,20071109,000000,12.894,12.99,12.894,12.894,6077,0
QNT,D,20071112,000000,12.99,13.022,12.764,12.894,895,0
QNT,D,20071113,000000,12.894,13.151,12.894,13.151,2295,0
QNT,D,20071114,000000,12.894,13.087,12.894,13.087,179,0
QNT,D,20071115,000000,12.829,12.99,12.829,12.894,8281,0
QNT,D,20071116,000000,12.604,12.958,12.068,12.764,2607,0
QNT,D,20071119,000000,12.764,13.087,12.764,13.081,845,0
QNT,D,20071120,000000,13.081,13.081,12.094,13.073,4740,0
QNT,D,20071121,000000,12.958,12.958,12.572,12.733,3303,0
QNT,D,20071122,000000,12.256,12.958,12.152,12.958,7740,0
QNT,D,20071123,000000,12.894,12.958,12.894,12.958,871,0
QNT,D,20071126,000000,13.21,13.21,12.256,13.119,1300,0
QNT,D,20071127,000000,12.894,13.087,12.894,13.087,34,0
QNT,D,20071128,000000,12.377,13.119,12.377,13.022,761,0
QNT,D,20071129,000000,13.202,13.202,12.899,12.907,471,0
QNT,D,20071130,000000,13.126,13.126,12.894,13.119,349,0
QNT,D,20071203,000000,13.081,13.151,12.572,13.107,2003,0
QNT,D,20071204,000000,12.894,13.151,12.894,13.145,6018,0
QNT,D,20071205,000000,13.119,13.151,13.119,13.151,295,0
QNT,D,20071206,000000,13.151,13.151,12.248,12.958,1537,0
QNT,D,20071207,000000,12.816,13.197,12.816,13.197,243,0
QNT,D,20071210,000000,13.107,13.107,12.506,12.894,2049,0
QNT,D,20071211,000000,12.894,12.894,12.894,12.894,169,0
QNT,D,20071212,000000,12.577,12.899,12.577,12.899,1113,0
QNT,D,20071213,000000,12.894,12.894,12.604,12.635,362,0
QNT,D,20071214,000000,12.611,12.611,12.604,12.604,823,0
QNT,D,20071217,000000,12.443,12.894,12.443,12.894,9396,0
QNT,D,20071218,000000,12.824,12.824,12.443,12.764,1585,0
QNT,D,20071219,000000,12.577,12.726,12.185,12.726,2246,0
QNT,D,20071220,000000,11.99,12.565,11.99,12.377,4749,0
QNT,D,20071221,000000,12.377,12.572,12.248,12.572,5230,0
QNT,D,20071227,000000,12.572,13.087,12.572,13.087,791,0
QNT,D,20071228,000000,12.326,13.215,12.326,13.151,2077,0
QNT,D,20080102,000000,12.894,13.112,12.894,13.112,95,0
QNT,D,20080103,000000,12.577,12.894,12.577,12.887,479,0
QNT,D,20080104,000000,12.577,12.733,12.572,12.733,593,0
QNT,D,20080107,000000,12.256,12.565,12.256,12.545,531,0
QNT,D,20080108,000000,12.545,12.545,12.313,12.545,1585,0
QNT,D,20080109,000000,12.32,12.54,12.32,12.377,1755,0
QNT,D,20080110,000000,12.475,12.629,12.185,12.629,1170,0
QNT,D,20080111,000000,11.926,12.493,11.926,12.493,60,0
QNT,D,20080114,000000,11.926,12.371,11.611,12.371,2729,0
QNT,D,20080115,000000,11.797,12.339,11.765,12.248,330,0
QNT,D,20080116,000000,10.322,12.114,10.322,12.056,18423,0
QNT,D,20080117,000000,12.088,12.088,11.443,12.049,404,0
QNT,D,20080122,000000,10.96,11.862,10.96,11.862,937,0
QNT,D,20080123,000000,10.966,11.849,10.966,11.849,1669,0
QNT,D,20080124,000000,11.83,12.049,11.83,12.049,43,0
QNT,D,20080125,000000,12.049,12.049,11.99,11.99,705,0
QNT,D,20080130,000000,11.096,12.043,11.096,12.043,239,0
QNT,D,20080131,000000,11.12,11.92,11.12,11.92,156,0
QNT,D,20080201,000000,11.603,11.906,11.603,11.906,77,0
QNT,D,20080204,000000,12.036,12.371,12.036,12.371,445,0
QNT,D,20080206,000000,12.248,12.248,11.21,11.21,1646,0
QNT,D,20080207,000000,12.481,12.481,11.366,12.398,55,0
QNT,D,20080211,000000,12.242,12.443,11.849,12.443,621,0
QNT,D,20080212,000000,12.377,12.436,12.377,12.436,817,0
QNT,D,20080213,000000,12.377,12.377,12.377,12.377,15,0
QNT,D,20080214,000000,11.617,12.152,11.617,12.152,194,0
QNT,D,20080215,000000,11.611,12.114,11.611,11.611,173,0
QNT,D,20080218,000000,11.611,12.114,11.611,12.114,8,0
QNT,D,20080219,000000,11.611,11.926,11.611,11.926,988,0
QNT,D,20080220,000000,11.611,11.92,11.611,11.92,86,0
QNT,D,20080221,000000,11.598,11.901,10.973,11.901,306,0
QNT,D,20080222,000000,11.3,11.888,11.282,11.888,552,0
QNT,D,20080225,000000,11.282,11.468,11.153,11.468,4298,0
QNT,D,20080226,000000,11.088,11.352,11.088,11.347,41042,0
QNT,D,20080227,000000,11.347,11.623,11.347,11.623,155,0
QNT,D,20080229,000000,11.159,11.721,11.159,11.721,3,0
QNT,D,20080303,000000,11.603,11.603,11.159,11.603,81,0
QNT,D,20080304,000000,11.598,11.598,11.282,11.468,180,0
QNT,D,20080307,000000,10.96,11.153,10.418,11.153,753,0
QNT,D,20080310,000000,10.322,11.134,10.322,11.134,499,0
QNT,D,20080312,000000,10.96,10.96,10.637,10.637,635,0
QNT,D,20080313,000000,10.637,10.96,10.379,10.96,418,0
QNT,D,20080314,000000,10.379,10.953,10.315,10.953,395,0
QNT,D,20080317,000000,10.637,10.637,9.4127,10.302,639,0
QNT,D,20080318,000000,9.831,10.302,9.831,9.992,613,0
