<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAF,D,19961206,000000,12.195,14.497,12.195,14.413,469,0
RAF,D,19961209,000000,17.057,17.909,17.057,17.909,235,0
RAF,D,19961210,000000,17.909,17.909,17.909,17.909,117,0
RAF,D,19961212,000000,18.336,18.336,17.909,17.909,246,0
RAF,D,19961213,000000,17.057,17.057,17.057,17.057,10,0
RAF,D,19961216,000000,18.336,18.762,18.336,18.762,140,0
RAF,D,19961217,000000,19.19,20.041,19.19,20.041,762,0
RAF,D,19961219,000000,18.762,18.762,18.336,18.336,352,0
RAF,D,19970103,000000,18.336,18.336,18.336,18.336,117,0
RAF,D,19970109,000000,17.909,17.909,17.909,17.909,57,0
RAF,D,19970115,000000,17.995,17.995,17.995,17.995,57,0
RAF,D,19970116,000000,17.995,17.995,17.995,17.995,10,0
RAF,D,19970120,000000,17.483,17.483,17.483,17.483,177,0
RAF,D,19970124,000000,17.824,17.824,17.824,17.824,587,0
RAF,D,19970127,000000,17.398,17.398,17.398,17.398,235,0
RAF,D,19970128,000000,17.398,17.398,17.313,17.313,469,0
RAF,D,19970131,000000,17.227,17.227,17.227,17.227,283,0
RAF,D,19970207,000000,16.885,16.885,16.885,16.885,10,0
RAF,D,19970217,000000,16.203,16.203,16.203,16.203,117,0
RAF,D,19970226,000000,16.203,16.203,16.203,16.203,20,0
RAF,D,19970307,000000,15.778,15.778,15.778,15.778,10,0
RAF,D,19970326,000000,13.476,13.56,13.476,13.56,1291,0
RAF,D,19970327,000000,13.56,13.56,13.56,13.56,235,0
RAF,D,19970404,000000,13.305,13.305,13.305,13.305,57,0
RAF,D,19970407,000000,13.305,13.305,13.305,13.305,57,0
RAF,D,19970409,000000,12.963,12.963,12.963,12.963,47,0
RAF,D,19970414,000000,12.878,12.878,12.878,12.878,57,0
RAF,D,19970416,000000,12.878,12.878,12.878,12.878,235,0
RAF,D,19970417,000000,12.708,12.708,12.622,12.708,587,0
RAF,D,19970418,000000,12.452,12.452,12.452,12.452,293,0
RAF,D,19970421,000000,12.111,12.111,12.111,12.111,117,0
RAF,D,19970425,000000,11.939,11.939,11.939,11.939,117,0
RAF,D,19970428,000000,11.854,11.854,11.854,11.854,177,0
RAF,D,19970430,000000,11.683,11.683,11.683,11.683,235,0
RAF,D,19970512,000000,11.769,11.769,11.769,11.769,352,0
RAF,D,19970513,000000,11.769,11.769,11.769,11.769,117,0
RAF,D,19970515,000000,11.683,11.683,11.683,11.683,117,0
RAF,D,19970522,000000,11.769,11.769,11.769,11.769,117,0
RAF,D,19970530,000000,11.769,11.769,11.769,11.769,117,0
