<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDN,D,20031209,000000,13.9,14.25,13.6,13.6,531283,0
RDN,D,20031210,000000,13.8,14.3,13.6,14.2,203449,0
RDN,D,20031211,000000,14.7,15.2,14.6,15,245106,0
RDN,D,20031212,000000,15.8,15.9,15.4,15.8,216529,0
RDN,D,20031215,000000,16.25,17.2,15.9,16,301618,0
RDN,D,20031216,000000,15.7,15.8,15.3,15.7,62287,0
RDN,D,20031217,000000,15.8,16.35,15.7,15.7,53616,0
RDN,D,20031218,000000,15.8,16.55,15.75,16.55,66100,0
RDN,D,20031219,000000,16.75,16.75,15.9,16.1,157670,0
RDN,D,20031222,000000,16.55,16.55,16.2,16.4,76854,0
RDN,D,20031223,000000,16.55,17.5,16.55,17.5,220353,0
RDN,D,20031229,000000,18.15,18.5,18,18.3,75177,0
RDN,D,20031230,000000,18.15,20,18.15,19,156203,0
RDN,D,20031231,000000,19.6,19.6,18.7,18.7,78185,0
RDN,D,20040102,000000,18.7,18.7,17.4,18.2,74847,0
RDN,D,20040105,000000,18.3,18.3,17.15,17.5,165459,0
RDN,D,20040106,000000,17.4,17.4,17,17.15,82424,0
RDN,D,20040107,000000,17.1,17.35,17.05,17.15,34753,0
RDN,D,20040108,000000,17.2,17.5,16.5,16.5,96484,0
RDN,D,20040109,000000,16.3,16.45,15.75,16.05,97469,0
RDN,D,20040112,000000,16,16.95,16,16.3,45836,0
RDN,D,20040113,000000,16.4,16.85,16.35,16.75,41938,0
RDN,D,20040114,000000,16.75,16.8,16.25,16.35,38663,0
RDN,D,20040115,000000,16.25,16.45,16.1,16.35,27979,0
RDN,D,20040116,000000,16.2,16.35,16.1,16.25,69294,0
RDN,D,20040119,000000,16.4,16.5,16.2,16.4,31915,0
RDN,D,20040120,000000,16.4,16.4,16.2,16.2,27740,0
RDN,D,20040121,000000,16.3,16.5,16,16.25,54154,0
RDN,D,20040122,000000,16.1,16.1,15.85,15.9,36621,0
