<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REG,D,20070514,000000,2190,2378,2132,2159,4257,0
REG,D,20070515,000000,2140,2189,1980,2060,482,0
REG,D,20070516,000000,2049,2049,2010,2020,210,0
REG,D,20070517,000000,2025,2084,2020,2020,142,0
REG,D,20070518,000000,2035,2084,1891,1945,279,0
REG,D,20070521,000000,1990,1995,1886,1937,306,0
REG,D,20070522,000000,1938,1960,1918,1920,92,0
REG,D,20070523,000000,1904,1965,1902,1920,130,0
REG,D,20070524,000000,1955,1955,1896,1928,94,0
REG,D,20070525,000000,1920,1928,1895,1902,139,0
REG,D,20070528,000000,1928,1955,1901,1920,104,0
REG,D,20070529,000000,1915,2088,1915,2040,233,0
REG,D,20070530,000000,2090,2099,2040,2047,123,0
REG,D,20070531,000000,2049,2220,2049,2150,344,0
REG,D,20070601,000000,2170,2170,2110,2145,55,0
REG,D,20070604,000000,2100,2140,2000,2095,56,0
REG,D,20070605,000000,2055,2119,2034,2045,175,0
REG,D,20070606,000000,2089,2089,2000,2010,127,0
REG,D,20070608,000000,1997,1999,1959,1961,79,0
REG,D,20070611,000000,1961,2000,1920,1974,146,0
REG,D,20070612,000000,2060,2060,1930,1953,45,0
REG,D,20070613,000000,1953,2000,1930,1950,40,0
REG,D,20070614,000000,1933,1950,1900,1900,147,0
REG,D,20070615,000000,1900,1929,1900,1900,71,0
REG,D,20070618,000000,1890,1900,1830,1880,37,0
REG,D,20070619,000000,1880,2000,1850,2000,129,0
REG,D,20070620,000000,2020,2020,1932,2000,21,0
REG,D,20070621,000000,1980,1980,1932,1980,13,0
REG,D,20070622,000000,1989,1989,1950,1981,22,0
REG,D,20070625,000000,1931,1981,1931,1940,13,0
REG,D,20070626,000000,1933,1973,1931,1973,33,0
REG,D,20070627,000000,1911,2001,1911,2000,54,0
REG,D,20070628,000000,1999,2000,1951,2000,39,0
REG,D,20070629,000000,1940,2000,1940,2000,34,0
REG,D,20070702,000000,1960,2000,1960,2000,9,0
REG,D,20070703,000000,1960,1999,1960,1960,17,0
REG,D,20070704,000000,1960,1995,1960,1995,11,0
REG,D,20070705,000000,1902,1998,1902,1990,51,0
REG,D,20070706,000000,1960,1979,1941,1964,100,0
REG,D,20070709,000000,1969,1969,1870,1870,20,0
REG,D,20070710,000000,1945,1978,1925,1930,90,0
REG,D,20070711,000000,1930,1960,1895,1930,37,0
REG,D,20070712,000000,1959,1960,1895,1930,9,0
REG,D,20070713,000000,1930,1930,1891,1900,36,0
REG,D,20070716,000000,1880,1880,1851,1860,37,0
REG,D,20070717,000000,1899,1899,1801,1860,158,0
REG,D,20070718,000000,1860,1860,1860,1860,482,0
REG,D,20070719,000000,1860,1900,1800,1900,269,0
REG,D,20070720,000000,1930,1939,1928,1930,26,0
REG,D,20070723,000000,1940,1949,1900,1900,3,0
REG,D,20070724,000000,1900,1900,1860,1890,25,0
REG,D,20070725,000000,1900,1900,1860,1890,25,0
REG,D,20070726,000000,1900,1900,1890,1890,35,0
REG,D,20070727,000000,1890,1890,1859,1880,22,0
REG,D,20070730,000000,1900,1900,1900,1900,4,0
REG,D,20070731,000000,1880,1900,1875,1875,14,0
REG,D,20070801,000000,1900,1900,1830,1898,61,0
REG,D,20070802,000000,1860,1860,1851,1851,46,0
REG,D,20070803,000000,1850,1871,1850,1862,82,0
REG,D,20070806,000000,1866,1866,1835,1835,70,0
REG,D,20070807,000000,1817,1880,1817,1850,31,0
REG,D,20070808,000000,1848,1850,1800,1850,17,0
REG,D,20070809,000000,1848,1848,1800,1829,38,0
REG,D,20070810,000000,1828,1828,1706,1715,46,0
REG,D,20070813,000000,1656,1799,1656,1740,60,0
REG,D,20070814,000000,1760,1800,1760,1765,45,0
REG,D,20070816,000000,1450,1800,1450,1738,40,0
REG,D,20070817,000000,1735,1740,1630,1700,41,0
REG,D,20070820,000000,1715,1780,1715,1715,23,0
REG,D,20070821,000000,1700,1730,1700,1725,50,0
REG,D,20070822,000000,1750,1765,1700,1700,373,0
REG,D,20070823,000000,1730,1730,1700,1700,12,0
REG,D,20070824,000000,1745,1745,1745,1745,0,0
REG,D,20070827,000000,1657,1740,1657,1678,52,0
REG,D,20070828,000000,1670,1670,1645,1645,9,0
REG,D,20070829,000000,1645,1645,1501,1644,15,0
REG,D,20070830,000000,1620,1659,1605,1645,43,0
REG,D,20070831,000000,1650,1719,1650,1700,61,0
REG,D,20070903,000000,1699,1700,1650,1699,101,0
REG,D,20070904,000000,1661,1720,1661,1720,76,0
REG,D,20070905,000000,1700,1710,1660,1700,58,0
REG,D,20070906,000000,1723,1780,1695,1700,45,0
