<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFK,D,19940307,000000,9.4045,9.4045,9.4045,9.4045,167206,0
RFK,D,19940308,000000,10.232,10.232,10.232,10.232,296707,0
RFK,D,19940310,000000,11.242,11.242,11.242,11.242,260330,0
RFK,D,19940314,000000,12.314,12.314,12.314,12.314,0,0
RFK,D,19940315,000000,13.55,13.55,13.55,13.55,359974,0
RFK,D,19940317,000000,13.55,13.55,13.55,13.55,585607,0
RFK,D,19940321,000000,12.191,12.191,12.191,12.191,189343,0
RFK,D,19940322,000000,11.015,11.015,11.015,11.015,267066,0
RFK,D,19940324,000000,11.913,11.913,11.913,11.913,174558,0
RFK,D,19940328,000000,10.737,10.737,10.737,10.737,92712,0
RFK,D,19940329,000000,9.657,9.657,9.657,9.657,88850,0
RFK,D,19940331,000000,8.7253,8.7253,8.7253,8.7253,86653,0
RFK,D,19940405,000000,8.1507,8.1507,8.1507,8.1507,191687,0
RFK,D,19940407,000000,8.9778,8.9778,8.9778,8.9778,215351,0
RFK,D,19940408,000000,9.4045,9.4045,9.4045,9.4045,99341,0
RFK,D,19940411,000000,8.4815,8.4815,8.4815,8.4815,107633,0
RFK,D,19940412,000000,7.6282,7.6282,7.6282,7.6282,0,0
RFK,D,19940414,000000,6.6703,6.6703,6.6703,6.6703,56423,0
RFK,D,19940418,000000,7.4279,7.4279,7.4279,7.4279,63531,0
RFK,D,19940419,000000,7.8546,7.8546,7.8546,7.8546,68395,0
RFK,D,19940421,000000,8.8037,8.8037,8.8037,8.8037,189766,0
RFK,D,19940425,000000,8.8037,8.8037,8.8037,8.8037,96782,0
RFK,D,19940426,000000,7.9242,7.9242,7.9242,7.9242,0,0
RFK,D,19940428,000000,7.1493,7.1493,7.1493,7.1493,80636,0
RFK,D,19940505,000000,7.2276,7.2276,7.2276,7.2276,146569,0
RFK,D,19940506,000000,7.1493,7.1493,7.1493,7.1493,173334,0
RFK,D,19940509,000000,6.47,6.47,6.47,6.47,63057,0
RFK,D,19940510,000000,6.2959,6.2959,6.2959,6.2959,70276,0
RFK,D,19940512,000000,6.7486,6.7486,6.7486,6.7486,146728,0
RFK,D,19940516,000000,7.2712,7.2712,7.2712,7.2712,100892,0
RFK,D,19940517,000000,7.2712,7.2712,7.2712,7.2712,154358,0
RFK,D,19940519,000000,6.7749,6.7749,6.7749,6.7749,78930,0
RFK,D,19940523,000000,7.4279,7.4279,7.4279,7.4279,275376,0
RFK,D,19940524,000000,7.8546,7.8546,7.8546,7.8546,257971,0
RFK,D,19940526,000000,7.7762,7.7762,7.7762,7.7762,189355,0
RFK,D,19940530,000000,8.1244,8.1244,8.1244,8.1244,251798,0
RFK,D,19940531,000000,8.0983,8.0983,8.0983,8.0983,132875,0
RFK,D,19940601,000000,7.2974,7.2974,7.2974,7.2974,78919,0
RFK,D,19940606,000000,6.6007,6.6007,6.6007,6.6007,184745,0
RFK,D,19940607,000000,6.1739,6.1739,6.1739,6.1739,156607,0
RFK,D,19940609,000000,5.5905,5.5905,5.5905,5.5905,213801,0
RFK,D,19940613,000000,5.0418,5.0418,5.0418,5.0418,0,0
RFK,D,19940614,000000,4.5542,4.5542,4.5542,4.5542,277248,0
RFK,D,19940616,000000,4.6414,4.6414,4.6414,4.6414,220279,0
RFK,D,19940620,000000,4.206,4.206,4.206,4.206,175115,0
RFK,D,19940621,000000,3.7967,3.7967,3.7967,3.7967,224763,0
RFK,D,19940623,000000,3.4222,3.4222,3.4222,3.4222,234278,0
RFK,D,19940627,000000,3.7358,3.7358,3.7358,3.7358,0,0
RFK,D,19940628,000000,4.0753,4.0753,4.0753,4.0753,203627,0
