<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RHD,D,20071213,000000,30,53,30,37.2,48912,0
RHD,D,20071214,000000,40.5,40.5,31.55,33.9,42874,0
RHD,D,20071217,000000,32,32.5,28.85,29.3,14478,0
RHD,D,20071218,000000,29.3,31.48,27.8,29.69,5382,0
RHD,D,20071219,000000,30.5,36,30,34.9,13464,0
RHD,D,20071220,000000,36.66,37.5,31,31,23613,0
RHD,D,20071221,000000,33.5,33.5,31,32.35,3407,0
RHD,D,20071227,000000,30.61,33,29.5,30.48,5904,0
RHD,D,20071228,000000,30,30,29.23,29.89,3985,0
RHD,D,20080102,000000,32,32,28.3,29,2894,0
RHD,D,20080103,000000,27.8,29.6,27.01,27.99,2352,0
RHD,D,20080104,000000,27.5,27.89,26.05,27,6564,0
RHD,D,20080107,000000,25.52,26.65,25.5,26.65,3130,0
RHD,D,20080108,000000,25.71,27,25.15,27,1092,0
RHD,D,20080109,000000,25.2,26.5,24.51,25.58,2459,0
RHD,D,20080110,000000,24.66,24.66,23.37,24.35,1741,0
RHD,D,20080111,000000,22.31,23.49,22.31,22.75,1766,0
RHD,D,20080114,000000,22.55,22.55,20.5,21,1576,0
RHD,D,20080115,000000,21,21.5,20.8,21.5,1395,0
RHD,D,20080116,000000,18.5,20,18.25,19,2901,0
RHD,D,20080117,000000,19.29,21,19,19.5,2778,0
RHD,D,20080118,000000,19.5,19.8,18.42,19.4,1992,0
RHD,D,20080121,000000,19.29,19.29,17.6,18.09,2239,0
RHD,D,20080122,000000,17.5,18.8,17.5,18.8,4061,0
RHD,D,20080123,000000,17.91,19.24,17.91,19.24,891,0
RHD,D,20080124,000000,20,20.98,19.1,20.19,841,0
RHD,D,20080125,000000,20.47,20.48,20.1,20.2,775,0
RHD,D,20080128,000000,20.46,20.46,19,20.44,300,0
RHD,D,20080129,000000,21.55,21.55,19.01,19.3,292,0
RHD,D,20080130,000000,20.88,20.88,19.21,19.21,742,0
RHD,D,20080131,000000,19.25,19.35,18.41,19,822,0
RHD,D,20080201,000000,19.2,20.39,19.2,19.45,493,0
RHD,D,20080204,000000,20.1,20.58,19.6,19.99,914,0
RHD,D,20080205,000000,19.6,20.2,19.36,19.5,7507,0
RHD,D,20080206,000000,18.75,19.35,18.71,19.1,447,0
RHD,D,20080207,000000,19,19,19,19,2542,0
RHD,D,20080208,000000,19.1,19.5,19.1,19.5,715,0
RHD,D,20080211,000000,19.8,19.8,19.08,19.8,256,0
RHD,D,20080212,000000,19.21,20.2,19.21,20.2,2531,0
RHD,D,20080213,000000,19.5,19.99,19.5,19.5,893,0
RHD,D,20080214,000000,19.5,20.2,19.5,20.1,1488,0
RHD,D,20080215,000000,19.85,19.85,19.7,19.7,75,0
RHD,D,20080218,000000,19.21,20.1,19.21,20.1,260,0
RHD,D,20080219,000000,19.99,20,19.47,20,461,0
RHD,D,20080220,000000,19.5,19.5,19.11,19.5,2691,0
RHD,D,20080221,000000,20,20.5,20,20.5,141,0
RHD,D,20080222,000000,19.55,20,19.55,20,227,0
RHD,D,20080225,000000,20.83,20.83,20.83,20.83,1,0
RHD,D,20080226,000000,20.5,20.5,19.5,19.5,810,0
RHD,D,20080227,000000,19.5,19.5,19.49,19.49,701,0
RHD,D,20080228,000000,20,20,19.06,19.06,26,0
RHD,D,20080229,000000,19.1,19.1,18.7,18.7,140,0
RHD,D,20080303,000000,18.7,18.7,16.26,17,462,0
RHD,D,20080304,000000,17.63,17.9,17.63,17.9,111,0
RHD,D,20080305,000000,18.49,18.49,18.4,18.4,15,0
RHD,D,20080306,000000,18.9,18.9,18,18.5,63,0
RHD,D,20080307,000000,18,18.5,18,18.5,609,0
RHD,D,20080310,000000,20.2,20.2,18.03,18.03,258,0
RHD,D,20080311,000000,19.8,19.8,19.79,19.79,106,0
RHD,D,20080312,000000,20,20,19.3,19.3,66,0
RHD,D,20080313,000000,18.4,18.4,18.4,18.4,50,0
RHD,D,20080314,000000,18.1,19.5,17.1,19.48,302,0
RHD,D,20080317,000000,18.2,19.95,18.05,19.95,206,0
RHD,D,20080318,000000,19.98,19.98,18.6,18.6,31,0
RHD,D,20080319,000000,18.6,19,18.15,19,382,0
RHD,D,20080320,000000,19,19,18.8,19,221,0
RHD,D,20080325,000000,20,20,19.05,19.8,91,0
RHD,D,20080326,000000,19.8,19.9,19.1,19.9,254,0
RHD,D,20080327,000000,18.02,19.8,18.01,19.8,407,0
RHD,D,20080328,000000,18.3,19.7,18.1,18.52,202,0
RHD,D,20080331,000000,18.7,18.95,18.54,18.54,186,0
RHD,D,20080401,000000,18.73,18.86,18.73,18.86,178,0
RHD,D,20080402,000000,18.86,19.2,18.11,19.14,283,0
RHD,D,20080403,000000,19.05,19.05,19.05,19.05,2,0
RHD,D,20080404,000000,18.9,19.15,18.1,19.15,142,0
RHD,D,20080407,000000,18.1,18.92,18.1,18.92,72,0
RHD,D,20080408,000000,17.53,18,17.53,18,225,0
RHD,D,20080409,000000,18.75,18.76,18.75,18.76,89,0
RHD,D,20080414,000000,17.1,17.4,17,17.4,505,0
RHD,D,20080415,000000,17.3,17.3,17,17,120,0
RHD,D,20080416,000000,16.3,16.3,16,16,230,0
RHD,D,20080418,000000,17.3,17.3,15.1,15.15,818,0
RHD,D,20080421,000000,16,16,16,16,100,0
RHD,D,20080423,000000,13.7,15.5,13.7,15.5,646,0
RHD,D,20080424,000000,15.9,15.9,15.9,15.9,1,0
RHD,D,20080425,000000,13.6,15.8,13.6,15.8,2,0
RHD,D,20080430,000000,15.6,15.6,15.6,15.6,4,0
RHD,D,20080505,000000,14,15.79,14,15.79,286,0
RHD,D,20080506,000000,14.23,15.5,13.42,15.18,887,0
RHD,D,20080507,000000,15,15,14,14.9,283,0
RHD,D,20080508,000000,13.47,13.47,13.47,13.47,5,0
RHD,D,20080509,000000,12.7,14.77,12.7,14.15,239,0
RHD,D,20080512,000000,13.49,13.79,13.35,13.79,733,0
RHD,D,20080513,000000,13.35,13.95,13.35,13.95,194,0
RHD,D,20080514,000000,14.69,14.69,14.69,14.69,3,0
RHD,D,20080515,000000,14.5,14.69,14.16,14.5,432,0
RHD,D,20080516,000000,14.85,15.79,14.2,15.7,880,0
RHD,D,20080519,000000,15.7,17.8,15.7,17.8,2250,0
RHD,D,20080520,000000,18.4,18.4,18.29,18.29,26,0
RHD,D,20080523,000000,17.97,17.97,17.97,17.97,36,0
RHD,D,20080527,000000,14.41,17.75,14.41,17.75,70,0
RHD,D,20080528,000000,16,17.74,16,17.74,235,0
RHD,D,20080605,000000,17.3,17.3,17.3,17.3,9,0
RHD,D,20080617,000000,13.31,16.87,13.31,16.86,9,0
RHD,D,20080618,000000,13.5,16.87,13.5,16.87,31,0
RHD,D,20080626,000000,16.5,16.5,16.5,16.5,4,0
RHD,D,20080630,000000,16.5,16.5,16.5,16.5,23,0
RHD,D,20080704,000000,12.81,14.09,12.81,14.09,1,0
RHD,D,20080707,000000,16.4,16.4,15.9,15.9,43,0
RHD,D,20080709,000000,15.9,15.9,15.9,15.9,10,0
RHD,D,20080718,000000,14.32,15,12.21,15,102,0
RHD,D,20080722,000000,14,14,14,14,31,0
RHD,D,20080723,000000,14.8,14.8,14.8,14.8,5,0
RHD,D,20080728,000000,13.01,13.3,12.71,12.71,144,0
RHD,D,20080730,000000,12.72,12.72,12.71,12.71,119,0
RHD,D,20080731,000000,12.76,12.76,12.71,12.71,70,0
RHD,D,20080804,000000,10.4,10.4,10.4,10.4,30,0
RHD,D,20080806,000000,11.4,11.5,11.4,11.5,84,0
RHD,D,20080812,000000,12.45,12.45,12.45,12.45,32,0
RHD,D,20080813,000000,13.5,13.5,13.5,13.5,10,0
RHD,D,20080818,000000,12,13.6,12,13.6,33,0
RHD,D,20080819,000000,11.11,12.5,11.11,12,289,0
RHD,D,20080822,000000,11.06,13.6,11.06,13.6,4,0
RHD,D,20080829,000000,13.5,13.5,13.5,13.5,27,0
RHD,D,20080902,000000,11.16,13.39,11.16,13.39,31,0
RHD,D,20080903,000000,11.5,11.5,11.5,11.5,20,0
RHD,D,20080905,000000,12.5,12.5,12.5,12.5,198,0
RHD,D,20080908,000000,12.5,12.5,12.5,12.5,75,0
RHD,D,20080909,000000,12.99,13.48,12.99,13.48,172,0
RHD,D,20080912,000000,13.4,13.4,12.7,13.4,3,0
RHD,D,20080916,000000,12.7,12.7,12.25,12.25,16,0
RHD,D,20080918,000000,12.25,12.3,12.25,12.25,265,0
RHD,D,20080919,000000,12.3,13.39,12.3,13.39,106,0
RHD,D,20080924,000000,12.67,13.7,12.67,13.7,7102,0
RHD,D,20080925,000000,13.4,13.4,13.4,13.4,10,0
RHD,D,20080926,000000,12.67,13.8,12.67,13.8,152,0
RHD,D,20080929,000000,13.7,13.7,13.7,13.7,5,0
RHD,D,20081001,000000,13.4,13.4,13.1,13.4,206,0
RHD,D,20081002,000000,13.4,13.4,12.7,13.4,92,0
RHD,D,20081003,000000,13.8,13.8,13.4,13.4,2,0
RHD,D,20081006,000000,13.8,13.8,12.3,12.99,208,0
RHD,D,20081007,000000,12.9,12.9,11.4,12,359,0
RHD,D,20081008,000000,12,12,10.5,10.5,737,0
RHD,D,20081009,000000,10,10.8,10,10.8,518,0
RHD,D,20081010,000000,10.8,10.8,9,10.79,581,0
RHD,D,20081013,000000,10.79,10.81,10.4,10.81,846,0
RHD,D,20081014,000000,11,11,11,11,120,0
RHD,D,20081015,000000,12.1,12.1,10.9,11.45,398,0
RHD,D,20081016,000000,12.1,12.1,11,11.34,64,0
RHD,D,20081017,000000,11.34,11.34,10.6,11.33,577,0
RHD,D,20081020,000000,11.34,11.34,11.34,11.34,2,0
RHD,D,20081021,000000,11.34,11.34,11.34,11.34,2,0
RHD,D,20081022,000000,11.34,11.34,11.33,11.33,2,0
RHD,D,20081023,000000,11.33,11.33,10,10.15,108,0
RHD,D,20081024,000000,10,10,8,8,2880,0
RHD,D,20081028,000000,8.5,8.5,7.9,7.9,1848,0
RHD,D,20081029,000000,7.7,7.7,7.12,7.5,1723,0
RHD,D,20081030,000000,7.01,7.5,6.1,6.39,3310,0
RHD,D,20081031,000000,6.39,6.39,5.8,6,1612,0
RHD,D,20081103,000000,6,6.29,5.8,6.29,296,0
RHD,D,20081104,000000,6.29,6.38,6.29,6.38,1461,0
RHD,D,20081105,000000,6.4,6.4,6.4,6.4,2,0
RHD,D,20081106,000000,6.3,6.3,5.55,6,101,0
RHD,D,20081107,000000,6.3,6.3,5.55,5.85,388,0
RHD,D,20081110,000000,6.35,6.35,6.35,6.35,1,0
RHD,D,20081112,000000,6.35,6.35,4.8,4.8,371,0
RHD,D,20081113,000000,5.15,5.15,4.8,5,964,0
RHD,D,20081114,000000,5.15,5.15,4.8,5,1086,0
RHD,D,20081117,000000,4.8,5,4.8,5,40,0
RHD,D,20081118,000000,4.85,4.85,4.35,4.5,816,0
RHD,D,20081119,000000,4.5,4.85,4.5,4.85,25,0
RHD,D,20081120,000000,4,4,4,4,100,0
RHD,D,20081121,000000,4.4,4.5,4.4,4.5,166,0
RHD,D,20081124,000000,4.5,4.5,4,4,415,0
RHD,D,20081125,000000,4.4,4.4,4.4,4.4,1,0
RHD,D,20081126,000000,4.25,4.5,4.25,4.4,163,0
RHD,D,20081127,000000,4.5,4.5,3.94,4,1207,0
RHD,D,20081128,000000,4,4,4,4,810,0
RHD,D,20081201,000000,4,4,4,4,1,0
RHD,D,20081202,000000,4,4,3.55,4,594,0
RHD,D,20081203,000000,4,4.4,4,4.4,1,0
RHD,D,20081204,000000,4,4.01,4,4,3302,0
RHD,D,20081205,000000,4,4,3.71,4,509,0
RHD,D,20081208,000000,4,4,4,4,752,0
RHD,D,20081209,000000,3.8,4.34,3.8,4.34,263,0
RHD,D,20081210,000000,4.1,4.45,4.1,4.45,674,0
RHD,D,20081211,000000,3.5,4,3.5,4,7492,0
RHD,D,20081212,000000,3.52,3.6,3.4,3.5,5943,0
RHD,D,20081215,000000,3.85,3.85,3.6,3.6,805,0
RHD,D,20081216,000000,3.85,3.91,3.8,3.9,700,0
RHD,D,20081217,000000,3.99,3.99,3.99,3.99,1,0
