<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RLP,D,19960201,000000,3.2139,3.2139,3.2139,3.2139,603373,0
RLP,D,19960202,000000,3.343,3.343,3.343,3.343,708221,0
RLP,D,19960205,000000,3.3566,3.3566,3.3566,3.3566,466033,0
RLP,D,19960206,000000,3.3634,3.3634,3.3634,3.3634,335275,0
RLP,D,19960207,000000,3.3634,3.3634,3.3634,3.3634,256890,0
RLP,D,19960208,000000,3.5129,3.5129,3.5129,3.5129,252645,0
RLP,D,19960209,000000,3.771,3.771,3.771,3.771,184511,0
RLP,D,19960212,000000,4.1449,4.1449,4.1449,4.1449,380872,0
RLP,D,19960213,000000,3.8459,3.8459,3.8459,3.8459,194187,0
RLP,D,19960214,000000,3.9613,3.9613,3.9613,3.9613,456573,0
RLP,D,19960215,000000,3.9953,3.9953,3.9953,3.9953,310538,0
RLP,D,19960216,000000,4.0701,4.0701,4.0701,4.0701,236433,0
RLP,D,19960219,000000,4.0701,4.0701,4.0701,4.0701,87692,0
RLP,D,19960220,000000,3.9206,3.9206,3.9206,3.9206,88740,0
RLP,D,19960221,000000,3.8119,3.8119,3.8119,3.8119,74679,0
RLP,D,19960222,000000,3.9613,3.9613,3.9613,3.9613,77300,0
RLP,D,19960223,000000,3.9613,3.9613,3.9613,3.9613,100411,0
RLP,D,19960226,000000,4.0361,4.0361,4.0361,4.0361,151978,0
RLP,D,19960227,000000,4.0701,4.0701,4.0701,4.0701,104156,0
RLP,D,19960228,000000,3.9613,3.9613,3.9613,3.9613,50518,0
RLP,D,19960229,000000,4.1108,4.1108,4.1108,4.1108,348812,0
RLP,D,19960301,000000,4.1449,4.1449,4.1449,4.1449,123383,0
RLP,D,19960304,000000,4.2942,4.2942,4.2942,4.2942,139233,0
RLP,D,19960305,000000,4.5593,4.5593,4.5593,4.5593,263141,0
RLP,D,19960306,000000,4.4436,4.4436,4.4436,4.4436,110601,0
RLP,D,19960307,000000,4.4846,4.4846,4.4846,4.4846,189534,0
RLP,D,19960308,000000,4.3351,4.3351,4.3351,4.3351,87244,0
RLP,D,19960311,000000,4.1855,4.1855,4.1855,4.1855,135668,0
RLP,D,19960312,000000,4.1108,4.1108,4.1108,4.1108,47465,0
RLP,D,19960313,000000,4.1108,4.1108,4.1108,4.1108,146046,0
RLP,D,19960314,000000,4.0701,4.0701,4.0701,4.0701,39922,0
RLP,D,19960315,000000,4.1108,4.1108,4.1108,4.1108,35909,0
RLP,D,19960318,000000,4.2603,4.2603,4.2603,4.2603,108042,0
RLP,D,19960319,000000,4.3351,4.3351,4.3351,4.3351,295325,0
RLP,D,19960320,000000,4.1855,4.1855,4.1855,4.1855,583434,0
RLP,D,19960321,000000,4.2603,4.2603,4.2603,4.2603,188488,0
RLP,D,19960322,000000,4.2603,4.2603,4.2603,4.2603,120954,0
RLP,D,19960325,000000,4.2942,4.2942,4.2942,4.2942,144117,0
RLP,D,19960326,000000,4.2603,4.2603,4.2603,4.2603,130120,0
RLP,D,19960327,000000,4.2603,4.2603,4.2603,4.2603,82909,0
RLP,D,19960328,000000,4.1855,4.1855,4.1855,4.1855,148694,0
RLP,D,19960329,000000,4.1855,4.1855,4.1855,4.1855,124902,0
RLP,D,19960401,000000,4.2603,4.2603,4.2603,4.2603,77029,0
RLP,D,19960402,000000,4.2603,4.2603,4.2603,4.2603,19738,0
RLP,D,19960403,000000,4.2195,4.2195,4.2195,4.2195,98813,0
RLP,D,19960404,000000,4.2942,4.2942,4.2942,4.2942,32006,0
RLP,D,19960405,000000,4.4846,4.4846,4.4846,4.4846,108439,0
RLP,D,19960409,000000,4.4436,4.4436,4.4436,4.4436,49728,0
RLP,D,19960410,000000,4.4846,4.4846,4.4846,4.4846,90261,0
RLP,D,19960411,000000,4.634,4.634,4.634,4.634,40382,0
RLP,D,19960412,000000,4.5185,4.5185,4.5185,4.5185,29759,0
RLP,D,19960415,000000,4.5593,4.5593,4.5593,4.5593,61894,0
RLP,D,19960416,000000,4.7428,4.7428,4.7428,4.7428,268801,0
RLP,D,19960417,000000,4.7835,4.7835,4.7835,4.7835,101767,0
RLP,D,19960418,000000,5.0078,5.0078,5.0078,5.0078,187823,0
RLP,D,19960419,000000,5.0078,5.0078,5.0078,5.0078,84023,0
RLP,D,19960422,000000,5.2319,5.2319,5.2319,5.2319,109679,0
RLP,D,19960423,000000,5.4155,5.4155,5.4155,5.4155,191120,0
RLP,D,19960424,000000,5.3815,5.3815,5.3815,5.3815,99747,0
RLP,D,19960425,000000,5.4563,5.4563,5.4563,5.4563,85738,0
RLP,D,19960426,000000,5.4155,5.4155,5.4155,5.4155,115777,0
RLP,D,19960429,000000,5.4563,5.4563,5.4563,5.4563,118104,0
RLP,D,19960430,000000,5.5242,5.5242,5.5242,5.5242,51834,0
RLP,D,19960506,000000,5.7893,5.7893,5.7893,5.7893,167906,0
RLP,D,19960507,000000,5.9727,5.9727,5.9727,5.9727,136395,0
RLP,D,19960508,000000,6.1968,6.1968,6.1968,6.1968,104592,0
RLP,D,19960509,000000,6.1221,6.1221,6.1221,6.1221,81797,0
RLP,D,19960510,000000,5.9387,5.9387,5.9387,5.9387,13308,0
RLP,D,19960513,000000,5.9387,5.9387,5.9387,5.9387,25004,0
RLP,D,19960514,000000,5.6736,5.6736,5.6736,5.6736,45459,0
RLP,D,19960515,000000,5.6397,5.6397,5.6397,5.6397,107979,0
RLP,D,19960516,000000,5.6397,5.6397,5.6397,5.6397,91681,0
RLP,D,19960517,000000,5.5989,5.5989,5.5989,5.5989,289884,0
RLP,D,19960520,000000,5.6397,5.6397,5.6397,5.6397,213490,0
RLP,D,19960521,000000,5.6736,5.6736,5.6736,5.6736,116876,0
RLP,D,19960522,000000,5.5989,5.5989,5.5989,5.5989,174937,0
RLP,D,19960523,000000,5.4155,5.4155,5.4155,5.4155,125938,0
RLP,D,19960524,000000,5.4155,5.4155,5.4155,5.4155,329612,0
RLP,D,19960527,000000,5.266,5.266,5.266,5.266,12808,0
RLP,D,19960528,000000,5.1166,5.1166,5.1166,5.1166,21589,0
RLP,D,19960529,000000,5.0418,5.0418,5.0418,5.0418,29452,0
RLP,D,19960530,000000,4.9331,4.9331,4.9331,4.9331,17639,0
RLP,D,19960531,000000,4.9331,4.9331,4.9331,4.9331,42914,0
RLP,D,19960603,000000,4.9671,4.9671,4.9671,4.9671,12475,0
RLP,D,19960604,000000,5.1166,5.1166,5.1166,5.1166,17499,0
RLP,D,19960605,000000,5.0418,5.0418,5.0418,5.0418,45917,0
RLP,D,19960607,000000,5.0825,5.0825,5.0825,5.0825,74423,0
RLP,D,19960610,000000,5.1573,5.1573,5.1573,5.1573,25426,0
RLP,D,19960611,000000,5.1573,5.1573,5.1573,5.1573,41418,0
RLP,D,19960612,000000,5.1166,5.1166,5.1166,5.1166,35471,0
RLP,D,19960613,000000,5.1573,5.1573,5.1573,5.1573,16105,0
RLP,D,19960614,000000,5.0418,5.0418,5.0418,5.0418,41752,0
RLP,D,19960617,000000,5.1166,5.1166,5.1166,5.1166,21988,0
RLP,D,19960618,000000,5.1166,5.1166,5.1166,5.1166,144834,0
RLP,D,19960619,000000,5.1166,5.1166,5.1166,5.1166,74256,0
RLP,D,19960620,000000,5.0825,5.0825,5.0825,5.0825,197997,0
RLP,D,19960621,000000,4.8923,4.8923,4.8923,4.8923,16961,0
RLP,D,19960624,000000,4.9331,4.9331,4.9331,4.9331,26665,0
RLP,D,19960625,000000,5.0418,5.0418,5.0418,5.0418,41059,0
RLP,D,19960626,000000,5.0418,5.0418,5.0418,5.0418,8616,0
RLP,D,19960627,000000,5.0825,5.0825,5.0825,5.0825,33273,0
RLP,D,19960628,000000,5.0418,5.0418,5.0418,5.0418,45519,0
RLP,D,19960701,000000,4.7088,4.7088,4.7088,4.7088,41649,0
RLP,D,19960702,000000,4.7835,4.7835,4.7835,4.7835,16105,0
RLP,D,19960703,000000,4.8583,4.8583,4.8583,4.8583,16898,0
RLP,D,19960704,000000,4.8923,4.8923,4.8923,4.8923,107812,0
RLP,D,19960705,000000,5.0078,5.0078,5.0078,5.0078,109896,0
RLP,D,19960708,000000,4.9671,4.9671,4.9671,4.9671,7747,0
RLP,D,19960709,000000,4.9671,4.9671,4.9671,4.9671,30400,0
