<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNK,D,20100708,000000,10.45,10.45,8.967,9.557,14076,0
RNK,D,20100709,000000,9.619,9.619,9.36,9.61,1355,0
RNK,D,20100712,000000,9.619,9.619,9.557,9.557,661,0
RNK,D,20100713,000000,9.557,9.557,9.503,9.521,1553,0
RNK,D,20100714,000000,9.0206,9.503,9.0206,9.494,1061,0
RNK,D,20100715,000000,9.4047,9.4047,9.4047,9.4047,280,0
RNK,D,20100716,000000,9.36,9.36,9.2886,9.36,1421,0
RNK,D,20100719,000000,9.1189,9.1993,9.0206,9.0206,1304,0
RNK,D,20100720,000000,9.0206,9.0206,8.976,8.976,1503,0
RNK,D,20100721,000000,9.0117,9.0206,8.9313,8.976,27356,0
RNK,D,20100722,000000,8.8867,8.976,8.8867,8.967,739,0
RNK,D,20100723,000000,8.9313,8.967,8.8867,8.967,4182,0
RNK,D,20100726,000000,8.976,8.976,8.8867,8.976,563,0
RNK,D,20100727,000000,8.976,8.976,8.842,8.967,2046,0
RNK,D,20100728,000000,8.7974,8.9224,8.7974,8.9224,441,0
RNK,D,20100729,000000,8.9492,8.9492,8.9403,8.9403,242,0
RNK,D,20100730,000000,8.9492,8.9492,8.9403,8.9403,678,0
RNK,D,20100802,000000,8.7527,8.9492,8.7527,8.9492,1120,0
RNK,D,20100803,000000,8.9403,8.9403,8.6366,8.7617,8232,0
RNK,D,20100804,000000,8.7527,8.7617,8.7527,8.7527,12540,0
RNK,D,20100805,000000,8.967,8.967,8.7437,8.7437,831,0
RNK,D,20100806,000000,8.7527,8.976,8.7527,8.976,11200,0
RNK,D,20100809,000000,8.976,8.976,8.842,8.9224,12437,0
RNK,D,20100810,000000,8.7527,8.7884,8.7527,8.7795,13494,0
RNK,D,20100811,000000,8.967,8.967,8.6634,8.6634,13638,0
RNK,D,20100812,000000,8.5384,8.5651,8.5384,8.5651,13752,0
RNK,D,20100813,000000,8.976,8.976,8.976,8.976,2,0
RNK,D,20100816,000000,8.976,9.0117,8.976,9.0028,6077,0
RNK,D,20100817,000000,9.0028,9.0028,8.8867,8.8867,113,0
RNK,D,20100818,000000,9.0117,9.0117,8.7527,8.7974,25174,0
RNK,D,20100819,000000,9.0028,9.0028,9.0028,9.0028,4,0
RNK,D,20100820,000000,9.0117,9.0117,9.0028,9.0028,1126,0
RNK,D,20100823,000000,9.0117,9.0117,8.9938,8.9938,4580,0
RNK,D,20100824,000000,9.0117,9.0117,8.9313,8.9938,1552,0
RNK,D,20100825,000000,9.0117,9.0117,8.7974,8.7974,5103,0
RNK,D,20100826,000000,9.0028,9.0028,9.0028,9.0028,1,0
RNK,D,20100827,000000,8.9849,9.0028,8.9849,9.0028,1606,0
RNK,D,20100830,000000,9.0117,9.0117,8.6812,8.6902,770,0
RNK,D,20100831,000000,8.9938,8.9938,8.976,8.976,2773,0
RNK,D,20100901,000000,9.0206,9.0206,8.8063,8.8063,58,0
RNK,D,20100902,000000,8.9938,8.9938,8.7795,8.7795,282,0
RNK,D,20100903,000000,8.7617,9.0206,8.6634,9.0206,9383,0
RNK,D,20100906,000000,8.833,8.833,8.833,8.833,190,0
RNK,D,20100907,000000,8.833,9.0028,8.833,9.0028,1210,0
RNK,D,20100908,000000,9.0028,9.0028,9.0028,9.0028,1,0
RNK,D,20100909,000000,9.0653,9.0653,8.851,8.8599,9936,0
RNK,D,20100910,000000,8.976,8.976,8.7527,8.7527,11005,0
RNK,D,20100913,000000,8.976,9.0653,8.7974,8.7974,8052,0
RNK,D,20100914,000000,9.0563,9.0563,8.7974,8.7974,15028,0
RNK,D,20100915,000000,8.9313,8.9313,8.9313,8.9313,2,0
RNK,D,20100916,000000,8.9313,8.9313,8.7527,8.7527,12587,0
RNK,D,20100917,000000,9.0563,9.0563,8.7527,8.7527,14291,0
RNK,D,20100920,000000,9.0563,9.0563,8.7527,8.9135,32520,0
RNK,D,20100921,000000,8.7705,8.851,8.7705,8.842,74545,0
RNK,D,20100922,000000,9.0117,9.0117,8.5741,8.976,582984,0
RNK,D,20100923,000000,9.0028,9.0028,8.9313,8.9313,564,0
RNK,D,20100924,000000,8.9938,8.9938,8.9313,8.9313,563,0
RNK,D,20100927,000000,9.0117,9.0117,8.7348,8.7348,1345,0
RNK,D,20100928,000000,8.9313,8.9313,8.6187,8.9313,3360,0
RNK,D,20100929,000000,8.9938,9.0653,8.9313,8.9313,2859,0
RNK,D,20100930,000000,8.9313,9.1546,8.9313,9.1546,4872,0
RNK,D,20101001,000000,9.1546,9.1546,9.1546,9.1546,1,0
RNK,D,20101004,000000,9.1546,9.1546,9.1546,9.1546,1,0
RNK,D,20101005,000000,9.1546,9.1546,9.1546,9.1546,176,0
RNK,D,20101006,000000,9.1546,9.1546,8.9313,8.9313,539,0
RNK,D,20101007,000000,8.9313,8.9313,8.7705,8.9313,5751,0
RNK,D,20101008,000000,8.9313,8.9313,8.8242,8.8242,113,0
RNK,D,20101011,000000,8.8242,8.9313,8.7617,8.9313,6369,0
RNK,D,20101012,000000,9.0206,9.0206,8.842,8.9313,113811,0
RNK,D,20101013,000000,9.0563,9.0563,8.8599,8.9313,362,0
RNK,D,20101014,000000,8.9313,8.9313,8.8867,8.9313,769,0
RNK,D,20101015,000000,9.0563,9.0563,8.9313,8.9313,1983,0
RNK,D,20101018,000000,8.9313,9.0563,8.9313,9.0563,506,0
RNK,D,20101019,000000,9.1546,9.1546,8.976,9.0206,3973,0
RNK,D,20101020,000000,9.1278,9.1278,8.9313,8.9849,1658,0
RNK,D,20101021,000000,9.1099,9.1099,9.1099,9.1099,818,0
RNK,D,20101022,000000,9.0206,9.0206,9.0206,9.0206,560,0
RNK,D,20101025,000000,9.101,9.1546,9.101,9.1546,848,0
RNK,D,20101026,000000,9.1814,9.2707,9.1814,9.2707,2873,0
RNK,D,20101027,000000,9.3779,9.825,9.2439,9.601,565957,0
RNK,D,20101028,000000,9.735,9.735,9.592,9.726,1681,0
RNK,D,20101029,000000,9.728,9.728,9.718,9.728,17135,0
RNK,D,20101102,000000,9.735,9.735,9.557,9.628,1527,0
RNK,D,20101103,000000,9.592,9.61,9.557,9.557,24997,0
RNK,D,20101104,000000,9.548,9.548,9.548,9.548,560,0
RNK,D,20101105,000000,9.548,9.548,9.3154,9.3332,1677,0
RNK,D,20101108,000000,9.548,9.548,9.2439,9.2886,1927,0
RNK,D,20101109,000000,9.548,9.548,9.548,9.548,169,0
RNK,D,20101110,000000,9.539,9.539,9.53,9.53,12,0
RNK,D,20101112,000000,9.3779,9.4225,9.3779,9.3779,1043,0
RNK,D,20101115,000000,9.637,9.637,9.628,9.628,224,0
RNK,D,20101116,000000,9.619,9.646,9.512,9.646,1575,0
RNK,D,20101117,000000,9.628,9.628,9.619,9.619,1595,0
RNK,D,20101118,000000,9.601,9.601,9.485,9.485,1599,0
RNK,D,20101119,000000,9.512,9.557,9.3779,9.3779,1322,0
RNK,D,20101122,000000,9.3869,9.3869,9.2796,9.2796,4006,0
RNK,D,20101123,000000,9.3689,9.3689,9.2796,9.2796,1693,0
RNK,D,20101124,000000,9.3779,9.3779,9.3332,9.3332,1400,0
RNK,D,20101125,000000,9.2796,9.3779,9.2796,9.3779,188,0
RNK,D,20101126,000000,9.3779,9.601,9.3689,9.601,33816,0
RNK,D,20101129,000000,9.3779,9.601,9.3779,9.601,1154,0
RNK,D,20101130,000000,9.583,9.825,9.583,9.78,15212,0
RNK,D,20101201,000000,9.735,9.735,9.4404,9.735,1565,0
RNK,D,20101202,000000,9.816,9.816,9.78,9.789,4535,0
RNK,D,20101203,000000,9.691,9.691,9.4404,9.646,1253,0
RNK,D,20101206,000000,9.637,9.637,9.637,9.637,1,0
RNK,D,20101207,000000,9.646,9.646,9.646,9.646,728,0
RNK,D,20101208,000000,9.646,9.646,9.583,9.583,236,0
RNK,D,20101209,000000,9.557,9.646,9.557,9.646,12299,0
RNK,D,20101210,000000,9.601,9.601,9.592,9.601,2796,0
RNK,D,20101213,000000,9.646,9.646,9.4225,9.4225,22697,0
RNK,D,20101214,000000,9.4225,9.4225,9.3779,9.4225,762,0
RNK,D,20101215,000000,9.4225,9.4225,9.3779,9.4225,3286,0
RNK,D,20101216,000000,9.539,9.539,9.539,9.539,1,0
RNK,D,20101217,000000,9.539,9.539,9.2796,9.4672,646,0
RNK,D,20101220,000000,9.4404,9.4404,9.2796,9.2796,384,0
RNK,D,20101221,000000,9.512,9.512,9.2796,9.4762,2115,0
RNK,D,20101222,000000,9.503,9.503,9.4582,9.4582,1122,0
RNK,D,20101223,000000,9.4582,9.4582,9.1993,9.4582,3367,0
RNK,D,20101227,000000,9.3779,9.3779,9.3779,9.3779,1541,0
RNK,D,20101228,000000,9.4582,9.4582,9.4582,9.4582,1,0
RNK,D,20101229,000000,9.4621,9.4621,9.4621,9.4621,2,0
RNK,D,20101230,000000,9.4895,9.4895,9.1692,9.4895,286,0
RNK,D,20101231,000000,9.4895,9.663,9.3065,9.3065,18936,0
RNK,D,20110103,000000,9.735,9.735,9.735,9.735,2,0
RNK,D,20110104,000000,9.735,9.735,9.735,9.735,5,0
RNK,D,20110105,000000,9.646,9.646,9.2171,9.646,2468,0
RNK,D,20110107,000000,9.735,9.735,9.735,9.735,3,0
RNK,D,20110110,000000,9.691,9.691,9.3779,9.637,2131,0
RNK,D,20110111,000000,9.637,9.637,9.3779,9.3779,112416,0
RNK,D,20110112,000000,9.637,9.637,9.637,9.637,1,0
RNK,D,20110113,000000,9.637,9.637,9.2349,9.3689,2089,0
RNK,D,20110114,000000,9.637,9.637,9.2707,9.2707,8,0
RNK,D,20110117,000000,9.557,9.557,9.2618,9.2618,1022,0
RNK,D,20110118,000000,9.637,9.637,9.619,9.619,12,0
RNK,D,20110119,000000,9.628,9.637,9.2796,9.637,1129,0
RNK,D,20110120,000000,9.2886,9.4582,9.1993,9.4225,13570,0
RNK,D,20110121,000000,9.628,9.628,9.1993,9.4225,671,0
RNK,D,20110124,000000,9.557,9.557,9.2439,9.4404,874,0
RNK,D,20110125,000000,9.4225,9.4225,9.4225,9.4225,1,0
RNK,D,20110126,000000,9.1993,9.4136,9.1993,9.4136,1105,0
RNK,D,20110127,000000,9.4136,9.4136,9.3779,9.4136,561,0
RNK,D,20110128,000000,9.3332,9.4225,9.2886,9.4225,2296,0
RNK,D,20110131,000000,9.4163,9.4163,9.2882,9.3065,2577,0
RNK,D,20110201,000000,9.4136,9.4136,9.2529,9.2529,169,0
RNK,D,20110202,000000,9.3422,9.3422,9.2529,9.2618,3626,0
RNK,D,20110203,000000,9.3422,9.3422,9.2529,9.2618,14779,0
RNK,D,20110204,000000,9.4225,9.4225,9.1099,9.1099,9735,0
RNK,D,20110207,000000,9.1099,9.1099,9.1099,9.1099,2018,0
RNK,D,20110208,000000,9.1099,9.1099,9.101,9.1099,898,0
RNK,D,20110209,000000,9.1099,9.1099,9.0653,9.0653,113,0
RNK,D,20110210,000000,9.1099,9.1099,9.1099,9.1099,113,0
RNK,D,20110211,000000,9.101,9.101,9.101,9.101,2,0
RNK,D,20110214,000000,8.9313,8.9313,8.9313,8.9313,504,0
RNK,D,20110215,000000,9.101,9.101,9.0653,9.0653,337,0
RNK,D,20110216,000000,9.101,9.101,9.0653,9.0653,113,0
RNK,D,20110217,000000,9.101,9.101,8.9313,8.9313,528,0
RNK,D,20110218,000000,9.0653,9.0653,9.0653,9.0653,2,0
RNK,D,20110221,000000,9.101,9.101,9.101,9.101,1,0
RNK,D,20110222,000000,9.0921,9.0921,9.0921,9.0921,1,0
RNK,D,20110223,000000,9.0921,9.0921,9.0921,9.0921,4603,0
RNK,D,20110224,000000,9.1099,9.1099,9.1099,9.1099,1,0
RNK,D,20110225,000000,9.1099,9.1099,9.0206,9.0206,113,0
RNK,D,20110228,000000,9.1143,9.1143,9.1143,9.1143,152,0
RNK,D,20110301,000000,9.1099,9.1099,9.1099,9.1099,1,0
RNK,D,20110302,000000,9.1099,9.1099,9.1099,9.1099,4588,0
RNK,D,20110303,000000,9.101,9.1099,8.8242,9.1099,5270,0
RNK,D,20110304,000000,8.8867,9.1099,8.8867,9.1099,66735,0
RNK,D,20110307,000000,9.1099,9.726,9.1099,9.4672,16686,0
RNK,D,20110308,000000,9.646,9.664,9.619,9.646,4592,0
RNK,D,20110309,000000,9.646,9.646,9.646,9.646,2,0
RNK,D,20110310,000000,9.691,9.691,9.1099,9.557,1292,0
RNK,D,20110311,000000,9.512,9.691,9.512,9.557,1138,0
RNK,D,20110314,000000,9.601,9.601,9.1814,9.557,432,0
RNK,D,20110315,000000,9.521,9.664,9.0921,9.664,8114,0
RNK,D,20110316,000000,9.619,9.619,9.1189,9.4672,1161,0
RNK,D,20110317,000000,9.682,9.682,9.682,9.682,1,0
RNK,D,20110318,000000,9.646,9.646,9.646,9.646,1,0
RNK,D,20110321,000000,9.682,9.691,9.682,9.691,5610,0
RNK,D,20110322,000000,9.691,9.691,9.691,9.691,1122,0
RNK,D,20110323,000000,9.691,9.691,9.682,9.682,125,0
RNK,D,20110324,000000,9.646,9.691,9.4225,9.682,1444027,0
RNK,D,20110325,000000,9.682,9.825,9.557,9.825,109682,0
RNK,D,20110328,000000,10.03,10.7,10.003,10.003,75734,0
RNK,D,20110329,000000,10.057,10.905,10.003,10.003,53426,0
RNK,D,20110330,000000,10.012,10.36,10.012,10.351,1578,0
RNK,D,20110331,000000,10.441,10.698,10.267,10.643,18128,0
RNK,D,20110401,000000,10.628,11.405,10.628,10.986,38046,0
RNK,D,20110404,000000,11.03,11.602,11.03,11.12,151789,0
RNK,D,20110405,000000,11.37,11.423,11.298,11.343,28554,0
RNK,D,20110406,000000,11.343,12.415,11.343,12.147,710754,0
RNK,D,20110407,000000,12.906,12.906,11.62,11.789,64944,0
RNK,D,20110408,000000,11.673,12.004,11.254,11.611,87564,0
RNK,D,20110411,000000,12.057,12.057,11.7,11.789,21979,0
RNK,D,20110412,000000,11.968,11.968,11.521,11.655,52129,0
RNK,D,20110413,000000,11.611,11.789,11.396,11.611,38317,0
RNK,D,20110414,000000,11.611,11.932,11.602,11.664,46134,0
RNK,D,20110415,000000,11.914,12.227,11.611,11.7,37321,0
RNK,D,20110418,000000,11.879,11.932,11.521,11.521,11683,0
RNK,D,20110419,000000,11.718,11.718,11.423,11.611,2819,0
RNK,D,20110420,000000,11.611,11.611,11.477,11.602,4372,0
RNK,D,20110421,000000,11.432,11.602,11.432,11.432,7622,0
