<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RON,D,20071105,000000,4.0755,4.0895,3.6928,4.04,1324669,0
RON,D,20071106,000000,4.0329,4.0755,3.9692,4.0755,1878668,0
RON,D,20071107,000000,4.0755,4.0755,3.9692,3.9692,740039,0
RON,D,20071108,000000,3.9692,3.9692,3.8982,3.9336,60014,0
RON,D,20071109,000000,3.9336,4.04,3.9336,3.9336,17150,0
RON,D,20071112,000000,3.9336,4.0329,3.9336,3.9336,431586,0
RON,D,20071113,000000,3.9692,4.0046,3.8982,4.0046,716563,0
RON,D,20071114,000000,4.0046,4.0046,3.9692,3.9692,8117,0
RON,D,20071115,000000,3.9692,3.9692,3.8982,3.8982,434570,0
RON,D,20071116,000000,3.8982,3.8982,3.7565,3.7565,5857,0
RON,D,20071119,000000,3.721,3.721,3.5439,3.6857,421220,0
RON,D,20071120,000000,3.6147,3.6147,3.5439,3.5794,442166,0
RON,D,20071121,000000,3.5794,3.5794,3.5084,3.5439,1698934,0
RON,D,20071122,000000,3.5439,3.6501,3.4729,3.6501,1123459,0
RON,D,20071123,000000,3.6857,3.6857,3.5439,3.5439,1067460,0
RON,D,20071126,000000,3.5439,3.5439,3.4375,3.4375,28540,0
RON,D,20071127,000000,3.5084,3.5084,3.4375,3.4375,396840,0
RON,D,20071128,000000,3.4375,3.4729,3.402,3.4375,365987,0
RON,D,20071129,000000,3.4729,3.5084,3.4729,3.5084,217737,0
RON,D,20071130,000000,3.4729,3.5155,3.4375,3.5084,318440,0
RON,D,20071203,000000,3.4729,3.4729,3.4729,3.4729,1552,0
RON,D,20071204,000000,3.4729,3.5012,3.4729,3.5012,573251,0
RON,D,20071205,000000,3.5084,3.721,3.5084,3.721,1743309,0
RON,D,20071206,000000,3.721,3.721,3.721,3.721,1802,0
RON,D,20071207,000000,3.7493,3.7493,3.6857,3.6857,569401,0
RON,D,20071210,000000,3.6147,3.6501,3.4446,3.4446,65195,0
RON,D,20071211,000000,3.4729,3.5084,3.4659,3.5084,195409,0
RON,D,20071212,000000,3.6147,3.6147,3.6077,3.6147,205087,0
RON,D,20071213,000000,3.6857,3.721,3.6147,3.6147,18145,0
RON,D,20071214,000000,3.6857,3.6857,3.5509,3.5509,1262,0
RON,D,20071217,000000,3.5084,3.5509,3.4729,3.5012,361514,0
RON,D,20071218,000000,3.5439,3.5439,3.4729,3.4729,25820,0
RON,D,20071219,000000,3.4446,3.4446,3.4092,3.4092,11102,0
RON,D,20071220,000000,3.4729,3.4729,3.4092,3.4092,164098,0
RON,D,20071221,000000,3.4659,3.4659,3.2603,3.2603,155249,0
RON,D,20071227,000000,3.3666,3.3666,3.1185,3.1895,7579,0
RON,D,20071228,000000,3.1895,3.5012,3.1185,3.4375,39262,0
RON,D,20080102,000000,3.4729,3.4729,3.3454,3.3454,705,0
RON,D,20080103,000000,3.4729,3.4729,3.4588,3.4729,1490,0
RON,D,20080104,000000,3.4729,3.4729,3.4162,3.4162,2107,0
RON,D,20080107,000000,3.4446,3.5084,3.2958,3.2958,3633,0
RON,D,20080108,000000,3.2745,3.3312,3.2745,3.3312,252,0
RON,D,20080109,000000,3.2745,3.3596,3.2603,3.2603,3911,0
RON,D,20080110,000000,3.3312,3.3312,3.0477,3.1895,4947,0
RON,D,20080111,000000,3.1895,3.1895,3.0477,3.0477,4145,0
RON,D,20080114,000000,2.8351,2.8351,2.6579,2.8351,83948,0
RON,D,20080115,000000,2.7288,2.7288,2.6224,2.7288,8923,0
RON,D,20080116,000000,2.7288,2.7288,2.4807,2.6224,5726,0
RON,D,20080117,000000,2.4807,2.6224,2.4807,2.6224,25528,0
RON,D,20080118,000000,2.4807,2.6224,2.4807,2.587,1799005,0
RON,D,20080122,000000,2.5727,2.6224,2.4807,2.4807,11392,0
RON,D,20080123,000000,2.3744,2.4807,2.3744,2.4807,65,0
RON,D,20080124,000000,2.4807,2.587,2.4736,2.587,23763,0
RON,D,20080125,000000,2.587,2.587,2.5516,2.5516,803,0
RON,D,20080128,000000,2.587,2.587,2.4807,2.4807,2734,0
RON,D,20080129,000000,2.5162,2.5516,2.5162,2.5516,2117,0
RON,D,20080130,000000,2.587,2.587,2.587,2.587,1481,0
RON,D,20080201,000000,2.4807,2.7075,2.4595,2.7075,12966,0
RON,D,20080204,000000,2.75,3.0192,2.6934,2.8067,372966,0
RON,D,20080205,000000,2.8351,3.0123,2.8279,2.9131,21977,0
RON,D,20080206,000000,2.8067,2.8351,2.7288,2.7713,19400,0
RON,D,20080207,000000,2.7854,2.8351,2.7428,2.8351,5994,0
RON,D,20080208,000000,2.7643,2.7996,2.7643,2.7996,5715,0
RON,D,20080211,000000,2.7145,2.7145,2.7145,2.7145,1330,0
RON,D,20080212,000000,2.75,2.75,2.7145,2.7145,1129,0
RON,D,20080213,000000,2.7643,2.7643,2.7288,2.7288,424742,0
RON,D,20080214,000000,2.6934,2.7571,2.6508,2.6934,4600,0
RON,D,20080215,000000,2.587,2.6934,2.587,2.6934,139,0
RON,D,20080218,000000,2.6863,2.6863,2.6863,2.6863,362,0
RON,D,20080219,000000,2.6579,2.6934,2.6224,2.6934,5265,0
RON,D,20080220,000000,2.6437,2.6437,2.6437,2.6437,197,0
RON,D,20080221,000000,2.6437,2.6437,2.6437,2.6437,5643,0
RON,D,20080227,000000,2.6934,2.6934,2.6934,2.6934,125,0
RON,D,20080228,000000,2.6296,2.6296,2.4879,2.4879,17284,0
RON,D,20080229,000000,2.5162,2.5162,2.509,2.509,6178,0
RON,D,20080303,000000,2.5303,2.5516,2.4807,2.509,66437,0
RON,D,20080304,000000,2.5516,2.5516,2.5516,2.5516,564,0
RON,D,20080305,000000,2.5516,2.5516,2.4807,2.5516,3965,0
RON,D,20080306,000000,2.5374,2.5374,2.5374,2.5374,140,0
RON,D,20080307,000000,2.5374,2.5374,2.4949,2.4949,5844,0
RON,D,20080310,000000,2.4879,2.4879,2.4453,2.4453,6772,0
RON,D,20080311,000000,2.424,2.424,2.4168,2.4168,8608,0
RON,D,20080312,000000,2.4168,2.4807,2.4168,2.4807,9326,0
RON,D,20080313,000000,2.509,2.5516,2.424,2.509,18371,0
RON,D,20080314,000000,2.509,2.509,2.509,2.509,988,0
RON,D,20080317,000000,2.4665,2.4949,2.4453,2.4949,3465,0
RON,D,20080318,000000,2.4807,2.5374,2.3815,2.3815,16675,0
RON,D,20080319,000000,2.3957,2.4098,2.3886,2.4098,79327,0
RON,D,20080320,000000,2.4168,2.4168,2.4168,2.4168,54,0
RON,D,20080325,000000,2.4098,2.4595,2.3744,2.4595,4430,0
RON,D,20080326,000000,2.4949,2.4949,2.3744,2.3744,7744,0
RON,D,20080327,000000,2.3389,2.3389,2.3034,2.3034,149697,0
RON,D,20080328,000000,2.3034,2.3034,2.2752,2.2752,5926,0
RON,D,20080331,000000,2.2824,2.2824,2.19,2.19,7088,0
RON,D,20080401,000000,2.2326,2.2326,2.2326,2.2326,3544,0
RON,D,20080402,000000,2.2326,2.3601,2.2326,2.3034,84895,0
RON,D,20080403,000000,2.3105,2.3531,2.3105,2.3531,15519,0
RON,D,20080404,000000,2.3531,2.3531,2.3531,2.3531,140,0
RON,D,20080407,000000,2.3601,2.3601,2.3389,2.3389,9906,0
RON,D,20080408,000000,2.2681,2.2681,2.2681,2.2681,7062,0
RON,D,20080409,000000,2.261,2.261,2.1971,2.2539,2568,0
RON,D,20080410,000000,2.2539,2.2539,2.2539,2.2539,15,0
RON,D,20080411,000000,2.19,2.2042,2.1618,2.2042,6313,0
RON,D,20080414,000000,2.1689,2.1689,1.9845,1.9845,9251,0
RON,D,20080415,000000,1.9491,2.02,1.8215,1.9491,43149,0
RON,D,20080416,000000,1.9775,1.9775,1.8499,1.8499,4249,0
RON,D,20080417,000000,1.8499,1.9491,1.8073,1.9491,391926,0
RON,D,20080418,000000,2.0554,2.0554,1.9421,2.02,160804,0
RON,D,20080421,000000,2.027,2.027,2.02,2.02,2493,0
RON,D,20080422,000000,1.9491,2.02,1.9278,1.9491,168821,0
RON,D,20080423,000000,1.9561,1.9561,1.9491,1.9561,14249,0
RON,D,20080424,000000,1.9491,1.9491,1.8853,1.8924,11436,0
