<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RVU,D,20110714,000000,4.0057,4.056,3.8115,3.8834,164660,0
RVU,D,20110715,000000,3.9554,3.9913,3.8331,3.9482,11369,0
RVU,D,20110718,000000,3.8331,3.9194,3.8115,3.8115,27507,0
RVU,D,20110719,000000,3.9122,3.9122,3.8834,3.9122,487,0
RVU,D,20110720,000000,3.9841,3.9841,3.8834,3.8834,523,0
RVU,D,20110721,000000,3.9554,3.9554,3.7756,3.8763,29293,0
RVU,D,20110722,000000,3.8115,3.8115,3.4663,3.7037,50754,0
RVU,D,20110725,000000,3.8475,3.8475,3.6821,3.6821,6266,0
RVU,D,20110726,000000,3.8834,3.8834,3.8834,3.8834,81,0
RVU,D,20110727,000000,3.8834,3.8834,3.8834,3.8834,11,0
RVU,D,20110728,000000,3.8834,3.8834,3.8834,3.8834,32,0
RVU,D,20110729,000000,3.8834,3.8834,3.8834,3.8834,18,0
RVU,D,20110801,000000,4.5307,4.5307,3.9122,3.9122,28,0
RVU,D,20110802,000000,3.9554,3.9554,3.9554,3.9554,8,0
RVU,D,20110803,000000,3.9913,3.9913,3.7396,3.8834,6467,0
RVU,D,20110804,000000,3.8834,3.8834,3.6749,3.8763,7217,0
RVU,D,20110805,000000,3.6749,3.8834,3.6677,3.6677,14815,0
RVU,D,20110808,000000,3.5958,3.5958,3.5958,3.5958,1288,0
RVU,D,20110809,000000,3.9554,3.9554,3.5095,3.5095,3176,0
RVU,D,20110810,000000,3.8834,3.8834,3.2434,3.2434,5416,0
RVU,D,20110811,000000,3.4088,3.4088,3.3081,3.4088,1112,0
RVU,D,20110812,000000,3.8115,3.8115,3.5958,3.5958,578,0
RVU,D,20110816,000000,3.8115,3.8115,3.5814,3.5814,4678,0
RVU,D,20110817,000000,3.7396,3.7396,3.5958,3.5958,266,0
RVU,D,20110818,000000,3.7396,3.7396,3.7396,3.7396,17,0
RVU,D,20110819,000000,3.5958,3.7396,3.5958,3.7396,389,0
RVU,D,20110822,000000,3.7396,3.7396,3.7396,3.7396,31,0
RVU,D,20110823,000000,3.8043,3.8043,3.8043,3.8043,18,0
RVU,D,20110824,000000,3.79,3.79,3.5886,3.79,2193,0
RVU,D,20110825,000000,3.6677,3.6677,3.6677,3.6677,139,0
RVU,D,20110826,000000,3.7971,3.7971,3.7971,3.7971,21,0
RVU,D,20110829,000000,3.7684,3.7684,3.7684,3.7684,17,0
RVU,D,20110830,000000,3.7684,3.7971,3.7684,3.7971,3198,0
RVU,D,20110831,000000,3.79,3.79,3.79,3.79,21,0
RVU,D,20110901,000000,3.7971,3.7971,3.7971,3.7971,29,0
RVU,D,20110902,000000,3.7971,3.7971,3.5814,3.7971,14833,0
RVU,D,20110905,000000,3.7971,3.7971,3.7971,3.7971,11,0
RVU,D,20110906,000000,3.7971,3.7971,3.7971,3.7971,7,0
RVU,D,20110907,000000,3.5958,3.5958,3.5958,3.5958,21,0
RVU,D,20110908,000000,3.5958,3.5958,3.5958,3.5958,10,0
RVU,D,20110909,000000,3.5958,3.5958,3.5958,3.5958,10,0
RVU,D,20110912,000000,3.8115,3.8115,3.8115,3.8115,11,0
RVU,D,20110913,000000,3.7971,3.7971,3.7971,3.7971,7,0
RVU,D,20110914,000000,3.79,3.79,3.79,3.79,7,0
RVU,D,20110915,000000,3.79,3.79,3.79,3.79,10,0
RVU,D,20110916,000000,3.7684,3.7684,3.7684,3.7684,11,0
RVU,D,20110919,000000,3.7684,3.7684,3.7684,3.7684,15,0
RVU,D,20110920,000000,3.7684,3.7684,3.7684,3.7684,7,0
RVU,D,20110921,000000,3.7684,3.7684,3.7684,3.7684,17,0
RVU,D,20110922,000000,3.7971,3.7971,3.5598,3.5598,6965,0
RVU,D,20110923,000000,3.7971,3.7971,3.5239,3.5239,3633,0
RVU,D,20110927,000000,3.7971,3.7971,3.7971,3.7971,17,0
RVU,D,20110928,000000,3.7971,3.7971,3.7971,3.7971,7,0
RVU,D,20110929,000000,3.7971,3.7971,3.7971,3.7971,14,0
RVU,D,20110930,000000,3.7756,3.7756,3.7756,3.7756,11,0
RVU,D,20111003,000000,3.7971,3.7971,3.7971,3.7971,7,0
RVU,D,20111004,000000,3.7971,3.7971,3.7971,3.7971,15,0
RVU,D,20111005,000000,3.7971,3.941,3.7971,3.941,3296,0
RVU,D,20111006,000000,3.941,3.941,3.7684,3.9194,2997,0
RVU,D,20111007,000000,3.6677,3.941,3.6677,3.941,4173,0
RVU,D,20111010,000000,3.941,3.941,3.941,3.941,7,0
RVU,D,20111011,000000,3.941,3.941,3.941,3.941,13,0
RVU,D,20111012,000000,3.941,3.941,3.941,3.941,21,0
RVU,D,20111013,000000,3.9194,3.9194,3.9194,3.9194,22,0
RVU,D,20111014,000000,3.9194,3.9194,3.9194,3.9194,22,0
RVU,D,20111017,000000,3.9194,3.9194,3.9194,3.9194,11,0
RVU,D,20111018,000000,3.9194,3.9194,3.9194,3.9194,713,0
RVU,D,20111019,000000,3.8763,3.9122,3.8763,3.8834,649,0
RVU,D,20111020,000000,3.8834,3.8834,3.8834,3.8834,232,0
RVU,D,20111021,000000,3.8834,3.8834,3.8834,3.8834,107,0
RVU,D,20111024,000000,3.8834,3.8834,3.8834,3.8834,21,0
RVU,D,20111025,000000,3.8834,3.8834,3.8834,3.8834,21,0
RVU,D,20111026,000000,3.8834,3.8834,3.8834,3.8834,21,0
RVU,D,20111027,000000,3.8834,3.8834,3.8834,3.8834,25,0
RVU,D,20111028,000000,3.8834,3.8834,3.8834,3.8834,306,0
RVU,D,20111031,000000,3.8834,3.9122,3.8834,3.905,3298,0
RVU,D,20111102,000000,3.905,3.905,3.905,3.905,167,0
RVU,D,20111103,000000,3.905,3.905,3.905,3.905,26,0
RVU,D,20111104,000000,3.8115,3.905,3.8115,3.905,229,0
RVU,D,20111107,000000,3.905,3.905,3.905,3.905,28,0
RVU,D,20111108,000000,3.905,3.905,3.7396,3.7396,236,0
RVU,D,20111109,000000,3.905,3.905,3.905,3.905,32,0
RVU,D,20111110,000000,3.905,3.905,3.905,3.905,14,0
RVU,D,20111114,000000,3.905,3.905,3.905,3.905,167,0
RVU,D,20111115,000000,3.905,3.905,3.905,3.905,67,0
RVU,D,20111116,000000,3.905,3.905,3.7756,3.8115,716,0
RVU,D,20111117,000000,3.9122,3.9122,3.9122,3.9122,43,0
RVU,D,20111118,000000,3.9194,3.9194,3.9194,3.9194,21,0
RVU,D,20111121,000000,3.9194,3.9194,3.9194,3.9194,21,0
RVU,D,20111122,000000,3.9194,3.9194,3.9194,3.9194,21,0
RVU,D,20111123,000000,3.7756,3.9194,3.7756,3.9194,598,0
RVU,D,20111124,000000,3.7396,3.8834,3.7396,3.8834,1321,0
RVU,D,20111125,000000,3.8834,3.8834,3.8834,3.8834,35,0
RVU,D,20111128,000000,3.8834,3.8834,3.8834,3.8834,17,0
RVU,D,20111129,000000,3.8834,3.8834,3.8834,3.8834,74,0
RVU,D,20111130,000000,3.8834,3.8834,3.8834,3.8834,29,0
RVU,D,20111201,000000,3.8763,3.8763,3.8763,3.8763,26,0
RVU,D,20111202,000000,3.8691,3.8691,3.8691,3.8691,21,0
RVU,D,20111205,000000,3.8691,3.8691,3.8691,3.8691,11,0
RVU,D,20111206,000000,3.8691,3.8691,3.8691,3.8691,14,0
RVU,D,20111207,000000,3.8691,3.8691,3.8691,3.8691,13,0
RVU,D,20111208,000000,3.8691,3.8691,3.8691,3.8691,13,0
RVU,D,20111209,000000,3.8691,3.8691,3.8691,3.8691,11,0
RVU,D,20111212,000000,3.8691,3.8691,3.8691,3.8691,7,0
RVU,D,20111213,000000,3.8691,3.8691,3.6677,3.8691,616,0
RVU,D,20111214,000000,3.8691,3.8691,3.8691,3.8691,13,0
RVU,D,20111215,000000,3.8691,3.8691,3.8691,3.8691,13,0
RVU,D,20111216,000000,3.8691,3.8691,3.8691,3.8691,13,0
RVU,D,20111219,000000,3.8691,3.8691,3.8691,3.8691,13,0
RVU,D,20111220,000000,3.8691,3.8691,3.6317,3.8691,32,0
RVU,D,20111221,000000,3.8691,3.8691,3.6317,3.8691,616,0
RVU,D,20111222,000000,3.8691,3.8691,3.8691,3.8691,11,0
RVU,D,20111223,000000,3.8691,3.8691,3.8691,3.8691,7,0
RVU,D,20111227,000000,3.8691,3.8691,3.8619,3.8691,152,0
RVU,D,20111228,000000,3.8691,3.8691,3.8691,3.8691,7,0
RVU,D,20111229,000000,3.8691,3.8691,3.6102,3.8691,353,0
RVU,D,20111230,000000,3.8691,3.8691,3.4591,3.8691,6419,0
RVU,D,20120102,000000,3.9554,3.9554,3.9554,3.9554,11,0
RVU,D,20120103,000000,3.9554,3.9554,3.7324,3.9554,15435,0
RVU,D,20120104,000000,3.9554,3.9554,3.9554,3.9554,7,0
RVU,D,20120105,000000,3.9482,3.9482,3.9482,3.9482,254,0
RVU,D,20120109,000000,3.9554,3.9554,3.9554,3.9554,3,0
RVU,D,20120110,000000,3.9482,3.9482,3.9482,3.9482,4,0
RVU,D,20120111,000000,3.9194,3.9194,3.9122,3.9122,50,0
RVU,D,20120112,000000,3.9122,3.9122,3.9122,3.9122,3,0
RVU,D,20120113,000000,3.9122,3.9122,3.9122,3.9122,3,0
RVU,D,20120116,000000,3.9194,3.9194,3.9194,3.9194,4,0
RVU,D,20120117,000000,3.9122,3.9122,3.9122,3.9122,4,0
RVU,D,20120118,000000,3.8115,3.8115,3.8115,3.8115,1,0
RVU,D,20120119,000000,3.8043,3.8043,3.8043,3.8043,4,0
RVU,D,20120120,000000,3.7971,3.7971,3.7971,3.7971,1,0
RVU,D,20120123,000000,3.8043,3.8043,3.6389,3.7971,4085,0
RVU,D,20120124,000000,3.7971,3.7971,3.6389,3.6389,4041,0
RVU,D,20120125,000000,3.7971,3.7971,3.6749,3.6749,2898,0
RVU,D,20120126,000000,3.7971,3.7971,3.7971,3.7971,11,0
RVU,D,20120127,000000,3.7971,3.7971,3.7971,3.7971,13,0
RVU,D,20120130,000000,3.8043,3.8043,3.8043,3.8043,4,0
RVU,D,20120131,000000,3.7971,3.7971,3.7971,3.7971,1806,0
RVU,D,20120201,000000,3.7971,3.7971,3.7108,3.7108,2433,0
RVU,D,20120202,000000,3.7396,3.7971,3.7396,3.7468,1046,0
RVU,D,20120203,000000,3.9122,3.9122,3.9122,3.9122,4,0
RVU,D,20120206,000000,3.9122,3.9122,3.9122,3.9122,15,0
RVU,D,20120207,000000,3.9122,3.9122,3.9122,3.9122,7,0
RVU,D,20120208,000000,3.9122,3.9122,3.7468,3.8834,1192,0
RVU,D,20120209,000000,3.8834,3.8834,3.8834,3.8834,3,0
RVU,D,20120210,000000,3.8834,3.8834,3.8834,3.8834,3,0
RVU,D,20120213,000000,3.8834,3.8834,3.8834,3.8834,3,0
RVU,D,20120214,000000,3.8834,3.8834,3.8834,3.8834,1,0
RVU,D,20120215,000000,3.8834,3.8834,3.8834,3.8834,4,0
RVU,D,20120216,000000,3.8763,3.8763,3.6821,3.6821,2714,0
RVU,D,20120217,000000,3.8691,3.8691,3.8691,3.8691,3,0
RVU,D,20120220,000000,3.8691,3.8691,3.8691,3.8691,21,0
RVU,D,20120221,000000,3.8691,3.8691,3.6749,3.6749,284,0
RVU,D,20120222,000000,3.8547,3.8547,3.8547,3.8547,14090,0
RVU,D,20120223,000000,3.8403,3.8403,3.8403,3.8403,4,0
RVU,D,20120224,000000,3.8547,3.8547,3.754,3.8403,852,0
RVU,D,20120227,000000,3.8691,3.8691,3.8691,3.8691,7,0
RVU,D,20120228,000000,3.8691,3.8691,3.7037,3.8043,1079,0
RVU,D,20120229,000000,3.8187,3.8187,3.7396,3.8043,959,0
RVU,D,20120301,000000,3.8619,3.8619,3.6317,3.6317,1270,0
RVU,D,20120302,000000,3.8619,3.8619,3.8619,3.8619,3,0
RVU,D,20120305,000000,3.8691,3.8691,3.7468,3.7468,763,0
RVU,D,20120306,000000,3.8619,3.8619,3.8619,3.8619,7,0
RVU,D,20120307,000000,3.8619,3.8619,3.7252,3.8115,705,0
RVU,D,20120308,000000,3.8619,3.8619,3.8619,3.8619,4,0
RVU,D,20120309,000000,3.8619,3.8619,3.8619,3.8619,7,0
RVU,D,20120312,000000,3.8115,3.8115,3.8115,3.8115,7,0
RVU,D,20120313,000000,3.8475,3.8475,3.8475,3.8475,14,0
RVU,D,20120314,000000,3.8475,3.8475,3.6749,3.6749,56,0
RVU,D,20120315,000000,3.8475,3.8475,3.8475,3.8475,13,0
RVU,D,20120316,000000,3.8475,3.8475,3.8475,3.8475,285,0
RVU,D,20120319,000000,3.8115,3.8115,3.8115,3.8115,147,0
RVU,D,20120320,000000,3.8475,3.8475,3.7396,3.7396,2628,0
RVU,D,20120321,000000,3.8403,3.8403,3.8403,3.8403,7,0
RVU,D,20120322,000000,3.8115,3.8115,3.8115,3.8115,4,0
RVU,D,20120323,000000,3.8403,3.8403,3.8403,3.8403,6,0
RVU,D,20120326,000000,3.8475,3.8475,3.8475,3.8475,6,0
RVU,D,20120327,000000,3.8403,3.8403,3.8403,3.8403,6,0
RVU,D,20120328,000000,3.8187,3.8187,3.8187,3.8187,6,0
RVU,D,20120329,000000,3.8187,3.8187,3.8187,3.8187,4,0
RVU,D,20120330,000000,3.8187,3.8187,3.7756,3.7971,581,0
RVU,D,20120402,000000,3.8115,3.8115,3.7037,3.7037,909,0
RVU,D,20120403,000000,3.7037,3.7037,3.7037,3.7037,42,0
RVU,D,20120404,000000,3.6677,3.6677,3.6677,3.6677,508,0
RVU,D,20120405,000000,3.6677,3.6677,3.4519,3.4519,820,0
RVU,D,20120410,000000,3.7756,3.7756,3.7756,3.7756,19,0
RVU,D,20120411,000000,3.7324,3.7324,3.7324,3.7324,14,0
RVU,D,20120412,000000,3.7324,3.7324,3.7324,3.7324,4,0
RVU,D,20120413,000000,3.7324,3.7324,3.7324,3.7324,7,0
RVU,D,20120416,000000,3.7324,3.7324,3.567,3.567,884,0
RVU,D,20120417,000000,3.6821,3.6821,3.6821,3.6821,3,0
RVU,D,20120418,000000,3.6821,3.6821,3.5958,3.5958,652,0
RVU,D,20120419,000000,3.7756,3.7756,3.7756,3.7756,3,0
RVU,D,20120420,000000,3.7756,3.7756,3.7756,3.7756,3,0
RVU,D,20120423,000000,3.7756,3.7756,3.7756,3.7756,3,0
RVU,D,20120424,000000,3.7756,3.7756,3.7756,3.7756,3,0
RVU,D,20120425,000000,3.7756,3.7756,3.7756,3.7756,3,0
RVU,D,20120426,000000,3.7396,3.7396,3.5598,3.5598,719,0
RVU,D,20120427,000000,3.7396,3.7396,3.5742,3.5742,761,0
RVU,D,20120430,000000,3.7756,3.7756,3.7756,3.7756,1,0
RVU,D,20120502,000000,3.7756,3.7756,3.7756,3.7756,3,0
RVU,D,20120504,000000,3.7756,3.7756,3.7756,3.7756,3,0
RVU,D,20120507,000000,3.7756,3.7756,3.7756,3.7756,3,0
RVU,D,20120508,000000,3.7756,3.7756,3.5598,3.5598,719,0
RVU,D,20120509,000000,3.5598,3.5598,3.5598,3.5598,3,0
RVU,D,20120510,000000,3.5598,3.5598,3.3585,3.4519,1506,0
RVU,D,20120511,000000,3.7756,3.7756,3.7756,3.7756,4,0
RVU,D,20120514,000000,3.7756,3.7756,3.7756,3.7756,3,0
RVU,D,20120515,000000,3.7756,3.7756,3.7756,3.7756,3,0
RVU,D,20120516,000000,3.7756,3.7756,3.7756,3.7756,3,0
RVU,D,20120517,000000,3.7756,3.7756,3.4448,3.5239,929,0
RVU,D,20120518,000000,3.7756,3.7756,3.3872,3.3872,743,0
RVU,D,20120521,000000,3.7756,3.7756,3.7756,3.7756,1,0
RVU,D,20120522,000000,3.7756,3.7756,3.7756,3.7756,7,0
RVU,D,20120523,000000,3.38,3.38,3.38,3.38,35,0
RVU,D,20120524,000000,3.38,3.38,3.38,3.38,4,0
RVU,D,20120525,000000,3.38,3.38,3.0708,3.0708,834,0
RVU,D,20120528,000000,3.38,3.38,3.38,3.38,7,0
RVU,D,20120529,000000,3.38,3.38,3.2146,3.2146,807,0
RVU,D,20120530,000000,3.2146,3.2146,2.7759,2.8766,2458,0
RVU,D,20120531,000000,3.2146,3.2146,2.7184,3.2146,4411,0
RVU,D,20120601,000000,2.8766,3.1068,2.6896,3.1068,2534,0
