<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RWL,D,20041130,000000,9.4456,9.4456,8.6971,8.9324,155732,0
RWL,D,20041201,000000,9.0115,9.799,9.0115,9.642,30650,0
RWL,D,20041202,000000,9.878,9.878,9.3665,9.4456,27096,0
RWL,D,20041203,000000,9.3665,9.602,9.2883,9.3665,18245,0
RWL,D,20041206,000000,9.681,9.681,9.2883,9.4051,1576,0
RWL,D,20041207,000000,9.2883,9.4456,9.2883,9.2883,5332,0
RWL,D,20041208,000000,9.2883,9.4456,9.2883,9.4456,1992,0
RWL,D,20041209,000000,9.524,9.524,9.0896,9.2091,4417,0
RWL,D,20041210,000000,9.2091,9.2091,9.2091,9.2091,2769,0
RWL,D,20041213,000000,8.9724,8.9724,8.9724,8.9724,77,0
RWL,D,20041214,000000,8.9724,8.9724,8.9724,8.9724,292,0
RWL,D,20041215,000000,8.9324,8.9324,8.9324,8.9324,604,0
RWL,D,20041216,000000,8.9324,9.0515,8.7759,9.0515,1111,0
RWL,D,20041217,000000,9.2091,9.2091,9.1287,9.2091,1866,0
RWL,D,20041220,000000,9.2091,9.2477,9.2091,9.2477,919,0
RWL,D,20041221,000000,9.2091,9.524,9.2091,9.524,13956,0
RWL,D,20041222,000000,9.4842,9.4842,9.2883,9.2883,655,0
RWL,D,20041223,000000,9.4456,9.4456,9.4456,9.4456,1960,0
RWL,D,20041227,000000,9.4456,9.524,9.3665,9.3665,19899,0
RWL,D,20041228,000000,9.4456,9.4842,9.4051,9.4842,13083,0
RWL,D,20041229,000000,9.4456,9.524,9.4456,9.4456,16779,0
RWL,D,20041230,000000,9.4842,9.524,9.3665,9.4051,17460,0
RWL,D,20041231,000000,9.4051,9.4842,9.4051,9.4842,6797,0
RWL,D,20050103,000000,9.4456,9.4842,9.4456,9.4456,6820,0
RWL,D,20050104,000000,9.4456,9.4842,9.4456,9.4842,10143,0
RWL,D,20050105,000000,9.4842,10.152,9.4456,9.917,89544,0
RWL,D,20050106,000000,9.957,9.995,9.642,9.957,15681,0
RWL,D,20050107,000000,9.917,9.995,9.838,9.957,8923,0
RWL,D,20050110,000000,9.917,9.917,9.838,9.917,11835,0
RWL,D,20050111,000000,9.838,9.957,9.838,9.957,6533,0
RWL,D,20050112,000000,9.917,9.957,9.878,9.957,4496,0
RWL,D,20050113,000000,9.917,9.957,9.878,9.917,14325,0
RWL,D,20050114,000000,9.759,9.957,9.72,9.957,3192,0
RWL,D,20050117,000000,9.917,9.995,9.917,9.957,3500,0
RWL,D,20050118,000000,9.917,9.957,9.878,9.957,6049,0
RWL,D,20050119,000000,9.878,9.917,9.878,9.917,9392,0
RWL,D,20050120,000000,9.917,9.917,9.838,9.838,10733,0
RWL,D,20050121,000000,9.917,9.995,9.759,9.917,17731,0
RWL,D,20050124,000000,9.917,9.917,9.878,9.917,33390,0
RWL,D,20050125,000000,9.917,9.957,9.878,9.917,69232,0
RWL,D,20050126,000000,9.995,9.995,9.917,9.995,21300,0
RWL,D,20050127,000000,9.995,9.995,9.957,9.995,7811,0
RWL,D,20050128,000000,9.917,9.917,9.917,9.917,2346,0
RWL,D,20050131,000000,9.995,10.468,9.995,10.23,7228,0
RWL,D,20050201,000000,10.39,10.468,10.23,10.23,10375,0
RWL,D,20050202,000000,10.309,10.35,10.309,10.35,3273,0
RWL,D,20050203,000000,10.506,10.506,10.39,10.39,927,0
RWL,D,20050204,000000,10.547,10.547,10.39,10.39,35713,0
RWL,D,20050207,000000,10.39,10.429,10.309,10.309,23333,0
RWL,D,20050208,000000,10.468,10.506,10.271,10.39,9209,0
RWL,D,20050209,000000,10.23,10.39,10.23,10.39,71446,0
RWL,D,20050210,000000,10.271,10.309,10.23,10.23,3524,0
RWL,D,20050211,000000,10.271,10.35,10.23,10.309,5507,0
RWL,D,20050214,000000,10.39,10.468,10.39,10.468,3392,0
RWL,D,20050215,000000,10.506,10.547,10.39,10.429,3685,0
RWL,D,20050216,000000,10.468,10.626,10.468,10.547,680,0
RWL,D,20050217,000000,10.587,10.94,10.587,10.899,22862,0
RWL,D,20050218,000000,10.94,11.333,10.94,11.019,8218,0
RWL,D,20050221,000000,11.333,11.333,11.019,11.254,169399,0
RWL,D,20050222,000000,11.412,11.964,11.254,11.373,12503,0
RWL,D,20050223,000000,11.412,12.435,11.412,12.16,28170,0
RWL,D,20050224,000000,12.199,12.199,11.648,12.121,5629,0
RWL,D,20050225,000000,12.081,12.199,11.884,11.964,7014,0
RWL,D,20050228,000000,11.806,11.806,11.254,11.333,3456,0
RWL,D,20050301,000000,11.531,11.531,11.451,11.531,2707,0
RWL,D,20050302,000000,11.767,11.767,11.019,11.491,12976,0
RWL,D,20050303,000000,11.412,11.531,11.412,11.531,5329,0
RWL,D,20050304,000000,11.491,11.491,11.216,11.491,28295,0
RWL,D,20050307,000000,11.569,11.569,11.216,11.216,58,0
RWL,D,20050308,000000,11.097,11.412,11.097,11.412,21224,0
RWL,D,20050309,000000,11.137,11.412,11.137,11.412,13577,0
RWL,D,20050310,000000,11.688,11.688,11.176,11.294,13460,0
RWL,D,20050311,000000,11.412,11.412,11.019,11.254,131374,0
RWL,D,20050315,000000,11.097,11.097,10.626,10.979,40431,0
RWL,D,20050316,000000,10.703,10.862,10.703,10.743,28948,0
RWL,D,20050317,000000,10.743,10.979,10.743,10.979,3621,0
RWL,D,20050321,000000,10.703,10.703,10.703,10.703,1271,0
RWL,D,20050322,000000,10.703,10.899,10.626,10.899,38118,0
RWL,D,20050323,000000,10.979,10.979,10.94,10.94,4224,0
RWL,D,20050324,000000,10.626,10.899,10.626,10.899,638,0
RWL,D,20050329,000000,10.626,10.862,10.626,10.862,1905,0
RWL,D,20050330,000000,10.862,10.862,10.862,10.862,12705,0
RWL,D,20050331,000000,10.862,11.176,10.862,11.176,32939,0
RWL,D,20050401,000000,11.176,11.176,10.979,10.979,2834,0
RWL,D,20050404,000000,10.626,10.94,10.626,10.94,7751,0
RWL,D,20050405,000000,10.979,11.058,10.862,10.979,1345,0
RWL,D,20050406,000000,10.979,11.019,10.862,10.979,99383,0
RWL,D,20050407,000000,10.94,11.019,10.94,11.019,128711,0
RWL,D,20050411,000000,11.019,11.176,11.019,11.058,5013,0
RWL,D,20050412,000000,11.058,11.058,10.862,10.862,7543,0
RWL,D,20050413,000000,10.94,11.333,10.94,11.176,77256,0
RWL,D,20050414,000000,11.373,11.373,11.097,11.137,17734,0
RWL,D,20050415,000000,11.254,11.294,11.137,11.294,22168,0
RWL,D,20050418,000000,11.216,11.216,11.019,11.216,9269,0
RWL,D,20050419,000000,11.137,11.216,11.137,11.216,6773,0
RWL,D,20050420,000000,11.254,11.254,11.019,11.019,64870,0
RWL,D,20050421,000000,10.94,11.019,10.94,11.019,7671,0
RWL,D,20050422,000000,10.94,10.979,10.703,10.979,1344,0
RWL,D,20050425,000000,10.979,10.979,10.979,10.979,640,0
RWL,D,20050426,000000,10.899,10.899,10.899,10.899,1992,0
RWL,D,20050427,000000,10.979,10.979,10.979,10.979,221,0
RWL,D,20050428,000000,10.664,10.783,10.664,10.783,63592,0
RWL,D,20050429,000000,10.743,11.019,10.664,11.019,66349,0
RWL,D,20050504,000000,11.058,11.058,11.019,11.019,7734,0
RWL,D,20050505,000000,10.899,10.899,10.899,10.899,132,0
RWL,D,20050506,000000,10.862,10.862,10.822,10.822,1099,0
RWL,D,20050509,000000,10.822,10.94,10.822,10.94,186748,0
RWL,D,20050510,000000,11.019,11.019,11.019,11.019,2337,0
RWL,D,20050511,000000,10.899,10.899,10.822,10.899,6992,0
RWL,D,20050516,000000,10.703,11.333,10.703,11.333,567,0
RWL,D,20050517,000000,11.294,11.294,10.822,10.94,4374,0
RWL,D,20050518,000000,10.822,11.019,10.822,11.019,1518,0
RWL,D,20050519,000000,10.703,11.254,10.703,11.254,4564,0
RWL,D,20050520,000000,10.899,11.019,10.862,11.019,8324,0
RWL,D,20050523,000000,11.019,11.019,10.94,10.94,938,0
RWL,D,20050524,000000,11.019,11.019,11.019,11.019,17862,0
RWL,D,20050525,000000,10.899,10.899,10.899,10.899,341,0
RWL,D,20050527,000000,11.019,11.019,11.019,11.019,3178,0
RWL,D,20050530,000000,11.019,11.097,11.019,11.097,1696,0
RWL,D,20050531,000000,11.058,11.176,11.058,11.176,2521,0
RWL,D,20050601,000000,11.176,11.176,11.176,11.176,1564,0
RWL,D,20050602,000000,11.216,11.254,11.176,11.254,7204,0
RWL,D,20050603,000000,11.294,11.294,11.254,11.254,985,0
RWL,D,20050606,000000,11.216,11.216,11.216,11.216,454,0
RWL,D,20050607,000000,11.097,11.216,11.097,11.216,316,0
RWL,D,20050608,000000,11.176,11.216,11.137,11.137,7048,0
RWL,D,20050609,000000,11.137,11.137,11.137,11.137,353,0
RWL,D,20050610,000000,11.176,11.176,10.979,10.979,524,0
RWL,D,20050613,000000,11.097,11.097,11.097,11.097,407,0
RWL,D,20050614,000000,10.822,11.097,10.822,11.097,2835,0
RWL,D,20050615,000000,11.097,11.097,11.097,11.097,108,0
RWL,D,20050617,000000,11.019,11.097,11.019,11.097,1333,0
RWL,D,20050620,000000,11.019,11.019,11.019,11.019,4447,0
RWL,D,20050621,000000,11.097,11.097,11.019,11.019,1260,0
RWL,D,20050622,000000,11.019,11.097,11.019,11.097,454,0
RWL,D,20050623,000000,11.097,11.137,11.097,11.137,24141,0
RWL,D,20050624,000000,11.097,11.137,11.097,11.137,156,0
RWL,D,20050627,000000,11.058,11.137,11.058,11.137,3343,0
RWL,D,20050628,000000,11.176,11.216,11.176,11.216,4399,0
RWL,D,20050629,000000,11.216,11.254,11.216,11.216,22054,0
RWL,D,20050630,000000,11.254,11.254,11.254,11.254,8477,0
RWL,D,20050701,000000,11.333,11.412,11.333,11.412,1525,0
RWL,D,20050704,000000,11.531,12.041,11.491,11.648,7492,0
RWL,D,20050705,000000,11.688,11.845,11.688,11.806,3919,0
RWL,D,20050706,000000,11.806,11.884,11.806,11.884,4651,0
RWL,D,20050707,000000,11.451,11.806,11.451,11.806,28321,0
RWL,D,20050708,000000,11.806,11.806,11.806,11.806,64140,0
RWL,D,20050711,000000,11.806,11.806,11.806,11.806,153,0
RWL,D,20050712,000000,11.884,11.964,11.884,11.964,2090,0
RWL,D,20050713,000000,11.884,11.884,11.884,11.884,118,0
RWL,D,20050715,000000,11.884,11.884,11.491,11.688,7166,0
RWL,D,20050718,000000,11.884,11.884,11.806,11.806,1782,0
RWL,D,20050720,000000,11.964,11.964,11.884,11.884,2498,0
RWL,D,20050721,000000,12.041,12.041,11.964,11.964,712,0
RWL,D,20050722,000000,12.002,12.829,12.002,12.357,10611,0
RWL,D,20050725,000000,12.592,12.829,12.592,12.789,5871,0
RWL,D,20050726,000000,12.829,13.615,12.829,13.615,110189,0
RWL,D,20050727,000000,13.615,13.774,13.223,13.695,82002,0
RWL,D,20050728,000000,13.417,13.417,13.38,13.38,953,0
RWL,D,20050729,000000,13.144,13.223,13.144,13.144,103,0
RWL,D,20050801,000000,13.34,13.34,12.671,12.671,867,0
RWL,D,20050802,000000,12.751,12.909,12.751,12.909,1691,0
RWL,D,20050803,000000,12.751,12.751,12.751,12.751,2636,0
RWL,D,20050804,000000,12.987,13.223,12.829,13.066,131283,0
RWL,D,20050805,000000,13.223,13.261,13.223,13.261,2539,0
RWL,D,20050808,000000,13.223,13.261,13.223,13.223,4016,0
RWL,D,20050809,000000,13.223,13.261,12.987,13.261,3840,0
RWL,D,20050810,000000,13.223,13.223,13.223,13.223,3736,0
RWL,D,20050811,000000,13.066,13.261,13.066,13.261,2764,0
RWL,D,20050812,000000,13.303,13.38,13.261,13.38,2695,0
RWL,D,20050816,000000,13.774,13.93,13.38,13.538,21029,0
RWL,D,20050817,000000,13.538,13.538,13.38,13.38,2309,0
RWL,D,20050818,000000,13.459,13.459,13.38,13.38,1683,0
RWL,D,20050819,000000,13.105,13.459,13.105,13.459,913,0
RWL,D,20050822,000000,13.38,13.38,13.066,13.066,1587,0
RWL,D,20050823,000000,13.066,13.459,13.066,13.459,3524,0
RWL,D,20050824,000000,13.223,13.223,12.829,12.987,31436,0
RWL,D,20050826,000000,12.987,12.987,12.829,12.829,5867,0
RWL,D,20050829,000000,12.987,13.223,12.987,13.223,5340,0
RWL,D,20050830,000000,12.829,13.223,12.829,13.223,177,0
RWL,D,20050831,000000,13.223,13.223,12.829,13.223,5369,0
RWL,D,20050901,000000,13.223,13.223,12.868,13.223,545,0
RWL,D,20050902,000000,12.987,13.182,12.987,13.182,1213,0
