<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAN,D,20000103,000000,21.956,22.031,21.475,21.716,17462230,0
SAN,D,20000104,000000,21.728,21.841,21.278,21.485,17517731,0
SAN,D,20000105,000000,21.181,21.445,20.898,21.068,18534686,0
SAN,D,20000107,000000,20.855,21.671,20.837,21.615,19072375,0
SAN,D,20000110,000000,21.707,21.707,21.136,21.32,13414083,0
SAN,D,20000111,000000,21.401,21.438,20.344,20.715,30370367,0
SAN,D,20000112,000000,20.385,20.44,20.089,20.44,23957587,0
SAN,D,20000113,000000,20.554,20.573,20,20.259,21930235,0
SAN,D,20000114,000000,20.215,20.802,20.068,20.655,31271390,0
SAN,D,20000117,000000,20.787,20.824,19.752,19.915,62859915,0
SAN,D,20000118,000000,19.95,19.95,18.89,19.018,39967590,0
SAN,D,20000119,000000,18.769,18.969,18.514,18.951,41109029,0
SAN,D,20000120,000000,19.102,19.629,19.03,19.302,23384240,0
SAN,D,20000121,000000,19.404,19.586,18.569,18.678,36280760,0
SAN,D,20000124,000000,18.859,19.222,18.66,18.859,19681290,0
SAN,D,20000125,000000,18.872,19.11,18.762,19.073,31516908,0
SAN,D,20000126,000000,19.24,19.532,19.003,19.477,45010243,0
SAN,D,20000127,000000,19.606,19.624,19.188,19.442,99608416,0
SAN,D,20000128,000000,19.46,19.46,18.683,18.773,26043750,0
SAN,D,20000131,000000,19.069,19.288,18.776,19.014,98197469,0
SAN,D,20000201,000000,21.349,21.349,18.946,19.258,23014781,0
SAN,D,20000202,000000,19.421,19.439,18.981,19.256,21098345,0
SAN,D,20000203,000000,19.363,19.786,19.143,19.565,22497314,0
SAN,D,20000204,000000,19.552,19.715,19.28,19.498,27466918,0
SAN,D,20000207,000000,19.75,20.132,19.623,20.132,24637034,0
SAN,D,20000208,000000,20.114,20.531,19.842,20.404,24181044,0
SAN,D,20000209,000000,20.693,20.693,19.871,20.163,21559310,0
SAN,D,20000210,000000,19.932,20.096,19.422,19.695,18060181,0
SAN,D,20000211,000000,19.654,19.672,18.437,18.582,34363202,0
SAN,D,20000214,000000,19.213,20.153,18.527,19.394,52906719,0
SAN,D,20000215,000000,19.689,20.359,19.508,19.743,42155345,0
SAN,D,20000216,000000,20.152,20.73,19.827,20.676,66559363,0
SAN,D,20000217,000000,20.471,20.939,20.435,20.615,33196233,0
SAN,D,20000218,000000,20.638,20.71,20.097,20.097,36212328,0
SAN,D,20000221,000000,19.94,20.552,19.832,20.408,17643136,0
SAN,D,20000222,000000,20.669,20.961,20.194,20.413,22926190,0
SAN,D,20000223,000000,20.537,20.828,20.173,20.828,18574591,0
SAN,D,20000224,000000,20.521,20.702,20.068,20.159,21886372,0
SAN,D,20000225,000000,20.095,20.473,19.951,20.167,19645618,0
SAN,D,20000228,000000,20.162,20.27,19.857,20,18851499,0
SAN,D,20000229,000000,19.973,20.419,19.884,20.044,14822935,0
SAN,D,20000301,000000,20.004,20.04,19.685,19.88,18074078,0
SAN,D,20000302,000000,19.969,20.234,19.915,20.164,27918806,0
SAN,D,20000303,000000,20.27,20.447,19.812,19.882,33190960,0
SAN,D,20000306,000000,20.164,20.164,19.76,19.76,24425361,0
SAN,D,20000307,000000,19.772,20.001,19.597,19.667,19844641,0
SAN,D,20000308,000000,19.727,20.152,19.71,19.975,18177102,0
SAN,D,20000309,000000,19.857,20.209,19.752,19.98,29259371,0
SAN,D,20000310,000000,20.203,20.291,19.886,20.291,118404615,0
SAN,D,20000314,000000,20.292,20.362,19.959,20.362,46417954,0
SAN,D,20000315,000000,20.237,20.819,20.184,20.678,66012663,0
SAN,D,20000316,000000,20.827,21.039,20.739,20.986,32602632,0
SAN,D,20000317,000000,21.164,21.691,21.006,21.445,48454073,0
SAN,D,20000320,000000,21.289,21.622,21.289,21.377,39631980,0
SAN,D,20000321,000000,21.117,21.308,20.559,20.995,21756431,0
SAN,D,20000322,000000,20.846,21.123,20.448,20.638,25579876,0
SAN,D,20000323,000000,20.834,21.06,20.38,20.433,20637660,0
SAN,D,20000324,000000,20.446,20.917,20.324,20.743,10954552,0
SAN,D,20000327,000000,20.427,20.635,20.218,20.444,12487181,0
SAN,D,20000328,000000,20.379,20.954,20.345,20.832,15498252,0
SAN,D,20000329,000000,20.545,20.77,20.371,20.545,10026075,0
SAN,D,20000330,000000,20.701,20.842,20.454,20.613,16745545,0
SAN,D,20000331,000000,20.336,20.494,20.283,20.283,50985129,0
SAN,D,20000403,000000,20.476,20.724,20.299,20.511,15476435,0
SAN,D,20000404,000000,20.782,21.354,20.765,20.925,41671785,0
SAN,D,20000405,000000,21.132,21.33,20.52,20.736,25323246,0
SAN,D,20000406,000000,20.457,20.457,19.818,19.836,42542876,0
SAN,D,20000407,000000,19.999,20.229,19.875,20.176,21848808,0
SAN,D,20000410,000000,20.259,20.577,20.011,20.56,17038506,0
SAN,D,20000411,000000,20.322,20.66,20.322,20.34,17703504,0
SAN,D,20000412,000000,20.515,20.639,20.145,20.374,15485597,0
SAN,D,20000413,000000,20.372,20.99,20.337,20.902,23136703,0
SAN,D,20000414,000000,21.298,21.568,20.774,21.009,21938387,0
SAN,D,20000417,000000,20.264,20.787,19.957,20.697,54649085,0
SAN,D,20000418,000000,20.755,20.863,20.144,20.45,18326298,0
SAN,D,20000419,000000,20.492,20.528,20.134,20.134,31014544,0
SAN,D,20000420,000000,20.233,20.824,20.108,20.717,45138102,0
SAN,D,20000425,000000,20.334,20.83,20.174,20.759,23383134,0
SAN,D,20000426,000000,20.902,21.008,20.567,20.831,16298739,0
SAN,D,20000427,000000,20.857,20.857,20.168,20.345,19126227,0
SAN,D,20000428,000000,20.956,21.426,20.829,21.371,48708140,0
SAN,D,20000502,000000,21.443,21.879,21.297,21.879,15942718,0
SAN,D,20000503,000000,21.26,21.511,20.651,20.687,19511757,0
SAN,D,20000504,000000,20.939,21.484,20.903,21.266,20568077,0
SAN,D,20000505,000000,21.503,21.779,21.135,21.135,14288337,0
SAN,D,20000508,000000,20.574,20.735,20.449,20.663,15227780,0
SAN,D,20000510,000000,20.184,20.347,19.481,19.589,30294070,0
SAN,D,20000511,000000,19.212,19.929,19.015,19.929,23041644,0
SAN,D,20000512,000000,20.137,20.391,19.737,20.064,13172459,0
SAN,D,20000515,000000,19.89,19.962,19.441,19.657,22162252,0
SAN,D,20000516,000000,19.805,19.965,19.609,19.716,18639502,0
SAN,D,20000517,000000,19.854,19.889,19.011,19.101,30751606,0
SAN,D,20000518,000000,19.202,19.507,19.095,19.31,28841579,0
SAN,D,20000519,000000,19.518,19.554,18.757,19.156,24604131,0
SAN,D,20000522,000000,19.272,19.6,18.907,18.998,15932164,0
