<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEK,D,20070315,000000,11.226,11.276,10.583,10.86,332480,0
SEK,D,20070316,000000,11.124,11.363,11.021,11.124,125557,0
SEK,D,20070319,000000,11.35,11.379,11.168,11.24,19087,0
SEK,D,20070320,000000,11.24,11.24,10.875,11.093,22055,0
SEK,D,20070321,000000,11.24,11.24,11.057,11.093,12770,0
SEK,D,20070322,000000,10.985,11.159,10.985,11.093,18279,0
SEK,D,20070323,000000,11.093,11.109,10.948,11.065,23291,0
SEK,D,20070326,000000,11.065,11.065,10.941,11,41155,0
SEK,D,20070327,000000,10.948,10.948,10.824,10.875,28749,0
SEK,D,20070328,000000,10.839,10.948,10.671,10.912,11519,0
SEK,D,20070329,000000,10.948,10.948,10.655,10.897,9617,0
SEK,D,20070330,000000,10.948,10.985,10.803,10.948,11350,0
SEK,D,20070402,000000,10.941,10.941,10.729,10.839,11177,0
SEK,D,20070403,000000,10.809,10.809,10.655,10.729,21961,0
SEK,D,20070404,000000,10.729,10.729,10.509,10.729,36254,0
SEK,D,20070405,000000,10.736,10.803,10.583,10.774,25209,0
SEK,D,20070410,000000,10.941,11.093,10.839,10.948,34102,0
SEK,D,20070411,000000,11.086,11.168,10.985,11.159,36918,0
SEK,D,20070412,000000,11.159,11.357,11.109,11.306,56818,0
SEK,D,20070413,000000,11.313,11.606,11.306,11.606,44345,0
SEK,D,20070416,000000,11.606,12.071,11.568,12.042,137836,0
SEK,D,20070417,000000,12.166,12.188,11.896,12.093,33383,0
SEK,D,20070418,000000,12.115,12.115,11.533,11.678,42249,0
SEK,D,20070419,000000,11.276,11.678,11.093,11.386,20942,0
SEK,D,20070420,000000,11.678,11.678,11.313,11.386,6408,0
SEK,D,20070423,000000,11.313,11.386,10.948,10.948,19648,0
SEK,D,20070424,000000,10.948,11.093,10.948,11.093,8081,0
SEK,D,20070425,000000,11.276,11.313,10.985,11.276,10468,0
SEK,D,20070426,000000,11.276,11.276,11.204,11.204,4419,0
SEK,D,20070427,000000,11.276,11.276,11.145,11.168,3661,0
SEK,D,20070430,000000,11.093,11.109,10.941,11.08,3714,0
SEK,D,20070502,000000,11.093,11.093,10.955,10.978,7525,0
SEK,D,20070504,000000,11.021,11.021,10.889,10.948,12014,0
SEK,D,20070507,000000,11.437,11.495,11.233,11.335,28893,0
SEK,D,20070508,000000,11.372,11.606,11.247,11.247,24545,0
SEK,D,20070509,000000,11.24,11.24,10.948,11.093,7497,0
SEK,D,20070510,000000,11.093,11.13,10.817,11.13,5034,0
SEK,D,20070511,000000,10.809,11.014,10.809,10.882,5943,0
SEK,D,20070514,000000,11.014,11.021,10.955,11,5961,0
SEK,D,20070515,000000,11.021,11.051,10.955,10.955,4637,0
SEK,D,20070516,000000,10.955,10.955,10.809,10.809,8630,0
SEK,D,20070517,000000,10.948,10.948,10.583,10.788,4754,0
SEK,D,20070518,000000,10.788,10.788,10.634,10.655,4851,0
SEK,D,20070521,000000,10.86,10.86,10.655,10.846,6213,0
SEK,D,20070522,000000,10.875,10.875,10.803,10.853,3316,0
SEK,D,20070523,000000,10.932,10.932,10.729,10.729,7075,0
SEK,D,20070524,000000,10.912,10.912,10.774,10.903,6451,0
SEK,D,20070525,000000,10.788,10.912,10.693,10.912,9896,0
SEK,D,20070528,000000,10.903,11.226,10.736,11.057,35166,0
SEK,D,20070529,000000,11.217,11.459,11.093,11.422,43219,0
SEK,D,20070530,000000,11.313,11.474,11.138,11.386,28892,0
SEK,D,20070531,000000,11.211,11.495,11.211,11.415,21974,0
SEK,D,20070601,000000,11.313,11.386,11.233,11.386,25226,0
SEK,D,20070604,000000,11.379,11.386,11.247,11.386,21571,0
SEK,D,20070605,000000,11.247,11.408,11.021,11.386,16207,0
SEK,D,20070606,000000,11.028,11.028,11.021,11.021,4875,0
SEK,D,20070608,000000,11.204,11.313,10.948,11.021,9534,0
SEK,D,20070611,000000,11.313,11.379,11.028,11.379,13221,0
SEK,D,20070612,000000,11.313,11.313,11.093,11.24,11226,0
SEK,D,20070613,000000,11.093,11.313,11.057,11.313,6691,0
SEK,D,20070614,000000,10.948,11.298,10.948,11.298,1776,0
SEK,D,20070615,000000,11.276,11.459,11.269,11.422,30017,0
SEK,D,20070618,000000,11.451,12.042,11.386,11.772,83476,0
SEK,D,20070619,000000,11.824,12.042,11.678,11.751,80067,0
SEK,D,20070620,000000,11.751,11.751,11.606,11.606,19769,0
SEK,D,20070621,000000,11.606,12.042,11.606,11.97,127688,0
SEK,D,20070622,000000,12.042,12.115,11.766,11.817,63332,0
SEK,D,20070625,000000,11.751,11.817,11.422,11.606,38132,0
SEK,D,20070626,000000,11.386,11.539,11.114,11.539,90361,0
SEK,D,20070627,000000,11.539,11.539,11.13,11.495,89948,0
SEK,D,20070628,000000,11.568,11.568,11.13,11.313,48961,0
SEK,D,20070629,000000,11.109,11.291,11.093,11.24,12681,0
SEK,D,20070702,000000,11.291,11.291,10.948,11.233,23432,0
SEK,D,20070703,000000,10.839,11.233,10.839,11.197,23005,0
SEK,D,20070704,000000,10.948,11.138,10.889,11.138,9768,0
SEK,D,20070705,000000,10.912,11.13,10.912,11.13,1558,0
SEK,D,20070706,000000,11.093,11.678,11.093,11.313,47045,0
