<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEN,D,20100525,000000,17.7,19.1,17.4,18.3,466864,0
SEN,D,20100526,000000,18,20.4,18,19.5,533186,0
SEN,D,20100527,000000,19.2,20,18.9,19.3,359344,0
SEN,D,20100528,000000,19.4,19.4,18.7,19.3,219881,0
SEN,D,20100531,000000,18.6,19,18.6,18.9,88816,0
SEN,D,20100601,000000,18.8,18.8,18.5,18.6,29804,0
SEN,D,20100602,000000,19.5,23.5,19.5,22.7,1381142,0
SEN,D,20100604,000000,23.1,24,21.1,22,745310,0
SEN,D,20100607,000000,21.2,22.1,20.5,21.8,352532,0
SEN,D,20100608,000000,22.1,22.1,21,21.4,154555,0
SEN,D,20100609,000000,21.6,22,21,21,241434,0
SEN,D,20100610,000000,21.2,21.2,20.2,20.6,234323,0
SEN,D,20100611,000000,20.4,21,19.8,19.8,224280,0
SEN,D,20100614,000000,20.8,21,19.8,19.8,377139,0
SEN,D,20100615,000000,19.9,19.9,18.9,19.2,284636,0
SEN,D,20100616,000000,19.3,19.6,18.9,19.1,152661,0
SEN,D,20100617,000000,19.1,19.2,18.8,19,99235,0
SEN,D,20100618,000000,19,19.4,18.7,18.9,101544,0
SEN,D,20100621,000000,19.1,19.3,18.7,18.9,69373,0
SEN,D,20100622,000000,18.9,19,17.9,18.1,250595,0
SEN,D,20100623,000000,17.8,17.8,17.2,17.2,145065,0
SEN,D,20100624,000000,17.2,18,15.6,17.3,197469,0
SEN,D,20100625,000000,18,18.2,17.6,17.8,123661,0
SEN,D,20100628,000000,18,18,17.2,17.3,74771,0
SEN,D,20100629,000000,17.2,17.2,16.4,16.6,93963,0
SEN,D,20100630,000000,16.4,16.7,16.1,16.3,44265,0
SEN,D,20100701,000000,16.2,17,16.1,16.6,66814,0
SEN,D,20100702,000000,16.9,17.4,16.7,17,31378,0
SEN,D,20100705,000000,17.2,17.3,16.7,16.9,17082,0
SEN,D,20100706,000000,17,17.5,16.8,17.3,55428,0
SEN,D,20100707,000000,17.2,17.2,16.8,17,12325,0
SEN,D,20100708,000000,17.3,17.4,17,17,27418,0
SEN,D,20100709,000000,17.2,17.3,17,17.2,17942,0
SEN,D,20100712,000000,17.2,17.3,17,17.1,24669,0
SEN,D,20100713,000000,17,17,16.7,16.7,60366,0
SEN,D,20100714,000000,16.8,16.8,16.6,16.8,39155,0
SEN,D,20100715,000000,16.8,17.5,16.6,16.7,87863,0
SEN,D,20100716,000000,16.8,17.3,16.8,17,63176,0
SEN,D,20100719,000000,16.9,17.2,16.8,17.2,26428,0
SEN,D,20100720,000000,17.1,17.6,17,17,51598,0
SEN,D,20100721,000000,17.2,17.3,17,17.1,33183,0
SEN,D,20100722,000000,17.1,18.1,16.9,17.9,269437,0
