<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHD,D,19970612,000000,3.04,3.04,3.04,3.04,587766,0
SHD,D,19970613,000000,3.34,3.34,3.34,3.34,1358864,0
SHD,D,19970616,000000,3.47,3.47,3.47,3.47,987226,0
SHD,D,19970617,000000,3.34,3.34,3.34,3.34,676913,0
SHD,D,19970618,000000,3.19,3.19,3.19,3.19,154989,0
SHD,D,19970619,000000,3.12,3.12,3.12,3.12,520791,0
SHD,D,19970620,000000,3.06,3.06,3.06,3.06,186636,0
SHD,D,19970623,000000,2.79,2.79,2.79,2.79,546983,0
SHD,D,19970624,000000,2.61,2.61,2.61,2.61,157922,0
SHD,D,19970625,000000,2.66,2.66,2.66,2.66,516630,0
SHD,D,19970626,000000,2.53,2.53,2.53,2.53,311947,0
SHD,D,19970627,000000,2.58,2.58,2.58,2.58,100636,0
SHD,D,19970630,000000,2.61,2.61,2.61,2.61,243374,0
SHD,D,19970701,000000,2.58,2.58,2.58,2.58,137902,0
SHD,D,19970702,000000,2.53,2.58,2.53,2.56,175744,0
SHD,D,19970703,000000,2.53,2.58,2.53,2.58,480881,0
SHD,D,19970704,000000,2.58,2.58,2.53,2.56,119022,0
SHD,D,19970707,000000,2.58,2.58,2.53,2.53,93553,0
SHD,D,19970708,000000,2.56,2.58,2.56,2.58,82187,0
SHD,D,19970709,000000,2.56,2.58,2.56,2.58,164448,0
SHD,D,19970710,000000,2.56,2.56,2.51,2.51,301086,0
SHD,D,19970711,000000,2.56,2.56,2.46,2.46,320163,0
SHD,D,19970714,000000,2.3,2.3,2.18,2.2,27636,0
SHD,D,19970715,000000,2.25,2.28,2.25,2.28,259040,0
SHD,D,19970716,000000,2.28,2.29,2.28,2.28,464334,0
SHD,D,19970717,000000,2.28,2.3,2.25,2.3,181073,0
SHD,D,19970718,000000,2.28,2.28,2.22,2.22,259695,0
SHD,D,19970721,000000,2.28,2.28,2.23,2.23,233373,0
SHD,D,19970722,000000,2.15,2.19,2.15,2.18,48770,0
SHD,D,19970723,000000,2.18,2.22,2.18,2.18,99621,0
SHD,D,19970724,000000,2.18,2.18,2.13,2.13,131158,0
SHD,D,19970725,000000,2.2,2.2,2.13,2.15,479779,0
SHD,D,19970728,000000,2.25,2.25,2.2,2.22,175554,0
SHD,D,19970729,000000,2.25,2.34,2.24,2.34,117932,0
SHD,D,19970730,000000,2.33,2.37,2.33,2.37,162901,0
SHD,D,19970731,000000,2.36,2.36,2.3,2.33,297229,0
SHD,D,19970801,000000,2.3,2.39,2.3,2.34,102085,0
SHD,D,19970804,000000,2.33,2.33,2.25,2.25,271259,0
SHD,D,19970805,000000,2.33,2.38,2.33,2.38,211777,0
