<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHG,D,20080403,000000,48.555,49.045,45.122,48.555,4033,0
SHG,D,20080404,000000,48.555,48.555,48.555,48.555,28,0
SHG,D,20080407,000000,44.631,44.631,44.631,44.631,20,0
SHG,D,20080408,000000,44.631,44.631,44.631,44.631,203,0
SHG,D,20080410,000000,45.269,45.269,45.269,45.269,203,0
SHG,D,20080411,000000,45.269,45.269,45.269,45.269,3,0
SHG,D,20080415,000000,44.631,48.996,44.631,48.996,633,0
SHG,D,20080418,000000,48.898,50.272,48.898,48.996,42,0
SHG,D,20080421,000000,44.141,49.045,44.141,49.045,63,0
SHG,D,20080422,000000,49.045,50.272,49.045,49.045,135,0
SHG,D,20080423,000000,50.272,50.272,48.8,48.8,165,0
SHG,D,20080424,000000,50.026,50.026,49.879,49.879,37,0
SHG,D,20080425,000000,49.83,49.83,49.536,49.536,45,0
SHG,D,20080428,000000,49.536,49.536,49.192,49.291,42,0
SHG,D,20080429,000000,49.291,49.291,49.291,49.291,10,0
SHG,D,20080430,000000,49.241,49.241,49.241,49.241,10,0
SHG,D,20080505,000000,49.045,49.045,49.045,49.045,10,0
SHG,D,20080506,000000,45.931,47.035,45.931,47.035,438,0
SHG,D,20080507,000000,49.388,49.388,48.187,49.045,225,0
SHG,D,20080508,000000,49.291,49.291,46.985,46.985,3,0
SHG,D,20080509,000000,49.291,49.291,49.291,49.291,2,0
SHG,D,20080512,000000,49.438,49.438,49.438,49.438,2,0
SHG,D,20080513,000000,49.438,49.438,46.618,46.618,218,0
SHG,D,20080514,000000,49.438,49.438,49.438,49.438,2,0
SHG,D,20080515,000000,49.388,49.388,49.388,49.388,3,0
SHG,D,20080516,000000,49.388,49.388,45.833,49.388,657,0
SHG,D,20080519,000000,49.045,49.045,46.691,46.691,220,0
SHG,D,20080520,000000,43.65,46.348,43.65,46.348,792,0
SHG,D,20080521,000000,49.045,49.045,46.519,46.519,218,0
SHG,D,20080523,000000,47.083,47.083,47.083,47.083,3,0
SHG,D,20080526,000000,47.083,47.083,47.083,47.083,2,0
SHG,D,20080527,000000,47.083,47.083,47.083,47.083,3,0
SHG,D,20080528,000000,47.083,47.083,47.083,47.083,2,0
SHG,D,20080529,000000,47.083,47.083,47.083,47.083,2,0
SHG,D,20080530,000000,47.083,47.083,47.083,47.083,2,0
SHG,D,20080602,000000,49.928,50.026,43.65,49.045,447,0
SHG,D,20080603,000000,48.31,48.31,44.141,48.31,707,0
SHG,D,20080604,000000,47.451,47.451,47.451,47.451,2,0
SHG,D,20080605,000000,48.31,48.31,43.65,48.31,453,0
SHG,D,20080606,000000,47.083,47.083,47.083,47.083,2,0
SHG,D,20080609,000000,46.593,46.593,46.593,46.593,2,0
SHG,D,20080610,000000,48.31,48.31,43.699,44.729,673,0
SHG,D,20080611,000000,48.31,48.31,43.699,48.064,1368,0
SHG,D,20080612,000000,47.77,47.77,44.779,45.073,492,0
SHG,D,20080613,000000,47.574,47.574,47.574,47.574,2,0
SHG,D,20080616,000000,45.343,47.574,42.228,47.574,468,0
SHG,D,20080617,000000,47.451,47.451,46.298,46.298,225,0
SHG,D,20080618,000000,44.386,47.476,43.699,45.122,510,0
SHG,D,20080619,000000,43.699,47.525,43.699,46.372,457,0
SHG,D,20080620,000000,44.582,44.68,44.582,44.68,12,0
SHG,D,20080623,000000,43.699,47.279,43.699,46.176,903,0
SHG,D,20080624,000000,44.631,47.083,42.743,42.841,1108,0
SHG,D,20080625,000000,44.631,47.035,43.013,44.018,687,0
SHG,D,20080626,000000,45.514,47.035,43.16,43.16,558,0
SHG,D,20080627,000000,41.689,44.68,41.689,44.68,458,0
SHG,D,20080630,000000,44.143,46.591,42.667,42.667,1063,0
SHG,D,20080701,000000,46.103,46.544,42.767,44.435,917,0
SHG,D,20080702,000000,42.718,46.593,42.718,46.593,698,0
SHG,D,20080703,000000,46.544,46.568,42.718,43.724,683,0
SHG,D,20080704,000000,42.694,46.593,42.694,45.465,1158,0
SHG,D,20080707,000000,42.718,46.593,42.694,45.465,918,0
SHG,D,20080708,000000,44.141,46.568,42.694,46.103,690,0
SHG,D,20080709,000000,46.103,46.103,42.718,44.754,697,0
SHG,D,20080710,000000,42.694,46.078,42.694,44.974,458,0
SHG,D,20080711,000000,42.718,46.103,42.718,42.792,697,0
SHG,D,20080714,000000,46.078,46.103,41.713,46.103,698,0
SHG,D,20080715,000000,44.141,44.631,41.198,44.631,450,0
SHG,D,20080716,000000,43.65,43.65,39.236,43.552,1885,0
SHG,D,20080717,000000,43.16,43.16,42.571,42.67,23,0
SHG,D,20080718,000000,39.236,41.689,38.501,38.501,672,0
SHG,D,20080721,000000,41.689,41.689,41.689,41.689,208,0
SHG,D,20080722,000000,38.501,41.689,38.501,41.689,63,0
SHG,D,20080723,000000,41.689,41.689,41.689,41.689,880,0
SHG,D,20080724,000000,41.689,41.689,40.708,40.708,28,0
SHG,D,20080725,000000,40.708,40.708,40.708,40.708,203,0
SHG,D,20080728,000000,40.708,40.708,40.708,40.708,292,0
SHG,D,20080729,000000,40.708,40.708,40.708,40.708,2,0
SHG,D,20080730,000000,40.708,40.708,40.217,40.217,33,0
SHG,D,20080731,000000,40.705,40.705,40.705,40.705,3,0
SHG,D,20080801,000000,38.795,38.795,38.795,38.795,2,0
SHG,D,20080804,000000,40.708,40.708,38.108,38.108,268,0
SHG,D,20080805,000000,40.658,40.658,37.814,39.481,528,0
SHG,D,20080806,000000,40.462,40.462,35.312,35.901,1260,0
SHG,D,20080807,000000,39.236,39.236,35.558,36.784,1017,0
SHG,D,20080808,000000,38.255,38.255,34.822,38.255,592,0
SHG,D,20080811,000000,38.255,38.255,34.822,35.656,913,0
SHG,D,20080812,000000,36.293,37.765,36.293,37.765,585,0
SHG,D,20080813,000000,38.257,38.257,37.765,37.765,123,0
SHG,D,20080814,000000,35.508,37.765,35.508,37.765,342,0
SHG,D,20080818,000000,38.231,38.231,38.231,38.231,17,0
SHG,D,20080819,000000,38.205,38.231,37.765,37.765,322,0
SHG,D,20080820,000000,39.862,39.862,36.755,36.755,1023,0
SHG,D,20080821,000000,36.755,36.755,36.755,36.755,593,0
SHG,D,20080822,000000,38.308,38.308,38.308,38.308,2,0
SHG,D,20080825,000000,37.273,37.765,36.755,36.755,2463,0
SHG,D,20080826,000000,36.755,36.755,35.72,36.755,1090,0
SHG,D,20080827,000000,36.73,36.73,36.73,36.73,3,0
