<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKA,D,20031229,000000,14.172,15.172,14.172,14.954,220080,0
SKA,D,20031230,000000,15.172,16.234,15.172,16.234,226788,0
SKA,D,20031231,000000,16.46,16.959,15.735,15.844,269480,0
SKA,D,20040102,000000,15.62,15.902,15.062,15.902,111960,0
SKA,D,20040105,000000,15.62,15.735,15.062,15.62,159744,0
SKA,D,20040106,000000,15.345,15.953,15.229,15.62,134742,0
SKA,D,20040107,000000,15.62,15.953,15.563,15.676,77113,0
SKA,D,20040108,000000,15.676,15.844,15.396,15.396,119519,0
SKA,D,20040109,000000,15.286,15.345,14.954,15.172,132639,0
SKA,D,20040112,000000,15.062,15.229,14.954,15.062,58575,0
SKA,D,20040113,000000,15.12,15.286,15.062,15.062,56761,0
SKA,D,20040114,000000,15.12,15.12,14.895,14.895,39329,0
SKA,D,20040115,000000,14.787,14.787,14.448,14.671,64425,0
SKA,D,20040116,000000,14.563,14.563,14.338,14.338,78968,0
SKA,D,20040119,000000,14.172,14.563,14.172,14.448,37032,0
SKA,D,20040120,000000,14.397,14.895,14.397,14.895,39256,0
SKA,D,20040121,000000,14.954,15.005,14.787,14.839,19106,0
SKA,D,20040122,000000,14.954,15.062,14.839,15.062,35425,0
SKA,D,20040123,000000,15.062,15.286,14.954,15.12,64295,0
SKA,D,20040126,000000,15.062,15.454,14.895,15.396,111135,0
SKA,D,20040127,000000,15.396,15.396,15.229,15.345,42231,0
SKA,D,20040128,000000,15.286,15.286,14.839,15.005,81886,0
SKA,D,20040129,000000,14.787,14.954,14.671,14.895,56416,0
SKA,D,20040130,000000,15.005,15.062,14.839,15.005,12069,0
SKA,D,20040202,000000,14.895,15.396,14.895,15.345,59550,0
SKA,D,20040203,000000,15.12,15.396,15.062,15.062,16096,0
SKA,D,20040204,000000,15.062,15.229,15.005,15.172,16810,0
SKA,D,20040205,000000,15.12,15.229,15.062,15.229,17918,0
SKA,D,20040206,000000,15.345,15.735,15.286,15.62,170487,0
SKA,D,20040209,000000,15.676,15.902,15.676,15.844,87073,0
SKA,D,20040210,000000,16.01,16.01,15.62,15.735,67149,0
SKA,D,20040211,000000,15.676,15.787,15.511,15.676,23910,0
SKA,D,20040212,000000,15.62,15.735,15.563,15.735,17610,0
SKA,D,20040213,000000,15.676,15.735,15.563,15.563,23700,0
SKA,D,20040216,000000,15.62,15.676,15.454,15.676,20887,0
SKA,D,20040217,000000,15.735,15.787,15.62,15.787,48469,0
SKA,D,20040218,000000,15.787,15.844,15.511,15.735,26352,0
SKA,D,20040219,000000,15.62,15.735,15.511,15.62,22757,0
SKA,D,20040220,000000,15.511,15.62,15.396,15.62,9214,0
SKA,D,20040223,000000,15.62,15.676,15.454,15.62,24768,0
SKA,D,20040224,000000,15.62,15.62,15.345,15.396,17061,0
SKA,D,20040225,000000,15.345,15.454,15.172,15.229,11956,0
SKA,D,20040226,000000,15.229,15.563,15.229,15.511,12705,0
SKA,D,20040227,000000,15.563,15.676,15.396,15.676,60223,0
SKA,D,20040301,000000,15.62,15.953,15.563,15.902,87096,0
SKA,D,20040302,000000,15.902,16.01,15.735,15.787,24518,0
SKA,D,20040303,000000,15.902,16.068,15.676,15.953,28072,0
SKA,D,20040304,000000,15.953,16.01,15.902,15.953,26898,0
SKA,D,20040305,000000,15.953,15.953,15.735,15.844,41126,0
SKA,D,20040308,000000,15.844,15.844,15.345,15.676,63259,0
SKA,D,20040309,000000,15.735,15.902,15.735,15.787,56726,0
SKA,D,20040310,000000,15.787,16.01,15.787,15.902,24348,0
SKA,D,20040311,000000,15.787,15.844,15.511,15.676,54432,0
SKA,D,20040312,000000,15.62,15.902,15.62,15.902,72790,0
SKA,D,20040315,000000,15.902,15.953,15.676,15.676,30319,0
SKA,D,20040316,000000,15.563,15.787,15.563,15.62,20062,0
SKA,D,20040317,000000,15.902,16.46,15.676,16.46,78439,0
SKA,D,20040318,000000,16.734,17.464,16.567,16.682,231951,0
SKA,D,20040319,000000,16.79,16.849,15.787,16.175,72686,0
SKA,D,20040322,000000,15.953,16.401,15.902,16.292,33110,0
SKA,D,20040323,000000,16.292,16.624,16.292,16.567,17510,0
SKA,D,20040324,000000,16.734,17.016,16.46,16.849,40947,0
SKA,D,20040325,000000,17.016,17.016,16.567,16.79,8319,0
SKA,D,20040326,000000,16.734,17.182,16.734,16.907,31832,0
SKA,D,20040329,000000,16.959,17.464,16.959,17.464,41153,0
SKA,D,20040330,000000,17.573,17.797,17.349,17.739,47782,0
SKA,D,20040331,000000,17.739,17.739,17.24,17.573,64152,0
SKA,D,20040401,000000,17.297,17.739,17.297,17.682,13956,0
SKA,D,20040402,000000,17.797,18.245,17.629,18.021,49306,0
SKA,D,20040405,000000,18.131,18.412,17.964,18.412,27474,0
SKA,D,20040406,000000,18.412,19.417,18.296,19.026,112320,0
SKA,D,20040407,000000,19.135,19.135,18.853,19.026,58971,0
SKA,D,20040408,000000,19.026,19.526,18.969,19.468,35952,0
SKA,D,20040413,000000,19.806,20.084,19.526,19.584,51164,0
SKA,D,20040414,000000,19.301,19.301,19.079,19.079,20589,0
SKA,D,20040415,000000,19.079,19.806,19.079,19.526,24381,0
SKA,D,20040416,000000,19.584,19.584,19.135,19.301,9816,0
SKA,D,20040419,000000,19.135,19.417,19.079,19.135,16718,0
SKA,D,20040420,000000,19.468,19.468,19.026,19.193,21214,0
SKA,D,20040421,000000,19.026,19.245,19.026,19.079,26452,0
SKA,D,20040422,000000,19.026,19.135,18.911,18.911,62180,0
SKA,D,20040423,000000,18.969,19.079,18.911,19.079,32036,0
SKA,D,20040426,000000,18.969,19.193,18.911,19.026,12196,0
SKA,D,20040427,000000,19.026,19.245,19.026,19.193,32964,0
SKA,D,20040428,000000,19.193,19.193,19.079,19.135,8806,0
SKA,D,20040429,000000,19.079,19.135,18.911,19.135,71163,0
SKA,D,20040430,000000,18.853,19.026,18.853,19.026,5522,0
SKA,D,20040504,000000,18.969,19.584,18.969,19.301,20944,0
SKA,D,20040505,000000,19.526,19.526,19.135,19.135,23068,0
SKA,D,20040506,000000,18.969,18.969,18.245,18.802,31870,0
SKA,D,20040507,000000,18.52,18.911,18.412,18.637,22216,0
SKA,D,20040510,000000,17.297,17.739,17.016,17.682,45237,0
SKA,D,20040511,000000,16.344,17.406,16.344,17.297,47165,0
SKA,D,20040512,000000,17.297,17.515,17.182,17.297,9953,0
SKA,D,20040513,000000,17.182,17.464,17.124,17.297,76992,0
SKA,D,20040514,000000,17.016,17.515,17.016,17.406,76926,0
SKA,D,20040517,000000,17.297,18.071,17.016,18.071,8402,0
SKA,D,20040518,000000,18.131,19.193,18.131,18.637,31593,0
SKA,D,20040519,000000,18.969,19.079,18.637,18.637,12024,0
SKA,D,20040520,000000,18.637,18.637,17.906,18.637,8685,0
SKA,D,20040521,000000,18.911,18.969,18.464,18.802,13815,0
SKA,D,20040524,000000,18.802,18.802,18.464,18.464,2322,0
SKA,D,20040525,000000,18.464,18.687,18.464,18.464,20120,0
SKA,D,20040526,000000,18.412,18.687,18.412,18.687,6648,0
SKA,D,20040527,000000,18.687,18.802,18.52,18.52,3340,0
SKA,D,20040528,000000,18.687,18.802,18.687,18.802,8528,0
SKA,D,20040531,000000,18.412,18.969,18.412,18.802,5490,0
SKA,D,20040601,000000,18.464,18.802,18.464,18.802,4468,0
SKA,D,20040602,000000,18.464,19.359,18.464,19.193,71651,0
SKA,D,20040603,000000,19.026,19.026,18.853,18.969,7703,0
SKA,D,20040604,000000,18.911,19.245,18.911,19.193,2500,0
SKA,D,20040607,000000,19.245,19.301,18.911,18.969,11186,0
SKA,D,20040608,000000,19.135,19.135,18.637,18.969,5836,0
SKA,D,20040609,000000,18.911,18.911,18.637,18.687,17306,0
SKA,D,20040611,000000,18.853,18.853,18.52,18.853,1341,0
SKA,D,20040614,000000,18.853,18.853,18.464,18.802,21903,0
SKA,D,20040615,000000,18.464,18.687,18.464,18.637,897,0
SKA,D,20040616,000000,18.637,18.687,18.464,18.687,8411,0
SKA,D,20040617,000000,18.464,18.687,18.131,18.412,3077,0
SKA,D,20040618,000000,18.412,18.412,18.131,18.412,1049,0
SKA,D,20040621,000000,18.131,18.579,18.131,18.579,2944,0
SKA,D,20040622,000000,18.412,18.579,18.412,18.579,1355,0
SKA,D,20040623,000000,18.579,18.637,18.412,18.412,3008,0
SKA,D,20040624,000000,18.687,18.969,18.464,18.464,3960,0
SKA,D,20040625,000000,18.637,19.079,18.412,19.079,31775,0
SKA,D,20040628,000000,18.853,19.245,18.744,19.245,46792,0
SKA,D,20040629,000000,19.245,19.417,18.969,19.417,10277,0
SKA,D,20040630,000000,19.245,19.301,19.135,19.301,16214,0
SKA,D,20040701,000000,18.969,19.026,18.969,19.026,2634,0
SKA,D,20040702,000000,18.853,19.301,18.802,19.301,9931,0
SKA,D,20040705,000000,19.245,19.245,18.853,19.245,1184,0
SKA,D,20040706,000000,19.245,19.301,19.245,19.245,3997,0
SKA,D,20040707,000000,18.969,18.969,18.853,18.969,8348,0
SKA,D,20040708,000000,19.026,19.359,18.969,19.301,18495,0
SKA,D,20040709,000000,19.026,19.417,19.026,19.193,19141,0
SKA,D,20040712,000000,19.026,19.417,18.579,18.802,52003,0
SKA,D,20040713,000000,18.853,19.079,18.802,19.079,135424,0
SKA,D,20040714,000000,19.135,19.135,18.579,19.079,3650,0
SKA,D,20040715,000000,19.135,19.193,18.802,18.802,10113,0
SKA,D,20040716,000000,18.744,19.079,18.744,19.079,4944,0
SKA,D,20040719,000000,18.802,19.026,18.744,19.026,212180,0
SKA,D,20040720,000000,18.744,19.026,18.744,18.969,2040,0
SKA,D,20040721,000000,18.969,19.245,18.911,19.245,6882,0
SKA,D,20040722,000000,19.193,19.193,18.969,19.193,3552,0
SKA,D,20040723,000000,19.245,19.417,18.969,19.359,18713,0
SKA,D,20040726,000000,19.245,19.417,18.969,19.301,3518,0
SKA,D,20040727,000000,18.969,19.079,18.969,18.969,1744,0
SKA,D,20040728,000000,18.744,19.079,18.744,18.802,57039,0
SKA,D,20040729,000000,18.802,18.802,17.855,18.412,195210,0
SKA,D,20040730,000000,18.464,18.464,18.245,18.296,18229,0
SKA,D,20040802,000000,18.296,18.412,18.187,18.187,362,0
SKA,D,20040803,000000,17.906,18.412,17.739,18.412,3357,0
SKA,D,20040804,000000,18.296,18.355,17.906,18.245,1010,0
SKA,D,20040805,000000,17.855,18.131,17.573,17.855,12471,0
SKA,D,20040806,000000,17.855,17.855,17.24,17.24,7296,0
SKA,D,20040809,000000,17.016,17.016,16.401,16.907,14341,0
SKA,D,20040810,000000,16.734,16.959,16.682,16.959,9644,0
SKA,D,20040811,000000,16.79,16.79,16.46,16.46,23539,0
SKA,D,20040812,000000,16.46,16.567,16.46,16.567,45806,0
SKA,D,20040813,000000,16.624,16.624,15.953,16.401,18190,0
SKA,D,20040816,000000,16.401,16.567,16.175,16.567,2473,0
SKA,D,20040817,000000,16.682,16.734,16.517,16.624,31045,0
SKA,D,20040818,000000,16.624,16.734,16.517,16.734,19851,0
SKA,D,20040819,000000,16.734,17.016,16.567,16.734,8510,0
SKA,D,20040820,000000,16.624,17.016,16.624,17.016,6305,0
SKA,D,20040823,000000,17.016,17.073,16.734,16.959,4822,0
SKA,D,20040824,000000,16.959,17.297,16.907,17.297,22864,0
SKA,D,20040825,000000,17.297,17.464,17.182,17.182,11421,0
SKA,D,20040826,000000,17.182,17.297,17.073,17.24,1789,0
SKA,D,20040827,000000,17.016,17.182,17.016,17.124,1437,0
SKA,D,20040830,000000,17.073,17.573,17.016,17.573,93780,0
SKA,D,20040831,000000,17.297,17.515,17.124,17.515,43336,0
SKA,D,20040901,000000,17.515,17.515,17.297,17.406,1012,0
SKA,D,20040902,000000,17.124,17.297,17.016,17.297,71225,0
SKA,D,20040903,000000,17.297,17.297,16.734,16.849,4780,0
SKA,D,20040906,000000,17.073,17.182,17.016,17.182,1399,0
SKA,D,20040907,000000,17.24,17.406,17.182,17.297,16306,0
SKA,D,20040908,000000,17.297,17.573,17.297,17.406,4647,0
SKA,D,20040909,000000,17.573,17.964,17.464,17.464,12502,0
SKA,D,20040910,000000,17.464,17.682,17.464,17.573,171,0
SKA,D,20040913,000000,17.349,17.573,17.297,17.573,3869,0
SKA,D,20040914,000000,17.297,17.406,17.124,17.349,71857,0
SKA,D,20040915,000000,17.124,17.297,17.124,17.124,2318,0
SKA,D,20040916,000000,17.073,17.073,17.016,17.016,1326,0
