<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKT,D,19990111,000000,0.78,0.78,0.78,0.78,162938,0
SKT,D,19990112,000000,0.76,0.76,0.76,0.76,133326,0
SKT,D,19990113,000000,0.68,0.68,0.68,0.68,12701,0
SKT,D,19990114,000000,0.62,0.62,0.62,0.62,16723,0
SKT,D,19990115,000000,0.56,0.56,0.56,0.56,15877,0
SKT,D,19990118,000000,0.62,0.62,0.62,0.62,15065,0
SKT,D,19990119,000000,0.62,0.62,0.62,0.62,14148,0
SKT,D,19990120,000000,0.6,0.6,0.6,0.6,7056,0
SKT,D,19990121,000000,0.58,0.58,0.58,0.58,38362,0
SKT,D,19990122,000000,0.56,0.56,0.56,0.56,12243,0
SKT,D,19990125,000000,0.56,0.56,0.56,0.56,5516,0
SKT,D,19990126,000000,0.58,0.58,0.58,0.58,14218,0
SKT,D,19990127,000000,0.6,0.6,0.6,0.6,11819,0
SKT,D,19990128,000000,0.6,0.6,0.6,0.6,1764,0
SKT,D,19990129,000000,0.6,0.6,0.6,0.6,3528,0
SKT,D,19990201,000000,0.54,0.54,0.54,0.54,8962,0
SKT,D,19990202,000000,0.58,0.58,0.58,0.58,8268,0
SKT,D,19990203,000000,0.58,0.58,0.58,0.58,15559,0
SKT,D,19990204,000000,0.56,0.56,0.56,0.56,2787,0
SKT,D,19990205,000000,0.52,0.52,0.52,0.52,8844,0
SKT,D,19990208,000000,0.52,0.52,0.52,0.52,17711,0
SKT,D,19990209,000000,0.54,0.54,0.54,0.54,3669,0
SKT,D,19990210,000000,0.54,0.54,0.54,0.54,3528,0
SKT,D,19990211,000000,0.56,0.56,0.56,0.56,2082,0
SKT,D,19990212,000000,0.54,0.54,0.54,0.54,3834,0
SKT,D,19990215,000000,0.54,0.54,0.54,0.54,9726,0
SKT,D,19990216,000000,0.54,0.54,0.54,0.54,6798,0
SKT,D,19990217,000000,0.54,0.54,0.54,0.54,12560,0
SKT,D,19990218,000000,0.54,0.54,0.54,0.54,1376,0
SKT,D,19990219,000000,0.54,0.54,0.54,0.54,31130,0
SKT,D,19990222,000000,0.54,0.54,0.54,0.54,63976,0
SKT,D,19990223,000000,0.54,0.54,0.54,0.54,30506,0
SKT,D,19990224,000000,0.54,0.54,0.54,0.54,12490,0
SKT,D,19990225,000000,0.54,0.54,0.54,0.54,7280,0
SKT,D,19990226,000000,0.54,0.54,0.54,0.54,3493,0
SKT,D,19990301,000000,0.54,0.54,0.54,0.54,21227,0
SKT,D,19990302,000000,0.52,0.52,0.52,0.52,20781,0
SKT,D,19990303,000000,0.54,0.54,0.54,0.54,13971,0
SKT,D,19990304,000000,0.54,0.54,0.54,0.54,8797,0
SKT,D,19990305,000000,0.56,0.56,0.56,0.56,88202,0
SKT,D,19990308,000000,0.58,0.58,0.58,0.58,24509,0
SKT,D,19990309,000000,0.6,0.6,0.6,0.6,104254,0
SKT,D,19990310,000000,0.6,0.6,0.6,0.6,81440,0
SKT,D,19990311,000000,0.62,0.62,0.62,0.62,56108,0
SKT,D,19990312,000000,0.68,0.68,0.68,0.68,72514,0
SKT,D,19990315,000000,0.74,0.74,0.74,0.74,109864,0
SKT,D,19990316,000000,0.7,0.7,0.7,0.7,174710,0
SKT,D,19990317,000000,0.72,0.72,0.72,0.72,119284,0
SKT,D,19990318,000000,0.7,0.7,0.7,0.7,77770,0
SKT,D,19990319,000000,0.64,0.64,0.64,0.64,70585,0
SKT,D,19990322,000000,0.64,0.64,0.64,0.64,59707,0
SKT,D,19990323,000000,0.58,0.58,0.58,0.58,86014,0
SKT,D,19990324,000000,0.6,0.6,0.6,0.6,42937,0
SKT,D,19990325,000000,0.62,0.62,0.62,0.62,50263,0
SKT,D,19990326,000000,0.62,0.62,0.62,0.62,159386,0
SKT,D,19990329,000000,0.62,0.62,0.62,0.62,68233,0
SKT,D,19990330,000000,0.6,0.6,0.6,0.6,188140,0
SKT,D,19990331,000000,0.6,0.6,0.6,0.6,89084,0
SKT,D,19990401,000000,0.58,0.58,0.58,0.58,141911,0
SKT,D,19990406,000000,0.58,0.58,0.58,0.58,25155,0
SKT,D,19990407,000000,0.58,0.58,0.58,0.58,39044,0
SKT,D,19990408,000000,0.58,0.58,0.58,0.58,40585,0
SKT,D,19990409,000000,0.6,0.6,0.6,0.6,12325,0
SKT,D,19990412,000000,0.62,0.62,0.62,0.62,46183,0
SKT,D,19990413,000000,0.64,0.64,0.64,0.64,19957,0
SKT,D,19990414,000000,0.64,0.64,0.64,0.64,28636,0
