<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLV,D,20110714,000000,1.5643,1.5839,1.4885,1.5165,421644,0
SLV,D,20110715,000000,1.5447,1.5587,1.4969,1.5418,29113,0
SLV,D,20110718,000000,1.4969,1.5306,1.4885,1.4885,70437,0
SLV,D,20110719,000000,1.5278,1.5278,1.5165,1.5278,1247,0
SLV,D,20110720,000000,1.5559,1.5559,1.5165,1.5165,1339,0
SLV,D,20110721,000000,1.5447,1.5447,1.4744,1.5138,75010,0
SLV,D,20110722,000000,1.4885,1.4885,1.3537,1.4464,129965,0
SLV,D,20110725,000000,1.5025,1.5025,1.4379,1.4379,16045,0
SLV,D,20110726,000000,1.5165,1.5165,1.5165,1.5165,207,0
SLV,D,20110727,000000,1.5165,1.5165,1.5165,1.5165,28,0
SLV,D,20110728,000000,1.5165,1.5165,1.5165,1.5165,82,0
SLV,D,20110729,000000,1.5165,1.5165,1.5165,1.5165,46,0
SLV,D,20110801,000000,1.7693,1.7693,1.5278,1.5278,72,0
SLV,D,20110802,000000,1.5447,1.5447,1.5447,1.5447,20,0
SLV,D,20110803,000000,1.5587,1.5587,1.4604,1.5165,16560,0
SLV,D,20110804,000000,1.5165,1.5165,1.4351,1.5138,18481,0
SLV,D,20110805,000000,1.4351,1.5165,1.4323,1.4323,37937,0
SLV,D,20110808,000000,1.4042,1.4042,1.4042,1.4042,3298,0
SLV,D,20110809,000000,1.5447,1.5447,1.3705,1.3705,8133,0
SLV,D,20110810,000000,1.5165,1.5165,1.2666,1.2666,13869,0
SLV,D,20110811,000000,1.3312,1.3312,1.2919,1.3312,2847,0
SLV,D,20110812,000000,1.4885,1.4885,1.4042,1.4042,1480,0
SLV,D,20110816,000000,1.4885,1.4885,1.3986,1.3986,11979,0
SLV,D,20110817,000000,1.4604,1.4604,1.4042,1.4042,681,0
SLV,D,20110818,000000,1.4604,1.4604,1.4604,1.4604,44,0
SLV,D,20110819,000000,1.4042,1.4604,1.4042,1.4604,996,0
SLV,D,20110822,000000,1.4604,1.4604,1.4604,1.4604,79,0
SLV,D,20110823,000000,1.4857,1.4857,1.4857,1.4857,46,0
SLV,D,20110824,000000,1.4801,1.4801,1.4014,1.4801,5616,0
SLV,D,20110825,000000,1.4323,1.4323,1.4323,1.4323,356,0
SLV,D,20110826,000000,1.4828,1.4828,1.4828,1.4828,54,0
SLV,D,20110829,000000,1.4716,1.4716,1.4716,1.4716,44,0
SLV,D,20110830,000000,1.4716,1.4828,1.4716,1.4828,8189,0
SLV,D,20110831,000000,1.4801,1.4801,1.4801,1.4801,54,0
SLV,D,20110901,000000,1.4828,1.4828,1.4828,1.4828,74,0
SLV,D,20110902,000000,1.4828,1.4828,1.3986,1.4828,37983,0
SLV,D,20110905,000000,1.4828,1.4828,1.4828,1.4828,28,0
SLV,D,20110906,000000,1.4828,1.4828,1.4828,1.4828,18,0
SLV,D,20110907,000000,1.4042,1.4042,1.4042,1.4042,54,0
SLV,D,20110908,000000,1.4042,1.4042,1.4042,1.4042,26,0
SLV,D,20110909,000000,1.4042,1.4042,1.4042,1.4042,26,0
SLV,D,20110912,000000,1.4885,1.4885,1.4885,1.4885,28,0
SLV,D,20110913,000000,1.4828,1.4828,1.4828,1.4828,18,0
SLV,D,20110914,000000,1.4801,1.4801,1.4801,1.4801,18,0
SLV,D,20110915,000000,1.4801,1.4801,1.4801,1.4801,26,0
SLV,D,20110916,000000,1.4716,1.4716,1.4716,1.4716,28,0
SLV,D,20110919,000000,1.4716,1.4716,1.4716,1.4716,38,0
SLV,D,20110920,000000,1.4716,1.4716,1.4716,1.4716,18,0
SLV,D,20110921,000000,1.4716,1.4716,1.4716,1.4716,44,0
SLV,D,20110922,000000,1.4828,1.4828,1.3902,1.3902,17835,0
SLV,D,20110923,000000,1.4828,1.4828,1.3762,1.3762,9303,0
SLV,D,20110927,000000,1.4828,1.4828,1.4828,1.4828,44,0
SLV,D,20110928,000000,1.4828,1.4828,1.4828,1.4828,18,0
SLV,D,20110929,000000,1.4828,1.4828,1.4828,1.4828,36,0
SLV,D,20110930,000000,1.4744,1.4744,1.4744,1.4744,28,0
SLV,D,20111003,000000,1.4828,1.4828,1.4828,1.4828,18,0
SLV,D,20111004,000000,1.4828,1.4828,1.4828,1.4828,38,0
SLV,D,20111005,000000,1.4828,1.539,1.4828,1.539,8440,0
SLV,D,20111006,000000,1.539,1.539,1.4716,1.5306,7674,0
SLV,D,20111007,000000,1.4323,1.539,1.4323,1.539,10686,0
SLV,D,20111010,000000,1.539,1.539,1.539,1.539,18,0
SLV,D,20111011,000000,1.539,1.539,1.539,1.539,33,0
SLV,D,20111012,000000,1.539,1.539,1.539,1.539,54,0
SLV,D,20111013,000000,1.5306,1.5306,1.5306,1.5306,56,0
SLV,D,20111014,000000,1.5306,1.5306,1.5306,1.5306,56,0
SLV,D,20111017,000000,1.5306,1.5306,1.5306,1.5306,28,0
SLV,D,20111018,000000,1.5306,1.5306,1.5306,1.5306,1826,0
SLV,D,20111019,000000,1.5138,1.5278,1.5138,1.5165,1662,0
SLV,D,20111020,000000,1.5165,1.5165,1.5165,1.5165,594,0
SLV,D,20111021,000000,1.5165,1.5165,1.5165,1.5165,274,0
SLV,D,20111024,000000,1.5165,1.5165,1.5165,1.5165,54,0
SLV,D,20111025,000000,1.5165,1.5165,1.5165,1.5165,54,0
SLV,D,20111026,000000,1.5165,1.5165,1.5165,1.5165,54,0
SLV,D,20111027,000000,1.5165,1.5165,1.5165,1.5165,64,0
SLV,D,20111028,000000,1.5165,1.5165,1.5165,1.5165,784,0
SLV,D,20111031,000000,1.5165,1.5278,1.5165,1.525,8445,0
SLV,D,20111102,000000,1.525,1.525,1.525,1.525,428,0
SLV,D,20111103,000000,1.525,1.525,1.525,1.525,67,0
SLV,D,20111104,000000,1.4885,1.525,1.4885,1.525,586,0
SLV,D,20111107,000000,1.525,1.525,1.525,1.525,72,0
SLV,D,20111108,000000,1.525,1.525,1.4604,1.4604,604,0
SLV,D,20111109,000000,1.525,1.525,1.525,1.525,82,0
SLV,D,20111110,000000,1.525,1.525,1.525,1.525,36,0
SLV,D,20111114,000000,1.525,1.525,1.525,1.525,428,0
SLV,D,20111115,000000,1.525,1.525,1.525,1.525,172,0
SLV,D,20111116,000000,1.525,1.525,1.4744,1.4885,1833,0
SLV,D,20111117,000000,1.5278,1.5278,1.5278,1.5278,110,0
SLV,D,20111118,000000,1.5306,1.5306,1.5306,1.5306,54,0
SLV,D,20111121,000000,1.5306,1.5306,1.5306,1.5306,54,0
SLV,D,20111122,000000,1.5306,1.5306,1.5306,1.5306,54,0
SLV,D,20111123,000000,1.4744,1.5306,1.4744,1.5306,1531,0
SLV,D,20111124,000000,1.4604,1.5165,1.4604,1.5165,3383,0
