<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SME,D,19981104,000000,2.5803,2.5803,1.6456,1.6456,19254,0
SME,D,19981105,000000,2.115,2.115,2.115,2.115,44574,0
SME,D,19981106,000000,2.1997,2.1997,1.8317,2.0685,10000,0
SME,D,19981109,000000,1.6921,1.6921,1.6921,1.6921,8299,0
SME,D,19981110,000000,1.6921,2.0897,1.6921,1.764,7659,0
SME,D,19981112,000000,1.6921,1.7386,1.6921,1.7386,3191,0
SME,D,19981116,000000,1.8317,1.8317,1.6921,1.6921,7508,0
SME,D,19981117,000000,1.6921,1.6921,1.6921,1.6921,3129,0
SME,D,19981119,000000,1.764,1.8104,1.6456,1.6456,19700,0
SME,D,19981120,000000,1.4087,1.4087,1.4087,1.4087,636,0
SME,D,19981123,000000,1.4087,1.4087,1.4087,1.4087,1065,0
SME,D,19981124,000000,1.4087,1.4087,1.4087,1.4087,319,0
SME,D,19981126,000000,1.3875,1.3875,1.3621,1.3621,1233,0
SME,D,19981127,000000,1.4087,1.4087,1.3621,1.4087,8404,0
SME,D,19981130,000000,1.341,1.341,1.341,1.341,425,0
SME,D,19981203,000000,1.341,1.341,1.341,1.341,1065,0
SME,D,19981208,000000,1.3198,1.3198,1.2014,1.2691,20213,0
SME,D,19981209,000000,1.7386,1.7386,1.7386,1.7386,212,0
SME,D,19981210,000000,1.176,1.176,1.0829,1.0829,5106,0
SME,D,19981211,000000,0.9644,1.0829,0.9391,1.0829,13894,0
SME,D,19981217,000000,1.176,1.176,1.176,1.176,319,0
SME,D,19981218,000000,1.176,1.176,1.176,1.176,1745,0
SME,D,19981222,000000,1.2225,1.2225,1.2225,1.2225,4254,0
SME,D,19981223,000000,1.2691,1.3157,1.2014,1.2014,6829,0
SME,D,19981229,000000,1.2225,1.2225,1.2225,1.2225,959,0
SME,D,19981231,000000,1.2691,1.2691,1.2691,1.2691,679,0
SME,D,19990105,000000,1.1294,1.1294,1.1294,1.1294,212,0
SME,D,19990107,000000,1.176,1.176,1.176,1.176,1065,0
SME,D,19990108,000000,1.0448,1.4044,1.0448,1.4044,39255,0
SME,D,19990111,000000,1.4087,1.4087,1.2732,1.2732,52126,0
SME,D,19990112,000000,1.506,1.5271,1.4087,1.5271,9318,0
SME,D,19990115,000000,1.6413,1.6456,1.506,1.5525,26595,0
SME,D,19990118,000000,1.5355,1.6074,1.5355,1.5821,11701,0
SME,D,19990119,000000,1.6413,1.6413,1.6413,1.6413,848,0
SME,D,19990120,000000,1.7852,1.7852,1.7852,1.7852,2128,0
SME,D,19990121,000000,1.8783,1.8783,1.8783,1.8783,1065,0
SME,D,19990125,000000,1.7852,1.7852,1.7852,1.7852,42765,0
SME,D,19990126,000000,1.7852,1.8317,1.7852,1.8317,1278,0
SME,D,19990129,000000,1.6456,1.6456,1.6033,1.6033,39255,0
SME,D,19990202,000000,1.8783,1.8783,1.8317,1.8317,1914,0
SME,D,19990204,000000,1.7852,1.8528,1.7852,1.8104,9978,0
SME,D,19990208,000000,1.7852,1.7852,1.7852,1.7852,2128,0
SME,D,19990210,000000,1.7852,1.7852,1.7852,1.7852,212,0
SME,D,19990211,000000,1.7852,1.7852,1.7852,1.7852,1065,0
SME,D,19990212,000000,1.8104,1.8317,1.8104,1.8104,2768,0
SME,D,19990216,000000,1.8104,1.8104,1.7852,1.7852,1447,0
SME,D,19990217,000000,1.8104,1.8104,1.7852,1.7852,4254,0
SME,D,19990218,000000,1.7894,1.7894,1.6244,1.6244,1172,0
SME,D,19990222,000000,1.8021,1.8021,1.7936,1.7936,2551,0
SME,D,19990226,000000,1.8021,1.8021,1.8021,1.8021,636,0
SME,D,19990301,000000,1.8104,1.8104,1.8104,1.8104,1894,0
SME,D,19990302,000000,1.857,1.857,1.8104,1.8104,2361,0
SME,D,19990303,000000,1.8104,1.8104,1.8104,1.8104,1000,0
SME,D,19990304,000000,1.7894,1.7894,1.7894,1.7894,2128,0
SME,D,19990310,000000,1.8104,1.8104,1.8104,1.8104,2128,0
SME,D,19990311,000000,1.7386,1.7386,1.7175,1.7386,9573,0
SME,D,19990312,000000,1.7386,1.7386,1.7386,1.7386,2128,0
SME,D,19990315,000000,1.7386,1.857,1.7386,1.8062,129250,0
SME,D,19990316,000000,1.7386,1.7386,1.7175,1.7175,15532,0
SME,D,19990319,000000,1.7217,1.7217,1.7217,1.7217,1065,0
SME,D,19990322,000000,1.7386,1.7386,1.7386,1.7386,4254,0
SME,D,19990323,000000,1.7386,1.7386,1.7386,1.7386,6808,0
SME,D,19990324,000000,1.7175,1.7386,1.7175,1.7386,39255,0
SME,D,19990330,000000,1.6456,1.6456,1.6456,1.6456,1701,0
SME,D,19990331,000000,1.6456,1.6456,1.6456,1.6456,1065,0
SME,D,19990401,000000,1.6456,1.6456,1.6456,1.6456,7447,0
SME,D,19990407,000000,1.6201,1.6201,1.6201,1.6201,1914,0
SME,D,19990412,000000,1.6456,1.7386,1.6456,1.7386,12765,0
SME,D,19990413,000000,1.6456,1.7386,1.6456,1.7386,22979,0
SME,D,19990414,000000,1.7386,1.7852,1.7301,1.7852,20424,0
SME,D,19990415,000000,1.781,1.7852,1.781,1.7852,5426,0
SME,D,19990416,000000,1.8317,1.8783,1.8317,1.8783,4895,0
SME,D,19990419,000000,1.9205,1.929,1.9205,1.9205,9787,0
SME,D,19990420,000000,1.8783,1.9205,1.8783,1.8783,7913,0
SME,D,19990421,000000,1.929,1.929,1.9205,1.9205,4254,0
SME,D,19990422,000000,1.929,1.929,1.929,1.929,3276,0
SME,D,19990423,000000,1.929,1.9501,1.8783,1.9501,13681,0
SME,D,19990426,000000,1.929,1.9501,1.8908,1.9501,11490,0
SME,D,19990427,000000,1.9501,1.9755,1.9501,1.9755,5191,0
SME,D,19990428,000000,1.9755,1.9755,1.9755,1.9755,4083,0
SME,D,19990429,000000,1.9755,2.0221,1.9755,1.9755,15700,0
SME,D,19990430,000000,2.0221,2.115,2.0221,2.115,2980,0
SME,D,19990504,000000,2.115,3.0458,2.115,3.0458,27038,0
SME,D,19990505,000000,3.1513,5.2242,3.1513,5.1184,67015,0
SME,D,19990506,000000,5.6473,5.6473,4.6954,4.9281,51710,0
SME,D,19990507,000000,5.0762,5.0762,4.6532,4.9069,17527,0
SME,D,19990510,000000,4.8858,4.8858,4.3994,4.3994,10539,0
SME,D,19990511,000000,4.3147,4.6532,3.8072,4.3782,9794,0
SME,D,19990512,000000,4.2936,4.3994,4.2302,4.3147,12472,0
SME,D,19990513,000000,4.4205,4.6743,4.3994,4.5051,25379,0
SME,D,19990514,000000,4.5263,4.8436,4.5051,4.6532,29361,0
SME,D,19990517,000000,4.6743,5.0974,4.6743,4.8012,20201,0
SME,D,19990518,000000,5.1608,5.6473,5.1395,5.5415,22168,0
SME,D,19990519,000000,5.0339,6.9586,5.0339,6.9374,39974,0
SME,D,19990520,000000,6.1125,8.2276,6.1125,7.5296,55885,0
SME,D,19990521,000000,7.7621,8.0369,6.8104,7.4028,28552,0
SME,D,19990524,000000,7.424,7.6142,7.3394,7.3394,16238,0
SME,D,19990525,000000,7.2758,7.2758,6.6836,6.8529,28077,0
SME,D,19990526,000000,7.1067,7.1067,6.5778,6.8104,14900,0
