<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNW,D,19980212,000000,14.64,14.64,14.64,14.64,17166,0
SNW,D,19980213,000000,13.224,13.224,13.224,13.224,12106,0
SNW,D,19980216,000000,13.332,13.332,13.332,13.332,6282,0
SNW,D,19980217,000000,12.948,12.948,12.948,12.948,3344,0
SNW,D,19980218,000000,12.24,12.24,12.24,12.24,2411,0
SNW,D,19980219,000000,12.792,12.792,12.792,12.792,4882,0
SNW,D,19980220,000000,13.056,13.056,13.056,13.056,17712,0
SNW,D,19980223,000000,12.9,12.9,12.9,12.9,13057,0
SNW,D,19980224,000000,12.792,12.792,12.792,12.792,7798,0
SNW,D,19980225,000000,12.516,12.516,12.516,12.516,6578,0
SNW,D,19980226,000000,12.576,12.576,12.576,12.576,4410,0
SNW,D,19980227,000000,12.468,12.468,12.468,12.468,1294,0
SNW,D,19980302,000000,12.516,12.516,12.516,12.516,3848,0
SNW,D,19980303,000000,12.624,12.624,12.624,12.624,2427,0
SNW,D,19980304,000000,12.468,12.468,12.468,12.468,2389,0
SNW,D,19980305,000000,12.024,12.024,12.024,12.024,1720,0
SNW,D,19980306,000000,11.052,11.052,11.052,11.052,735,0
SNW,D,19980309,000000,11.7,11.7,11.7,11.7,4089,0
SNW,D,19980310,000000,11.532,11.532,11.532,11.532,3831,0
SNW,D,19980311,000000,11.7,11.7,11.7,11.7,1911,0
SNW,D,19980312,000000,11.916,11.916,11.916,11.916,10575,0
SNW,D,19980313,000000,12.24,12.24,12.24,12.24,21627,0
SNW,D,19980316,000000,12.24,12.24,12.24,12.24,17761,0
SNW,D,19980317,000000,12.132,12.132,12.132,12.132,15904,0
SNW,D,19980318,000000,11.316,11.316,11.316,11.316,4594,0
SNW,D,19980319,000000,11.1,11.1,11.1,11.1,6079,0
SNW,D,19980320,000000,10.884,10.884,10.884,10.884,2076,0
SNW,D,19980323,000000,10.284,10.284,10.284,10.284,11389,0
SNW,D,19980324,000000,10.344,10.344,10.344,10.344,16402,0
SNW,D,19980325,000000,10.344,10.344,10.344,10.344,10858,0
SNW,D,19980326,000000,10.176,10.176,10.176,10.176,12495,0
SNW,D,19980327,000000,9.684,9.684,9.684,9.684,3592,0
SNW,D,19980330,000000,9.576,9.576,9.576,9.576,2802,0
SNW,D,19980331,000000,9.36,9.36,9.36,9.36,4796,0
SNW,D,19980401,000000,8.82,8.82,8.82,8.82,2756,0
SNW,D,19980402,000000,8.712,8.712,8.712,8.712,4383,0
