<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOL,D,20120419,000000,128.75,130.73,125.35,130.54,17179,0
SOL,D,20120420,000000,130.54,132.53,127.42,131.11,3469,0
SOL,D,20120423,000000,131.39,131.39,126.86,127.81,807,0
SOL,D,20120424,000000,127.81,128.75,127.34,127.34,736,0
SOL,D,20120425,000000,127.34,129.31,127.34,129.31,1161,0
SOL,D,20120426,000000,127.34,129.6,127.34,129.6,95,0
SOL,D,20120427,000000,129.69,133.74,127.81,132.24,6152,0
SOL,D,20120430,000000,132.05,133.74,132.05,132.8,391,0
SOL,D,20120502,000000,132.71,133,131.11,132.8,1220,0
SOL,D,20120504,000000,132.8,132.8,132.05,132.24,159,0
SOL,D,20120507,000000,130.17,132.05,130.17,131.86,216,0
SOL,D,20120508,000000,130.17,130.91,127.52,130.91,413,0
SOL,D,20120509,000000,129.69,129.88,127.34,129.22,296,0
SOL,D,20120510,000000,130.44,130.44,130.35,130.44,25,0
SOL,D,20120511,000000,127.34,129.22,124.5,127.34,332,0
SOL,D,20120514,000000,127.34,127.34,126.39,126.86,168,0
SOL,D,20120515,000000,123.75,127.24,122.62,127.24,231,0
SOL,D,20120516,000000,124.5,127.34,122.72,124.03,1913,0
SOL,D,20120517,000000,124.03,127.62,122.8,127.34,1162,0
SOL,D,20120518,000000,124.5,126.39,118.18,126.39,490,0
SOL,D,20120521,000000,123.28,127.34,123.28,127.34,1188,0
SOL,D,20120522,000000,125.45,127.34,124.22,127.34,3704,0
SOL,D,20120523,000000,126.39,127.34,123.28,127.34,160,0
SOL,D,20120524,000000,127.24,127.24,123.93,126.77,252,0
SOL,D,20120525,000000,126.39,126.39,126.39,126.39,23,0
SOL,D,20120528,000000,123.28,125.45,123.28,125.45,435,0
SOL,D,20120529,000000,126.29,126.39,123.56,123.56,1240,0
SOL,D,20120530,000000,123.28,124.98,122.8,123.46,140,0
SOL,D,20120531,000000,123.46,123.46,121.77,122.52,162,0
SOL,D,20120601,000000,122.52,123.37,118.75,121.49,229,0
SOL,D,20120604,000000,121.39,122.72,119.7,121.39,32,0
SOL,D,20120605,000000,121.2,121.2,117.53,120.26,114,0
SOL,D,20120606,000000,117.24,120.26,117.24,120.17,1686,0
SOL,D,20120608,000000,120.26,127.34,120.26,127.34,392,0
SOL,D,20120611,000000,127.34,127.34,124.22,126.29,153,0
SOL,D,20120612,000000,124.5,124.5,123.19,123.19,76,0
SOL,D,20120613,000000,120.73,120.73,118.84,118.84,110,0
SOL,D,20120614,000000,119.79,119.79,119.79,119.79,42,0
SOL,D,20120615,000000,119.79,122.62,119.79,122.62,2,0
SOL,D,20120618,000000,119.6,122.43,119.6,122.43,93,0
SOL,D,20120619,000000,122.62,127.34,122.43,127.34,85,0
SOL,D,20120620,000000,124.22,125.45,122.62,125.45,145,0
SOL,D,20120621,000000,122.33,125.26,122.33,125.26,44,0
SOL,D,20120625,000000,122.15,124.5,115.92,124.5,233,0
SOL,D,20120626,000000,122.62,123.56,119.6,123.56,30,0
SOL,D,20120627,000000,124.03,125.45,124.03,125.45,132,0
SOL,D,20120629,000000,125.35,125.45,125.35,125.45,54,0
SOL,D,20120702,000000,125.54,126.86,122.43,125.45,106,0
SOL,D,20120703,000000,122.43,126.86,122.33,126.86,161,0
SOL,D,20120704,000000,123.75,123.75,123.75,123.75,61,0
SOL,D,20120705,000000,120.73,122.62,120.63,122.62,79,0
