<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPL,D,19930622,000000,5.3408,5.3408,5.3408,5.3408,1150811,0
SPL,D,19930624,000000,4.8771,4.8771,4.8771,4.8771,1020117,0
SPL,D,19930628,000000,4.8771,4.8771,4.8771,4.8771,485014,0
SPL,D,19930629,000000,5.1612,5.1612,5.1612,5.1612,392996,0
SPL,D,19930701,000000,5.3408,5.3408,5.3408,5.3408,636014,0
SPL,D,19930705,000000,5.5877,5.5877,5.5877,5.5877,412244,0
SPL,D,19930706,000000,5.6176,5.6176,5.6176,5.6176,288042,0
SPL,D,19930708,000000,5.0565,5.0565,5.0565,5.0565,312686,0
SPL,D,19930712,000000,5.1612,5.1612,5.1612,5.1612,147296,0
SPL,D,19930713,000000,5.1238,5.1238,5.1238,5.1238,188099,0
SPL,D,19930715,000000,5.0565,5.0565,5.0565,5.0565,340751,0
SPL,D,19930719,000000,5.0565,5.0565,5.0565,5.0565,290637,0
SPL,D,19930720,000000,4.9817,4.9817,4.9817,4.9817,355875,0
SPL,D,19930722,000000,5.0939,5.0939,5.0939,5.0939,411515,0
SPL,D,19930726,000000,5.0939,5.0939,5.0939,5.0939,267050,0
SPL,D,19930727,000000,5.019,5.019,5.019,5.019,203955,0
SPL,D,19930729,000000,5.0939,5.0939,5.0939,5.0939,268328,0
SPL,D,19930802,000000,5.1612,5.1612,5.1612,5.1612,216578,0
SPL,D,19930803,000000,5.1612,5.1612,5.1612,5.1612,230609,0
SPL,D,19930805,000000,5.1238,5.1238,5.1238,5.1238,239453,0
SPL,D,19930809,000000,5.6176,5.6176,5.6176,5.6176,624154,0
SPL,D,19930810,000000,6.186,6.186,6.186,6.186,0,0
SPL,D,19930812,000000,6.8219,6.8219,6.8219,6.8219,0,0
SPL,D,19930816,000000,7.4577,7.4577,7.4577,7.4577,762992,0
SPL,D,19930817,000000,8.2062,8.2062,8.2062,8.2062,961716,0
SPL,D,19930819,000000,8.9834,8.9834,8.9834,8.9834,651503,0
SPL,D,19930823,000000,9.791,9.791,9.791,9.791,0,0
SPL,D,19930824,000000,10.712,10.712,10.712,10.712,279574,0
SPL,D,19930826,000000,11.812,11.812,11.812,11.812,580121,0
SPL,D,19930830,000000,10.644,10.644,10.644,10.644,562720,0
SPL,D,19930831,000000,9.619,9.619,9.619,9.619,646725,0
SPL,D,19930902,000000,10.502,10.502,10.502,10.502,396293,0
SPL,D,19930906,000000,11.489,11.489,11.489,11.489,890022,0
SPL,D,19930907,000000,10.323,10.323,10.323,10.323,837494,0
SPL,D,19930909,000000,9.897,9.897,9.897,9.897,388022,0
SPL,D,19930913,000000,9.791,9.791,9.791,9.791,226045,0
SPL,D,19930914,000000,9.897,9.897,9.897,9.897,247956,0
SPL,D,19930916,000000,10.217,10.217,10.217,10.217,406774,0
SPL,D,19930920,000000,9.1927,9.1927,9.1927,9.1927,310848,0
SPL,D,19930921,000000,8.2728,8.2728,8.2728,8.2728,256020,0
SPL,D,19930923,000000,7.4577,7.4577,7.4577,7.4577,311000,0
SPL,D,19930927,000000,6.8592,6.8592,6.8592,6.8592,496223,0
SPL,D,19930928,000000,7.5324,7.5324,7.5324,7.5324,0,0
SPL,D,19930930,000000,8.2062,8.2062,8.2062,8.2062,336464,0
SPL,D,19931004,000000,8.9834,8.9834,8.9834,8.9834,761337,0
SPL,D,19931005,000000,9.4029,9.4029,9.4029,9.4029,726818,0
SPL,D,19931007,000000,9.4029,9.4029,9.4029,9.4029,775770,0
SPL,D,19931011,000000,9.972,9.972,9.972,9.972,739575,0
SPL,D,19931012,000000,10.57,10.57,10.57,10.57,656329,0
SPL,D,19931014,000000,10.57,10.57,10.57,10.57,558418,0
SPL,D,19931018,000000,11.421,11.421,11.421,11.421,1177816,0
SPL,D,19931019,000000,10.995,10.995,10.995,10.995,423119,0
SPL,D,19931021,000000,10.397,10.397,10.397,10.397,572037,0
SPL,D,19931026,000000,9.972,9.972,9.972,9.972,431752,0
SPL,D,19931028,000000,10.57,10.57,10.57,10.57,562481,0
SPL,D,19931102,000000,10.57,10.57,10.57,10.57,336267,0
SPL,D,19931104,000000,10.644,10.644,10.644,10.644,655878,0
SPL,D,19931108,000000,10.217,10.217,10.217,10.217,368634,0
SPL,D,19931109,000000,9.972,9.972,9.972,9.972,479743,0
SPL,D,19931110,000000,10.57,10.57,10.57,10.57,304102,0
SPL,D,19931115,000000,10.921,10.921,10.921,10.921,535809,0
SPL,D,19931116,000000,10.817,10.817,10.817,10.817,395142,0
SPL,D,19931118,000000,9.725,9.725,9.725,9.725,523375,0
SPL,D,19931122,000000,9.725,9.725,9.725,9.725,386482,0
SPL,D,19931123,000000,10.323,10.323,10.323,10.323,215831,0
SPL,D,19931125,000000,10.397,10.397,10.397,10.397,334058,0
SPL,D,19931129,000000,10.397,10.397,10.397,10.397,428193,0
SPL,D,19931130,000000,10.502,10.502,10.502,10.502,265817,0
SPL,D,19931202,000000,10.644,10.644,10.644,10.644,517591,0
SPL,D,19931206,000000,11.736,11.736,11.736,11.736,850626,0
SPL,D,19931207,000000,12.162,12.162,12.162,12.162,699017,0
SPL,D,19931209,000000,12.088,12.088,12.088,12.088,482336,0
SPL,D,19931213,000000,12.446,12.446,12.446,12.446,499823,0
SPL,D,19931214,000000,12.446,12.446,12.446,12.446,353770,0
SPL,D,19931216,000000,12.761,12.761,12.761,12.761,439552,0
SPL,D,19931220,000000,13.681,13.681,13.681,13.681,629930,0
SPL,D,19931221,000000,13.966,13.966,13.966,13.966,454715,0
SPL,D,19931223,000000,14.497,14.497,14.497,14.497,710304,0
SPL,D,19931227,000000,15.199,15.199,15.199,15.199,648035,0
SPL,D,19931228,000000,13.681,13.681,13.681,13.681,553952,0
SPL,D,19931230,000000,15.056,15.056,15.056,15.056,745210,0
SPL,D,19940103,000000,15.977,15.977,15.977,15.977,577393,0
SPL,D,19940104,000000,16.613,16.613,16.613,16.613,921837,0
SPL,D,19940106,000000,16.687,16.687,16.687,16.687,850669,0
SPL,D,19940110,000000,17.324,17.324,17.324,17.324,701618,0
SPL,D,19940111,000000,18.738,18.738,18.738,18.738,657869,0
SPL,D,19940113,000000,20.577,20.577,20.577,20.577,731572,0
SPL,D,19940117,000000,22.553,22.553,22.553,22.553,644723,0
SPL,D,19940118,000000,24.82,24.82,24.82,24.82,595673,0
SPL,D,19940120,000000,27.22,27.22,27.22,27.22,1104814,0
SPL,D,19940124,000000,26.659,26.659,26.659,26.659,600929,0
SPL,D,19940125,000000,27.361,27.361,27.361,27.361,573643,0
SPL,D,19940127,000000,30.124,30.124,30.124,30.124,1226762,0
SPL,D,19940131,000000,27.077,27.077,27.077,27.077,687524,0
SPL,D,19940201,000000,24.467,24.467,24.467,24.467,0,0
SPL,D,19940203,000000,22.059,22.059,22.059,22.059,1302704,0
SPL,D,19940207,000000,24.251,24.251,24.251,24.251,667066,0
SPL,D,19940208,000000,25.882,25.882,25.882,25.882,624698,0
SPL,D,19940210,000000,25.312,25.312,25.312,25.312,416539,0
SPL,D,19940214,000000,25.882,25.882,25.882,25.882,425511,0
SPL,D,19940215,000000,27.011,27.011,27.011,27.011,335807,0
SPL,D,19940217,000000,27.361,27.361,27.361,27.361,476137,0
SPL,D,19940221,000000,27.22,27.22,27.22,27.22,375185,0
SPL,D,19940222,000000,26.023,26.023,26.023,26.023,241900,0
SPL,D,19940224,000000,27.361,27.361,27.361,27.361,647377,0
SPL,D,19940228,000000,28.072,28.072,28.072,28.072,318250,0
SPL,D,19940301,000000,28.072,28.072,28.072,28.072,275940,0
SPL,D,19940303,000000,27.361,27.361,27.361,27.361,364439,0
SPL,D,19940307,000000,27.361,27.361,27.361,27.361,365352,0
SPL,D,19940308,000000,27.361,27.361,27.361,27.361,287763,0
SPL,D,19940310,000000,27.58,27.58,27.58,27.58,408600,0
SPL,D,19940314,000000,27.856,27.856,27.856,27.856,353917,0
SPL,D,19940315,000000,27.361,27.361,27.361,27.361,242294,0
SPL,D,19940317,000000,26.659,26.659,26.659,26.659,318925,0
SPL,D,19940321,000000,23.966,23.966,23.966,23.966,214246,0
SPL,D,19940322,000000,21.849,21.849,21.849,21.849,268209,0
SPL,D,19940324,000000,23.966,23.966,23.966,23.966,609281,0
SPL,D,19940328,000000,22.059,22.059,22.059,22.059,329060,0
SPL,D,19940329,000000,19.8,19.8,19.8,19.8,118806,0
SPL,D,19940331,000000,17.892,17.892,17.892,17.892,617099,0
SPL,D,19940405,000000,17.959,17.959,17.959,17.959,317856,0
SPL,D,19940407,000000,18.453,18.453,18.453,18.453,367275,0
SPL,D,19940408,000000,17.533,17.533,17.533,17.533,327481,0
SPL,D,19940411,000000,15.836,15.836,15.836,15.836,0,0
SPL,D,19940412,000000,14.279,14.279,14.279,14.279,270892,0
SPL,D,19940414,000000,14.279,14.279,14.279,14.279,169771,0
SPL,D,19940418,000000,15.199,15.199,15.199,15.199,205950,0
SPL,D,19940419,000000,16.687,16.687,16.687,16.687,359993,0
SPL,D,19940421,000000,20.085,20.085,20.085,20.085,262030,0
SPL,D,19940425,000000,19.725,19.725,19.725,19.725,215507,0
SPL,D,19940426,000000,17.817,17.817,17.817,17.817,0,0
SPL,D,19940428,000000,16.052,16.052,16.052,16.052,187113,0
SPL,D,19940505,000000,17.608,17.608,17.608,17.608,149165,0
SPL,D,19940506,000000,15.836,15.836,15.836,15.836,304412,0
SPL,D,19940509,000000,15.836,15.836,15.836,15.836,233993,0
SPL,D,19940510,000000,16.195,16.195,16.195,16.195,183672,0
SPL,D,19940512,000000,16.687,16.687,16.687,16.687,308305,0
SPL,D,19940516,000000,18.453,18.453,18.453,18.453,220563,0
SPL,D,19940517,000000,18.101,18.101,18.101,18.101,200375,0
SPL,D,19940519,000000,19.8,19.8,19.8,19.8,334447,0
SPL,D,19940523,000000,20.862,20.862,20.862,20.862,246994,0
SPL,D,19940524,000000,21.281,21.281,21.281,21.281,364593,0
SPL,D,19940526,000000,21.138,21.138,21.138,21.138,302090,0
SPL,D,19940530,000000,21.281,21.281,21.281,21.281,267672,0
SPL,D,19940531,000000,21.138,21.138,21.138,21.138,255265,0
SPL,D,19940601,000000,19.165,19.165,19.165,19.165,258291,0
SPL,D,19940606,000000,19.165,19.165,19.165,19.165,192488,0
SPL,D,19940607,000000,17.817,17.817,17.817,17.817,188255,0
SPL,D,19940609,000000,16.052,16.052,16.052,16.052,164358,0
SPL,D,19940613,000000,14.497,14.497,14.497,14.497,0,0
SPL,D,19940614,000000,13.008,13.008,13.008,13.008,346294,0
SPL,D,19940616,000000,14.279,14.279,14.279,14.279,354382,0
SPL,D,19940620,000000,12.939,12.939,12.939,12.939,217557,0
SPL,D,19940621,000000,12.162,12.162,12.162,12.162,237257,0
SPL,D,19940623,000000,12.162,12.162,12.162,12.162,356110,0
SPL,D,19940627,000000,13.366,13.366,13.366,13.366,225905,0
SPL,D,19940628,000000,13.254,13.254,13.254,13.254,92586,0
SPL,D,19940630,000000,12.939,12.939,12.939,12.939,177483,0
SPL,D,19940704,000000,13.614,13.614,13.614,13.614,113840,0
SPL,D,19940705,000000,14.497,14.497,14.497,14.497,109504,0
SPL,D,19940706,000000,15.836,15.836,15.836,15.836,192610,0
SPL,D,19940707,000000,15.977,15.977,15.977,15.977,196334,0
SPL,D,19940711,000000,16.687,16.687,16.687,16.687,250464,0
SPL,D,19940712,000000,18.453,18.453,18.453,18.453,232354,0
SPL,D,19940713,000000,19.165,19.165,19.165,19.165,326651,0
SPL,D,19940714,000000,17.959,17.959,17.959,17.959,224789,0
SPL,D,19940718,000000,19.725,19.725,19.725,19.725,252803,0
SPL,D,19940719,000000,20.436,20.436,20.436,20.436,323612,0
SPL,D,19940720,000000,18.453,18.453,18.453,18.453,363737,0
SPL,D,19940721,000000,18.806,18.806,18.806,18.806,181533,0
SPL,D,19940725,000000,18.806,18.806,18.806,18.806,0,0
SPL,D,19940726,000000,19.658,19.658,19.658,19.658,341075,0
SPL,D,19940727,000000,19.658,19.658,19.658,19.658,195372,0
SPL,D,19940728,000000,19.658,19.658,19.658,19.658,225775,0
SPL,D,19940801,000000,19.516,19.516,19.516,19.516,113628,0
SPL,D,19940802,000000,19.165,19.165,19.165,19.165,77829,0
SPL,D,19940803,000000,19.448,19.448,19.448,19.448,177849,0
SPL,D,19940804,000000,19.725,19.725,19.725,19.725,233399,0
SPL,D,19940808,000000,19.725,19.725,19.725,19.725,140565,0
SPL,D,19940809,000000,19.658,19.658,19.658,19.658,145416,0
SPL,D,19940810,000000,19.373,19.373,19.373,19.373,127209,0
SPL,D,19940811,000000,19.022,19.022,19.022,19.022,119582,0
SPL,D,19940816,000000,19.725,19.725,19.725,19.725,130355,0
SPL,D,19940817,000000,20.996,20.996,20.996,20.996,199708,0
