<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STL,D,20161025,000000,30,30.89,30,30,55137,0
STL,D,20161026,000000,29.9,30.2,29.11,30.01,9561,0
STL,D,20161027,000000,30.17,30.46,30,30.4,13522,0
STL,D,20161028,000000,30.5,30.59,30.35,30.59,4485,0
STL,D,20161031,000000,30.3,30.75,30.3,30.6,2536,0
STL,D,20161102,000000,30.68,30.68,29.65,30.29,5352,0
STL,D,20161103,000000,30.25,30.29,30.07,30.29,2142,0
STL,D,20161104,000000,30.29,30.35,30,30.25,12209,0
STL,D,20161107,000000,30.3,30.4,30.3,30.4,1198,0
STL,D,20161108,000000,30.33,30.38,30.02,30.38,2862,0
STL,D,20161109,000000,29.75,30.02,29.75,30,1973,0
STL,D,20161110,000000,30,30.34,29.75,29.99,4631,0
STL,D,20161114,000000,29.7,30.3,29.7,30.1,2613,0
STL,D,20161115,000000,30,30.29,30,30.01,2151,0
STL,D,20161116,000000,30,30.27,30,30,1636,0
STL,D,20161117,000000,30.2,30.37,30,30,21750,0
STL,D,20161118,000000,30,30.5,30,30.01,9546,0
STL,D,20161121,000000,30,30.5,30,30.47,410,0
STL,D,20161122,000000,30.48,30.48,30.06,30.16,134,0
STL,D,20161123,000000,30.48,30.49,30.06,30.49,2331,0
STL,D,20161124,000000,30.4,30.88,30.4,30.8,62012,0
STL,D,20161125,000000,30.62,30.85,30.5,30.85,2684,0
STL,D,20161128,000000,30.5,30.81,30.33,30.79,1777,0
STL,D,20161129,000000,30.85,30.89,30.55,30.88,6498,0
STL,D,20161130,000000,30.7,30.89,30.7,30.82,8096,0
STL,D,20161201,000000,30.79,30.85,30.56,30.85,4087,0
STL,D,20161202,000000,30.85,31.1,30.42,30.99,28041,0
STL,D,20161205,000000,30.92,32.4,30.92,32.2,19515,0
STL,D,20161206,000000,32.15,32.7,32.1,32.25,5400,0
STL,D,20161207,000000,32.25,32.25,32,32,2368,0
STL,D,20161208,000000,32.22,32.25,31.6,32,20781,0
STL,D,20161209,000000,31.6,31.8,31.6,31.61,367,0
STL,D,20161212,000000,31.3,31.61,30.5,31.45,4266,0
STL,D,20161213,000000,31.3,31.3,30.11,31,2237,0
STL,D,20161214,000000,31.5,31.5,30.3,31,756,0
STL,D,20161215,000000,31.39,31.39,30,30,96567,0
STL,D,20161216,000000,29.8,30.5,29.8,30.5,50682,0
STL,D,20161219,000000,30.1,31,30,30.99,4518,0
STL,D,20161220,000000,30.07,31.5,30.07,31.45,15801,0
STL,D,20161221,000000,31.48,31.48,30.11,31.02,6008,0
STL,D,20161222,000000,30.33,30.98,30.3,30.3,170,0
STL,D,20161223,000000,31,31,31,31,3,0
STL,D,20161227,000000,30.9,31.4,30.5,31,9685,0
STL,D,20161228,000000,30.9,31,30.5,30.9,5305,0
STL,D,20161229,000000,30.7,30.7,30.7,30.7,47,0
STL,D,20161230,000000,30.7,30.98,30.5,30.7,6010,0
STL,D,20170102,000000,30.5,31.48,30.31,30.5,3070,0
STL,D,20170103,000000,30.5,31.25,30.3,31.25,293241,0
STL,D,20170104,000000,30.5,31.25,30.21,30.22,4369,0
STL,D,20170105,000000,30.28,30.7,30.28,30.7,4287,0
STL,D,20170109,000000,30.75,31.1,30.75,30.75,103,0
STL,D,20170110,000000,30.6,30.9,30.3,30.9,2686,0
STL,D,20170111,000000,30.4,31,30.32,31,302223,0
STL,D,20170112,000000,30.33,30.9,30.33,30.9,1980,0
STL,D,20170113,000000,30.37,30.85,30.37,30.7,140,0
STL,D,20170116,000000,30.36,30.7,30.36,30.6,1080,0
STL,D,20170117,000000,30.7,31,30.6,30.9,96557,0
STL,D,20170118,000000,31,31.25,30.7,31.24,1813,0
STL,D,20170119,000000,31.24,31.35,30.91,31.25,291755,0
STL,D,20170120,000000,31.25,31.26,31,31.26,51454,0
STL,D,20170123,000000,31.25,31.5,31,31.5,30623,0
STL,D,20170124,000000,31.7,32.5,31.7,32.5,9804,0
STL,D,20170125,000000,32.45,32.45,31.9,32,10700,0
STL,D,20170126,000000,32.3,32.3,31.5,32.3,4641,0
STL,D,20170127,000000,32.3,32.3,31.4,32,650,0
STL,D,20170130,000000,32.2,32.2,30.68,30.78,2620,0
STL,D,20170131,000000,30.8,31.19,30.8,31,33,0
STL,D,20170201,000000,31,31,30.63,31,808,0
STL,D,20170202,000000,30.64,31,30.64,30.85,19,0
STL,D,20170203,000000,30.7,30.7,30.2,30.3,4664,0
STL,D,20170206,000000,30.25,30.7,30.25,30.7,210,0
STL,D,20170207,000000,30.7,30.7,30.52,30.6,26261,0
STL,D,20170208,000000,30.6,30.6,30.3,30.3,3364,0
STL,D,20170209,000000,30.21,30.72,30.21,30.4,1892,0
STL,D,20170210,000000,30.6,30.78,30.4,30.78,1872,0
STL,D,20170213,000000,30.75,30.75,30.75,30.75,33,0
STL,D,20170214,000000,30.5,30.5,30.5,30.5,60,0
STL,D,20170215,000000,30.5,30.5,30.2,30.3,3427,0
STL,D,20170216,000000,30.3,30.5,30.3,30.5,7128,0
STL,D,20170217,000000,30.4,30.42,30.25,30.29,1644,0
STL,D,20170220,000000,30.25,30.5,29.99,30,9931,0
STL,D,20170221,000000,30.3,30.5,30.06,30.11,2473,0
STL,D,20170222,000000,30.1,30.5,30.1,30.32,3471,0
STL,D,20170223,000000,30.1,30.42,30.1,30.42,299,0
STL,D,20170224,000000,30.1,30.41,30,30.41,749,0
STL,D,20170227,000000,30.41,30.41,30.01,30.41,1500,0
STL,D,20170228,000000,30.41,30.41,30.01,30.2,16946,0
STL,D,20170301,000000,30.2,30.2,29.2,29.48,2934,0
STL,D,20170302,000000,29.81,30,29.6,30,5313,0
STL,D,20170303,000000,30,30,30,30,65,0
STL,D,20170306,000000,30,30,29.64,29.69,181,0
STL,D,20170307,000000,29.63,29.97,28.8,29.9,3472,0
STL,D,20170308,000000,29.76,29.76,29.76,29.76,25,0
STL,D,20170309,000000,29.78,29.78,29.21,29.78,477,0
STL,D,20170310,000000,29.5,29.5,29.5,29.5,63,0
STL,D,20170313,000000,29.5,29.6,29.5,29.5,3850,0
STL,D,20170314,000000,29.5,29.5,29.31,29.5,326,0
STL,D,20170315,000000,29.44,29.59,29.44,29.59,6515,0
STL,D,20170316,000000,29.41,29.6,29.4,29.6,815,0
STL,D,20170317,000000,29.6,29.6,28.6,28.8,4566,0
STL,D,20170320,000000,28.98,29.58,28.98,29,12767,0
STL,D,20170321,000000,29.59,29.59,28.75,28.75,1080,0
STL,D,20170322,000000,28.8,28.99,28.8,28.99,215,0
STL,D,20170323,000000,28.7,28.9,26.15,27.9,4289,0
STL,D,20170324,000000,28.29,28.35,27.99,27.99,919,0
STL,D,20170327,000000,28.22,29.19,27.7,28.77,6361,0
STL,D,20170328,000000,28.77,28.77,27.82,28,2445,0
STL,D,20170329,000000,28.3,28.3,27.55,28,1605,0
STL,D,20170330,000000,28.5,29.47,27.6,29.47,1727,0
STL,D,20170331,000000,29.47,29.47,28.07,29,2085,0
STL,D,20170403,000000,28.22,28.7,28.2,28.2,262,0
STL,D,20170404,000000,28.2,28.21,28.2,28.2,99,0
STL,D,20170405,000000,28.9,28.9,27.61,28.01,1228,0
STL,D,20170407,000000,28.59,28.59,28.59,28.59,285,0
STL,D,20170411,000000,28.37,28.49,28.37,28.49,131,0
STL,D,20170412,000000,28.5,28.5,28.49,28.49,474,0
STL,D,20170413,000000,28.39,28.39,28.39,28.39,20,0
STL,D,20170418,000000,28.39,28.39,28,28,560,0
STL,D,20170419,000000,28,28,26.15,28,3946,0
STL,D,20170420,000000,27.15,28,27.02,28,3873,0
STL,D,20170421,000000,27.45,27.45,27.41,27.41,93,0
STL,D,20170424,000000,27.4,28,27.4,28,1080,0
STL,D,20170425,000000,27.95,28,27.51,28,382,0
STL,D,20170426,000000,27.45,27.85,26.8,27,1816,0
STL,D,20170427,000000,27.1,27.49,27.1,27.49,93,0
STL,D,20170428,000000,27.4,27.43,27.4,27.43,31,0
STL,D,20170502,000000,27.4,27.5,27.07,27.1,2599,0
STL,D,20170504,000000,27.25,27.5,27.2,27.5,293,0
STL,D,20170505,000000,28.2,28.2,27.2,27.5,821,0
STL,D,20170508,000000,27.1,27.5,27,27.5,45778,0
STL,D,20170509,000000,28,28.95,28,28.5,300,0
STL,D,20170510,000000,28.5,28.5,28.4,28.4,277,0
STL,D,20170511,000000,28.2,28.2,28,28.2,472,0
STL,D,20170515,000000,28,28,28,28,10,0
STL,D,20170516,000000,27.65,28,27.44,27.5,35791,0
STL,D,20170517,000000,27.44,27.68,27.44,27.44,660,0
STL,D,20170518,000000,27.1,28,27.1,28,2581,0
STL,D,20170519,000000,27.5,27.5,27.05,27.08,208,0
STL,D,20170522,000000,27.08,28,27.08,28,15101,0
STL,D,20170523,000000,28,28,28,28,1500,0
STL,D,20170524,000000,28,28,27.41,28,1537,0
STL,D,20170525,000000,27.41,28,27.41,28,3615,0
STL,D,20170526,000000,28,28,27.41,27.41,243,0
STL,D,20170530,000000,27.42,28.36,27.41,28.36,93,0
STL,D,20170531,000000,28.35,28.35,27.5,28.33,1275,0
STL,D,20170601,000000,28,28,28,28,76,0
STL,D,20170602,000000,27.6,28.26,27.2,28.26,527,0
STL,D,20170605,000000,27.2,28,27.01,27.15,1195,0
STL,D,20170606,000000,27.05,27.15,27.05,27.15,508,0
STL,D,20170607,000000,27.15,27.15,26.7,26.7,784,0
STL,D,20170608,000000,26.72,27.9,26.5,26.5,2283,0
STL,D,20170609,000000,25.6,26.49,25,25.5,6910,0
STL,D,20170612,000000,25.05,25.05,23.2,24,3165,0
STL,D,20170613,000000,23.5,24,23.2,24,2473,0
STL,D,20170614,000000,24.5,24.5,24.5,24.5,150,0
STL,D,20170616,000000,24,24,24,24,1400,0
STL,D,20170619,000000,24.1,24.1,23.11,23.55,809,0
STL,D,20170620,000000,23.11,24.4,23,24.4,509,0
STL,D,20170621,000000,24,24,24,24,233,0
STL,D,20170622,000000,23.9,23.9,23.9,23.9,300,0
STL,D,20170623,000000,23.1,23.5,22,22.05,106030,0
STL,D,20170626,000000,22.73,22.73,22.3,22.5,2344,0
STL,D,20170627,000000,22.3,22.3,22,22,4264,0
STL,D,20170628,000000,21.21,21.9,21.2,21.23,104048,0
STL,D,20170629,000000,20.98,21.65,20.98,21.65,898,0
STL,D,20170630,000000,21.51,21.51,21.3,21.39,5493,0
STL,D,20170703,000000,21.45,21.45,21.45,21.45,3678,0
STL,D,20170704,000000,21.45,21.45,21,21.01,3203,0
STL,D,20170705,000000,20.91,21.2,20.91,21.01,1218,0
STL,D,20170706,000000,21,21.45,21,21.45,1651,0
STL,D,20170707,000000,21.45,21.45,21.2,21.2,300,0
STL,D,20170710,000000,21.2,21.2,21.2,21.2,455,0
STL,D,20170711,000000,21.15,21.45,20.5,21.45,337964,0
STL,D,20170712,000000,21.45,21.45,20.86,20.86,523,0
STL,D,20170713,000000,21.4,22.72,21.4,22.7,214761,0
STL,D,20170714,000000,22.72,22.9,22.3,22.51,2135,0
STL,D,20170717,000000,22.51,23.38,22.51,23.38,4000,0
STL,D,20170718,000000,24.38,24.38,23.15,23.7,394,0
STL,D,20170719,000000,23.5,23.7,23.45,23.7,713,0
STL,D,20170720,000000,23.6,25.15,23.6,24.49,1950,0
STL,D,20170721,000000,23.8,24.8,23.7,24.8,656,0
STL,D,20170724,000000,24.85,24.93,24.35,24.69,32084,0
STL,D,20170725,000000,24.69,24.69,24.2,24.44,201006,0
STL,D,20170726,000000,24.44,24.44,24.3,24.3,156848,0
STL,D,20170727,000000,24.35,24.68,24,24,116225,0
STL,D,20170728,000000,23.85,23.85,23.7,23.7,333,0
STL,D,20170731,000000,24,24,22.51,23,9884,0
STL,D,20170801,000000,22.62,22.62,21.21,22,89662,0
STL,D,20170802,000000,22,23.38,22,22.02,418,0
STL,D,20170803,000000,22.2,23.25,22,23,1453,0
STL,D,20170804,000000,23,24.25,23,24.14,1191,0
STL,D,20170807,000000,23.5,23.5,23.02,23.02,920,0
STL,D,20170808,000000,22.5,22.5,21.3,21.5,15343,0
STL,D,20170809,000000,21.4,21.98,21.2,21.5,3401,0
STL,D,20170810,000000,21.55,22.2,21.5,21.5,13142,0
STL,D,20170811,000000,21.51,22.24,21.51,22.24,2668,0
STL,D,20170814,000000,22.2,22.2,21.5,22.18,1629,0
STL,D,20170816,000000,21.5,22.22,21.2,21.3,2219,0
STL,D,20170817,000000,22.2,22.2,21,21.98,2609,0
STL,D,20170818,000000,21.97,21.97,21,21.97,444,0
STL,D,20170821,000000,21.5,21.5,21.4,21.4,1612,0
STL,D,20170822,000000,21.6,21.6,21.5,21.5,1403,0
STL,D,20170823,000000,21.4,21.4,21.4,21.4,941,0
STL,D,20170824,000000,22,22,21.5,21.99,440,0
STL,D,20170825,000000,21.3,21.99,21.11,21.99,323,0
STL,D,20170828,000000,21.7,22,21.5,21.5,2497,0
STL,D,20170829,000000,21.5,21.5,21.5,21.5,290,0
STL,D,20170830,000000,21.5,21.5,21.4,21.4,152,0
STL,D,20170831,000000,21.4,22.2,21.4,22.2,205,0
STL,D,20170901,000000,21.5,22,21.5,22,130,0
STL,D,20170904,000000,21.55,22,21.55,22,25152,0
STL,D,20170905,000000,21.8,21.8,21.8,21.8,134,0
STL,D,20170906,000000,21.75,21.75,21.75,21.75,1,0
STL,D,20170907,000000,21.75,22,21.75,21.9,666,0
STL,D,20170908,000000,21.8,21.8,21.8,21.8,150,0
STL,D,20170911,000000,21.4,21.41,21.4,21.4,912,0
STL,D,20170912,000000,21.4,22.39,21.2,22.39,3871,0
STL,D,20170913,000000,22.39,22.39,22,22,6212,0
STL,D,20170914,000000,21.9,22,21.4,21.71,91006,0
