<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STX,D,19941026,000000,22.211,22.211,22.211,22.211,19242,0
STX,D,19941027,000000,20.07,20.07,20.07,20.07,88803,0
STX,D,19941028,000000,20.228,20.228,20.228,20.228,68151,0
STX,D,19941102,000000,22.211,22.211,22.211,22.211,53474,0
STX,D,19941103,000000,22.211,22.211,22.211,22.211,55434,0
STX,D,19941104,000000,21.18,21.18,21.18,21.18,33959,0
STX,D,19941107,000000,20.625,20.625,20.625,20.625,40954,0
STX,D,19941108,000000,20.387,20.387,20.387,20.387,28948,0
STX,D,19941109,000000,20.387,20.387,20.387,20.387,39026,0
STX,D,19941110,000000,19.832,19.832,19.832,19.832,34196,0
STX,D,19941114,000000,17.849,17.849,17.849,17.849,39356,0
STX,D,19941115,000000,16.104,16.104,16.104,16.104,81563,0
STX,D,19941116,000000,15.31,15.31,15.31,15.31,92959,0
STX,D,19941117,000000,16.817,16.817,16.817,16.817,92726,0
STX,D,19941118,000000,16.025,16.025,16.025,16.025,51928,0
STX,D,19941121,000000,15.071,15.071,15.071,15.071,66781,0
STX,D,19941122,000000,13.565,13.565,13.565,13.565,116559,0
STX,D,19941123,000000,14.279,14.279,14.279,14.279,51342,0
STX,D,19941124,000000,14.199,14.199,14.199,14.199,24113,0
STX,D,19941125,000000,14.358,14.358,14.358,14.358,30393,0
STX,D,19941128,000000,15.786,15.786,15.786,15.786,39925,0
STX,D,19941129,000000,17.294,17.294,17.294,17.294,80202,0
STX,D,19941130,000000,18.959,18.959,18.959,18.959,108967,0
STX,D,19941201,000000,20.784,20.784,20.784,20.784,87859,0
STX,D,19941202,000000,20.784,20.784,20.784,20.784,115195,0
STX,D,19941205,000000,19.832,19.832,19.832,19.832,90479,0
STX,D,19941206,000000,20.784,20.784,20.784,20.784,98422,0
STX,D,19941207,000000,18.722,18.722,18.722,18.722,81228,0
STX,D,19941208,000000,16.897,16.897,16.897,16.897,0,0
STX,D,19941209,000000,15.706,15.706,15.706,15.706,93212,0
STX,D,19941212,000000,17.214,17.214,17.214,17.214,225151,0
STX,D,19941213,000000,17.055,17.055,17.055,17.055,66901,0
STX,D,19941214,000000,16.5,16.5,16.5,16.5,68705,0
STX,D,19941215,000000,17.214,17.214,17.214,17.214,56374,0
