<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUW,D,19981014,000000,2.84,2.84,2.84,2.84,9360,0
SUW,D,19981015,000000,2.572,2.572,2.572,2.572,0,0
SUW,D,19981016,000000,2.322,2.322,2.322,2.322,0,0
SUW,D,19981019,000000,2.304,2.304,2.304,2.304,730,0
SUW,D,19981020,000000,2.322,2.322,2.322,2.322,12445,0
SUW,D,19981021,000000,2.456,2.456,2.456,2.456,4005,0
SUW,D,19981022,000000,2.226,2.226,2.226,2.226,11475,0
SUW,D,19981023,000000,2.188,2.188,2.188,2.188,4935,0
SUW,D,19981026,000000,2.304,2.304,2.304,2.304,12860,0
SUW,D,19981027,000000,2.304,2.304,2.304,2.304,2525,0
SUW,D,19981028,000000,2.246,2.246,2.246,2.246,4135,0
SUW,D,19981029,000000,2.208,2.208,2.208,2.208,1015,0
SUW,D,19981030,000000,2.4,2.4,2.4,2.4,2450,0
SUW,D,19981102,000000,2.36,2.36,2.36,2.36,1200,0
SUW,D,19981103,000000,2.4,2.4,2.4,2.4,1250,0
SUW,D,19981104,000000,2.4,2.4,2.4,2.4,17930,0
SUW,D,19981105,000000,2.38,2.38,2.38,2.38,1315,0
SUW,D,19981106,000000,2.456,2.456,2.456,2.456,5730,0
SUW,D,19981109,000000,2.456,2.456,2.456,2.456,5260,0
SUW,D,19981110,000000,2.322,2.322,2.322,2.322,2600,0
SUW,D,19981112,000000,2.322,2.322,2.322,2.322,1040,0
SUW,D,19981113,000000,2.264,2.264,2.264,2.264,1560,0
SUW,D,19981116,000000,2.304,2.304,2.304,2.304,4790,0
SUW,D,19981117,000000,2.188,2.188,2.188,2.188,5570,0
SUW,D,19981118,000000,2.208,2.208,2.208,2.208,1820,0
SUW,D,19981119,000000,2.112,2.112,2.112,2.112,3735,0
SUW,D,19981120,000000,2.15,2.15,2.15,2.15,10430,0
SUW,D,19981123,000000,2.226,2.226,2.226,2.226,5730,0
SUW,D,19981124,000000,2.112,2.112,2.112,2.112,9895,0
SUW,D,19981125,000000,1.996,1.996,1.996,1.996,3645,0
SUW,D,19981126,000000,1.958,1.958,1.958,1.958,1470,0
SUW,D,19981127,000000,2.034,2.034,2.034,2.034,5065,0
SUW,D,19981130,000000,2.168,2.168,2.168,2.168,10695,0
SUW,D,19981201,000000,2.016,2.016,2.016,2.016,2860,0
SUW,D,19981202,000000,2.072,2.072,2.072,2.072,1560,0
SUW,D,19981203,000000,2.072,2.072,2.072,2.072,155,0
SUW,D,19981204,000000,2.072,2.072,2.072,2.072,6250,0
SUW,D,19981207,000000,2.054,2.054,2.054,2.054,1325,0
SUW,D,19981208,000000,2.054,2.054,2.054,2.054,3070,0
SUW,D,19981209,000000,2.016,2.016,2.016,2.016,3645,0
SUW,D,19981210,000000,2.072,2.072,2.072,2.072,2600,0
SUW,D,19981211,000000,1.996,1.996,1.996,1.996,3650,0
SUW,D,19981214,000000,1.938,1.938,1.938,1.938,7655,0
SUW,D,19981215,000000,1.746,1.746,1.746,1.746,1560,0
SUW,D,19981216,000000,1.9,1.9,1.9,1.9,3125,0
SUW,D,19981217,000000,1.9,1.9,1.9,1.9,2600,0
SUW,D,19981218,000000,1.718,1.718,1.718,1.718,3125,0
SUW,D,19981221,000000,1.88,1.88,1.88,1.88,520,0
SUW,D,19981222,000000,1.92,1.92,1.92,1.92,2035,0
SUW,D,19981223,000000,1.92,1.92,1.92,1.92,1265,0
SUW,D,19981228,000000,1.88,1.88,1.88,1.88,520,0
SUW,D,19981229,000000,1.92,1.92,1.92,1.92,1040,0
SUW,D,19981230,000000,1.92,1.92,1.92,1.92,1300,0
